# Created by WEAP: 5/10/2021 8:49:48 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_McCloud (110,591 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (6,589 ha),  1000 - 2000 m (95,260 ha),  2000 - 3000 m (7,726 ha),  3000 - 4000 m (920 ha),  4000 - 5000 m (97 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, 3.075, 0.6952, -4.537, -8.007, -10.89, 303.8, 270.7, 236.6, 281.1, 319.2
2006, 2, 4.735, 2.362, -2.662, -6.176, -9.057, 319.7, 298.6, 272.5, 336.7, 384.7
2006, 3, 6.665, 4.602, -0.4714, -4.002, -6.813, 217.4, 198, 221.7, 294.6, 356.8
2006, 4, 8.822, 6.385, 1.346, -2.166, -5.052, 197.5, 187.5, 221.6, 285.1, 342.2
2006, 5, 12, 9.632, 4.498, 1.081, -1.811, 54.86, 45.3, 52.1, 67.36, 88
2006, 6, 20.03, 17.45, 12.1, 8.602, 5.62, 7.444, 9.598, 9.62, 10.07, 13.16
2006, 7, 21.89, 19.62, 14.68, 11.2, 8.317, 0.8982, 0.6385, 0.4894, 1.068, 1.506
2006, 8, 22.21, 19.92, 14.92, 11.48, 8.549, 0.1178, 0.2315, 0.5912, 0.5678, 0.4745
2006, 9, 17.17, 14.6, 9.49, 6.041, 3.116, 25.27, 22.64, 25.24, 31.09, 37.07
2006, 10, 13.07, 10.38, 4.952, 1.436, -1.602, 30.48, 35.48, 31.92, 35.1, 35.64
2006, 11, 7.983, 5.213, -0.1365, -3.569, -6.597, 112.6, 103.4, 89.54, 105.3, 118.5
2006, 12, 3.745, 1.449, -3.516, -7.045, -9.938, 676.1, 626.9, 543.7, 652.5, 751.8
2007, 1, 0.8262, -1.582, -6.571, -9.953, -12.79, 253.9, 248.5, 221.9, 260.2, 296.6
2007, 2, 1.775, -0.5888, -5.588, -9.08, -11.95, 210.4, 193.3, 175.9, 212.9, 239.8
2007, 3, 4.322, 1.94, -2.999, -6.413, -9.214, 204.4, 182.9, 207.5, 273.5, 328.9
2007, 4, 11.6, 9.097, 4.049, 0.6231, -2.262, 22.29, 19.42, 21.15, 27.39, 32.8
2007, 5, 14.84, 12.46, 7.321, 3.882, 0.9675, 48.58, 48.9, 70.74, 92.21, 118
2007, 6, 17.84, 15.24, 9.814, 6.341, 3.351, 5.115, 4.74, 5.761, 6.901, 9.516
2007, 7, 23, 20.49, 15.22, 11.74, 8.805, 2.793, 3.044, 4.881, 5.983, 6.725
2007, 8, 20.88, 18.53, 13.47, 10.05, 7.129, 0.1528, 0.1791, 0.6214, 0.9684, 1.483
2007, 9, 19.68, 17.08, 11.92, 8.517, 5.602, 0.01755, 0.04461, 0.02006, 0, 0
2007, 10, 12.53, 9.674, 4.28, 0.8527, -2.162, 52.39, 59.25, 69.07, 83.77, 104
2007, 11, 5.454, 2.989, -2.226, -5.742, -8.692, 212, 193.4, 170.8, 197.3, 223.3
2007, 12, 3.714, 0.9485, -4.471, -7.868, -10.85, 82.49, 81.74, 64.43, 73.1, 81.35
2008, 1, 2.11, -0.2367, -5.221, -8.621, -11.47, 561.3, 510.3, 427.6, 509.1, 570.9
2008, 2, 6.468, 4.166, -0.8502, -4.332, -7.191, 266.9, 241.3, 239.1, 290.2, 325.9
2008, 3, 6.895, 4.43, -0.6822, -4.055, -6.91, 4.002, 4.126, 2.205, 2.503, 2.367
2008, 4, 8.328, 5.914, 1.098, -2.343, -5.161, 84.98, 68, 79.66, 107.6, 134.9
2008, 5, 17.69, 15.17, 10.08, 6.693, 3.802, 47.83, 47.04, 54.41, 69.45, 88.5
2008, 6, 20.95, 18.24, 12.81, 9.355, 6.36, 56.46, 48.12, 46.16, 54.94, 65.45
2008, 7, 20.51, 18.3, 13.58, 10.17, 7.441, 5.955, 7.615, 14.06, 15.74, 19.12
2008, 8, 20.1, 17.8, 12.78, 9.296, 6.389, 0.01615, 0.7642, 0.7971, 1.331, 2.371
2008, 9, 20.17, 17.48, 12.37, 8.925, 6.01, 2.967, 3.014, 4.592, 6.163, 8.199
2008, 10, 16.19, 13.2, 7.888, 4.529, 1.536, 34.26, 35.57, 35.08, 42.65, 51.9
2008, 11, 7.81, 5.142, -0.02356, -3.429, -6.322, 265.5, 241.2, 228.6, 272, 322.4
2008, 12, 5.465, 2.848, -2.342, -5.782, -8.712, 94.22, 95.3, 73.9, 83.55, 91.76
2009, 1, 0.9864, -1.244, -6.218, -9.648, -12.55, 549, 512.9, 423.9, 507.2, 584.9
2009, 2, 4.495, 1.893, -3.092, -6.52, -9.385, 163.8, 154.8, 144.7, 172.9, 194.6
2009, 3, 4.048, 1.567, -3.313, -6.714, -9.544, 167.4, 149.4, 172.8, 228.7, 279.4
2009, 4, 8.677, 6.356, 1.411, -2.106, -4.968, 194.1, 179.4, 191.5, 251.8, 300.2
2009, 5, 14.34, 12.05, 6.877, 3.399, 0.4754, 52.24, 52.1, 59.84, 78.77, 102.1
2009, 6, 19.76, 17.1, 11.74, 8.243, 5.257, 29.68, 23.99, 23.49, 26.25, 28.1
2009, 7, 22.79, 20.27, 15.19, 11.71, 8.79, 6.526, 8.855, 8.927, 8.763, 9.707
2009, 8, 22.31, 19.78, 14.58, 11.17, 8.248, 2.718, 2.342, 2.528, 2.945, 3.325
2009, 9, 18.91, 16.36, 11.2, 7.698, 4.751, 40.72, 39.57, 36.5, 45.8, 55.51
2009, 10, 12.64, 9.969, 4.597, 1.147, -1.831, 47.48, 41.02, 46.3, 57.8, 70.85
2009, 11, 6.508, 4.09, -0.9438, -4.438, -7.287, 542.6, 501.2, 440.5, 533.5, 629.6
2009, 12, 4.669, 2.453, -2.519, -6.085, -8.974, 414.1, 406.8, 366.5, 436.2, 493.6
2010, 1, -0.1178, -3.023, -8.372, -11.69, -14.64, 36.65, 34.12, 31.81, 37.16, 39.97
2010, 2, -0.2352, -2.794, -7.918, -11.36, -14.32, 41.9, 41.15, 34, 40.74, 44.21
2010, 3, 4.535, 1.981, -2.997, -6.374, -9.21, 34.32, 25.86, 27.44, 34.78, 40.36
2010, 4, 11.02, 8.434, 3.245, -0.2375, -3.18, 172.5, 155.1, 176.5, 232.8, 274.6
2010, 5, 15.04, 12.6, 7.644, 4.215, 1.317, 78.11, 75.82, 82.01, 105.2, 130.9
2010, 6, 21.68, 19.03, 13.7, 10.23, 7.253, 21.23, 22.43, 25.83, 29.66, 38.18
2010, 7, 22.3, 19.85, 14.77, 11.32, 8.391, 8.217, 7.495, 11.12, 13, 14.22
2010, 8, 20.04, 17.75, 12.83, 9.435, 6.567, 68.18, 55.92, 65.62, 81.38, 95.91
2010, 9, 19.93, 17.5, 12.34, 8.844, 5.925, 0.7452, 1.174, 2.944, 3.51, 4.994
2010, 10, 15.34, 12.67, 7.318, 3.817, 0.8043, 17.21, 18.18, 19.9, 24.67, 31.84
2010, 11, 6.184, 3.534, -1.521, -5.054, -8.033, 414.7, 385, 392.6, 481, 573
2010, 12, 2.763, 0.2396, -4.602, -8.038, -10.88, 628, 625.6, 587.3, 702.7, 811.5
2011, 1, 1.876, -0.8871, -6.214, -9.596, -12.55, 156.9, 151.6, 129.6, 150.2, 163.4
2011, 2, 3.041, 0.6812, -4.551, -8.003, -10.87, 136.4, 134.7, 122.7, 147.3, 159
2011, 3, 6.721, 4.235, -0.7298, -4.067, -6.846, 14.4, 15.63, 11.41, 13.34, 15.49
2011, 4, 7.98, 5.695, 0.7318, -2.737, -5.528, 157.8, 154.3, 197.7, 277.3, 373.1
2011, 5, 13.73, 11.48, 6.518, 3.103, 0.2662, 48.5, 44.95, 49, 64.64, 84.65
2011, 6, 19.6, 16.99, 11.53, 8.092, 5.08, 37.96, 31.74, 31.07, 35.69, 43.24
2011, 7, 22.92, 20.35, 15.11, 11.65, 8.69, 0.2495, 0.3769, 0.4524, 0.4986, 0.7014
2011, 8, 23.61, 21.07, 15.85, 12.36, 9.357, 0.11, 0.1061, 0.08977, 0.1216, 0.1203
2011, 9, 19.27, 16.85, 11.86, 8.389, 5.486, 14.54, 18.65, 26.63, 30.78, 38.34
2011, 10, 13.85, 11.28, 5.984, 2.511, -0.4966, 46.31, 45.29, 47.21, 57.11, 66.03
2011, 11, 8.022, 5.2, -0.3258, -3.849, -6.934, 117, 101.6, 89.6, 113.4, 140.2
2011, 12, 2.948, 0.3392, -4.763, -8.208, -11.11, 526.4, 502, 434.2, 511.3, 592.4
2012, 1, 2.898, 0.1679, -5.31, -8.777, -11.83, 345, 312.7, 297.2, 359.3, 408.2
2012, 2, 3.301, 1.09, -3.868, -7.328, -10.14, 283.9, 262, 254, 310.5, 339.1
2012, 3, 5.204, 2.923, -2.136, -5.647, -8.536, 314.5, 268.5, 234.8, 296.6, 339.2
2012, 4, 11.79, 9.327, 4.203, 0.7021, -2.212, 92.86, 81.55, 84.71, 111.1, 137
2012, 5, 17.52, 14.96, 9.786, 6.455, 3.559, 0, 0.26, 1.16, 1.443, 2.186
2012, 6, 19.49, 16.64, 11.13, 7.702, 4.738, 13.01, 14.18, 16.89, 19.5, 23.83
2012, 7, 23.24, 20.84, 15.55, 12.06, 9.096, 0.03184, 0.1976, 0.5709, 0.5215, 0.5284
2012, 8, 22.37, 20.02, 15.13, 11.62, 8.728, 1.557, 2.436, 2.912, 3.115, 3.431
2012, 9, 18.28, 15.78, 10.58, 7.143, 4.217, 7.018, 8.879, 10.19, 12.46, 17.18
2012, 10, 12.53, 9.967, 4.756, 1.236, -1.774, 183.8, 180.4, 146.2, 177.9, 211.5
2012, 11, 5.635, 3.276, -1.681, -5.17, -8.054, 301.6, 272.4, 239.6, 286.9, 324.6
2012, 12, 3.48, 0.9851, -4.137, -7.611, -10.54, 109.2, 106.6, 88.87, 106, 122.3
2013, 1, 3.886, 1.38, -3.573, -7.047, -9.935, 386.2, 370.2, 311.1, 368.1, 400.9
2013, 2, 2.902, 0.545, -4.435, -7.923, -10.82, 359.6, 319.4, 320.1, 390.2, 444.8
2013, 3, 3.091, 0.7559, -4.131, -7.644, -10.51, 263.7, 236.6, 254, 328.7, 383.4
2013, 4, 8.894, 6.457, 1.487, -1.977, -4.899, 94.25, 82.59, 75.95, 97.51, 115.2
2013, 5, 14.11, 11.81, 6.718, 3.29, 0.4272, 33.74, 28.92, 29.51, 39.89, 54.01
2013, 6, 21.77, 19.13, 13.66, 10.11, 7.03, 9.748, 10.44, 12.59, 13.51, 16.7
2013, 7, 23.25, 20.85, 15.62, 12.1, 9.114, 9.159, 7.951, 12.12, 15.95, 19.61
2013, 8, 22.37, 20.08, 15.08, 11.6, 8.729, 0.1829, 0.1921, 0.2569, 0.271, 0.2828
2013, 9, 21.5, 18.94, 13.97, 10.49, 7.597, 162.4, 163, 181.5, 226.4, 288.4
2013, 10, 14.12, 11.42, 6.196, 2.686, -0.3452, 59.11, 61.09, 51.91, 62.13, 73.62
2013, 11, 9.441, 6.493, 1.031, -2.345, -5.341, 32.7, 30.99, 23.37, 27.58, 31.06
2013, 12, 5.673, 3.123, -2.043, -5.56, -8.508, 338, 341.6, 283.1, 334.8, 377
2014, 1, 3.442, 0.6496, -4.756, -8.161, -11.21, 150.9, 148, 128.2, 149.8, 160
2014, 2, 3.24, 0.8084, -4.199, -7.68, -10.6, 168, 152, 122.4, 140.3, 156.5
2014, 3, 6.427, 3.85, -1.254, -4.615, -7.529, 161.8, 131, 131.9, 166.1, 191.2
2014, 4, 10.23, 7.775, 2.821, -0.586, -3.451, 62.24, 53.22, 52.36, 67.08, 79.78
2014, 5, 17.49, 14.96, 9.816, 6.427, 3.5, 7.936, 8.772, 13, 15.13, 21.44
2014, 6, 20.4, 17.75, 12.45, 9.04, 6.135, 14.77, 10.11, 19.4, 23.94, 29.25
2014, 7, 24.67, 22.17, 17, 13.55, 10.61, 1.229, 1.192, 0.9537, 1.167, 1.173
2014, 8, 21.95, 19.54, 14.5, 11.07, 8.095, 0.9914, 1.104, 1.694, 1.851, 1.819
2014, 9, 19.82, 17.21, 12.05, 8.618, 5.645, 0.2159, 0.4755, 0.7614, 0.4324, 0.7441
2014, 10, 17.04, 14.16, 8.848, 5.379, 2.327, 93.9, 90.51, 90.17, 108.9, 128.6
2014, 11, 6.257, 3.78, -1.42, -4.857, -7.794, 88.53, 84.27, 76.76, 91.91, 102
2014, 12, 4.075, 0.9513, -4.595, -8.019, -11.11, 25.92, 24.8, 27.91, 34.79, 38.63
2015, 1, 5.401, 2.311, -3.337, -6.746, -9.893, 20.41, 17.01, 15.94, 17.81, 16.82
2015, 2, 5.155, 2.465, -2.753, -6.133, -9.072, 281.2, 265.7, 245.5, 298.6, 336.6
2015, 3, 12.61, 10.17, 5.146, 1.749, -1.108, 81.91, 69.04, 78.89, 99.7, 113.3
2015, 4, 9.847, 7.578, 2.708, -0.7501, -3.603, 43.17, 40.36, 39.57, 51.28, 63.39
2015, 5, 15.31, 12.68, 7.555, 4.177, 1.276, 32.48, 32.65, 40.19, 52.66, 65.32
2015, 6, 19.97, 17.41, 12.07, 8.576, 5.569, 10.97, 12.65, 14.38, 17.07, 22.67
2015, 7, 23.06, 20.6, 15.38, 11.94, 9.016, 0.1538, 0.1322, 0.001986, 0, 0
2015, 8, 25.4, 22.87, 17.76, 14.33, 11.42, 0.2414, 0.4321, 1.358, 1.272, 1.237
2015, 9, 16.84, 14.41, 9.429, 5.925, 3.015, 156.2, 158.7, 147.2, 184.1, 227.2
2015, 10, 13.75, 10.62, 5.189, 1.87, -1.16, 2.123, 2.27, 2.865, 3.753, 5.372
2015, 11, 6.448, 3.636, -1.543, -4.917, -7.894, 93.45, 82.54, 73.32, 87.97, 102.4
2015, 12, 4.685, 1.918, -3.143, -6.537, -9.43, 317.6, 313, 286.1, 327.1, 367.3
2016, 1, 3.65, 0.9802, -4.298, -7.725, -10.66, 130.9, 123.1, 114.6, 134.9, 151.1
2016, 2, 5.912, 3.449, -1.771, -5.321, -8.36, 241.2, 230.1, 197.8, 244.5, 276
2016, 3, 6.441, 4.111, -0.988, -4.532, -7.4, 314.3, 257, 271.2, 349.7, 406.5
