# Created by WEAP: 1/5/2021 2:52:08 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Upr Bear (3,880 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (3,880 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 1000 to 2000 m

1950, 1, 4.1, 393
1950, 2, 4.769, 246.2
1950, 3, 5.709, 215.8
1950, 4, 9.863, 63.56
1950, 5, 12.48, 92.22
1950, 6, 16.25, 40.69
1950, 7, 21.03, 12.54
1950, 8, 21.33, 1.685
1950, 9, 20.84, 59.89
1950, 10, 13.93, 76.93
1950, 11, 12.13, 3.326
1950, 12, 6.322, 243.7
1951, 1, 2.239, 468
1951, 2, 5.454, 33.23
1951, 3, 7.894, 262.3
1951, 4, 9.201, 128.5
1951, 5, 13.93, 24.32
1951, 6, 16.29, 15.76
1951, 7, 21.78, 1.112
1951, 8, 20.32, 0.972
1951, 9, 16.97, 106.8
1951, 10, 14.34, 131.4
1951, 11, 6.205, 271.1
1951, 12, 4.826, 97.04
1952, 1, 3.574, 262
1952, 2, 2.42, 401.4
1952, 3, 8.803, 83.01
1952, 4, 9.133, 74.32
1952, 5, 12.14, 61.55
1952, 6, 16.54, 12.51
1952, 7, 21.29, 26.43
1952, 8, 20.6, 48.37
1952, 9, 14.2, 54.35
1952, 10, 9.866, 329.1
1952, 11, 5.862, 206.9
1952, 12, 7.086, 110
1953, 1, 6.756, 152.6
1953, 2, 4.578, 191.2
1953, 3, 7.415, 296.1
1953, 4, 9.348, 176.5
1953, 5, 11.85, 17.81
1953, 6, 15.22, 41.46
1953, 7, 20.26, 0.3799
1953, 8, 21.58, 0.5452
1953, 9, 18.27, 5.662
1953, 10, 14.68, 78.24
1953, 11, 9.841, 202.7
1953, 12, 3.222, 248.6
1954, 1, 7.38, 40.08
1954, 2, 6.857, 213.1
1954, 3, 2.787, 163
1954, 4, 7.244, 158.7
1954, 5, 13.53, 28.3
1954, 6, 17.66, 26.02
1954, 7, 20.9, 25.95
1954, 8, 20.8, 0.3115
1954, 9, 19.04, 17.19
1954, 10, 13.71, 35.64
1954, 11, 4.945, 410.1
1954, 12, 6.461, 318.2
1955, 1, 6.447, 59.9
1955, 2, 6.272, 268.8
1955, 3, 5.953, 453.2
1955, 4, 6.843, 214
1955, 5, 12.06, 67.98
1955, 6, 15.43, 49.95
1955, 7, 20.7, 1.921
1955, 8, 19.6, 0.6939
1955, 9, 19.22, 17.86
1955, 10, 14.13, 51.2
1955, 11, 8.868, 13.08
1955, 12, 4.97, 355.1
1956, 1, 3.915, 1058
1956, 2, 4.056, 77.16
1956, 3, 4.868, 309.2
1956, 4, 10.91, 85.54
1956, 5, 14.89, 55.05
1956, 6, 15.52, 88.36
1956, 7, 21.77, 0.0008508
1956, 8, 21.11, 0.8743
1956, 9, 18.1, 7.928
1956, 10, 9.93, 188
1956, 11, 11, 149.5
1956, 12, 3.253, 313.9
1957, 1, -1.048, 355.2
1957, 2, 4.294, 50.34
1957, 3, 6.052, 167.4
1957, 4, 7.837, 127.2
1957, 5, 17.18, 26.06
1957, 6, 17.18, 16.04
1957, 7, 21.65, 1.188
1957, 8, 23.39, 0.03169
1957, 9, 20.65, 29.7
1957, 10, 13.61, 73.64
1957, 11, 8.77, 352
1957, 12, 3.323, 277.1
1958, 1, 1.421, 559.6
1958, 2, 2.678, 499.3
1958, 3, 3.422, 227.4
1958, 4, 3.262, 261
1958, 5, 13.42, 22.87
1958, 6, 17.31, 15.68
1958, 7, 20.87, 12.02
1958, 8, 21.56, 27.96
1958, 9, 18.78, 2.463
1958, 10, 12.91, 86.64
1958, 11, 11.04, 150.6
1958, 12, 1.287, 779.4
1959, 1, 0.8671, 384.4
1959, 2, 2.758, 248.1
1959, 3, 6.379, 121.9
1959, 4, 2.971, 371.4
1959, 5, 15.46, 52.52
1959, 6, 16.93, 92.93
1959, 7, 20.18, 9.493
1959, 8, 19.32, 3.635
1959, 9, 16.44, 1.949
1959, 10, 14.57, 38.27
1959, 11, 3.59, 130.9
1959, 12, 6.017, 322.1
1960, 1, 6.177, 131.7
1960, 2, 4.112, 657.7
1960, 3, 5.453, 346.9
1960, 4, 9.018, 227.4
1960, 5, 11.92, 41.03
1960, 6, 17.46, 48.3
1960, 7, 21.64, 6.127
1960, 8, 22, 0
1960, 9, 16.36, 38.07
1960, 10, 12.59, 165.1
1960, 11, 6.163, 240.2
1960, 12, 2.714, 473.8
1961, 1, 2.118, 328.8
1961, 2, 5.264, 640.7
1961, 3, 8.06, 125.9
1961, 4, 8.337, 61.82
1961, 5, 11.48, 66.28
1961, 6, 16.15, 45.33
1961, 7, 18.88, 1.486
1961, 8, 19.48, 2.13
1961, 9, 14.54, 13.91
1961, 10, 11.84, 94.09
1961, 11, 6.206, 230.4
1961, 12, 4.079, 765.6
1962, 1, 5.651, 504.7
1962, 2, 6.374, 269.3
1962, 3, 7.453, 168.6
1962, 4, 6.58, 342.5
1962, 5, 11.96, 63.87
1962, 6, 16.5, 20.83
1962, 7, 21.25, 0.1657
1962, 8, 18.63, 8.993
1962, 9, 16.74, 2.655
1962, 10, 12.54, 48.29
1962, 11, 4.196, 340.5
1962, 12, 5.748, 157.5
1963, 1, 2.757, 174.5
1963, 2, 6.279, 69.3
1963, 3, 6.818, 67.62
1963, 4, 9.04, 188.7
1963, 5, 12.13, 92.03
1963, 6, 18.38, 27.47
1963, 7, 22.41, 1.172
1963, 8, 22.57, 9.68
1963, 9, 17.64, 139.5
1963, 10, 14.59, 52.29
1963, 11, 6.666, 325.5
1963, 12, 7.411, 117.9
1964, 1, 4.874, 470.7
1964, 2, 1.631, 341.4
1964, 3, 3.075, 482
1964, 4, 10.03, 20.67
1964, 5, 14.72, 80.92
1964, 6, 15.16, 2.879
1964, 7, 21.14, 109.8
1964, 8, 20.54, 0
1964, 9, 16.16, 2.284
1964, 10, 16.55, 9.41
1964, 11, 5.507, 332.2
1964, 12, 4.286, 331.8
1965, 1, 2.518, 643.5
1965, 2, 2.698, 264
1965, 3, 8.957, 54.77
1965, 4, 7.948, 261.5
1965, 5, 12.13, 83.54
1965, 6, 19.41, 0
1965, 7, 21.77, 0.5287
1965, 8, 21.38, 7.406
1965, 9, 19.58, 0
1965, 10, 15.46, 25.66
1965, 11, 8.092, 284.4
1965, 12, 7.7, 75.21
1966, 1, 3.449, 478.9
1966, 2, 3.365, 471.4
1966, 3, 6.182, 294.7
1966, 4, 2.452, 222
1966, 5, 9.721, 274.3
1966, 6, 15.16, 37.14
1966, 7, 20.42, 15.96
1966, 8, 20.63, 1.216
1966, 9, 16.67, 43.24
1966, 10, 13.02, 14.2
1966, 11, 9.838, 57.7
1966, 12, 5.504, 256.2
1967, 1, 2.878, 911.8
1967, 2, 2.171, 202.2
1967, 3, 7.442, 222.8
1967, 4, 6.055, 219.3
1967, 5, 12.29, 86.73
1967, 6, 16.32, 25.88
1967, 7, 19.44, 0.06697
1967, 8, 20.41, 1.889
1967, 9, 18.18, 351.7
1967, 10, 11.85, 171.2
1967, 11, 12.09, 1.688
1967, 12, 4.431, 56.6
1968, 1, 4.861, 88.57
1968, 2, 6.98, 33.49
1968, 3, 4.976, 278.6
1968, 4, 7.827, 214.4
1968, 5, 14.58, 74.85
1968, 6, 16.73, 8.197
1968, 7, 21.19, 0.01688
1968, 8, 21.41, 0.4962
1968, 9, 19.13, 0
1968, 10, 13.72, 20.27
1968, 11, 9.645, 166.7
1968, 12, 8.242, 222.7
1969, 1, 6.329, 133
1969, 2, 4.481, 406.7
1969, 3, 8.013, 119.2
1969, 4, 10.1, 134.6
1969, 5, 11.01, 269.9
1969, 6, 17.79, 44.57
1969, 7, 21.08, 4.097
1969, 8, 21.71, 10.23
1969, 9, 16.07, 152.4
1969, 10, 12.98, 109.3
1969, 11, 9.525, 213.6
1969, 12, 5.115, 693.3
1970, 1, 2.515, 810.8
1970, 2, 1.645, 569.5
1970, 3, 4.784, 351.1
1970, 4, 9.216, 98.98
1970, 5, 13.47, 100.8
1970, 6, 18.75, 12.13
1970, 7, 21.04, 25.56
1970, 8, 19.45, 0.5496
1970, 9, 19.11, 0.02591
1970, 10, 11.67, 110.7
1970, 11, 4.379, 449.6
1970, 12, 2.927, 226.9
1971, 1, 2.963, 11.25
1971, 2, 3.371, 94.27
1971, 3, 8.749, 18.93
1971, 4, 11.35, 25.1
1971, 5, 12.49, 69.42
1971, 6, 14.65, 121.7
1971, 7, 22.03, 0.2711
1971, 8, 22.62, 0.6474
1971, 9, 20.65, 0.5224
1971, 10, 14.7, 23.8
1971, 11, 9.737, 193.7
1971, 12, 7.745, 105.2
1972, 1, 5.635, 69.13
1972, 2, 4.734, 93.72
1972, 3, 6.817, 221.7
1972, 4, 13.71, 1.067
1972, 5, 10.38, 148.4
1972, 6, 16.56, 22.83
1972, 7, 22.2, 21.08
1972, 8, 20.99, 1.28
1972, 9, 16.11, 9.985
1972, 10, 13.36, 17.82
1972, 11, 6.106, 706
1972, 12, 4.084, 213.4
1973, 1, 7.848, 24.32
1973, 2, 6.276, 5.844
1973, 3, 5.824, 127.2
1973, 4, 13.84, 15.21
1973, 5, 10.85, 243.8
1973, 6, 17.68, 10.36
1973, 7, 22.63, 0.1173
1973, 8, 21.66, 1.801
1973, 9, 18.52, 33.21
1973, 10, 13.74, 18.13
1973, 11, 5.354, 428.5
1973, 12, 5.588, 323
1974, 1, 9.625, 0.1873
1974, 2, 7.593, 115.8
1974, 3, 7.343, 358
1974, 4, 6.754, 291
1974, 5, 10.01, 169.3
1974, 6, 14.87, 41.29
1974, 7, 20.3, 11.33
1974, 8, 19.14, 28.6
1974, 9, 19.19, 0.7472
1974, 10, 12.69, 21.73
1974, 11, 8.416, 53.73
1974, 12, 2.197, 199.1
1975, 1, 6.846, 242.3
1975, 2, 5.989, 238.1
1975, 3, 6.227, 230.1
1975, 4, 10.07, 76.64
1975, 5, 13.53, 82.62
1975, 6, 15.92, 26.85
1975, 7, 21.33, 0.5724
1975, 8, 24.43, 0
1975, 9, 19.44, 0
1975, 10, 13.93, 26.22
1975, 11, 6.692, 222.5
1975, 12, 3.713, 449.7
1976, 1, 6.41, 280.4
1976, 2, 3.239, 278.8
1976, 3, 3.972, 352.9
1976, 4, 6.16, 116.9
1976, 5, 17.09, 8.323
1976, 6, 19.48, 0.0009933
1976, 7, 20.54, 0.005922
1976, 8, 22.15, 0.6408
1976, 9, 19.72, 10.32
1976, 10, 10.78, 299.6
1976, 11, 8.295, 165
1976, 12, 3.109, 280.6
1977, 1, 2.932, 161
1977, 2, 5.024, 46.72
1977, 3, 9.492, 95.85
1977, 4, 7.783, 173
1977, 5, 14.83, 9.578
1977, 6, 17.53, 0.1245
1977, 7, 21.94, 0.002765
1977, 8, 19.45, 0.5787
1977, 9, 16.77, 44.69
1977, 10, 11.68, 110
1977, 11, 6.288, 510.6
1977, 12, 6.694, 178.2
1978, 1, 4.546, 189.7
1978, 2, 5.694, 276.6
1978, 3, 7.408, 54.42
1978, 4, 11.97, 49
1978, 5, 11.72, 49.61
1978, 6, 20.22, 1.339
1978, 7, 21.13, 0.0003944
1978, 8, 23.08, 1.048
1978, 9, 19.91, 0
1978, 10, 16.97, 6.091
1978, 11, 6.723, 395.9
1978, 12, 5.217, 424.5
1979, 1, 3.09, 402.4
1979, 2, 8.317, 48.95
1979, 3, 9.481, 106
1979, 4, 8.129, 165.7
1979, 5, 13.08, 81.96
1979, 6, 17.31, 11.62
1979, 7, 23.56, 0.04372
1979, 8, 22.22, 1.756
1979, 9, 19.49, 1.128
1979, 10, 15.37, 76.97
1979, 11, 12.29, 8.019
1979, 12, 3.567, 148.5
1980, 1, 2.806, 491.5
1980, 2, 3.078, 582.3
1980, 3, 0.9519, 194.9
1980, 4, 13.91, 37.67
1980, 5, 13.99, 146.1
1980, 6, 16.66, 13.83
1980, 7, 22.37, 0.05808
1980, 8, 21.11, 1.562
1980, 9, 16.85, 6.608
1980, 10, 10.51, 192.4
1980, 11, 3.546, 116.8
1980, 12, 2.35, 247.3
1981, 1, 4.189, 164.9
1981, 2, 5.38, 720.4
1981, 3, 8.286, 58.17
1981, 4, 8.673, 65.35
1981, 5, 9.063, 126.9
1981, 6, 17.64, 25.88
1981, 7, 20.89, 0.08906
1981, 8, 20.47, 0.01284
1981, 9, 17.52, 55.71
1981, 10, 14.31, 75.63
1981, 11, 7.942, 288.4
1981, 12, 4.42, 61.79
1982, 1, 10.97, 0
1982, 2, 7.004, 348.5
1982, 3, 3.919, 408.1
1982, 4, 12.24, 61.95
1982, 5, 11.73, 59.19
1982, 6, 17.92, 11.11
1982, 7, 21.28, 0.008256
1982, 8, 20.25, 1.259
1982, 9, 20.23, 12.37
1982, 10, 16.54, 74.97
1982, 11, 7.482, 63.89
1982, 12, 5.342, 670.5
1983, 1, 2.937, 376.4
1983, 2, 3.69, 76.84
1983, 3, 7.87, 73.75
1983, 4, 5.455, 171.2
1983, 5, 12.3, 81.26
1983, 6, 18.96, 7.175
1983, 7, 19.75, 2.094
1983, 8, 20.57, 1.651
1983, 9, 15.81, 6.691
1983, 10, 11.86, 76.01
1983, 11, 6.188, 99.09
1983, 12, 3.845, 587.9
1984, 1, 3.05, 624.7
1984, 2, 5.719, 379
1984, 3, 0.6297, 613.2
1984, 4, 7.437, 96.56
1984, 5, 14.14, 33.87
1984, 6, 16.09, 15.2
1984, 7, 21.69, 0
1984, 8, 21.03, 0.01036
1984, 9, 18.38, 0.3679
1984, 10, 14.38, 18.88
1984, 11, 7.026, 63
1984, 12, 2.402, 272
1985, 1, 0.7202, 558.5
1985, 2, 5.307, 218.7
1985, 3, 7.666, 97.61
1985, 4, 7.153, 105.3
1985, 5, 11.37, 83.63
1985, 6, 17.83, 7.108
1985, 7, 22.49, 1.057
1985, 8, 21.15, 1.298
1985, 9, 17.48, 82.48
1985, 10, 13.08, 44.57
1985, 11, 8.53, 52.12
1985, 12, 7.002, 238.4
1986, 1, 6.346, 386
1986, 2, 5.624, 362.4
1986, 3, 2.957, 382.6
1986, 4, 5.283, 191.1
1986, 5, 16.66, 31.21
1986, 6, 19.76, 1.168
1986, 7, 21.12, 0.01547
1986, 8, 19.44, 7.48
1986, 9, 20.75, 472.8
1986, 10, 13.52, 38.53
1986, 11, 6.659, 210.9
1986, 12, 0.7459, 620.8
1987, 1, 1.835, 306.5
1987, 2, 2.586, 156.2
1987, 3, 8.67, 163.3
1987, 4, 7.498, 173.2
1987, 5, 14.83, 35.13
1987, 6, 17.29, 7.469
1987, 7, 21.96, 0.03867
1987, 8, 22.84, 2.994
1987, 9, 18.52, 3.689
1987, 10, 18.11, 6.275
1987, 11, 3.712, 458.8
1987, 12, 6.069, 294.3
1988, 1, 6.776, 223.2
1988, 2, 6.231, 192
1988, 3, 5.113, 100.5
1988, 4, 9.099, 133.1
1988, 5, 13.09, 53.94
1988, 6, 19.72, 2.88
1988, 7, 24.16, 0.6243
1988, 8, 22.22, 82.9
1988, 9, 20.23, 24.64
1988, 10, 13.56, 124.6
1988, 11, 7.885, 513.8
1988, 12, 5.278, 758.7
1989, 1, 5.856, 428.4
1989, 2, 4.753, 574.3
1989, 3, 3.69, 520.4
1989, 4, 8.418, 131.6
1989, 5, 12.4, 59.42
1989, 6, 18.82, 1.63
1989, 7, 21.46, 0.6884
1989, 8, 20.96, 10.24
1989, 9, 20.47, 80.21
1989, 10, 14.64, 117.9
1989, 11, 6.792, 322.2
1989, 12, 3.984, 71.55
1990, 1, 4.814, 289.5
1990, 2, 4.274, 157.4
1990, 3, 2.401, 199.8
1990, 4, 7.562, 102.9
1990, 5, 12.15, 19.08
1990, 6, 18.95, 0.1207
1990, 7, 20.91, 0.4612
1990, 8, 21.43, 1.149
1990, 9, 17.54, 0.4465
1990, 10, 12.29, 68.91
1990, 11, 9.252, 285.9
1990, 12, 5.994, 240.9
1991, 1, 1.64, 86.73
1991, 2, 4.051, 256.4
1991, 3, 1.842, 570.4
1991, 4, 8.417, 83.99
1991, 5, 10.72, 79.08
1991, 6, 17.25, 22.68
1991, 7, 19.76, 0.9244
1991, 8, 22.07, 0.02151
1991, 9, 19.77, 0.4296
1991, 10, 16.63, 3.901
1991, 11, 7.106, 134.3
1991, 12, 1.215, 137.4
1992, 1, 4.153, 230.6
1992, 2, 4.759, 546.3
1992, 3, 5.458, 412.5
1992, 4, 10.55, 109.4
1992, 5, 9.452, 304.7
1992, 6, 15.55, 11.33
1992, 7, 21.88, 17.46
1992, 8, 21.77, 0.4213
1992, 9, 17.66, 1.298
1992, 10, 12.29, 25.26
1992, 11, 9.821, 20.23
1992, 12, 2.718, 1010
1993, 1, 0.7859, 177.2
1993, 2, 3.408, 209.3
