Supply Delivered
"Selected Sources (48/780), Annual Total"
Cubic Meter
Scenario,2%,4%,6%,8%,10%,12%,13%,15%,17%,19%,21%,23%,25%,27%,29%,31%,33%,35%,37%,38%,40%,42%,44%,46%,48%,50%,52%,54%,56%,58%,60%,62%,63%,65%,67%,69%,71%,73%,75%,77%,79%,81%,83%,85%,87%,88%,90%,92%,94%,96%,98%,Sum,Min,Max,Mean,Median,SD,RMS
ACCESS-1.0,36684101223,35817034746,35402055029,34666661367,34150411977,33070202314,32342055408,31970041052,31951058414,31905236755,31348496493,30898433606,30827728002,30717455929,30595443797,30536486157,30330386637,30189591794,29470450641,29275580200,29076195945,28516741449,28079015127,28069196836,27685698736,26542726125,26360345746,25755038466,25648918139,25596253810,25461036414,24807317238,24274620053,24214785225,24149478190,23967304841,23912653382,23642498443,22289274470,22089743558,22032775607,21575448672,20737355038,20710525986,20241524431,19902629464,19527564243,18080287517,17478304633,16030647566,15896677899,1364501494789,15896677899,36684101223,26754931270,26542726125,5345877394,27273510803
bcc-csm1-1,32735678753,31073884918,30707040419,30317063020,29905991683,29851660507,29545652831,29283232218,28805152482,28762737468,28535902170,28200558057,27823172872,27802321865,27409100801,27326365226,27279872969,26649024505,26234040178,26169497435,26032072488,25779529991,25507930127,25480069295,25453582393,25383219996,25382731164,25186345370,25098078856,25000626145,24844737720,24761252515,24733039021,24704642193,24692844060,24524398807,24076297837,24021303969,23897226736,23735028556,23253322045,22281400269,21492730781,20961862363,20899099103,20745701611,20628940762,20102796556,19902629464,19064394445,18262126889,1300307911903,18262126889,32735678753,25496233567,25383219996,3323920690,25707775839
CanESM,31093865611,30948590182,30385150497,29589918863,29263264766,28883495322,28607567424,28603064347,28355365274,28107292135,27813384592,27550721541,27060068670,26844924436,26547987156,26447142357,26305863144,26125021743,25865099660,25818017397,25789724128,25389739209,25172963570,24828342343,24544606805,24465785233,23200185431,22322192089,22137925496,22125226064,21791403562,21500339166,21327595071,21240126215,20514236632,20282698782,20268170420,19919320186,19902629464,19895812884,19568099366,19373871660,19292248634,18965999228,17958435810,17465353727,17221964458,15835025920,15427910619,15064276428,13494205896,1196502219613,13494205896,31093865611,23460827836,24465785233,4555387995,23890481560
CCSM,31922668821,31334289256,30240081477,30139138198,29327888431,29038352356,28510269145,27850870688,27833493963,27804653955,27530558597,27485208465,26997124869,26584975437,26533104294,26285130494,26148440312,26104978447,25745778319,25230167321,25118694579,24923337819,24865758543,24702592424,24608917055,24568349229,24416759100,24109794407,23959412506,23954227492,23927618372,23763650239,23534824013,23380588391,23324336024,22896998233,22424966828,22186096841,22033382019,21777831142,21724575129,21702406819,21456217430,21316979471,20760225455,19902629464,18721815249,18533688456,17621250868,17075715756,16834496406,1248775308605,16834496406,31922668821,24485790365,24568349229,3563873105,24738756604
CESM1-BGC,35361672522,32373901598,31849268445,30914097464,27947888398,27457000684,27239350473,26880584174,26749437171,26628984676,26398493019,26035771863,25774324255,25429852679,25163222340,24805497510,24682259383,24383482234,24358708045,24332956023,24139409418,23856911803,23832525889,23357459808,23158648079,22947092339,22859530719,21440765361,21375540764,21267332111,21250809685,21035668479,20618899310,20562008829,20556290212,20131060757,20005107552,19902629464,19864505989,19560805759,19449044608,19417106638,18898731789,18690682734,18628531080,17567846118,17107994797,15992839968,15785993044,15636320609,15268224264,1168933070933,15268224264,35361672522,22920256293,22947092339,4426792419,23335603586
CESM1-CAM5,31300357757,31077220126,30353628428,30332446321,29460746013,29317436093,28999935060,28446103917,28375238416,27552734880,27319782480,27268321795,26921733831,26620061861,26486334840,25727178024,25289702023,25234640769,24673122080,24278280245,24272175536,23821792856,23742898755,23722902527,23411434492,23345326310,22636020137,22362005903,22159529124,21882953431,21154553547,20803994014,20484039216,20466892927,20371480995,20114674207,20100241966,19991960138,19902629464,19902425586,19646972897,19627070396,19568813123,19517494511,18828897212,18746926776,18131960193,18030714646,16892111114,16571224215,13012914484,1188260035658,13012914484,31300357757,23299216385,23345326310,4293599512,23683897703
CMCC-CM,30742384695,30708767562,29993274909,29944276812,29214748330,29097937621,28670296531,28634897622,28548411843,28329131305,28285084636,27788634976,27653909126,27568766527,27535280169,27531079717,27259550030,27246586332,27104681988,26804643552,26734662683,26629813601,26591182262,26557275970,26398390468,26225514664,25878806825,25734372001,25722985287,25387157551,24871303912,24347533435,24331238685,24048816488,23904537643,23738337455,23620308258,23587819217,23490365247,23465138366,23075896003,22999645407,22785758536,22500450561,22475846940,22456710568,21799915296,21518860578,21042274357,20117586180,19902629464,1310603478194,19902629464,30742384695,25698107416,26225514664,2780672673,25845178557
CMCC-CMS,33238620571,32297104302,31409829684,30957185023,30078816887,28944259938,28927866763,28225638318,28130935467,27952042526,27818352575,27591632598,27542241785,27358298767,27104664271,27086060077,27002991140,26984394350,26657208524,26411572441,26312852375,26276471924,25945100829,25866419926,25746868745,25728313844,25307909860,25214584261,24867434461,24452502302,23849334182,23735973081,23673082481,23306750643,23070209113,22327058112,22264631895,22152784851,22075469451,21718868387,21700030607,21302418559,21166728196,21134417248,20988976934,19902629464,19003540569,18860790727,17879940792,17292824020,16392828543,1271237462393,16392828543,33238620571,24926224753,25728313844,3860675643,25217637589
CNRM-CM5,27999043482,24912624042,23829423887,23748084803,22925671110,22896109448,22881287013,22664231348,22587312919,22268915802,22095919468,21743440130,21422054157,21387003107,21286145674,21270111777,21197083813,20642849299,20624132590,20570345578,20507328349,20471048843,20384810410,20283036199,20067357869,19902629464,19894985863,19655266075,19352920162,19145644179,19112045425,18953333622,18941006429,18928734149,18841679382,18170337395,17909220271,17809167968,17751707270,17091780619,17031461405,16737243040,16529978196,16389311035,16281279305,16244968680,16177792150,15714769244,15130277712,13453773455,11603550683,1003420234294,11603550683,27999043482,19674906555,19902629464,2996226053,19897318704
