Supply Delivered
"Selected Sources (48/780), Annual Total"
Cubic Meter
GFDL-CM3,33581611876,33388249820,31745399663,31467371148,31172341472,31084022430,31022749811,29714953439,29470896865,29104146329,28837133926,28768778348,28181551285,28031571560,27588354078,27219196780,27037581835,26985013098,26877592627,26355376895,26323974686,26276870179,26266400493,25827601678,25535934796,25295661537,25194189590,25130487266,24917818288,24889008152,23975819409,23954098642,23707536778,23621666769,23548232660,23524376520,23081828440,22438389983,22365261371,22225776550,22178709677,20614247501,20062866245,20005110561,19902629464,19759576834,19723825109,18922069888,18099920909,17457175286,15049666042,1287510624588,15049666042,33581611876,25245306364,25295661537,4269168615,25596756151
GFDL-ESM2M,33372412442,32060376607,31501826797,30416716018,30252375977,29028394571,28969361181,28912379617,28785483440,28415925844,28390717535,28325682163,28299218993,28028174198,27913135570,27085382728,26783281113,26747250213,26557183536,26320022380,26248587173,26244500512,25206436986,24618056068,24499269603,23973917543,23879580867,23367349050,23341182998,23071097716,22873103704,22698862984,21850930173,21843777464,21429221781,21262195704,21096866846,20684278361,20213492619,19988251480,19902629464,19757508351,19294280986,18781116192,18109309934,17809983067,17171092854,16930496855,16326000069,16117770162,15820022721,1230576471213,15820022721,33372412442,24128950416,23973917543,4607769567,24556495757
HadGEM2-CC,34300956824,32734472759,30683988051,30336826559,29308295106,28920096651,28839591842,28757134390,28246345504,28146030456,27461417540,27454293534,27244099087,27195602522,27170742693,26935907294,26920649500,26536828142,25929499291,25753679398,25395022239,25361346039,25194485003,25166375643,24759977276,24742127079,24621894775,24590939126,24273955393,24133217606,23828221042,23605425293,23531931312,23193850365,23162896373,22946061876,22702369540,22401416455,22077426267,21827261643,21718174995,21528883305,21484502871,20476725207,20445842530,19907427243,19902629464,19609150267,19414999576,19071604982,18141866033,1268094463961,18141866033,34300956824,24864597333,24742127079,3597363786,25118429113
HadGEM2-ES,34705533290,33940475541,33601349281,33331149693,32720392236,32523734021,32461367141,31093835709,30863278774,30216040513,29690147476,29247663404,29173183263,29016885307,28834562267,27648540236,27480072752,27405198688,27360977192,26836364702,26402331733,25237592249,25196379850,25062077840,25060407685,24796479188,24390427094,24226218846,24031560977,23925367846,23649006002,23250372749,22586262858,22546609201,22373622019,22089706319,21804916322,21529476178,21266995898,21120757794,20968360826,20825342935,20822851145,20662826116,19902629464,19302854694,18938309274,18590695291,18078646301,17638717637,14898707227,1289327261043,14898707227,34705533290,25280926687,24796479188,4897214549,25741750431
MIROC5,33100174575,32438248124,31510718934,31470913235,31336869001,31128988833,30817994733,30744350090,30573578275,30376480185,29046305777,28884316346,28482962479,27433626869,27283162731,27190786258,26907295933,26758173195,26517460751,26390627429,26334041850,26281953696,26219476981,25195132335,25167497283,24991491683,24914032476,24497572219,24387158049,24340051542,24247229633,23763605619,23502354854,23409274039,23124798011,23094877215,22988707647,22849505695,22791931886,22383380220,21979524354,21755165759,21133380788,20497475097,20085297114,19902629464,19619443511,18630987979,17912722975,15705859663,13467556334,1283567149726,13467556334,33100174575,25167983328,24991491683,4389495297,25540502272
MPI-ESM-LR,31424013856,31078447641,30621217339,29930789313,29835271411,29521447175,29218562481,28525332986,27746269156,27243858831,26739326344,26502248114,26312823580,26204231306,26010480033,26007456965,25995453841,25964960225,25934119118,25750466874,25583839506,25539936620,25291935941,25261849845,25033159831,24927408191,24826955662,24440778811,24213721596,24207710774,23947364327,23762840047,23707655261,23690641885,23526601240,22938351658,21376710184,20718305003,20453029903,20306673725,19902629464,19848329796,19677579034,19345028211,19184445575,18951746547,18763039812,18477056881,17870002359,17761582644,16711386681,1236815073605,16711386681,31424013856,24251275953,24927408191,3825211924,24545258704
RefLOCA,29351173923,27386135551,27103838647,26932191284,26569150280,26557745902,25976487173,25598190474,25507715986,25126556938,25115750925,24834836869,24714822433,24545352069,24473826239,24343841326,24256862624,24208655475,24152783414,23942092566,23821170931,23492303845,23391982446,23186810212,22210953987,22051257734,21955267137,21511416371,21082607441,19902629464,19644212404,19507030441,19464248966,19109310737,18750938319,18321821314,18046851518,17691549464,17617516987,17309770720,17244780608,17085553132,17006746711,16623002473,16524918941,16390809800,14520369564,14166275124,13919491558,11618984040,9681595906,1083550188391,9681595906,29351173923,21246082125,22051257734,4479115299,21704034134
Min,27999043482,24912624042,23829423887,23748084803,22925671110,22896109448,22881287013,22664231348,22587312919,22268915802,22095919468,21743440130,21422054157,21387003107,21286145674,21270111777,21197083813,20642849299,20624132590,20570345578,20507328349,20471048843,20384810410,20283036199,20067357869,19902629464,19894985863,19655266075,19352920162,19145644179,19112045425,18953333622,18941006429,18928734149,18750938319,18170337395,17909220271,17691549464,17617516987,17091780619,17031461405,16737243040,16529978196,16389311035,16281279305,16244968680,14520369564,14166275124,13919491558,11618984040,9681595906,0,0,0,0,0,0,0
Max,36684101223,35817034746,35402055029,34666661367,34150411977,33070202314,32461367141,31970041052,31951058414,31905236755,31348496493,30898433606,30827728002,30717455929,30595443797,30536486157,30330386637,30189591794,29470450641,29275580200,29076195945,28516741449,28079015127,28069196836,27685698736,26542726125,26360345746,25755038466,25722985287,25596253810,25461036414,24807317238,24733039021,24704642193,24692844060,24524398807,24076297837,24021303969,23897226736,23735028556,23253322045,22999645407,22785758536,22500450561,22475846940,22456710568,21799915296,21518860578,21042274357,20117586180,19902629464,0,0,0,0,0,0,0
Mean,32557141889,31473113923,30683630718,30280926820,29591882692,29207555242,28939399688,28494052524,28283123372,27996298037,27651673347,27411283863,27151938668,26923069027,26745971685,26465385183,26304834191,26135415532,25878927372,25639980652,25505755226,25256243165,25055580201,24824074934,24583919069,24367956260,24107476403,23721570351,23535671846,23330062887,23026737459,22765706098,22516829030,22391779720,22208837666,21895641200,21604990557,21345406389,21124552815,20899956687,20711061691,20401977640,20088173094,19786187937,19451118081,19060026470,18560012332,17999781618,17423904772,16604903568,15277403467,0,0,0,0,0,0,0
Median,32917926664,31697332932,30695514235,30334636440,29648008712,29068144988,28948613972,28618980984,28365301845,28126661295,27815868583,27571177069,27393170436,27276950645,27137703482,27010645011,26845288523,26592926324,26084079648,25993757416,25910898308,25464837915,25201408418,25114226742,24896568554,24769303133,24519326937,24333498829,24122641287,24043722549,23838777612,23670699187,23517143083,23250300504,23097503562,22612028173,22034774108,21841130514,21650188958,21419813091,21334195717,20719795218,20400110641,20240917884,19902629464,19531215764,18850674543,18505372668,17745626613,16823469985,15544123493,0,0,0,0,0,0,0
SD,2233294933,2504355577,2527375239,2406540792,2498498006,2365101668,2324483435,2187230530,2166242985,2186597874,2046404051,2044622594,2066666313,2036435893,2017973390,1948857585,1923722148,1995069157,1889901207,1840111651,1813971612,1772917012,1698745335,1698710381,1754510457,1663798709,1654177847,1777273686,1818330435,1934802838,1886161072,1835435882,1829497632,1818108295,1879468067,1967134286,1918018939,1933273651,1846611665,1909854849,1853720889,1737098239,1664559885,1638259522,1663781313,1632513868,1796385891,1862451799,1834324964,2125680703,2601259408,0,0,0,0,0,0,0
RMS,32628873239,31566385754,30781058998,30370446206,29690602180,29297190692,29026787216,28572644401,28360789627,28076237077,27722573344,27482679718,27225575085,26995175959,26817246399,26532570190,26370698029,26206706721,25943542079,25701809140,25566157061,25314513650,25109509681,24878504019,24642544299,24421148710,24160623002,23783905962,23601430666,23405156055,23099045248,22834965458,22586399886,22460870908,22283269412,21978327274,21684660219,21427326577,21200084501,20981605359,20788688990,20471189695,20152724019,19849669618,19517713809,19125457948,18641335048,18089888601,17514191640,16731973391,15483626765,0,0,0,0,0,0,0
