# Supply Delivered
# "Scenario: CESM1-BGC, Selected Sources (48/780), All months (12)"
$Unit = Cubic Meter
"$ListSeparator = ,"
"$DecimalSymbol = ."
$Columns = Year, Timestep, "AZ_APS_E_Upr Salt[Cubic Meter]", "AZ_APS_SW_Lwr Colorado[Cubic Meter]", "AZ_APS_SW_Lwr Gila[Cubic Meter]", "AZ_NM_N_San Juan[Cubic Meter]", "AZ_SE_Middle Gila[Cubic Meter]", "AZ_SE_Upr Gila[Cubic Meter]", "CA_LADWP_San Diego Creek[Cubic Meter]", "CA_PGE_BAY_Coyote[Cubic Meter]", "CA_PGE_CEN_Lwr Salinas[Cubic Meter]", "CA_PGE_CEN_Pajaro[Cubic Meter]", "CA_PGE_CEN_San Jo and Tulare[Cubic Meter]", "CA_PGE_CEN_San Jo Valley[Cubic Meter]", "CA_PGE_N_Feather[Cubic Meter]", "CA_PGE_N_Sacramento[Cubic Meter]", "CA_PGE_S_Tulare[Cubic Meter]", "CA_PGE_S_Upr Salinas[Cubic Meter]", "CA_SCE_CEN_Santa Clara[Cubic Meter]", "CA_SDGE_San Dieguito[Cubic Meter]", "CA_SDGE_St Vincent[Cubic Meter]", "CA_SDGE_Sweetwater[Cubic Meter]", "CO_DEN_Big Thompson[Cubic Meter]", "CO_DEN_Boulder[Cubic Meter]", "CO_DEN_Clear Creek[Cubic Meter]", "CO_DEN_South Platte[Cubic Meter]", "CO_E_Arkansas[Cubic Meter]", "CO_E_Lwr South Platte[Cubic Meter]", "CO_NW_Upper Colorado[Cubic Meter]", "CO_SW_Alamosa[Cubic Meter]", "CO_SW_Canjeos[Cubic Meter]", "CO_SW_Upr Rio Grande[Cubic Meter]", "ID_E_Lwr Bear[Cubic Meter]", "ID_E_Middle Bear[Cubic Meter]", "ID_E_Middle Snake[Cubic Meter]", "ID_S_OR_E_Boise[Cubic Meter]", "ID_S_OR_E_Lower Snake[Cubic Meter]", "ID_S_OR_E_Middle Frk Snake[Cubic Meter]", "ID_S_OR_E_Snake[Cubic Meter]", "ID_S_OR_E_South Western Snake[Cubic Meter]", "MT_NE_Missouri[Cubic Meter]", "MT_NW_Upr S Fork Flathead[Cubic Meter]", "MT_SE_LwrMid Yellowstone[Cubic Meter]", "MT_SE_Middle Yellowstone[Cubic Meter]", "MT_SW_Upper MissouriAg[Cubic Meter]", "NM_N_Middle Rio Grande[Cubic Meter]", "NM_S_TX_EPE_Rio Grande[Cubic Meter]", "OR_E_Headwaters Klamath[Cubic Meter]", "OR_E_Lost[Cubic Meter]", "OR_E_South Klamath[Cubic Meter]", "OR_E_West Lost[Cubic Meter]", "OR_PDX_LwrClackamas[Cubic Meter]", "OR_W_Upr Williamette[Cubic Meter]", "OR_W_Willamette[Cubic Meter]", "OR_WA_BPA_Central Columbia[Cubic Meter]", "OR_WA_BPA_Deschutes[Cubic Meter]", "OR_WA_BPA_Lwr Columbia[Cubic Meter]", "OR_WA_BPA_Yakima[Cubic Meter]", "UT_N_Bear[Cubic Meter]", "WA_ID_AVA_Clearwater[Cubic Meter]", "WA_N_CEN_ChelanAg[Cubic Meter]", "WA_N_CEN_Interior Coulee[Cubic Meter]", "WA_N_CEN_Lwr Middle Columbia[Cubic Meter]", "WA_N_CEN_Lwr Middle Columbia 2[Cubic Meter]", "WA_N_CEN_OkanoganAg[Cubic Meter]", "WY_NW_Middle Wind[Cubic Meter]", "WY_NW_ShoshoneAg[Cubic Meter]", "WY_SE_North Fork Platte[Cubic Meter]", "WY_SW_Upper GreenAg[Cubic Meter]", "Sum[Cubic Meter]", "Min[Cubic Meter]", "Max[Cubic Meter]", "Mean[Cubic Meter]", "Median[Cubic Meter]", "SD[Cubic Meter]", "RMS[Cubic Meter]"
2010, 11, 8815.21, 129600000, 24450383, 0, 3608071, 3661892, 23761.2, 2393267, 22246000, 23393060, 262955709, 381076361, 0, 0, 393505000, 0, 220426, 112090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1247254836, 0, 393505000, 18615744, 0, 74311060, 76067468
2010, 12, 7653.45, 133920000, 31023959, 0, 65.949, 141.45, 54.813, 1850897, 18009000, 16921786, 228176275, 354279536, 0, 0, 374537283, 0, 0, 67.8306, 0, 0, 0, 0, 347623, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1159074342, 0, 374537283, 17299617, 0, 69338466, 70960137
2011, 1, 3615.86, 133920000, 29934016, 0, 768.565, 510.633, 0, 0, 0, 0, 0, 156440000, 0, 0, 144430000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 464728911, 0, 156440000, 6936252, 0, 30386558, 30946297
2011, 2, 9491.42, 120960000, 0, 0, 254.407, 143.015, 0, 0, 0, 0, 0, 122380000, 0, 0, 192960000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 436309889, 0, 192960000, 6512088, 0, 31140070, 31585408
2011, 3, 15436.2, 133920000, 10905767, 0, 992.68, 262.92, 0, 0, 0, 732870, 0, 131603812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2678400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 279857541, 0, 133920000, 4176978, 0, 22767540, 22979802
2011, 4, 15796.6, 129600000, 33033906, 235.867, 598.384, 147.847, 28.5223, 63.937, 2397278, 12017176, 8736.97, 193170332, 0, 0, 0, 0, 0, 42.6967, 772.762, 387.912, 3589865, 5080302, 448143, 32597475, 2588738, 111203081, 0, 0, 0, 47882763, 0, 0, 18765412, 0, 0, 10661932, 0, 59159350, 0, 0, 0, 2797.03, 18784061, 70067665, 959.876, 0, 8791606, 3.00355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129600000, 8931115, 174.683, 40.6251, 898400985, 0, 193170332, 13408970, 28.5223, 35940600, 38108368
2011, 5, 22466, 133920000, 43738675, 931.284, 3651950, 3355572, 180625, 540.663, 17216000, 20174611, 28585.3, 299303610, 0, 0, 208078976, 0, 4772858, 943944, 5999658, 1166945, 2112526, 4890973, 0, 28600174, 2669774, 83619979, 240.292, 0, 0, 24733251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63263783, 78.4723, 0, 17439688, 16878893, 4815241, 0, 0, 0, 0, 0, 0, 0, 923029, 0, 0, 0, 0, 0, 0, 49250046, 10389247, 0, 0, 1052142871, 0, 299303610, 15703625, 0, 48084547, 50241598
2011, 6, 26629.3, 129600000, 50884857, 8522.87, 9464043, 9466385, 717694, 901.041, 26385000, 29060000, 306355990, 323087445, 0, 0, 388300000, 0, 22498085, 4489579, 27252092, 5626567, 5362212, 9310602, 0, 43025049, 2592000, 127328767, 178.513, 0.136241, 0, 105744575, 0, 0, 4566.33, 0, 0, 5229.63, 0, 2455.34, 42366554, 365.976, 0, 6818.9, 13611136, 97699376, 439.154, 0, 17579806, 43872143, 12277161, 0, 0, 0, 0, 0, 0, 0, 35142000, 0, 88.259, 8695.38, 0, 0, 0, 129600000, 14694386, 308.547, 618.915, 2033459325, 0, 388300000, 30350139, 5229.63, 74998164, 80385972
2011, 7, 25589.5, 133920000, 52970670, 2581.87, 8415306, 7959828, 388830, 3307218, 34144000, 37121000, 377530265, 411626922, 0, 72636027, 507651710, 13998402, 11869869, 2256380, 11521540, 2428941, 5844036, 8725875, 0, 41064495, 2678400, 123869968, 379.341, 0.839958, 0, 81041662, 31072726, 4053039, 55266723, 9945.15, 76880872, 20347870, 0, 128855896, 62943675, 808.887, 0, 9118.39, 31577793, 82279167, 311.223, 0, 21983223, 69921203, 16874732, 0, 0, 0, 0, 0, 0, 0, 51217873, 0, 24.223, 4067.51, 0, 0, 0, 133920000, 13471465, 18777220, 541.23, 2772468189, 0, 507651710, 41380122, 4053039, 93200264, 101335866
2011, 8, 22542.7, 133920000, 56057829, 3796.22, 6933569, 6650038, 6.5865, 4362997, 38304000, 40839000, 401930169, 468409585, 2337.75, 133920000, 575995265, 31354106, 13.8514, 199.254, 895.254, 151.895, 6277299, 9431271, 775356, 47049846, 2670750, 142502820, 814.313, 0.581069, 0, 61898565, 32290317, 4205128, 85165837, 15231657, 133920000, 31988264, 109055044, 133920000, 82068132, 936.542, 0, 1223.52, 50002179, 64148361, 309.787, 0, 22262119, 76601654, 15824333, 0, 0, 0, 0, 0, 0, 0, 44541188, 0, 0, 23706190, 0, 0, 0, 133920000, 13277342, 26089151, 615.155, 3267533204, 0, 575995265, 48769152, 6277299, 104572218, 114675912
