Hydropower Generation
Annual Total
Gigawatt-Hour
Scenario,2%,4%,6%,8%,10%,12%,13%,15%,17%,19%,21%,23%,25%,27%,29%,31%,33%,35%,37%,38%,40%,42%,44%,46%,48%,50%,52%,54%,56%,58%,60%,62%,63%,65%,67%,69%,71%,73%,75%,77%,79%,81%,83%,85%,87%,88%,90%,92%,94%,96%,98%,Sum,Min,Max,Mean,Median,SD,RMS
ACCESS-1.0,175726,170480,168542,168334,167859,167170,164275,162758,162280,158642,158037,157967,157489,157080,156366,155385,154087,154044,151717,148851,146786,146783,144386,143641,143345,142089,141608,141145,139272,138807,134304,133885,133171,132137,131828,131509,131142,130115,129568,128998,128949,128764,127605,126757,125397,124765,123701,123480,122239,119299,114150,7326714,114150,175726,143661,142089,16005.7,144533
bcc-csm1-1,191905,187324,177707,174272,171113,170846,170123,169862,167617,167187,166609,165684,164130,163838,162805,162467,160559,159063,157951,156429,155919,155678,155559,154650,153430,153398,152866,151232,150802,150211,149923,148213,147929,147798,144902,144878,143866,143764,143580,143339,142204,142190,142089,141244,140786,136818,134757,134374,129908,129714,121434,7854944,121434,191905,154019,153398,14495.5,154686
CanESM,188942,187584,184586,184444,181820,180152,179539,178519,178507,176974,175942,175440,174533,174330,173906,172070,171387,170045,167135,166770,164143,162550,161959,160546,159776,158420,158080,156568,156115,152215,151999,150443,149833,149387,149128,148893,148362,147715,147094,145459,144600,143999,143811,142089,139622,139523,138229,137993,137907,134084,127577,8150742,127577,188942,159818,158420,16180.6,160620
CCSM,188352,187318,183321,182969,182201,181417,175789,175095,174019,173869,172489,168229,165260,164794,160226,158316,157085,156174,155454,154920,154434,153611,152099,151151,149448,148954,148803,148544,146733,145432,145430,144952,144218,144169,143211,143180,142089,140898,140785,139750,139516,139373,138109,134918,130466,126544,119719,118595,118432,114830,112512,7738203,112512,188352,151729,148954,19319.2,152931
CESM1-BGC,193854,192873,182396,181480,178197,170960,170690,166250,165500,163877,163503,163006,161852,161591,161541,161484,160736,158003,157791,156911,155428,155337,154091,153899,153561,152698,152615,152510,152318,151564,151119,150337,148813,148150,147186,144543,144372,144143,143603,143231,143161,142280,142089,142004,141764,140568,140420,139253,128573,128427,128091,7888641,128091,193854,154679,152698,14527.5,155347
CESM1-CAM5,194355,194018,183690,181752,179568,179231,178441,177112,175696,175149,174414,174244,172893,172062,171034,170920,170222,169390,169201,168168,164722,164190,163580,162173,161556,160965,160225,158717,154622,154442,153864,152345,151436,150863,150560,149615,149138,148189,147505,145858,144354,142089,141902,141552,141438,138476,133034,129560,128604,127546,125787,8130470,125787,194355,159421,160965,17096.3,160317
CMCC-CM,196580,195460,193273,183052,181449,181257,180550,180099,178197,177413,176186,175459,174878,174781,174110,173653,172351,170499,170207,170047,169851,168411,167698,167609,167384,167269,167255,166809,165694,164859,164087,163089,161848,159806,158915,158810,158145,157815,157109,155536,154377,152994,151753,151636,151225,150537,149053,148943,146561,146229,142089,8492895,142089,196580,166527,167269,12776.8,167007
CMCC-CMS,198149,191865,191338,186307,184766,182555,181535,181385,179752,179198,178510,178476,176829,176792,175419,175218,174342,173974,173935,173697,173570,173291,172838,171989,169217,168835,168280,167086,164610,164166,163732,162139,162113,159857,159792,159301,157858,157604,157093,156835,156320,156170,153644,151899,150588,149879,149183,145525,142089,142078,136600,8538223,136600,198149,167416,168835,13803.2,167973
CNRM-CM5,185160,183254,179572,178913,178722,178326,177236,176221,176168,173741,173122,172671,172382,172101,170896,170863,170744,170712,170301,167959,166835,166495,165825,164924,164843,164628,164480,164405,164323,164226,162950,162751,162122,161470,160696,160680,160526,160500,160244,158663,158608,157466,152082,150457,149443,147462,147444,146600,146555,142194,142089,8401051,142089,185160,164726,164628,10603.6,165061
