# Electricity Use
# "Scenario: GFDL-CM3, All months (12)"
$Unit = Gigawatt-Hour
"$ListSeparator = ,"
"$DecimalSymbol = ."
$Columns = Year, Timestep, "Return Flow from IN_AZ_APS_E to Salt River[Gigawatt-Hour]", "Return Flow from IN_AZ_APS_N to Verde River[Gigawatt-Hour]", "Return Flow from IN_AZ_APS_SW to AZ_APS_SW_GW[Gigawatt-Hour]", "Return Flow from IN_AZ_APS_SW to Colorado River[Gigawatt-Hour]", "Return Flow from IN_AZ_NM_N to San Juan River[Gigawatt-Hour]", "Return Flow from IN_AZ_NW to Colorado River[Gigawatt-Hour]", "Return Flow from IN_AZ_PHX to AZ_PHX_GW[Gigawatt-Hour]", "Return Flow from IN_AZ_PHX to Verde River[Gigawatt-Hour]", "Return Flow from IN_AZ_SE to CAP[Gigawatt-Hour]", "Return Flow from IN_CA_IID to Salton Sea River[Gigawatt-Hour]", "Return Flow from IN_CA_LADWP to CA_LADWP_GW[Gigawatt-Hour]", "Return Flow from IN_CA_LADWP to CoastalLA River[Gigawatt-Hour]", "Return Flow from IN_CA_PGE_BAY to San Joaquin Pipeline[Gigawatt-Hour]", "Return Flow from IN_CA_PGE_CEN to Kings River[Gigawatt-Hour]", "Return Flow from IN_CA_PGE_N to Sacramento River[Gigawatt-Hour]", "Return Flow from IN_CA_PGE_S to Salinas River[Gigawatt-Hour]", "Return Flow from IN_CA_SCE_CEN to CA_SCE_CEN_GW[Gigawatt-Hour]", "Return Flow from IN_CA_SCE_CEN to Santa Clara River[Gigawatt-Hour]", "Return Flow from IN_CA_SCE_S to CA_SCE_S_GW[Gigawatt-Hour]", "Return Flow from IN_CA_SCE_S to San Diego Creek[Gigawatt-Hour]", "Return Flow from IN_CA_SCE_SE to CA_SCE_SE_GW[Gigawatt-Hour]", "Return Flow from IN_CA_SCE_SE to Colorado River[Gigawatt-Hour]", "Return Flow from IN_CA_SCE_VLY to North Fork Kern[Gigawatt-Hour]", "Return Flow from IN_CA_SDGE to CA_SDGE_GW[Gigawatt-Hour]", "Return Flow from IN_CA_SDGE to Sweetwater River[Gigawatt-Hour]", "Return Flow from IN_CA_SMUD to Sacramento River[Gigawatt-Hour]", "Return Flow from IN_CO_DEN to South Platte River[Gigawatt-Hour]", "Return Flow from IN_CO_E to Arkansas River[Gigawatt-Hour]", "Return Flow from IN_CO_E to South Platte River[Gigawatt-Hour]", "Return Flow from IN_CO_NW to Upper Colorado[Gigawatt-Hour]", "Return Flow from IN_CO_SW to Rio Grande River[Gigawatt-Hour]", "Return Flow from IN_ID_E to Snake River[Gigawatt-Hour]", "Return Flow from IN_ID_S_OR_E to Snake River[Gigawatt-Hour]", "Return Flow from IN_MT_NE to Missouri River[Gigawatt-Hour]", "Return Flow from IN_MT_NW to Clark Fork and Pend Oreille[Gigawatt-Hour]", "Return Flow from IN_MT_SE to Yellowstone River[Gigawatt-Hour]", "Return Flow from IN_MT_SW to Missouri River[Gigawatt-Hour]", "Return Flow from IN_NM_N to Rio Grande River[Gigawatt-Hour]", "Return Flow from IN_NM_S_TX_EPE to Rio Grande River[Gigawatt-Hour]", "Return Flow from IN_NV_N to Trukee River[Gigawatt-Hour]", "Return Flow from IN_NV_S to Colorado River[Gigawatt-Hour]", "Return Flow from IN_OR_E to Deschutes River[Gigawatt-Hour]", "Return Flow from IN_OR_PDX to Columbia River[Gigawatt-Hour]", "Return Flow from IN_OR_W to Middle Santiam River[Gigawatt-Hour]", "Return Flow from IN_OR_WA_BPA to Columbia River[Gigawatt-Hour]", "Return Flow from IN_UT_N to Bear[Gigawatt-Hour]", "Return Flow from IN_UT_S to Colorado River[Gigawatt-Hour]", "Return Flow from IN_WA_ID_AVA to Spokane River[Gigawatt-Hour]", "Return Flow from IN_WA_N_CEN to Columbia River[Gigawatt-Hour]", "Return Flow from IN_WA_SEATAC to Cedar River[Gigawatt-Hour]", "Return Flow from IN_WA_W to Skagit[Gigawatt-Hour]", "Return Flow from IN_WY_NE to North Fork Platte River[Gigawatt-Hour]", "Return Flow from IN_WY_NW to Shoshone River[Gigawatt-Hour]", "Return Flow from IN_WY_SE to North Fork Platte River[Gigawatt-Hour]", "Return Flow from IN_WY_SW to Colorado River[Gigawatt-Hour]", "Return Flow from WCAN_ALB to Flathead River[Gigawatt-Hour]", "Return Flow from WCAN_BC to Kettle River[Gigawatt-Hour]", "Return Flow from WMEX_BAJA to Colorado River[Gigawatt-Hour]", Sum[Gigawatt-Hour], Min[Gigawatt-Hour], Max[Gigawatt-Hour], Mean[Gigawatt-Hour], Median[Gigawatt-Hour], SD[Gigawatt-Hour], RMS[Gigawatt-Hour]
2010, 11, 2.26854, 4.32773, 0.411108, 1.23332, 4.56524, 1.12496, 5.97818, 12.1375, 8.97915, 3.62093, 2.18598, 19.6738, 30.4116, 32.9689, 38.6531, 9.8092, 2.5429, 14.4097, 6.57371, 59.1634, 0.0159536, 0.143582, 4.72692, 2.58543, 14.6508, 14.2813, 21.8236, 3.16716, 3.16716, 7.10022, 5.22754, 6.47808, 18.4602, 1.26917, 3.7449, 5.54694, 0.0766026, 8.0516, 7.85619, 17.2624, 16.5272, 3.08514, 18.3172, 30.6262, 12.0691, 20.7563, 6.50407, 17.0496, 3.91941, 16.047, 24.076, 5.66345, 0.938523, 7.79881, 1.9491, 9.7788, 12.3315, 0, 614.112, 0, 59.1634, 10.5881, 6.53889, 11.1706, 15.3212
2010, 12, 2.21454, 4.22677, 0.406692, 1.22008, 4.45639, 1.09818, 5.7852, 11.7457, 8.77304, 3.54116, 2.18789, 19.691, 30.0894, 32.3917, 37.9831, 9.58836, 2.50401, 14.1894, 6.46949, 58.2254, 0.0155738, 0.140164, 4.6363, 2.54348, 14.4131, 14.1831, 20.8257, 3.09177, 3.09177, 6.934, 5.10309, 6.32386, 18.0208, 1.23895, 3.65574, 5.41489, 0.0588005, 7.85991, 7.66916, 16.8515, 16.4504, 3.01169, 17.8811, 29.8971, 11.7916, 20.2622, 6.34923, 16.6438, 3.83024, 15.665, 23.5028, 5.52862, 0.91618, 7.61314, 1.9027, 9.546, 12.0379, 0, 601.689, 0, 58.2254, 10.3739, 6.40936, 10.9744, 15.0327
2011, 1, 2.16053, 4.12369, 0.400685, 1.20205, 4.34789, 1.0714, 5.64813, 11.4674, 8.61328, 3.45628, 2.10932, 18.9838, 29.3032, 31.6018, 37.0568, 9.34923, 2.43351, 13.7899, 6.29186, 56.6268, 0.015194, 0.136746, 4.51444, 2.4721, 14.0086, 13.8372, 20.6869, 3.01637, 3.01637, 6.76501, 4.97864, 6.16964, 17.5813, 1.20874, 3.56659, 5.28283, 0.0595489, 7.66823, 7.48213, 16.4405, 16.0492, 2.93824, 17.445, 29.168, 11.4997, 19.768, 6.19439, 16.2379, 3.73363, 15.283, 22.9296, 5.3938, 0.893837, 7.42748, 1.8563, 9.3132, 11.7444, 0, 586.82, 0, 56.6268, 10.1176, 6.24313, 10.6941, 14.6546
2011, 2, 2.16204, 4.16359, 0.405236, 1.21571, 4.33035, 1.0775, 5.75446, 11.6833, 8.67171, 3.49595, 2.11956, 19.076, 29.6201, 31.8874, 37.3031, 9.43161, 2.44989, 13.8827, 6.35967, 57.2371, 0.0154096, 0.138686, 4.55186, 2.50349, 14.1864, 13.9987, 20.224, 3.0474, 3.0474, 6.79296, 4.99731, 6.19842, 17.8197, 1.21099, 3.59301, 5.33914, 0.0684165, 7.68979, 7.52973, 16.5716, 16.3093, 2.97246, 17.7073, 29.3434, 11.6136, 20.1121, 6.27037, 16.3714, 3.76776, 15.5493, 23.1479, 5.45043, 0.896276, 7.48852, 1.85801, 9.53524, 11.8647, 0, 592.109, 0, 57.2371, 10.2088, 6.31502, 10.7899, 14.7863
2011, 3, 2.19807, 4.231, 0.412972, 1.23892, 4.40308, 1.09545, 5.94094, 12.0619, 8.80061, 3.55524, 2.20718, 19.8646, 30.1805, 32.4188, 37.9247, 9.59073, 2.5027, 14.182, 6.49083, 58.4175, 0.0156664, 0.140997, 4.6281, 2.55646, 14.4866, 14.232, 19.4995, 3.09818, 3.09818, 6.90766, 5.08059, 6.30171, 18.1166, 1.23117, 3.65288, 5.42812, 0.0615432, 7.81794, 7.65521, 16.638, 16.3874, 3.02199, 18.0024, 29.8324, 11.8086, 20.4473, 6.37486, 16.6442, 3.8384, 15.8084, 23.5336, 5.54126, 0.911212, 7.61332, 1.88898, 9.69414, 12.0624, 0, 601.776, 0, 58.4175, 10.3754, 6.43285, 10.9753, 15.0343
2011, 4, 2.2341, 4.30236, 0.408668, 1.22601, 4.47504, 1.11341, 5.94448, 12.0691, 8.87595, 3.60561, 2.17829, 19.6046, 30.405, 32.7586, 38.3254, 9.73943, 2.52898, 14.3309, 6.54651, 58.9185, 0.0159231, 0.143308, 4.68588, 2.58076, 14.6243, 14.2519, 22.0073, 3.14897, 3.14897, 7.02518, 5.16387, 6.40501, 18.4136, 1.25136, 3.71276, 5.51709, 0.129665, 7.94609, 7.78069, 17.1239, 16.8528, 3.07153, 18.2975, 30.3214, 12.0016, 20.7825, 6.47936, 16.9171, 3.90158, 16.0676, 23.9193, 5.63209, 0.926148, 7.73811, 1.91994, 9.85304, 12.2601, 0, 611.609, 0, 58.9185, 10.545, 6.51293, 11.1258, 15.2593
2011, 5, 2.27013, 4.37174, 0.403426, 1.21028, 4.54505, 1.13137, 5.94822, 12.0767, 8.95145, 3.65898, 2.20429, 19.8386, 30.9903, 33.3265, 39.014, 9.89541, 2.56439, 14.5315, 6.64237, 59.7813, 0.0161799, 0.145619, 4.75911, 2.62148, 14.855, 14.5498, 22.2288, 3.19975, 3.19975, 7.13523, 5.24715, 6.5083, 18.7105, 1.27154, 3.77263, 5.60606, 2.94995, 8.07424, 7.90617, 17.4001, 16.716, 3.12106, 18.5926, 30.8104, 12.1862, 21.1176, 6.58385, 17.1899, 3.9645, 16.3267, 24.3051, 5.72292, 0.941084, 7.8629, 1.9509, 10.0119, 12.4578, 0, 623.375, 0, 59.7813, 10.7478, 6.61311, 11.2599, 15.4957
2011, 6, 2.32418, 4.47582, 0.405869, 1.21761, 4.65211, 1.1583, 6.06189, 12.3075, 9.12963, 3.74248, 2.25698, 20.3128, 31.5639, 33.9957, 39.8001, 10.1283, 2.62439, 14.8716, 5.54167, 49.875, 0.0165651, 0.149086, 4.86834, 2.68046, 15.1893, 14.7584, 22.8949, 3.27592, 3.27592, 7.29335, 5.37206, 6.66324, 19.156, 1.30181, 3.86245, 5.73953, 3.38927, 8.26646, 8.09439, 17.8143, 17.0428, 3.19536, 19.0352, 31.5439, 12.4686, 21.6204, 6.74059, 17.5991, 4.05313, 16.7154, 24.8837, 5.85916, 0.963488, 8.05009, 1.99735, 10.2503, 12.7544, 0, 625.28, 0, 49.875, 10.7807, 6.70191, 10.7205, 15.1384
2011, 7, 2.37822, 4.57989, 0.409931, 1.22979, 4.75934, 1.18523, 6.17697, 12.5411, 9.31864, 3.82612, 2.28239, 20.5415, 32.1623, 30.7154, 40.625, 10.3586, 2.67599, 15.1639, 5.59972, 50.3975, 0.0169503, 0.152553, 4.97003, 2.73159, 15.479, 15.0045, 23.2504, 3.3521, 3.3521, 7.45481, 5.49698, 6.81818, 19.6014, 1.14692, 3.95226, 5.87299, 2.98602, 8.45868, 8.28261, 18.2286, 17.3568, 3.26967, 19.4778, 32.2774, 12.7577, 22.1231, 6.89733, 18.0084, 4.13237, 17.1041, 25.4623, 5.99541, 0.985892, 8.23728, 2.04379, 10.4886, 13.051, 0, 633.205, 0, 50.3975, 10.9173, 6.85775, 10.7778, 15.2757
2011, 8, 2.37822, 4.57989, 0.4071, 1.2213, 4.7589, 1.18523, 6.1629, 12.5126, 9.31083, 3.82436, 2.27665, 20.4898, 12.3584, 13.4558, 40.5812, 10.3571, 2.67356, 15.1502, 6.87336, 61.8602, 0.0169503, 0.152553, 4.96628, 2.72878, 15.4631, 14.9621, 19.8595, 3.3521, 3.3521, 7.45338, 5.49698, 6.81818, 19.6014, 1.33208, 3.95226, 5.87299, 2.86012, 8.45868, 8.28261, 18.2286, 17.3238, 3.26967, 19.4778, 32.2774, 12.7518, 22.1231, 6.89733, 18.0084, 4.12955, 17.1041, 25.4623, 0.942478, 0.985892, 1.2949, 2.04379, 10.4886, 13.051, 0, 593.26, 0, 61.8602, 10.2286, 6.84577, 10.9755, 14.9335
