# Created by WEAP: 1/7/2021 1:51:38 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CESM1-CAM5.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_LADWP_CoastalLA (36,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (36,256 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m

1950, 1, 15.37, 4.817
1950, 2, 14.5, 72.86
1950, 3, 15.96, 124.2
1950, 4, 17.38, 33.15
1950, 5, 19.5, 0.8813
1950, 6, 19.94, 5.738
1950, 7, 21.88, 0.134
1950, 8, 22.12, 0.2277
1950, 9, 21.79, 0.1667
1950, 10, 20.04, 0.2067
1950, 11, 15.76, 35.03
1950, 12, 14.47, 43.1
1951, 1, 13.99, 35.14
1951, 2, 16.36, 4.08
1951, 3, 14.01, 14.08
1951, 4, 16.82, 10.55
1951, 5, 16.74, 12.62
1951, 6, 19.75, 0
1951, 7, 21.91, 0.04411
1951, 8, 23, 0.3262
1951, 9, 22.91, 6.431
1951, 10, 19.99, 1.457
1951, 11, 16.55, 82.25
1951, 12, 15.04, 76.55
1952, 1, 12.99, 80.71
1952, 2, 15.69, 42.37
1952, 3, 16.68, 1.447
1952, 4, 16.23, 27.33
1952, 5, 17.33, 0.002316
1952, 6, 18.92, 0.03566
1952, 7, 21.59, 0.003775
1952, 8, 22.15, 0.2181
1952, 9, 21.46, 0.5085
1952, 10, 19.31, 2.849
1952, 11, 15.33, 36.36
1952, 12, 15.13, 13.66
1953, 1, 12.49, 27.91
1953, 2, 16.84, 33.91
1953, 3, 16.96, 131.6
1953, 4, 16.64, 34.68
1953, 5, 18.72, 4.037
1953, 6, 21.08, 0.07315
1953, 7, 21.24, 0.005865
1953, 8, 23.71, 7.407
1953, 9, 22.91, 0.467
1953, 10, 23.2, 25.17
1953, 11, 18.9, 202.9
1953, 12, 15.21, 124.4
1954, 1, 13.72, 25.41
1954, 2, 15.01, 162.6
1954, 3, 13.7, 148.4
1954, 4, 17.33, 11.1
1954, 5, 16.79, 14.47
1954, 6, 19.51, 0.05331
1954, 7, 22.99, 0.05018
1954, 8, 22.76, 0.8651
1954, 9, 21.63, 0.2513
1954, 10, 18.02, 69.71
1954, 11, 16.72, 135.9
1954, 12, 14.55, 8.079
1955, 1, 11.09, 7.773
1955, 2, 13.48, 18.07
1955, 3, 13.31, 17.19
1955, 4, 16.81, 0.3183
1955, 5, 17.79, 1.136
1955, 6, 19.72, 0.08286
1955, 7, 21.4, 0
1955, 8, 21.35, 0.0091
1955, 9, 20.42, 0
1955, 10, 18.34, 0
1955, 11, 17.99, 0.02729
1955, 12, 15.94, 180.5
1956, 1, 14.53, 44.89
1956, 2, 12.88, 4.513
1956, 3, 15.37, 15.1
1956, 4, 17.73, 33.2
1956, 5, 16.86, 3.346
1956, 6, 18.38, 0.0408
1956, 7, 23.12, 0.03901
1956, 8, 22.06, 0.2234
1956, 9, 22.27, 1.274
1956, 10, 19.99, 0.2815
1956, 11, 18.85, 11.11
1956, 12, 16, 54.76
1957, 1, 16.4, 11.61
1957, 2, 16.43, 54.72
1957, 3, 14.86, 27.79
1957, 4, 17.35, 6.099
1957, 5, 18.81, 0
1957, 6, 19.5, 0.2387
1957, 7, 20.68, 0
1957, 8, 22.13, 0.1578
1957, 9, 21.91, 4.135
1957, 10, 18.61, 0.03265
1957, 11, 16.46, 94.8
1957, 12, 18.03, 0.7488
1958, 1, 18.01, 9.652
1958, 2, 16.99, 55.92
1958, 3, 14.81, 146.2
1958, 4, 17.31, 17.67
1958, 5, 20.05, 0.07647
1958, 6, 20.48, 27.38
1958, 7, 23.71, 0.03207
1958, 8, 22.85, 0.023
1958, 9, 21.42, 0.1007
1958, 10, 21.2, 5.042
