;DESCRIPTION: Contra Costa Water District Ops Timeseries,,,,,,,,,
";SOURCE: CalSimII LVE EIS Existing baseline (as of Feb 2017), 2004-2015 is a repeat of a similar WY sequence, 1956-64 followed by 1987-89.",,,,,,,,,
;COLUMN HEADINGS,,,,,,,,,
";UNITS: LV Storage in TAF. LV fill, LV release, Old River intake pumping, Rock Slough intake pumping, Victoria Canal pumping, and Mokelumne Intertie flow all in CFS.",,,,,,,,,
;DOCUMENTATION: See the Contra Costa Water District sub-section of the Ops section of the Other Assumptions chapter,,,,,,,,,
;year,month,LV storage,LV fill,LV release,Old River intake pumping,Rock Slough intake pumping,Victoria Canal pumping,Mokelumne Intertie flow,Mallard Slough
1938,10,160,8,0,8,173.2,0,0,0
1938,11,160,2,0,2,116.3,0,0,0
1938,12,160,0,6.7,0,76.5,0,0,0
1939,1,158.9,0,19.7,0,0,58.8,0,0
1939,2,159,0,0,0,90.3,0,0,0
1939,3,152.3,0,102.7,0,0,0,0,0
1939,4,149.3,0,37.9,0,112.7,0,0,0
1939,5,148.3,0,0,0,182.9,0,0,0
1939,6,147,0,0,0,214.2,0,0,0
1939,7,156.3,174,0,0,163.9,197.7,52,0
1939,8,153.4,0,24.3,0,0,208.4,0,0
1939,9,148.2,0,68.2,0,0,142.6,0,0
1939,10,144.4,0,52,0,0,127.6,0,0
1939,11,143.1,0,17.1,0,0,128.2,0,0
1939,12,140.1,0,49.5,0,0,77.8,0,0
1940,1,134.5,0,90.9,0,0,32.4,0,0
1940,2,134.5,0,0,0,116.9,0,0,0
1940,3,129.3,0,80.6,0,0,0,0,0
1940,4,128.7,0,0,0,117.1,0,0,0
1940,5,138.5,174,0,0,143.1,174,0,0
1940,6,137.3,0,0,0,207.2,0,0,0
1940,7,146.6,174,0,174,228.3,0,0,0
1940,8,155.9,174,0,0,236.3,174,0,0
1940,9,160,86.6,0,0,122.1,173.2,0,0
1940,10,160,10.6,0,10.6,178.8,0,0,0
1940,11,160,2,0,2,126.5,0,0,0
1940,12,160,0,3.8,0,111.7,0,0,0
1941,1,160,0,0.7,0,90.9,0,0,0
1941,2,160,0,0,0,85.5,0,0,0
1941,3,155.1,0,79.8,0,0,0,0,0
1941,4,160,91.1,0,0,106.2,91.1,0,0
1941,5,160,16.4,0,0,144.3,16.4,0,0
1941,6,158.8,0,0,0,191.6,0,0,0
1941,7,160,44.9,0,44.9,225.8,0,0,0
1941,8,160,22.8,0,0,234.5,22.8,0,0
1941,9,160,18.5,0,0,76.6,145.6,0,0
1941,10,160,8,0,8,173.2,0,0,0
1941,11,160,2,0,2,116.3,0,0,0
1941,12,160,0,6.7,0,76.5,0,0,0
1942,1,160,0,2.5,0,76,0,0,0
1942,2,160,0,1.5,0,88.8,0,0,0
1942,3,155.1,0,79.8,0,0,0,0,0
1942,4,160,91.1,0,91.1,106.2,0,0,0
1942,5,159,0,0,0,144.3,0,0,0
1942,6,157.8,0,0,0,191.6,0,0,0
1942,7,160,61.1,0,61.1,225.8,0,0,0
1942,8,160,22.8,0,0,234.5,22.8,0,0
1942,9,160,18.5,0,0,114.7,107.4,0,0
1942,10,160,8,0,8,173.2,0,0,0
1942,11,160,2,0,2,116.3,0,0,0
1942,12,160,0,6.7,0,76.5,0,0,0
1943,1,160,0,2.5,0,76,0,0,0
1943,2,160,0,1.5,0,88.8,0,0,0
1943,3,155.1,0,79.8,0,0,0,0,0
1943,4,160,91.1,0,0,106.2,91.1,0,0
1943,5,160,16.4,0,0,144.3,16.4,0,0
1943,6,158.8,0,0,0,191.6,0,0,0
1943,7,160,44.9,0,44.9,225.8,0,0,0
1943,8,160,22.8,0,0,234.5,22.8,0,0
1943,9,160,18.5,0,0,74.3,147.9,0,0
1943,10,160,8,0,8,173.2,0,0,0
1943,11,160,2,0,2,116.3,0,0,0
1943,12,160,0,6.7,0,76.5,0,0,0
1944,1,159.5,0,10,0,0,68.5,0,0
1944,2,159.6,0,0,0,87.2,0,0,0
1944,3,152.9,0,102.7,0,0,0,0,0
1944,4,160,131.1,0,131.1,150.6,0,0,0
1944,5,160,17.7,0,0,182.9,17.7,0,0
1944,6,158.7,0,0,0,214.2,0,0,0
1944,7,160,46.1,0,0,239.6,46.1,0,0
1944,8,158.6,0,0,0,41.4,191.3,0,0
1944,9,154.6,0,48,0,0,162.7,0,0
1944,10,148.7,0,86.4,0,0,93.2,0,0
1944,11,147.2,0,19.8,0,0,125.5,0,0
1944,12,141.4,0,95,0,0,32.3,0,0
1945,1,136.1,0,85.8,0,37.5,0,0,0
1945,2,136.1,0,0,0,121.1,0,0,0
1945,3,130.3,0,88.9,0,0,0,0,0
1945,4,140.1,174,0,0,129.2,174,0,0
1945,5,139.1,0,0,0,157.9,0,0,0
1945,6,137.9,0,0,0,207.8,0,0,0
1945,7,147.2,174,0,174,231.8,0,0,0
1945,8,156.5,174,0,0,175.5,232.6,0,0
1945,9,155.4,0,0,0,23.4,182.6,0,0
1945,10,154.8,0,0,0,0.4,177.3,0,0
1945,11,154.6,0,0,0,2.2,129.9,0,0
1945,12,152.4,0,36.5,0,0,80.4,0,0
1946,1,152.4,0,0,0,100.4,0,0,0
1946,2,152.4,0,0,0,95.2,0,0,0
1946,3,146.5,0,88.9,0,0,0,0,0
1946,4,146,0,0,0,129.2,0,0,0
1946,5,145,0,0,0,157.9,0,0,0
1946,6,143.7,0,0,0,207.8,0,0,0
1946,7,153,174,0,0,231.8,174,0,0
1946,8,160,136.8,0,19.9,101,250,0,0
1946,9,158.9,0,0,0,3.7,202.3,0,0
1946,10,157.9,0,5.1,0,0,172.5,0,0
1946,11,157.7,0,0,0,8,124.1,0,0
1946,12,153.3,0,73.5,0,0,43.5,0,0
1947,1,148.7,0,75.2,0,0,25.2,0,0
1947,2,148.7,0,0,0,95.2,0,0,0
1947,3,141.9,0,102.7,0,0,0,0,0
1947,4,141.3,0,0,0,150.6,0,0,0
1947,5,140.3,0,0,0,182.9,0,0,0
1947,6,139,0,0,0,214.2,0,0,0
1947,7,148.3,174,0,0,239.6,174,0,0
1947,8,147,0,0,0,0.5,232.2,0,0
1947,9,143.2,0,45.4,0,0,165.3,0,0
1947,10,137.5,0,82.3,0,0,97.3,0,0
1947,11,135.6,0,27.1,0,0,118.2,0,0
1947,12,130.3,0,87.4,0,0,39.9,0,0
1948,1,124.4,0,96.4,0,0,26.8,0,0
1948,2,120.4,0,68.8,0,48.1,0,0,0
1948,3,114.6,0,88.9,0,0,0,0,0
1948,4,114.1,0,0,0,129.2,0,0,0
1948,5,113.2,0,0,0,157.9,0,0,0
1948,6,112,0,0,0,207.8,0,0,0
1948,7,121.5,174,0,174,231.8,0,0,0
1948,8,130.9,174,0,0,161.4,246.8,0,0
1948,9,127.4,0,42.4,0,0,163.6,0,0
1948,10,122.7,0,67.1,0,0,110.5,0,0
1948,11,121.5,0,17.3,0,0,114.8,0,0
1948,12,117.9,0,59.9,0,0,57.1,0,0
1949,1,113,0,80.5,0,0,19.9,0,0
