; Name,Lake Almanor,Lake Amador,Antelope,Black Butte Reservoir,Bowman Lake,Lake Berryessa,Bucks Island,Bucks Lake,Butt Valley,Chili Bar,Clear Lake,Clifton Court Forebay,Lake Combie,Camino,Camanche Reservoir,Camp Far West,Caples Lake,Lake Davis,EBMUD Terminal reservoirs,Englebright Reservoir,East Park Reservoir,Folsom Lake,Fordyce,Frenchman Lake,Farmington Reservoir,French Meadows,French Meadows,Gerle Reservoir,Hell Hole,Ice House,Indian Valley Reservoir,Jackson Meadows,Jackson Meadows,Jenkinson Lake,Keswick Reservoir,Lower Bear ,Little Grass Valley Reservoir,Lake Valley Reservoir,Loon Lake,Los Vaqueros Reservoir,Lewiston Lake,Merle Collins Reservoir,Mountain Meadows Reservoir,New Bullards Bar Reservoir,New Hogan Reservoir,Lake Natoma,Oroville Reservoir,Pardee Reservoir,Rock Creek Reservoir,Rollins Reservoir,Rubicon Reservoir,Salt Springs,Scotts Flat,Stony Gorge Reservoir,Shasta Lake,Silver Lake,Slab Creek,San Luis CVP,San Luis SWP,Sly Creek Reservoir,Spaulding Lake,Stumpy Meadows,Thermalito Reservoir Afterbay,Trinity Reservoir,Union Valley,Union Valley,Whiskeytown Reservior,Upper Bear 
; Station ID,ALM,AMADR,,BLB,BWN,BER,,BCL,BTV,,CLA,,CMB,,CMN,CFW,CPL,DAV,,ENG,EPK,FOL,,FRD,,FMD,FMD,,HHL,ICH,INV,JCK,JCK,JNK,KES,LWB,LGV,LVY,LON,LVQ,LEW,,,BUL,NHG,NAT,ORO,PAR,,RLL,,,SFL,STG,SHA,SIV,,SLF,LUS,SLC,,,TAB,CLE,UNV,UNV,WHI,
$Columns=Year,ALMNR,AMADR,ANTLP,BLKBT,BOWMN,BRYSA,BCKIS,BUCKS,BUTTV,CHILI,CLRLK,CLFTN,CMBIE,CMINO,CMNCH,CMPFW,CAPLS,DAVIS,EBMUD,ENGLB,EPARK,FOLSM,FRDYC,FRMAN,FRMNG,FRMWD,FRMWD,GERLE,HHOLE,ICEHS,INDVL,JCKMD,JCKMD,JNKSN,KSWCK,LBEAR,LGRSV,LKVLY,LOONL,LOSVQ,LWSTN ,MERLC,MTMDW,NBLDB,NHGAN,NTOMA,OROVL,PARDE,ROCKC,RLLNS,RBCON,SLTSP,SCOTF,SGRGE,SHSTA,SILVR,SLABC,SLCVP,SLSWP,SLYCK,SPLDG,STMPY,THRMA,TRNTY,UNVLY,UNVLY,WKYTN,UBEAR
1941,390300,-9999,-9999,-9999,33300,-9999,-9999,82200,-9999,-9999,957053,-9999,4000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,55800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1942,492200,-9999,-9999,-9999,38300,-9999,-9999,90800,-9999,-9999,972243,-9999,2100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,82600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1943,565000,-9999,-9999,-9999,45500,-9999,-9999,87800,-9999,-9999,947638,-9999,2300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1944,573100,-9999,-9999,-9999,36800,-9999,-9999,93700,-9999,-9999,914230,-9999,300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,81600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1945,464600,-9999,-9999,-9999,42300,-9999,-9999,80400,-9999,-9999,870690,-9999,1300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1946,496600,-9999,-9999,-9999,46600,-9999,-9999,77600,-9999,-9999,853815,-9999,2500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,67700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1947,383400,-9999,-9999,-9999,35800,-9999,-9999,74700,46300,-9999,864693,-9999,2000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,191800,-9999,-9999,-9999,61300,-9999,-9999,-9999,4900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1948,377700,-9999,-9999,-9999,32300,-9999,-9999,70700,45200,-9999,848352,-9999,1100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,162400,-9999,-9999,-9999,63500,-9999,-9999,-9999,1300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1949,568900,-9999,-9999,-9999,48000,-9999,-9999,81400,36900,-9999,876299,-9999,400,-9999,-9999,-9999,17000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,185400,-9999,-9999,-9999,92200,-9999,-9999,-9999,2600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1950,404600,-9999,-9999,-9999,23800,-9999,-9999,79700,44600,-9999,866290,-9999,700,-9999,-9999,-9999,16670,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,172200,-9999,-9999,-9999,74000,9300,-9999,-9999,2500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1951,516400,-9999,-9999,-9999,49800,-9999,-9999,79500,34400,-9999,849146,-9999,1900,-9999,-9999,-9999,16800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,177600,-9999,-9999,-9999,93400,9300,-9999,-9999,3200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1952,511100,-9999,-9999,-9999,44600,-9999,-9999,71200,34530,-9999,924792,-9999,2200,-9999,-9999,-9999,14080,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,194440,-9999,-9999,-9999,77600,5600,-9999,-9999,2200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1953,539200,-9999,-9999,-9999,68000,-9999,-9999,69900,39070,-9999,920726,-9999,2000,-9999,-9999,-9999,19990,-9999,-9999,-9999,-9999,-9999,23600,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,196490,-9999,-9999,-9999,104000,16100,-9999,-9999,5100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1954,508000,-9999,-9999,-9999,45400,-9999,-9999,68500,41450,-9999,955821,-9999,600,-9999,-9999,-9999,17100,-9999,-9999,-9999,-9999,-9999,29800,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31040,-9999,3400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,192460,-9999,-9999,-9999,106000,9280,-9999,-9999,4500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1955,395200,-9999,-9999,-9999,34700,-9999,-9999,62700,20560,-9999,931714,-9999,700,-9999,-9999,-9999,11010,-9999,-9999,-9999,-9999,-9999,3400,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17580,-9999,700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,171860,-9999,-9999,-9999,91000,6460,-9999,3056800,3000,-9999,-9999,-9999,-9999,62800,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1956,309100,-9999,-9999,-9999,31600,-9999,-9999,42600,20050,-9999,858309,-9999,1500,-9999,-9999,-9999,11790,-9999,-9999,26171,-9999,-9999,3300,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21140,-9999,2500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,183540,-9999,-9999,-9999,87000,4750,-9999,2455300,2520,-9999,-9999,-9999,-9999,65700,-9999,-9999,-9999,-9999,-9999,-9999,-9999
