; Name,Lake Almanor,Lake Amador,Antelope,Black Butte Reservoir,Bowman Lake,Lake Berryessa,Bucks Island,Bucks Lake,Butt Valley,Chili Bar,Clear Lake,Clifton Court Forebay,Lake Combie,Camino,Camanche Reservoir,Camp Far West,Caples Lake,Lake Davis,EBMUD Terminal reservoirs,Englebright Reservoir,East Park Reservoir,Folsom Lake,Fordyce,Frenchman Lake,Farmington Reservoir,French Meadows,French Meadows,Gerle Reservoir,Hell Hole,Ice House,Indian Valley Reservoir,Jackson Meadows,Jackson Meadows,Jenkinson Lake,Keswick Reservoir,Lower Bear ,Little Grass Valley Reservoir,Lake Valley Reservoir,Loon Lake,Los Vaqueros Reservoir,Lewiston Lake,Merle Collins Reservoir,Mountain Meadows Reservoir,New Bullards Bar Reservoir,New Hogan Reservoir,Lake Natoma,Oroville Reservoir,Pardee Reservoir,Rock Creek Reservoir,Rollins Reservoir,Rubicon Reservoir,Salt Springs,Scotts Flat,Stony Gorge Reservoir,Shasta Lake,Silver Lake,Slab Creek,San Luis CVP,San Luis SWP,Sly Creek Reservoir,Spaulding Lake,Stumpy Meadows,Thermalito Reservoir Afterbay,Trinity Reservoir,Union Valley,Union Valley,Whiskeytown Reservior,Upper Bear 
; Station ID,ALM,AMADR,,BLB,BWN,BER,,BCL,BTV,,CLA,,CMB,,CMN,CFW,CPL,DAV,,ENG,EPK,FOL,,FRD,,FMD,FMD,,HHL,ICH,INV,JCK,JCK,JNK,KES,LWB,LGV,LVY,LON,LVQ,LEW,,,BUL,NHG,NAT,ORO,PAR,,RLL,,,SFL,STG,SHA,SIV,,SLF,LUS,SLC,,,TAB,CLE,UNV,UNV,WHI,
$Columns=Year,ALMNR,AMADR,ANTLP,BLKBT,BOWMN,BRYSA,BCKIS,BUCKS,BUTTV,CHILI,CLRLK,CLFTN,CMBIE,CMINO,CMNCH,CMPFW,CAPLS,DAVIS,EBMUD,ENGLB,EPARK,FOLSM,FRDYC,FRMAN,FRMNG,FRMWD,FRMWD,GERLE,HHOLE,ICEHS,INDVL,JCKMD,JCKMD,JNKSN,KSWCK,LBEAR,LGRSV,LKVLY,LOONL,LOSVQ,LWSTN ,MERLC,MTMDW,NBLDB,NHGAN,NTOMA,OROVL,PARDE,ROCKC,RLLNS,RBCON,SLTSP,SCOTF,SGRGE,SHSTA,SILVR,SLABC,SLCVP,SLSWP,SLYCK,SPLDG,STMPY,THRMA,TRNTY,UNVLY,UNVLY,WKYTN,UBEAR
1957,529700,-9999,-9999,-9999,57200,-9999,-9999,58100,40930,-9999,958695,-9999,3200,-9999,-9999,-9999,19450,-9999,-9999,41137,19610,533400,17900,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33950,-9999,30930,-9999,3200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,183660,-9999,-9999,-9999,109500,11370,9550,3568500,3800,-9999,-9999,-9999,-9999,68800,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1958,529100,-9999,-9999,-9999,48300,-9999,-9999,55000,24920,-9999,961158,-9999,2200,-9999,-9999,-9999,13970,-9999,-9999,32916,13220,534600,11400,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31410,-9999,28200,-9999,3000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,170630,-9999,-9999,-9999,100500,7500,10030,3484900,1990,-9999,-9999,-9999,-9999,66300,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1959,574300,-9999,-9999,-9999,54400,872405,-9999,60300,38110,-9999,999847,-9999,1300,-9999,-9999,-9999,19810,-9999,-9999,43081,30430,550100,19800,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32620,-9999,30640,-9999,3700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,161710,-9999,-9999,-9999,109100,13460,6040,3473400,3750,-9999,-9999,-9999,-9999,67600,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1960,368800,-9999,-9999,-9999,31900,959420,-9999,57000,41090,-9999,921538,-9999,1800,-9999,-9999,-9999,11390,-9999,-9999,37240,10,311800,3100,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28450,-9999,32420,-9999,1100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,142820,-9999,-9999,-9999,77600,6220,15170,2504100,2650,-9999,-9999,-9999,-9999,60700,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1961,323700,-9999,-9999,-9999,37900,1030100,-9999,48540,44940,-9999,921538,-9999,1500,-9999,-9999,-9999,11210,-9999,-9999,36284,3730,518400,6700,-9999,0,-9999,-9999,-9999,-9999,30200,-9999,-9999,-9999,21730,-9999,26190,-9999,1900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,166630,-9999,-9999,-9999,80100,5920,9930,2756300,2500,-9999,-9999,-9999,-9999,67400,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1962,337300,-9999,-9999,-9999,31430,990310,-9999,47000,40170,-9999,939059,-9999,2800,-9999,-9999,-9999,13400,-9999,-9999,39682,6710,389000,37100,-9999,0,-9999,-9999,-9999,-9999,16700,-9999,-9999,-9999,8710,-9999,27920,27455,3000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,129240,-9999,-9999,-9999,46600,5360,9160,2333000,1450,-9999,-9999,-9999,-9999,39700,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1963,296900,-9999,-9999,-9999,37800,1082800,-9999,70040,48490,-9999,928862,-9999,2100,-9999,-9999,-9999,13250,-9999,-9999,44222,5980,454200,19000,8274,0,-9999,-9999,-9999,-9999,2100,-9999,-9999,-9999,26660,-9999,30100,68376,3700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,160600,-9999,-9999,-9999,90300,8340,5190,2908000,2100,-9999,-9999,-9999,65000,63000,-9999,-9999,1792800,-9999,-9999,-9999,-9999
1964,643300,-9999,-9999,-9999,35900,1483600,-9999,54750,42390,-9999,981298,-9999,1900,-9999,-9999,-9999,17160,-9999,-9999,48148,15740,466400,25200,30580,0,-9999,-9999,-9999,-9999,43450,-9999,-9999,-9999,32975,-9999,30510,56500,2900,-9999,-9999,-9999,42100,-9999,-9999,-9999,-9999,-9999,179720,-9999,-9999,-9999,95300,10850,2180,3242000,2670,-9999,-9999,-9999,41500,67600,-9999,-9999,2196400,269000,269000,-9999,-9999
1965,670600,-9999,-9999,12421,36700,1359100,-9999,38410,27080,-9999,866290,-9999,1200,-9999,-9999,18000,11740,-9999,-9999,47173,4513,536400,27100,31780,0,-9999,-9999,-9999,-9999,10000,-9999,-9999,-9999,28260,-9999,33020,53500,2900,20000,-9999,-9999,39100,-9999,-9999,9563,-9999,-9999,189200,-9999,-9999,-9999,74300,5890,4715,2202200,3130,-9999,-9999,-9999,38100,68500,-9999,-9999,1558930,159680,159680,233740,-9999
1966,811300,-9999,15700,40418,33220,1428900,-9999,48900,41540,-9999,961158,-9999,2400,-9999,280680,39500,20720,-9999,-9999,59245,16170,671400,42700,46510,0,127300,127300,-9999,-9999,25330,-9999,61800,61800,32480,-9999,34130,62100,7100,68900,-9999,-9999,42000,-9999,-9999,167836,-9999,-9999,201100,-9999,40300,-9999,94800,31170,6584,3612400,5230,-9999,-9999,-9999,50300,73700,-9999,-9999,1997260,156340,156340,233200,-9999
1967,628300,-9999,18480,34979,900,1386080,-9999,51240,20850,-9999,905312,-9999,2100,-9999,70600,12100,10440,-9999,-9999,46872,6721,652700,16200,37160,0,119140,119140,-9999,151040,32900,-9999,67320,67320,23830,22370,27250,56900,3600,20700,-9999,12800,42800,1910,-9999,142244,8460,-9999,158760,-9999,57060,-9999,64400,18830,7007,3262900,3800,-9999,-9999,-9999,41800,64700,-9999,-9999,1880200,95650,95650,237850,-9999
1968,815330,-9999,21570,31562,58700,1468470,-9999,66100,45180,-9999,981710,-9999,5500,-9999,323220,67900,18620,49165,-9999,25504,23998,798600,10900,45920,0,85700,85700,-9999,159380,35830,-9999,36000,36000,31620,22440,32540,62600,4100,33020,-9999,12890,34500,2990,-9999,197108,8610,-9999,193400,-9999,66400,-9999,106500,32330,7652,3505800,2620,-9999,-9999,-9999,57500,49700,-9999,-9999,1968680,217910,217910,238180,-9999
1969,600320,-9999,19410,25104,55920,1372660,-9999,47700,39720,-9999,922350,-9999,2400,-9999,218980,2700,13870,56050,-9999,39206,5406,551400,5700,40580,0,91270,91270,-9999,133200,12800,-9999,31890,31890,24770,23200,24800,49200,3000,14850,-9999,12320,33000,1980,-9999,142816,8870,1677600,179540,-9999,51100,-9999,68800,21840,7146,2669800,1820,-9999,-9999,-9999,43700,44600,-9999,38100,1387860,180200,180200,211140,-9999
1970,848540,-9999,21170,24919,55600,1421880,-9999,60200,45570,-9999,935794,29000,5300,-9999,304390,74500,18740,76750,-9999,45034,17986,813600,2900,45640,0,81980,81980,-9999,123720,43350,-9999,42900,42900,29860,23150,6585,74600,3700,40700,-9999,14250,35500,5760,550850,158932,8560,2780300,195156,-9999,59900,-9999,95200,26440,7245,3527900,3500,-9999,983335,997925,0,58900,-9999,44910,1904800,185180,185180,222360,-9999
1971,864830,-9999,20660,26469,47500,1382810,-9999,64700,30500,-9999,916666,29000,1800,-9999,288500,39100,9180,72830,-9999,59288,2419,549200,9900,41050,0,74310,74310,-9999,123810,35660,-9999,50300,50300,24420,23520,27700,58000,2500,4500,-9999,13900,31000,2410,690540,125368,8820,2541800,202400,-9999,51000,-9999,90000,30130,6081,3440000,4970,-9999,790633,929060,36600,61800,-9999,25236,1871480,219040,219040,213810,-9999
1972,886910,-9999,2130,29309,42200,1394440,-9999,69075,43780,-9999,921944,29000,5500,-9999,312820,80600,17560,76720,-9999,66912,22477,685500,2100,45810,0,79970,79970,-9999,117540,30900,-9999,54500,54500,28430,21210,22160,61000,2900,46500,-9999,12510,32000,1930,605510,135951,7220,2730400,202060,-9999,55000,-9999,74600,31110,9045,3274900,4000,-9999,754312,981844,29000,55100,-9999,33155,2105900,195000,195000,216000,-9999
1973,758700,-9999,20730,33808,1890,1148200,-9999,65580,40250,-9999,869890,29000,1400,-9999,246170,26500,13920,72060,-9999,65942,279,658700,4200,40200,0,108160,108160,-9999,87630,27580,-9999,68200,68200,22200,22530,26300,66000,2500,37100,-9999,13600,27200,2910,594570,115091,8660,2611500,194270,-9999,58900,-9999,81100,31090,16239,3266500,2250,-9999,630842,850742,34200,61100,-9999,45463,1913000,161060,161060,217100,-9999
1974,893327,-9999,19360,31597,46900,1389350,-9999,59240,45880,-9999,903292,29000,1100,-9999,316790,62400,15050,71640,-9999,65081,16221,742200,5800,38460,0,78440,78440,-9999,139340,32000,-9999,45500,45500,22400,22490,26968,68500,2500,36480,-9999,13880,35000,2824,615140,143722,8360,2728500,194533,-9999,49300,-9999,77200,31280,5350,3316600,2260,-9999,707074,983791,24100,26600,-9999,38793,1904200,190831,190831,217500,-9999
1975,968420,-9999,20620,39338,60000,1404850,-9999,70197,34390,-9999,927234,29000,5500,-9999,336480,81400,18150,70910,-9999,47467,17627,772800,8700,37960,0,95240,95240,-9999,158010,43840,-9999,41600,41600,27480,21340,16566,61000,3400,60900,-9999,13410,37200,4291,736540,218615,8920,2397000,194190,-9999,39800,-9999,77200,35240,10032,3658300,2310,-9999,776412,1075980,15710,48100,-9999,30541,1995800,159230,159230,217700,-9999
1976,905970,-9999,20060,39340,57800,1381350,-9999,70197,40700,-9999,922350,29000,4800,-9999,337500,65200,18400,72570,-9999,68544,1123,773000,29800,29120,0,95140,95140,-9999,152510,34800,102340,44800,44800,26670,22680,14021,55200,3700,51900,-9999,13800,38500,3151,617070,144979,8460,2857500,201230,-9999,45700,-9999,70700,38410,21485,3569500,3280,-9999,401813,629747,32790,33700,-9999,27473,2040700,144400,144400,235600,-9999
1977,578750,-9999,2120,20688,40710,1037780,-9999,48960,47540,-9999,831360,29000,1300,-9999,185800,4200,11740,60540,-9999,63210,1804,416400,24700,14530,0,41220,41220,-9999,109470,19150,109,2500,2500,10630,21660,16521,48300,1600,20540,-9999,13730,18000,80,343670,70900,8510,1827900,106840,-9999,23300,-9999,27500,17020,7725,1295400,4450,-9999,209081,468732,23800,16000,-9999,30997,1502800,33700,33700,238600,-9999
1978,541680,-9999,3030,1351,16000,758920,-9999,36620,46750,-9999,842000,29000,500,-9999,54740,3000,5630,34600,-9999,65201,279,147000,4850,7650,0,38200,38200,-9999,77790,15550,190,4530,4530,4600,20700,7262,31400,200,23900,-9999,13450,6000,15,258120,11178,8760,915200,82580,-9999,5510,-9999,4220,1850,4091,630600,1820,-9999,78339,195839,13500,56300,-9999,16012,242400,57400,57400,216500,-9999
1979,893300,-9999,18510,37740,43600,1121200,-9999,71650,48330,-9999,929676,29000,4800,-9999,338370,66700,20050,57010,-9999,68370,29499,700100,5860,19440,0,97090,97090,-9999,146920,35500,156765,56600,56600,31470,21030,24999,51400,5200,57840,-9999,13870,39200,3776,582128,161805,8360,2744200,177090,-9999,55550,-9999,89700,43860,13293,3427900,5310,-9999,667233,1051619,36400,48400,-9999,29928,1870100,202800,202800,230100,-9999
1980,687000,-9999,18960,20190,39300,1035000,-9999,56230,48330,-9999,912608,29000,2100,-9999,343180,7200,14620,47540,-9999,66814,34208,710400,1320,13270,0,91540,91540,-9999,116500,36180,145532,54300,54300,27010,21500,25703,50700,4400,49260,-9999,13630,37500,554,623920,177147,8510,2672200,176050,-9999,43800,-9999,87800,30400,17142,3141300,2960,-9999,492666,720077,33400,47700,-9999,18010,1661000,180200,180200,234100,-9999
1981,962300,-9999,18750,17565,47400,1318600,-9999,73926,47940,-9999,971010,29000,5600,-9999,324210,66600,19450,68550,-9999,69231,32460,669800,18200,28500,0,93200,93200,-9999,155800,38660,211120,58015,58015,29160,22050,24037,56700,0,53870,-9999,13690,35200,2039,339226,148801,8360,2611200,177070,-9999,55800,-9999,112600,34460,10962,3320700,5030,-9999,521041,962138,903,39800,-9999,23116,1878700,169500,169500,234500,-9999
1982,708000,-9999,16830,50911,13500,1167000,-9999,67795,47620,-9999,901676,29000,1200,-9999,255970,4800,8560,62030,-9999,68090,10736,600000,27200,17060,0,82520,82520,-9999,119100,34060,169140,52360,52360,24780,22290,16979,76600,4200,33580,-9999,13800,29500,739,375993,102563,8410,2354400,182820,-9999,46400,-9999,69600,24580,7642,2480200,3840,-9999,115605,147776,60,1910,-9999,23116,1702300,70990,70990,234100,-9999
1983,923400,-9999,20000,30366,48100,1438500,-9999,64952,48410,-9999,948540,29000,5300,-9999,349670,82700,21410,75620,-9999,-9999,28404,756100,3280,44360,0,84730,84730,-9999,140400,42860,262610,53700,53700,29800,22070,33267,52000,4100,67160,-9999,14380,35600,3889,573514,221992,8120,2775100,177000,-9999,47700,-9999,102200,35890,13923,3486400,7060,-9999,11930,11546,50100,56800,-9999,23516,2114800,156000,156000,231400,-9999
1984,960000,-9999,20850,33774,51700,1448400,-9999,77548,46830,-9999,996130,29000,5300,-9999,352560,96500,15590,76720,-9999,68892,29213,751800,14300,47440,0,99800,99800,-9999,137900,2080,280137,59040,59040,31180,22350,36886,40000,3700,57300,-9999,14150,39200,12734,692553,217685,8360,2818300,187740,-9999,49480,-9999,104300,37060,25852,3616800,4570,-9999,894735,1045085,33200,69700,-9999,33325,2164100,267900,267900,236100,-9999
1985,923400,-9999,15940,30952,43520,1342600,-9999,53861,47150,-9999,924385,29000,5300,-9999,350080,83000,14910,71980,-9999,64655,22281,681000,4060,41310,0,82340,82340,-9999,122100,40700,224312,55330,55330,25270,21180,15709,37700,3000,47860,-9999,14180,33600,2178,476213,127828,8260,2529300,184000,-9999,54570,-9999,72100,31550,10421,3240100,4340,-9999,85116,727148,48000,32200,-9999,17581,1888900,179540,179540,233900,-9999
1986,635700,-9999,17040,43748,58360,1208100,-9999,48398,46980,-9999,909770,29000,1710,-9999,246120,5200,9960,67360,-9999,61723,10603,587400,6100,38650,0,79360,79360,-9999,106700,28600,140145,26980,26980,20760,22300,26310,45400,5000,54860,-9999,14060,32100,85,531369,100807,8460,2132400,193780,-9999,36490,-9999,76100,28590,11467,1977800,4030,-9999,152542,610235,23230,32300,-9999,22357,1761700,148550,148550,224800,-9999
1987,842200,-9999,18545,28342,56290,1382100,-9999,79548,44400,-9999,918290,29000,5318,-9999,336420,37900,12820,71980,-9999,61516,28960,653200,6380,40498,0,82100,82100,-9999,126400,30410,249032,49790,49790,25900,-9999,24360,61100,5400,52820,-9999,14100,36700,5503,705771,135503,8460,2660900,189730,-9999,63660,-9999,95800,35340,26997,3211300,5200,-9999,488135,993124,41580,40400,-9999,19273,1901000,148040,148040,234300,-9999
1988,957480,-9999,15630,31493,27300,1135000,-9999,54155,42695,-9999,884335,29000,1540,-9999,117930,7100,10300,57491,-9999,65040,17980,429700,3240,30835,0,59300,59300,-9999,111700,21800,111400,20300,20300,14490,22211,16887,60200,2270,51100,-9999,13815,26500,0,614600,59230,8700,1978538,206470,-9999,48500,-9999,28200,24033,12850,2108216,2070,-9999,243321,444761,35900,51500,-9999,48872,1813101,31500,31500,230000,-9999
1989,751504,-9999,13623,33609,30673,986000,-9999,57425,36436,-9999,896023,29000,966,-9999,9630,3900,11790,43084,-9999,63860,18460,218200,6150,22754,0,60869,60869,-9999,110106,12600,52972,22148,22148,13530,22229,10538,58500,3505,4330,-9999,14225,23100,0,541732,15431,8150,1528900,193740,-9999,39225,-9999,33100,21495,19650,1585923,3900,-9999,89252,398721,25102,42200,-9999,44491,1479050,53560,53560,238279,-9999
1990,799140,-9999,17597,46232,47900,815460,-9999,77217,47382,-9999,907337,29000,2285,-9999,142890,42200,13090,51398,-9999,63420,42290,570500,6540,24715,0,81200,81200,-9999,123200,30500,21621,47900,47900,29220,22482,16067,63200,6806,61215,-9999,13670,34300,2062,620888,21706,8190,2150283,198780,-9999,43300,-9999,89800,34164,30940,2095977,4730,-9999,149151,215620,35400,53100,-9999,45854,1376159,161900,161900,236465,-9999
1991,764997,-9999,17078,26474,50400,627430,-9999,65738,36436,-9999,875095,29000,2777,-9999,172800,12600,10950,46613,-9999,65250,29920,178200,7460,20673,0,48500,48500,-9999,101502,39120,34450,25400,25400,31051,21026,14402,55800,4662,53893,-9999,14247,23100,0,714330,20164,7988,1163259,173100,-9999,38000,-9999,54500,34054,11500,1637368,1190,-9999,387763,100365,30600,43600,-9999,-9999,1162444,153701,153701,237228,-9999
1992,699114,-9999,18545,40785,55678,574189,-9999,83767,25430,-9999,882323,29000,1913,-9999,113730,44600,13720,41099,-9999,64924,39699,506061,10000,15106,0,34451,34451,-9999,68832,26303,3313,45574,45574,33252,22507,16521,57600,4720,55120,-9999,14449,28320,4243,621609,27487,7993,1399251,171650,-9999,53688,-9999,94000,31871,21582,1339851,4880,-9999,268587,385114,21575,29700,-9999,30835,670247,130629,130629,209293,-9999
1993,739484,-9999,14458,51804,28960,439690,-9999,67637,40993,-9999,875496,29000,2748,-9999,113220,5400,12510,29611,-9999,65201,36311,171626,5120,8803,0,32991,32991,-9999,61767,23316,4224,24152,24152,28664,21325,13400,57200,5220,30454,-9999,14374,22610,73,533956,29138,8073,1316867,157470,-9999,31645,-9999,43500,24903,15721,1683200,4830,-9999,95904,380959,19540,35800,-9999,28343,838273,103512,103512,238407,-9999
1994,847080,-9999,19107,54868,31400,765170,-9999,85475,40399,-9999,931306,29000,3879,-9999,317500,68900,19570,61687,-9999,65685,41967,562900,16900,31557,0,75300,75300,-9999,128000,35329,137788,63400,63400,26660,21044,27976,69000,6347,53108,-9999,13756,35720,7100,705263,137815,7723,2665948,177200,-9999,36100,-9999,84100,35377,39042,3101762,5210,-9999,350589,943656,38100,56500,-9999,16494,1947651,182683,182683,238695,-9999
1995,756610,-9999,15607,26117,35826,568391,-9999,70357,44476,-9999,873890,29000,3010,-9999,188880,12900,14840,51611,-9999,65317,8446,216896,3320,21631,0,45804,45804,-9999,93993,32675,62790,24000,24000,17106,20739,20387,58200,4021,32574,-9999,14299,18420,583,506599,40938,7903,1683158,174330,-9999,35400,-9999,47700,26432,8815,2101642,3840,-9999,91579,399342,22600,38500,-9999,43299,1214884,122586,122586,238023,-9999
1996,953932,-9999,21028,65965,47053,1318999,-9999,71811,44165,-9999,983358,29000,4438,-9999,315730,92600,18580,74858,-9999,63527,44912,466149,25600,46314,0,91429,91429,-9999,164231,27651,247412,46928,46928,31765,21295,35307,59800,6955,34516,-9999,13926,41160,15917,791168,222513,7350,2897173,157250,-9999,44379,-9999,100400,38442,35462,3136430,5250,-9999,442387,1081845,44166,48686,-9999,27349,1872589,212571,212571,238215,-9999
1997,897534,-9999,19601,62170,38700,1412300,-9999,69714,4393,-9999,952546,29000,3034,-9999,285050,49900,17570,69960,-9999,66211,42712,726300,1690,43374,0,90000,90000,-9999,113300,30268,218804,52100,52100,34015,21217,35307,68100,4816,52064,-9999,14562,38060,6115,684200,148384,8148,2735516,200260,-9999,47300,-9999,72500,37257,34560,3088810,4840,-9999,174371,740379,22200,48200,-9999,15771,1712732,205891,205891,238855,-9999
1998,813661,-9999,19039,39572,42700,1354400,-9999,77881,18111,-9999,907337,29000,4314,-9999,292840,51400,18960,51002,-9999,63588,8597,556100,17900,40997,0,87700,87700,-9999,103900,28661,152770,48600,48600,27531,21620,20188,56900,4754,35111,-9999,15225,28950,13100,612631,113006,8214,2139728,196510,-9999,53700,-9999,70700,33988,12207,2308339,4720,-9999,131779,461649,15700,17800,-9999,30348,1493875,184350,184350,238279,-9999
1999,953172,-9999,19920,66899,48903,1456399,-9999,75073,45178,-9999,969368,29000,4889,-9999,265180,84300,19330,65699,-9999,67549,45552,712911,25400,45569,0,88261,88261,-9999,142481,32320,256010,52821,52821,35110,21586,31219,59700,5360,46298,67770,13955,43220,6805,708904,191247,8531,2831485,187670,-9999,44502,-9999,85300,37488,36485,3441073,5440,-9999,713008,900000,25269,49700,-9999,33970,2077299,165003,165003,238311,-9999
2000,957211,-9999,18537,60499,49700,1392300,-9999,74909,46512,-9999,911797,29000,4330,-9999,292590,53100,18660,59335,-9999,67668,42680,721600,746,43035,0,93000,93000,-9999,135600,33450,228222,50500,50500,34378,22155,23218,62300,5911,53256,96120,13815,33110,4467,613525,154255,8011,2427271,194660,-9999,50600,-9999,83100,34249,35076,3327499,4250,-9999,110613,591796,22000,53700,-9999,27012,1961654,150226,150226,236433,-9999
2001,842714,-9999,17252,47003,56307,1390100,-9999,69421,39437,-9999,908959,29000,5031,-9999,298700,40700,18730,59668,-9999,65549,42710,660700,30400,40748,0,79100,79100,-9999,121900,25969,214180,42400,42400,34302,21714,22468,59300,4900,27716,100830,13956,33110,4219,702880,155678,7692,1919813,191590,-9999,42200,-9999,71400,30396,37200,2985131,5280,-9999,463193,387635,22200,16500,-9999,31655,1791050,132609,132609,213200,-9999
2002,662618,-9999,14487,28968,19700,1264300,-9999,69784,46731,-9999,890374,29000,4480,-9999,194790,17400,18190,45409,-9999,66516,30560,367600,16800,28914,0,44500,44500,-9999,37600,26990,87340,32700,32700,29463,20817,18470,58400,3660,48349,76800,14158,20000,2251,538363,123242,8045,1487684,196160,-9999,44100,-9999,43300,24370,28590,2199643,3710,-9999,313583,516007,17328,20100,-9999,21799,1428163,84344,84344,223657,-9999
2003,767994,-9999,16407,27221,51500,1286775,-9999,72037,45602,-9999,890777,29000,3272,-9999,237620,10400,18990,41963,-9999,68731,7470,509754,12100,23008,0,85921,85921,-9999,126300,34033,73640,42600,42600,29581,22192,28392,58400,5680,55280,72920,13823,26140,5441,532088,128572,8050,1399662,191420,-9999,45500,-9999,86300,28095,28360,2558201,4100,-9999,294640,393795,35087,39900,-9999,26312,1500119,165850,165850,237259,-9999
2004,869943,-9999,17709,51054,48664,1430888,-9999,77019,47731,-9999,955821,29000,3638,-9999,278840,26100,18860,49227,-9999,68868,43520,658100,19200,26077,0,92200,92200,-9999,134064,30800,151390,44800,44800,31659,21781,24864,59900,5700,38500,99360,13904,32820,5322,638488,108611,8026,2283761,189900,-9999,43300,-9999,98700,33120,33050,3159376,5310,-9999,286499,652744,23900,56900,-9999,-9999,1881200,186200,186200,237600,-9999
2005,813597,-9999,16967,28120,39821,1369584,-9999,76358,47351,-9999,906931,29000,3295,-9999,242630,10300,14080,42809,-9999,64196,42240,376439,16600,23056,0,74043,74043,-9999,117394,25400,184476,42300,42300,30559,21750,26574,60800,6380,41400,90110,14165,-9999,9514,487350,83850,8035,1752980,191440,-9999,46900,-9999,68500,27460,35740,2182851,4300,-9999,156837,513536,15858,38700,-9999,36291,1590953,153500,153500,238183,-9999
2006,808336,-9999,17711,45753,51300,1452128,-9999,74285,46293,-9999,992010,29000,3724,-9999,294870,27100,17920,51764,-9999,65278,43950,652327,33500,25243,0,95700,95700,-9999,150900,34900,216730,45000,45000,33840,22377,21153,67100,5460,56375,97993,13889,-9999,7995,708042,206172,8181,2877345,194220,-9999,52100,-9999,82600,35207,39937,3034837,4730,-9999,402642,925423,21000,40600,-9999,45815,1890254,190948,190948,237641,-9999
2007,945000,-9999,19016,51881,45800,1444734,-9999,76951,44100,-9999,970599,29000,3333,-9999,304340,30300,17990,57721,-9999,67907,43540,638842,20300,43076,0,97462,97462,-9999,119580,31063,221388,40100,40100,33577,21362,22683,65900,4300,52052,100000,14487,-9999,14033,696553,192975,7847,2832969,191160,-9999,49800,-9999,74000,33510,38110,3205145,3750,-9999,402112,911032,32368,50100,-9999,41972,1794965,173891,173891,237831,-9999
2008,797000,-9999,15774,23435,39700,1243251,-9999,67716,38300,-9999,894409,29000,4105,-9999,213630,16400,14430,41610,-9999,65503,23650,323046,20300,31038,0,68870,68870,-9999,93250,37688,67610,41500,41500,30957,22545,24115,58500,5940,42970,85834,14315,-9999,5503,617540,127113,8158,1568222,178940,-9999,50700,-9999,61500,31027,17440,1879144,4280,-9999,194303,445111,22428,36900,-9999,33731,1461120,166825,166825,236624,-9999
2009,757540,-9999,15229,22942,32500,1151049,-9999,67763,42464,-9999,896426,29000,5031,-9999,145770,2900,1010,40009,-9999,69215,37570,269825,24100,26192,0,58515,58515,-9999,117394,32356,20710,39100,39100,29051,21927,24450,54216,4770,41349,90270,14285,-9999,10142,522525,87379,8078,1097190,162520,-9999,45522,-9999,93800,27909,31980,1384481,3960,-9999,36884,199741,11328,29600,-9999,37104,1136968,170758,170758,231625,-9999
2010,768502,-9999,17413,37353,43163,1001530,-9999,77498,41071,-9999,875898,29000,3010,-9999,322320,8150,14360,42371,-9999,67756,27980,411575,3860,20841,0,86100,86100,-9999,125211,33330,14164,40866,40866,32041,21386,32280,55655,5420,46471,78780,13631,-9999,7130,613539,61157,8040,1336524,167940,-9999,50814,-9999,80900,32604,31830,1773947,3770,-9999,197726,223477,34510,52700,-9999,45893,919010,184956,184956,229214,-9999
2011,886908,-9999,17711,49793,55264,1083443,-9999,78348,35949,-9999,931714,29000,3272,-9999,317630,28130,17744,49079,-9999,65914,43840,624242,12500,22038,0,82736,82736,-9999,154763,40590,75982,42934,42934,33479,22118,30751,73500,6550,45620,75000,14390,-9999,10825,625263,108938,8087,1755185,186940,-9999,49700,-9999,111000,35498,35460,3318779,4786,-9999,373878,414710,13838,59800,-9999,49842,1557699,184582,184582,237800,-9999
2012,996684,-9999,20527,52794,55175,1302315,-9999,101944,41681,-9999,950910,29000,3762,-9999,307840,61040,19184,66017,-9999,66086,44150,740360,28800,44706,0,85810,85810,-9999,143930,31298,163380,50006,50006,34338,22570,38227,68600,5850,44595,48870,14375,-9999,15426,701244,189655,8301,3044665,183440,-9999,48000,-9999,125000,38808,35010,3341094,3991,-9999,642130,874049,15156,54500,-9999,32085,2166835,190831,190831,224891,-9999
