Year,Month,DATE / TIME (PDT),STORAGE AF,
1970,9,9/1/1970,41320,
1970,10,10/1/1970,23710,
1970,11,11/1/1970,25480,
1970,12,12/1/1970,22640,
1971,1,1/1/1971,24890,
1971,2,2/1/1971,20500,
1971,3,3/1/1971,16240,
1971,4,4/1/1971,5200,
1971,5,5/1/1971,41720,
1971,6,6/1/1971,111900,
1971,7,7/1/1971,92930,
1971,8,8/1/1971,60400,
1971,9,9/1/1971,39960,
1971,10,10/1/1971,21130,
1971,11,11/1/1971,26340,
1971,12,12/1/1971,17680,
1972,1,1/1/1972,16900,
1972,2,2/1/1972,19860,
1972,3,3/1/1972,4950,
1972,4,4/1/1972,10810,
1972,5,5/1/1972,86360,
1972,6,6/1/1972,106110,
1972,7,7/1/1972,88320,
1972,8,8/1/1972,42400,
1972,9,9/1/1972,34760,
1972,10,10/1/1972,4880,
1972,11,11/1/1972,10300,
1972,12,12/1/1972,12960,
1973,1,1/1/1973,15600,
1973,2,2/1/1973,11000,
1973,3,3/1/1973,4960,
1973,4,4/1/1973,38180,
1973,5,5/1/1973,122930,
1973,6,6/1/1973,121000,
1973,7,7/1/1973,99800,
1973,8,8/1/1973,58080,
1973,9,9/1/1973,43390,
1973,10,10/1/1973,31140,
1973,11,11/1/1973,53680,
1973,12,12/1/1973,44270,
1974,1,1/1/1974,23230,
1974,2,2/1/1974,7390,
1974,3,3/1/1974,14460,
1974,4,4/1/1974,24090,
1974,5,5/1/1974,122420,
1974,6,6/1/1974,118210,
1974,7,7/1/1974,100230,
1974,8,8/1/1974,50540,
1974,9,9/1/1974,34620,
1974,10,10/1/1974,25700,
1974,11,11/1/1974,19660,
1974,12,12/1/1974,23920,
1975,1,1/1/1975,22250,
1975,2,2/1/1975,14900,
1975,3,3/1/1975,29440,
1975,4,4/1/1975,--,
1975,5,5/1/1975,123720,
1975,6,6/1/1975,120200,
1975,7,7/1/1975,115450,
1975,8,8/1/1975,81910,
1975,9,9/1/1975,46730,
1975,10,10/1/1975,41300,
1975,11,11/1/1975,21880,
1975,12,12/1/1975,20600,
1976,1,1/1/1976,20560,
1976,2,2/1/1976,18820,
1976,3,3/1/1976,5440,
1976,4,4/1/1976,18750,
1976,5,5/1/1976,86400,
1976,6,6/1/1976,70790,
1976,7,7/1/1976,57440,
1976,8,8/1/1976,34580,
1976,9,9/1/1976,20950,
1976,10,10/1/1976,15200,
1976,11,11/1/1976,13430,
1976,12,12/1/1976,13930,
1977,1,1/1/1977,16080,
1977,2,2/1/1977,19720,
1977,3,3/1/1977,27170,
1977,4,4/1/1977,57080,
1977,5,5/1/1977,91760,
1977,6,6/1/1977,99370,
1977,7,7/1/1977,64960,
1977,8,8/1/1977,30810,
1977,9,9/1/1977,19960,
1977,10,10/1/1977,20810,
1977,11,11/1/1977,22360,
1977,12,12/1/1977,37250,
1978,1,1/1/1978,37880,
1978,2,2/1/1978,15810,
1978,3,3/1/1978,25730,
1978,4,4/1/1978,58600,
1978,5,5/1/1978,123700,
1978,6,6/1/1978,121000,
1978,7,7/1/1978,121000,
1978,8,8/1/1978,88720,
1978,9,9/1/1978,81620,
1978,10,10/1/1978,47540,
