;DESCRIPTION: Top of Conservation volumes,,,,,
;SOURCE: CalSim II through 2003; CalSim 3 through 2015,,,,,
;COLUMN HEADINGS: Reservoir names and Ids,,,,,
;UNITS: AF,,,,,
;Column,0,1,2,3,4
; Station ID,,SHSTA,FOLSM,OROVL,NHGAN
;Year,Month,Shasta Lake,Folsom Lake,Oroville Lake,New Hogan
$Columns=Year,,SHSTA,FOLSM,OROVL,NHGAN
1921,10,3250000,720000,3163000,233200
1921,11,3252000,575000,3163000,152100
1921,12,3368000,575000,2931000,152100
1922,1,3828000,575000,3105000,160100
1922,2,4042000,575000,2813000,169100
1922,3,4330000,674000,2922000,178100
1922,4,4552000,800000,3446000,250100
1922,5,4552000,975000,3538000,312100
1922,6,4500000,975000,3538000,317100
1922,7,4150000,950000,3538000,317100
1922,8,3700000,800000,3538000,317100
1922,9,3400000,650000,3350000,317100
1922,10,3250000,720000,3163000,233200
1922,11,3252000,575000,3163000,152100
1922,12,3369000,575000,2922000,152100
1923,1,3814000,575000,2976000,160100
1923,2,4242000,575000,3137000,177100
1923,3,4552000,674000,3163000,202100
1923,4,4552000,800000,3459000,269100
1923,5,4552000,975000,3538000,315100
1923,6,4500000,975000,3538000,317100
1923,7,4150000,950000,3538000,317100
1923,8,3700000,800000,3538000,317100
1923,9,3400000,650000,3350000,317100
1923,10,3250000,720000,3163000,233200
1923,11,3252000,575000,3163000,152100
1923,12,3370000,575000,3163000,152100
1924,1,3828000,575000,3150000,165100
1924,2,4256000,575000,3096000,188100
1924,3,4552000,675000,3163000,211100
1924,4,4552000,800000,3459000,270100
1924,5,4552000,975000,3538000,315100
1924,6,4500000,975000,3538000,317100
1924,7,4150000,950000,3538000,317100
1924,8,3700000,800000,3538000,317100
1924,9,3400000,650000,3350000,317100
1924,10,3250000,720000,3158000,233200
1924,11,3252000,575000,3163000,152100
1924,12,3370000,575000,3094000,152100
1925,1,3819000,575000,3163000,162100
1925,2,3705000,561000,2896000,181100
1925,3,4433000,654000,3002000,206100
1925,4,4552000,800000,3363000,268100
1925,5,4552000,975000,3538000,315100
1925,6,4500000,975000,3538000,317100
1925,7,4150000,950000,3538000,317100
1925,8,3700000,800000,3538000,317100
1925,9,3400000,650000,3350000,317100
1925,10,3250000,720000,3163000,233200
1925,11,3252000,575000,3163000,152100
1925,12,3370000,575000,3163000,152100
1926,1,3828000,575000,3012000,165100
1926,2,3982000,575000,2872000,188100
1926,3,4552000,673000,3145000,211100
1926,4,4552000,800000,3348000,270100
1926,5,4552000,975000,3538000,315100
1926,6,4500000,975000,3538000,317100
1926,7,4150000,950000,3538000,317100
1926,8,3700000,800000,3538000,317100
1926,9,3400000,650000,3350000,317100
1926,10,3250000,720000,3163000,233200
1926,11,3252000,575000,2788000,152100
1926,12,3347000,575000,3046000,152100
1927,1,3668000,575000,2985000,160100
1927,2,3462000,562000,2788000,177100
1927,3,4142000,661000,2999000,202100
1927,4,4552000,800000,3396000,269100
1927,5,4552000,975000,3538000,315100
1927,6,4500000,975000,3538000,317100
1927,7,4150000,950000,3538000,317100
1927,8,3700000,800000,3538000,317100
1927,9,3400000,650000,3350000,317100
1927,10,3250000,720000,3163000,233200
1927,11,3252000,575000,2966000,152100
1927,12,3363000,575000,3045000,152100
1928,1,3761000,575000,3072000,162100
1928,2,4099000,575000,3108000,181100
1928,3,3965000,638000,2797000,206100
1928,4,4552000,800000,3350000,268100
1928,5,4552000,975000,3538000,315100
1928,6,4500000,975000,3538000,317100
1928,7,4150000,950000,3538000,317100
1928,8,3700000,800000,3538000,317100
1928,9,3400000,650000,3350000,317100
1928,10,3250000,720000,3163000,233200
1928,11,3252000,575000,3163000,152100
1928,12,3370000,575000,3133000,152100
1929,1,3828000,575000,3163000,165100
1929,2,4256000,575000,3163000,188100
1929,3,4552000,675000,3163000,211100
1929,4,4552000,800000,3459000,270100
1929,5,4552000,975000,3538000,315100
1929,6,4500000,975000,3538000,317100
1929,7,4150000,950000,3538000,317100
1929,8,3700000,800000,3538000,317100
1929,9,3400000,650000,3350000,317100
1929,10,3250000,720000,3163000,233200
1929,11,3252000,575000,3163000,152100
1929,12,3348000,575000,2822000,152100
1930,1,3782000,575000,2927000,165100
1930,2,4054000,572000,2972000,188100
1930,3,4450000,672000,3105000,211100
1930,4,4552000,800000,3433000,270100
1930,5,4552000,975000,3538000,315100
1930,6,4500000,975000,3538000,317100
1930,7,4150000,950000,3538000,317100
1930,8,3700000,800000,3538000,317100
1930,9,3400000,650000,3350000,317100
1930,10,3250000,720000,3163000,233200
1930,11,3252000,575000,3163000,152100
1930,12,3370000,575000,3163000,152100
1931,1,3828000,575000,3163000,165100
1931,2,4256000,575000,3163000,188100
1931,3,4552000,675000,3159000,211100
1931,4,4552000,800000,3459000,270100
1931,5,4552000,975000,3538000,315100
1931,6,4500000,975000,3538000,317100
1931,7,4150000,950000,3538000,317100
1931,8,3700000,800000,3538000,317100
1931,9,3400000,650000,3350000,317100
1931,10,3250000,720000,3163000,233200
1931,11,3252000,575000,3163000,152100
1931,12,3359000,575000,2788000,152100
1932,1,3818000,575000,2931000,160100
1932,2,4251000,575000,3120000,177100
1932,3,4439000,673000,3163000,202100
1932,4,4552000,800000,3433000,269100
1932,5,4552000,975000,3538000,315100
1932,6,4500000,975000,3538000,317100
1932,7,4150000,950000,3538000,317100
1932,8,3700000,800000,3538000,317100
1932,9,3400000,650000,3350000,317100
1932,10,3250000,720000,3163000,233200
1932,11,3252000,575000,3163000,152100
1932,12,3370000,575000,3163000,152100
1933,1,3828000,575000,2956000,165100
1933,2,4256000,575000,3135000,188100
1933,3,4310000,675000,3081000,211100
1933,4,4552000,800000,3459000,270100
1933,5,4552000,975000,3538000,315100
1933,6,4500000,975000,3538000,317100
1933,7,4150000,950000,3538000,317100
1933,8,3700000,800000,3538000,317100
1933,9,3400000,650000,3350000,317100
1933,10,3250000,720000,3115000,233200
1933,11,3252000,575000,3163000,152100
1933,12,3368000,575000,2941000,152100
1934,1,3814000,575000,3108000,165100
1934,2,4091000,574000,3009000,188100
1934,3,4552000,670000,3095000,211100
1934,4,4552000,800000,3459000,270100
1934,5,4552000,975000,3538000,315100
1934,6,4500000,975000,3538000,317100
1934,7,4150000,950000,3538000,317100
1934,8,3700000,800000,3538000,317100
1934,9,3400000,650000,3350000,317100
1934,10,3250000,720000,3163000,233200
1934,11,3252000,575000,3045000,152100
1934,12,3370000,575000,3055000,152100
1935,1,3788000,575000,2965000,160100
1935,2,4123000,575000,3002000,177100
1935,3,4482000,675000,3027000,202100
1935,4,4491000,800000,3234000,269100
1935,5,4552000,975000,3538000,315100
1935,6,4500000,975000,3538000,317100
