Year,Month,DATE / TIME (PDT),STORAGE AF
1983,3,3/1/1983,1030
1983,4,4/1/1983,2050
1983,5,5/1/1983,58260
1983,6,6/1/1983,57030
1983,7,7/1/1983,64270
1983,8,8/1/1983,57280
1983,9,9/1/1983,29470
1983,10,10/1/1983,5390
1983,11,11/1/1983,1250
1983,12,12/1/1983,1330
1984,1,1/1/1984,1180
1984,2,2/1/1984,1176
1984,3,3/1/1984,1270
1984,4,4/1/1984,1340
1984,5,5/1/1984,50910
1984,6,6/1/1984,63940
1984,7,7/1/1984,63910
1984,8,8/1/1984,59580
1984,9,9/1/1984,45040
1984,10,10/1/1984,39110
1984,11,11/1/1984,19030
1984,12,12/1/1984,1170
1985,1,1/1/1985,1150
1985,2,2/1/1985,1210
1985,3,3/1/1985,1270
1985,4,4/1/1985,4610
1985,5,5/1/1985,40440
1985,6,6/1/1985,62800
1985,7,7/1/1985,50120
1985,8,8/1/1985,30800
1985,9,9/1/1985,14770
1985,10,10/1/1985,1130
1985,11,11/1/1985,1220
1985,12,12/1/1985,1210
1986,1,1/1/1986,1270
1986,2,2/1/1986,1450
1986,3,3/1/1986,1600
1986,4,4/1/1986,4880
1986,5,5/1/1986,56840
1986,6,6/1/1986,64340
1986,7,7/1/1986,62620
1986,8,8/1/1986,51980
1986,9,9/1/1986,32190
1986,10,10/1/1986,15240
1986,11,11/1/1986,1050
1986,12,12/1/1986,1030
1987,1,1/1/1987,1080
1987,2,2/1/1987,11120
1987,3,3/1/1987,1170
1987,4,4/1/1987,6040
1987,5,5/1/1987,30840
1987,6,6/1/1987,56600
1987,7,7/1/1987,52043
1987,8,8/1/1987,15288
1987,9,9/1/1987,1120
1987,10,10/1/1987,1090
1987,11,11/1/1987,1080
1987,12,12/1/1987,1100
1988,1,1/1/1988,1170
1988,2,2/1/1988,1210
1988,3,3/1/1988,1264
1988,4,4/1/1988,1390
1988,5,5/1/1988,33560
1988,6,6/1/1988,51450
1988,7,7/1/1988,24460
1988,8,8/1/1988,22260
1988,9,9/1/1988,6300
1988,10,10/1/1988,1056
1988,11,11/1/1988,1090
1988,12,12/1/1988,1090
1989,1,1/1/1989,1090
1989,2,2/1/1989,1156
1989,3,3/1/1989,1259
1989,4,4/1/1989,10655
1989,5,5/1/1989,32035
1989,6,6/1/1989,47025
1989,7,7/1/1989,39827
1989,8,8/1/1989,22401
1989,9,9/1/1989,968
1989,10,10/1/1989,1095
1989,11,11/1/1989,1098
1989,12,12/1/1989,1047
1990,1,1/1/1990,1091
1990,2,2/1/1990,1119
1990,3,3/1/1990,1198
1990,4,4/1/1990,4778
1990,5,5/1/1990,26603
1990,6,6/1/1990,36779
1990,7,7/1/1990,11942
1990,8,8/1/1990,1045
1990,9,9/1/1990,1052
1990,10,10/1/1990,1020
1990,11,11/1/1990,1045
1990,12,12/1/1990,1023
1991,1,1/1/1991,1010
1991,2,2/1/1991,1190
1991,3,3/1/1991,3010
1991,4,4/1/1991,10921
1991,5,5/1/1991,19891
1991,6,6/1/1991,58992
1991,7,7/1/1991,48757
1991,8,8/1/1991,26545
1991,9,9/1/1991,11901
1991,10,10/1/1991,1120
1991,11,11/1/1991,1084
1991,12,12/1/1991,1080
1992,1,1/1/1992,1095
1992,2,2/1/1992,1200
1992,3,3/1/1992,1214
1992,4,4/1/1992,6501
1992,5,5/1/1992,41940
1992,6,6/1/1992,42888
1992,7,7/1/1992,34662
1992,8,8/1/1992,22442
1992,9,9/1/1992,14330
1992,10,10/1/1992,1166
1992,11,11/1/1992,1064
1992,12,12/1/1992,1117
1993,1,1/1/1993,1202
1993,2,2/1/1993,1221
1993,3,3/1/1993,1341
1993,4,4/1/1993,2304
1993,5,5/1/1993,26931
1993,6,6/1/1993,63590
1993,7,7/1/1993,63877
1993,8,8/1/1993,39120
1993,9,9/1/1993,8249
1993,10,10/1/1993,1066
1993,11,11/1/1993,1085
1993,12,12/1/1993,1076
1994,1,1/1/1994,1073
1994,2,2/1/1994,1141
1994,3,3/1/1994,1269
1994,4,4/1/1994,2372
1994,5,5/1/1994,27544
1994,6,6/1/1994,52032
1994,7,7/1/1994,25088
1994,8,8/1/1994,1076
1994,9,9/1/1994,1152
1994,10,10/1/1994,1129
1994,11,11/1/1994,1159
1994,12,12/1/1994,1141
1995,1,1/1/1995,1202
1995,2,2/1/1995,1242
1995,3,3/1/1995,1291
1995,4,4/1/1995,2402
1995,5,5/1/1995,6908
1995,6,6/1/1995,60942
1995,7,7/1/1995,62138
1995,8,8/1/1995,62948
1995,9,9/1/1995,42296
1995,10,10/1/1995,6438
1995,11,11/1/1995,1267
1995,12,12/1/1995,1159
1996,1,1/1/1996,2530
1996,2,2/1/1996,1276
1996,3,3/1/1996,1421
1996,4,4/1/1996,4692
1996,5,5/1/1996,41204
