"DATE / TIME (PDT)","STORAGE AF",""
"01/01/1950","--",""
"02/01/1950","--",""
"03/01/1950","--",""
"04/01/1950","--",""
"05/01/1950","--",""
"06/01/1950","--",""
"07/01/1950","--",""
"08/01/1950","--",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","--",""
"02/01/1951","--",""
"03/01/1951","--",""
"04/01/1951","--",""
"05/01/1951","--",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","--",""
"02/01/1952","--",""
"03/01/1952","--",""
"04/01/1952","--",""
"05/01/1952","--",""
"06/01/1952","--",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","--",""
"02/01/1953","--",""
"03/01/1953","--",""
"04/01/1953","--",""
"05/01/1953","--",""
"06/01/1953","--",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","3,325,600",""
"10/01/1953","3,325,600",""
"11/01/1953","3,360,100",""
"12/01/1953","3,359,600",""
"01/01/1954","3,421,000",""
"02/01/1954","3,250,900",""
"03/01/1954","3,816,400",""
"04/01/1954","4,431,000",""
"05/01/1954","4,399,500",""
"06/01/1954","4,186,300",""
"07/01/1954","3,734,700",""
"08/01/1954","3,293,700",""
"09/01/1954","3,056,800",""
"10/01/1954","2,944,700",""
"11/01/1954","3,020,900",""
"12/01/1954","3,194,200",""
"01/01/1955","3,186,700",""
"02/01/1955","3,252,800",""
"03/01/1955","3,416,100",""
"04/01/1955","3,678,800",""
"05/01/1955","3,807,400",""
"06/01/1955","3,560,900",""
"07/01/1955","3,093,200",""
"08/01/1955","2,670,200",""
"09/01/1955","2,455,300",""
"10/01/1955","2,332,300",""
"11/01/1955","2,357,100",""
"12/01/1955","3,416,100",""
"01/01/1956","3,362,000",""
"02/01/1956","3,548,700",""
"03/01/1956","3,884,500",""
"04/01/1956","--",""
"05/01/1956","4,502,200",""
"06/01/1956","4,423,700",""
"07/01/1956","4,125,200",""
"08/01/1956","3,824,900",""
"09/01/1956","3,568,500",""
"10/01/1956","3,413,400",""
"11/01/1956","3,278,300",""
"12/01/1956","3,180,100",""
"01/01/1957","3,280,400",""
"02/01/1957","3,918,900",""
"03/01/1957","4,063,900",""
"04/01/1957","4,431,300",""
"05/01/1957","4,495,700",""
"06/01/1957","4,319,200",""
"07/01/1957","3,988,300",""
"08/01/1957","3,669,200",""
"09/01/1957","3,484,900",""
"10/01/1957","3,395,400",""
"11/01/1957","3,250,700",""
"12/01/1957","3,406,700",""
"01/01/1958","3,558,300",""
"02/01/1958","3,695,200",""
"03/01/1958","4,242,200",""
"04/01/1958","4,415,500",""
"05/01/1958","4,483,900",""
"06/01/1958","4,460,300",""
"07/01/1958","4,200,400",""
"08/01/1958","3,784,600",""
"09/01/1958","3,473,400",""
"10/01/1958","3,255,700",""
"11/01/1958","3,092,000",""
"12/01/1958","3,023,900",""
"01/01/1959","3,331,600",""
"02/01/1959","3,459,700",""
"03/01/1959","3,782,000",""
"04/01/1959","3,948,700",""
"05/01/1959","3,850,500",""
"06/01/1959","3,574,400",""
"07/01/1959","3,135,300",""
"08/01/1959","2,659,300",""
"09/01/1959","2,504,100",""
"10/01/1959","2,421,700",""
"11/01/1959","2,400,800",""
"12/01/1959","2,427,400",""
"01/01/1960","2,607,600",""
"02/01/1960","3,208,200",""
"03/01/1960","3,895,500",""
"04/01/1960","4,058,400",""
"05/01/1960","4,078,900",""
"06/01/1960","3,828,400",""
"07/01/1960","3,384,100",""
"08/01/1960","2,959,900",""
"09/01/1960","2,756,300",""
"10/01/1960","2,627,600",""
"11/01/1960","2,662,300",""
"12/01/1960","3,082,300",""
"01/01/1961","3,247,100",""
"02/01/1961","3,552,200",""
"03/01/1961","3,597,300",""
"04/01/1961","3,714,300",""
"05/01/1961","3,741,900",""
"06/01/1961","3,500,000",""
"07/01/1961","3,026,200",""
"08/01/1961","2,565,200",""
"09/01/1961","2,333,000",""
"10/01/1961","2,213,400",""
"11/01/1961","2,254,300",""
"12/01/1961","2,576,400",""
"01/01/1962","2,716,700",""
"02/01/1962","3,621,200",""
"03/01/1962","3,994,300",""
"04/01/1962","4,320,100",""
"05/01/1962","4,292,700",""
"06/01/1962","4,026,100",""
"07/01/1962","3,597,600",""
"08/01/1962","3,143,000",""
"09/01/1962","2,908,000",""
"10/01/1962","3,193,300",""
"11/01/1962","3,189,000",""
"12/01/1962","3,262,900",""
"01/01/1963","3,191,600",""
"02/01/1963","3,437,600",""
"03/01/1963","3,838,200",""
"04/01/1963","4,404,700",""
"05/01/1963","4,498,700",""
"06/01/1963","4,337,500",""
"07/01/1963","3,985,800",""
"08/01/1963","3,589,400",""
"09/01/1963","3,242,000",""
"10/01/1963","3,111,000",""
"11/01/1963","3,208,200",""
"12/01/1963","2,989,400",""
"01/01/1964","3,206,300",""
"02/01/1964","3,161,000",""
"03/01/1964","3,276,100",""
"04/01/1964","3,301,400",""
"05/01/1964","3,221,100",""
"06/01/1964","3,123,400",""
"07/01/1964","2,749,200",""
"08/01/1964","2,389,000",""
"09/01/1964","2,202,200",""
"10/01/1964","2,186,500",""
"11/01/1964","2,350,800",""
"12/01/1964","3,254,700",""
"01/01/1965","3,249,000",""
"02/01/1965","3,270,800",""
"03/01/1965","3,561,400",""
"04/01/1965","4,422,800",""
"05/01/1965","4,488,900",""
"06/01/1965","4,406,800",""
"07/01/1965","4,122,100",""
"08/01/1965","3,815,600",""
"09/01/1965","3,612,400",""
"10/01/1965","3,424,000",""
"11/01/1965","3,510,800",""
"12/01/1965","3,194,200",""
"01/01/1966","3,155,600",""
"02/01/1966","3,483,900",""
"03/01/1966","4,089,500",""
"04/01/1966","4,460,600",""
"05/01/1966","4,472,100",""
"06/01/1966","4,236,500",""
"07/01/1966","3,789,700",""
"08/01/1966","3,396,900",""
"09/01/1966","3,262,900",""
"10/01/1966","3,150,500",""
"11/01/1966","3,337,700",""
"12/01/1966","3,163,100",""
"01/01/1967","3,511,300",""
"02/01/1967","3,350,600",""
"03/01/1967","4,099,200",""
"04/01/1967","4,467,100",""
"05/01/1967","4,523,500",""
"06/01/1967","4,443,900",""
"07/01/1967","4,120,200",""
"08/01/1967","3,765,000",""
"09/01/1967","3,505,800",""
"10/01/1967","3,329,200",""
"11/01/1967","3,237,300",""
"12/01/1967","3,167,800",""
"01/01/1968","3,246,100",""
"02/01/1968","3,536,500",""
"03/01/1968","3,797,900",""
"04/01/1968","3,889,300",""
"05/01/1968","3,908,700",""
"06/01/1968","3,713,800",""
"07/01/1968","3,307,400",""
"08/01/1968","2,957,900",""
"09/01/1968","2,669,800",""
"10/01/1968","2,515,100",""
"11/01/1968","2,472,900",""
"12/01/1968","2,732,400",""
"01/01/1969","3,205,900",""
"02/01/1969","3,197,300",""
"03/01/1969","3,666,600",""
"04/01/1969","4,393,700",""
"05/01/1969","4,486,800",""
"06/01/1969","4,275,400",""
"07/01/1969","3,978,100",""
"08/01/1969","3,645,900",""
"09/01/1969","3,527,900",""
"10/01/1969","3,366,900",""
"11/01/1969","3,228,000",""
"12/01/1969","3,262,900",""
"01/01/1970","--",""
"02/01/1970","3,408,700",""
"03/01/1970","3,980,600",""
"04/01/1970","4,100,100",""
"05/01/1970","4,106,800",""
"06/01/1970","3,948,500",""
"07/01/1970","3,728,200",""
"08/01/1970","3,571,600",""
"09/01/1970","3,440,000",""
"10/01/1970","3,393,400",""
"11/01/1970","3,494,700",""
"12/01/1970","3,202,300",""
"01/01/1971","3,343,000",""
"02/01/1971","3,439,600",""
"03/01/1971","4,269,400",""
"04/01/1971","4,493,300",""
"05/01/1971","4,505,800",""
"06/01/1971","4,394,600",""
"07/01/1971","4,070,300",""
"08/01/1971","3,580,200",""
"09/01/1971","3,274,900",""
"10/01/1971","3,230,800",""
"11/01/1971","3,216,800",""
"12/01/1971","3,205,600",""
"01/01/1972","3,404,200",""
"02/01/1972","3,616,000",""
"03/01/1972","4,076,200",""
"04/01/1972","4,363,200",""
"05/01/1972","4,220,300",""
"06/01/1972","3,930,600",""
"07/01/1972","3,576,400",""
"08/01/1972","3,321,000",""
"09/01/1972","3,266,500",""
"10/01/1972","3,279,900",""
"11/01/1972","3,237,000",""
"12/01/1972","3,300,400",""
"01/01/1973","3,285,700",""
"02/01/1973","3,494,000",""
"03/01/1973","3,985,500",""
"04/01/1973","4,297,600",""
"05/01/1973","4,365,200",""
"06/01/1973","4,174,100",""
"07/01/1973","3,813,000",""
"08/01/1973","3,500,000",""
"09/01/1973","3,316,600",""
"10/01/1973","3,240,800",""
"11/01/1973","3,625,800",""
"12/01/1973","3,379,900",""
"01/01/1974","3,613,200",""
"02/01/1974","3,620,200",""
"03/01/1974","4,503,400",""
"04/01/1974","4,395,400",""
"05/01/1974","4,542,600",""
"06/01/1974","4,400,100",""
"07/01/1974","4,190,800",""
"08/01/1974","3,854,800",""
"09/01/1974","3,658,300",""
"10/01/1974","3,555,400",""
"11/01/1974","3,339,100",""
"12/01/1974","3,204,400",""
"01/01/1975","3,218,000",""
"02/01/1975","3,574,400",""
"03/01/1975","4,046,000",""
"04/01/1975","4,579,100",""
"05/01/1975","4,536,600",""
"06/01/1975","4,402,400",""
"07/01/1975","4,085,900",""
