"DATE / TIME (PDT)","STORAGE AF",""
"01/01/1950","--",""
"02/01/1950","--",""
"03/01/1950","--",""
"04/01/1950","--",""
"05/01/1950","--",""
"06/01/1950","--",""
"07/01/1950","--",""
"08/01/1950","--",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","--",""
"02/01/1951","--",""
"03/01/1951","--",""
"04/01/1951","--",""
"05/01/1951","--",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","--",""
"02/01/1952","--",""
"03/01/1952","--",""
"04/01/1952","--",""
"05/01/1952","--",""
"06/01/1952","--",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","--",""
"02/01/1953","--",""
"03/01/1953","--",""
"04/01/1953","--",""
"05/01/1953","--",""
"06/01/1953","--",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","--",""
"11/01/1953","--",""
"12/01/1953","--",""
"01/01/1954","--",""
"02/01/1954","--",""
"03/01/1954","--",""
"04/01/1954","--",""
"05/01/1954","--",""
"06/01/1954","--",""
"07/01/1954","--",""
"08/01/1954","--",""
"09/01/1954","--",""
"10/01/1954","--",""
"11/01/1954","--",""
"12/01/1954","--",""
"01/01/1955","--",""
"02/01/1955","--",""
"03/01/1955","--",""
"04/01/1955","--",""
"05/01/1955","--",""
"06/01/1955","--",""
"07/01/1955","--",""
"08/01/1955","--",""
"09/01/1955","160,262",""
"10/01/1955","160,262",""
"11/01/1955","172,633",""
"12/01/1955","520,807",""
"01/01/1956","477,361",""
"02/01/1956","495,074",""
"03/01/1956","481,688",""
"04/01/1956","654,585",""
"05/01/1956","1,009,200",""
"06/01/1956","1,018,400",""
"07/01/1956","865,000",""
"08/01/1956","650,300",""
"09/01/1956","533,400",""
"10/01/1956","502,300",""
"11/01/1956","438,300",""
"12/01/1956","409,500",""
"01/01/1957","414,700",""
"02/01/1957","618,900",""
"03/01/1957","646,600",""
"04/01/1957","751,600",""
"05/01/1957","987,500",""
"06/01/1957","1,004,100",""
"07/01/1957","858,900",""
"08/01/1957","670,900",""
"09/01/1957","534,600",""
"10/01/1957","463,700",""
"11/01/1957","389,700",""
"12/01/1957","436,200",""
"01/01/1958","495,200",""
"02/01/1958","610,400",""
"03/01/1958","659,900",""
"04/01/1958","621,700",""
"05/01/1958","983,800",""
"06/01/1958","1,013,300",""
"07/01/1958","903,900",""
"08/01/1958","711,500",""
"09/01/1958","550,100",""
"10/01/1958","480,800",""
"11/01/1958","434,400",""
"12/01/1958","378,300",""
"01/01/1959","476,200",""
"02/01/1959","547,700",""
"03/01/1959","562,200",""
"04/01/1959","765,400",""
"05/01/1959","891,700",""
"06/01/1959","828,700",""
"07/01/1959","581,300",""
"08/01/1959","374,200",""
"09/01/1959","311,800",""
"10/01/1959","293,400",""
"11/01/1959","273,100",""
"12/01/1959","264,000",""
"01/01/1960","301,600",""
"02/01/1960","505,300",""
"03/01/1960","702,200",""
"04/01/1960","863,800",""
"05/01/1960","1,012,400",""
"06/01/1960","939,300",""
"07/01/1960","738,800",""
"08/01/1960","591,500",""
"09/01/1960","518,400",""
"10/01/1960","502,200",""
"11/01/1960","490,400",""
"12/01/1960","432,300",""
"01/01/1961","339,300",""
"02/01/1961","416,800",""
"03/01/1961","530,100",""
"04/01/1961","701,400",""
"05/01/1961","895,800",""
"06/01/1961","870,700",""
"07/01/1961","642,300",""
"08/01/1961","447,100",""
"09/01/1961","389,000",""
"10/01/1961","363,100",""
"11/01/1961","359,900",""
"12/01/1961","398,700",""
"01/01/1962","444,200",""
"02/01/1962","626,600",""
"03/01/1962","454,000",""
"04/01/1962","646,200",""
"05/01/1962","845,600",""
"06/01/1962","948,200",""
"07/01/1962","783,900",""
"08/01/1962","592,400",""
"09/01/1962","454,200",""
"10/01/1962","591,100",""
"11/01/1962","473,500",""
"12/01/1962","493,900",""
"01/01/1963","612,100",""
"02/01/1963","626,300",""
"03/01/1963","637,900",""
"04/01/1963","759,100",""
"05/01/1963","980,900",""
"06/01/1963","1,002,400",""
"07/01/1963","834,200",""
"08/01/1963","628,000",""
"09/01/1963","466,400",""
"10/01/1963","436,600",""
"11/01/1963","477,500",""
"12/01/1963","414,200",""
"01/01/1964","505,100",""
"02/01/1964","507,800",""
"03/01/1964","514,400",""
"04/01/1964","683,100",""
"05/01/1964","920,300",""
"06/01/1964","975,800",""
"07/01/1964","824,500",""
"08/01/1964","671,200",""
"09/01/1964","536,400",""
"10/01/1964","470,500",""
"11/01/1964","505,700",""
"12/01/1964","629,400",""
"01/01/1965","580,200",""
"02/01/1965","553,700",""
"03/01/1965","533,400",""
"04/01/1965","839,200",""
"05/01/1965","878,500",""
"06/01/1965","1,012,800",""
"07/01/1965","942,900",""
"08/01/1965","801,700",""
"09/01/1965","671,400",""
"10/01/1965","607,600",""
"11/01/1965","584,300",""
"12/01/1965","554,600",""
"01/01/1966","589,000",""
"02/01/1966","621,900",""
"03/01/1966","647,700",""
"04/01/1966","807,300",""
"05/01/1966","909,100",""
"06/01/1966","870,600",""
"07/01/1966","782,100",""
"08/01/1966","676,300",""
"09/01/1966","652,700",""
"10/01/1966","648,000",""
"11/01/1966","601,600",""
"12/01/1966","562,000",""
"01/01/1967","620,200",""
"02/01/1967","569,800",""
"03/01/1967","629,600",""
"04/01/1967","661,200",""
"05/01/1967","905,300",""
"06/01/1967","998,300",""
"07/01/1967","970,500",""
"08/01/1967","894,100",""
"09/01/1967","798,600",""
"10/01/1967","734,100",""
"11/01/1967","660,000",""
"12/01/1967","554,100",""
"01/01/1968","596,400",""
"02/01/1968","724,500",""
"03/01/1968","651,900",""
"04/01/1968","684,300",""
"05/01/1968","772,400",""
"06/01/1968","696,800",""
"07/01/1968","555,500",""
"08/01/1968","546,600",""
"09/01/1968","551,400",""
"10/01/1968","577,400",""
"11/01/1968","596,700",""
"12/01/1968","601,200",""
"01/01/1969","566,400",""
"02/01/1969","598,800",""
"03/01/1969","453,900",""
"04/01/1969","581,000",""
"05/01/1969","743,400",""
"06/01/1969","861,700",""
"07/01/1969","893,000",""
"08/01/1969","878,100",""
"09/01/1969","813,600",""
"10/01/1969","664,000",""
"11/01/1969","581,000",""
"12/01/1969","625,200",""
"01/01/1970","607,500",""
"02/01/1970","620,200",""
"03/01/1970","614,000",""
"04/01/1970","703,700",""
"05/01/1970","834,800",""
"06/01/1970","900,600",""
"07/01/1970","770,900",""
"08/01/1970","680,900",""
"09/01/1970","549,200",""
"10/01/1970","529,200",""
"11/01/1970","592,700",""
"12/01/1970","558,200",""
"01/01/1971","520,600",""
"02/01/1971","568,500",""
"03/01/1971","794,500",""
"04/01/1971","818,900",""
"05/01/1971","926,400",""
"06/01/1971","985,300",""
"07/01/1971","869,100",""
"08/01/1971","785,900",""
"09/01/1971","685,500",""
"10/01/1971","616,900",""
"11/01/1971","569,300",""
"12/01/1971","599,800",""
"01/01/1972","598,500",""
"02/01/1972","613,900",""
"03/01/1972","723,400",""
"04/01/1972","865,100",""
"05/01/1972","983,000",""
"06/01/1972","949,700",""
"07/01/1972","841,800",""
"08/01/1972","750,100",""
"09/01/1972","658,700",""
"10/01/1972","607,100",""
"11/01/1972","589,500",""
"12/01/1972","631,100",""
"01/01/1973","594,600",""
"02/01/1973","605,900",""
"03/01/1973","642,400",""
"04/01/1973","790,600",""
"05/01/1973","989,800",""
"06/01/1973","926,000",""
"07/01/1973","809,900",""
"08/01/1973","769,100",""
"09/01/1973","742,200",""
"10/01/1973","668,300",""
"11/01/1973","608,200",""
"12/01/1973","680,800",""
"01/01/1974","611,400",""
"02/01/1974","619,300",""
"03/01/1974","751,100",""
"04/01/1974","775,500",""
"05/01/1974","926,300",""
"06/01/1974","950,200",""
"07/01/1974","934,900",""
"08/01/1974","867,800",""
"09/01/1974","772,800",""
"10/01/1974","683,700",""
"11/01/1974","642,500",""
"12/01/1974","597,800",""
"01/01/1975","630,500",""
"02/01/1975","612,100",""
"03/01/1975","707,800",""
"04/01/1975","690,400",""
"05/01/1975","869,600",""
"06/01/1975","941,800",""
"07/01/1975","854,600",""
"08/01/1975","791,500",""
"09/01/1975","773,000",""
"10/01/1975","704,200",""
"11/01/1975","630,200",""
"12/01/1975","572,200",""
"01/01/1976","539,200",""
"02/01/1976","581,800",""
"03/01/1976","633,500",""
"04/01/1976","636,000",""
"05/01/1976","633,800",""
"06/01/1976","582,100",""
"07/01/1976","520,300",""
"08/01/1976","451,400",""
"09/01/1976","416,400",""
"10/01/1976","417,300",""
"11/01/1976","393,700",""
"12/01/1976","317,000",""
"01/01/1977","292,000",""
"02/01/1977","271,500",""
"03/01/1977","285,300",""
"04/01/1977","297,900",""
"05/01/1977","303,900",""
"06/01/1977","252,500",""
"07/01/1977","200,100",""
"08/01/1977","163,600",""
"09/01/1977","147,000",""
"10/01/1977","146,300",""
"11/01/1977","147,000",""
"12/01/1977","258,800",""
"01/01/1978","602,500",""
"02/01/1978","646,700",""
"03/01/1978","618,200",""
"04/01/1978","844,300",""
"05/01/1978","886,600",""
"06/01/1978","927,400",""
"07/01/1978","871,100",""
"08/01/1978","810,000",""
"09/01/1978","700,100",""
"10/01/1978","627,600",""
"11/01/1978","638,500",""
