;DESCRIPTION: CalSim values for zone boundaries for Shasta and Trinity,,,,,,,,
;SOURCE: CalSimII through 2003; CalSim 3 through 2015 (CS3A2010Existing2017v3),,,,,,,,
;COLUMN HEADINGS: ,,,,,,,,
;UNITS: AF,,,,,,,,
;Column,0,1,2,3,4,5,6,
;Year,Month,Trinity level 2,Trinity level 3,Trinity level 4,Shasta level 2 ,Shasta level 3 ,Shasta level 4 ,Shasta level 5 
1921,10,1100000,1600000,1850000,2000000,2500000,3200000,3250000
1921,11,1100000,1600000,1850000,2000000,2500000,3200000,3252000
1921,12,1100000,1600000,1850000,2000000,2500000,3368000,3368000
1922,1,1100000,1600000,1900000,2000000,2500000,3828000,3828000
1922,2,1100000,1600000,2000000,2000000,2500000,4042000,4042000
1922,3,1100000,1600000,2100000,2000000,2500000,4330000,4330000
1922,4,1100000,1600000,2300000,2000000,2500000,4552000,4552000
1922,5,1100000,2038300.118,2420000,2000000,4312869.137,4552000,4552000
1922,6,1100000,1972875.588,2447000,2000000,3200000,3200000,4500000
1922,7,1100000,1904891.302,2270000,2000000,3200000,3200000,4150000
1922,8,1100000,1767064.109,2150000,2000000,3106161.766,3200000,3700000
1922,9,1100000,1600000,1975000,2000000,2500000,3200000,3400000
1922,10,1100000,1600000,1850000,2000000,2500000,3200000,3250000
1922,11,1100000,1600000,1850000,2000000,2500000,3200000,3252000
1922,12,1100000,1600000,1850000,2000000,2500000,3369000,3369000
1923,1,1100000,1500000,1900000,2000000,2500000,3814000,3814000
1923,2,1100000,1500000,2000000,2000000,2500000,4242000,4242000
1923,3,1100000,1500000,2100000,2000000,2500000,4552000,4552000
1923,4,1100000,1500000,2300000,2000000,2500000,4552000,4552000
1923,5,1100000,1840271.09,2420000,2000000,3708074.297,4552000,4552000
1923,6,1100000,1722267.179,2447000,2000000,3200000,3200000,4500000
1923,7,1100000,1629355.845,2270000,2000000,3037798.018,3200000,4150000
1923,8,1100000,1520805.659,2150000,2000000,2684216.109,3200000,3700000
1923,9,1100000,1382823.393,1975000,2000000,2500000,3200000,3400000
1923,10,1100000,1500000,1850000,2000000,2500000,3200000,3250000
1923,11,1100000,1500000,1850000,2000000,2500000,3200000,3252000
1923,12,1100000,1500000,1850000,2000000,2500000,3370000,3370000
1924,1,500000,1000000,1900000,650000,2500000,3828000,3828000
1924,2,500000,1000000,2000000,650000,2500000,4256000,4256000
1924,3,500000,1000000,2100000,650000,2500000,4552000,4552000
1924,4,500000,1000000,2300000,650000,2500000,4552000,4552000
1924,5,500000,1052391.798,2420000,650000,2565937.53,4552000,4552000
1924,6,500000,967527.7598,2447000,650000,2317529.126,3200000,4500000
1924,7,500000,902826.6886,2270000,650000,2059920.993,3200000,4150000
1924,8,500000,778962.3083,2150000,650000,1751324.249,3200000,3700000
1924,9,500000,656369.2477,1975000,650000,1461106.955,3200000,3400000
1924,10,500000,1000000,1850000,650000,2500000,3200000,3250000
1924,11,500000,1000000,1850000,650000,2500000,3200000,3252000
1924,12,500000,1000000,1850000,650000,2500000,3370000,3370000
1925,1,700000,1300000,1900000,1700000,2500000,3819000,3819000
1925,2,700000,1300000,2000000,1700000,2500000,3705000,3705000
1925,3,700000,1300000,2100000,1700000,2500000,4433000,4433000
1925,4,700000,1300000,2300000,1700000,2500000,4552000,4552000
1925,5,700000,1552403.377,2420000,1700000,3807354.352,4552000,4552000
1925,6,700000,1425033.278,2447000,1700000,3200000,3200000,4500000
1925,7,700000,1304334.1,2270000,1700000,3200000,3200000,4150000
1925,8,700000,1149745.035,2150000,1700000,2876783.464,3200000,3700000
1925,9,700000,1072326.713,1975000,1700000,2500000,3200000,3400000
1925,10,700000,1300000,1850000,1700000,2500000,3200000,3250000
1925,11,700000,1300000,1850000,1700000,2500000,3200000,3252000
1925,12,700000,1300000,1850000,1700000,2500000,3370000,3370000
1926,1,700000,1300000,1900000,1700000,2500000,3828000,3828000
1926,2,700000,1300000,2000000,1700000,2500000,3982000,3982000
1926,3,700000,1300000,2100000,1700000,2500000,4552000,4552000
1926,4,700000,1300000,2300000,1700000,2500000,4552000,4552000
1926,5,700000,1486909.205,2420000,1700000,3716675.101,4552000,4552000
1926,6,700000,1349579.168,2447000,1700000,3200000,3200000,4500000
1926,7,700000,1282373.63,2270000,1700000,3036389.51,3200000,4150000
1926,8,700000,1143131.956,2150000,1700000,2604159.662,3200000,3700000
1926,9,700000,1036456.47,1975000,1700000,2463342.114,3200000,3400000
1926,10,700000,1300000,1850000,1700000,2500000,3200000,3250000
1926,11,700000,1300000,1850000,1700000,2500000,3200000,3252000
1926,12,700000,1300000,1850000,1700000,2500000,3347000,3347000
1927,1,1100000,1600000,1900000,2000000,2500000,3668000,3668000
1927,2,1100000,1600000,2000000,2000000,2500000,3462000,3462000
1927,3,1100000,1600000,2100000,2000000,2500000,4142000,4142000
1927,4,1100000,1600000,2300000,2000000,2500000,4552000,4552000
1927,5,1100000,2094003.107,2420000,2000000,4380885.974,4552000,4552000
1927,6,1100000,2011692.432,2447000,2000000,3200000,3200000,4500000
1927,7,1100000,1899789.476,2270000,2000000,3200000,3200000,4150000
1927,8,1100000,1748346.835,2150000,2000000,3121629.614,3200000,3700000
1927,9,1100000,1600000,1975000,2000000,2500000,3200000,3400000
1927,10,1100000,1600000,1850000,2000000,2500000,3200000,3250000
1927,11,1100000,1600000,1850000,2000000,2500000,3200000,3252000
1927,12,1100000,1600000,1850000,2000000,2500000,3363000,3363000
1928,1,1100000,1600000,1900000,2000000,2500000,3761000,3761000
1928,2,1100000,1600000,2000000,2000000,2500000,4099000,4099000
1928,3,1100000,1600000,2100000,2000000,2500000,3965000,3965000
1928,4,1100000,1600000,2300000,2000000,2500000,4552000,4552000
1928,5,1100000,2147923.256,2420000,2000000,4275628.945,4552000,4552000
1928,6,1100000,1959591.402,2447000,2000000,3200000,3200000,4500000
1928,7,1100000,1838964.631,2270000,2000000,3200000,3200000,4150000
1928,8,1100000,1719981.49,2150000,2000000,2893603.42,3200000,3700000
1928,9,1100000,1600000,1975000,2000000,2500000,3200000,3400000
1928,10,1100000,1600000,1850000,2000000,2500000,3200000,3250000
1928,11,1100000,1600000,1850000,2000000,2500000,3200000,3252000
1928,12,1100000,1600000,1850000,2000000,2500000,3370000,3370000
1929,1,500000,1000000,1900000,650000,2500000,3828000,3828000
1929,2,500000,1000000,2000000,650000,2500000,4256000,4256000
1929,3,500000,1000000,2100000,650000,2500000,4552000,4552000
1929,4,500000,1000000,2300000,650000,2500000,4552000,4552000
1929,5,500000,1307365.308,2420000,650000,3009973.778,4552000,4552000
1929,6,500000,1264517.89,2447000,650000,2837491.023,3200000,4500000
1929,7,500000,1161936.393,2270000,650000,2594230.646,3200000,4150000
1929,8,500000,1029976.715,2150000,650000,2364127.855,3200000,3700000
1929,9,500000,941197.5052,1975000,650000,2108829.149,3200000,3400000
1929,10,500000,1000000,1850000,650000,2500000,3200000,3250000
1929,11,500000,1000000,1850000,650000,2500000,3200000,3252000
1929,12,500000,1000000,1850000,650000,2500000,3348000,3348000
1930,1,700000,1300000,1900000,1700000,2500000,3782000,3782000
1930,2,700000,1300000,2000000,1700000,2500000,4054000,4054000
1930,3,700000,1300000,2100000,1700000,2500000,4450000,4450000
1930,4,700000,1300000,2300000,1700000,2500000,4552000,4552000
1930,5,700000,1357132.969,2420000,1700000,3377020.707,4552000,4552000
1930,6,700000,1240788.627,2447000,1700000,3200000,3200000,4500000
1930,7,700000,1185527.28,2270000,1700000,2882315.022,3200000,4150000
1930,8,700000,1079090.796,2150000,1700000,2546791.268,3200000,3700000
1930,9,700000,973858.5022,1975000,1700000,2481004.036,3200000,3400000
1930,10,700000,1300000,1850000,1700000,2500000,3200000,3250000
1930,11,700000,1300000,1850000,1700000,2500000,3200000,3252000
1930,12,700000,1300000,1850000,1700000,2500000,3370000,3370000
1931,1,500000,1000000,1900000,650000,2500000,3828000,3828000
1931,2,500000,1000000,2000000,650000,2500000,4256000,4256000
1931,3,500000,1000000,2100000,650000,2500000,4552000,4552000
1931,4,500000,1000000,2300000,650000,2500000,4552000,4552000
1931,5,500000,989836.6369,2420000,650000,2277817.557,4552000,4552000
1931,6,500000,937163.1907,2447000,650000,2080699.334,3200000,4500000
1931,7,500000,879163.5099,2270000,650000,1746616.935,3200000,4150000
1931,8,500000,756091.3378,2150000,650000,1278828.15,3200000,3700000
1931,9,500000,634128.9515,1975000,650000,956034.4484,3200000,3400000
1931,10,500000,1000000,1850000,650000,2500000,3200000,3250000
1931,11,500000,1000000,1850000,650000,2500000,3200000,3252000
1931,12,500000,1000000,1850000,650000,2500000,3359000,3359000
1932,1,700000,1300000,1900000,1700000,2500000,3818000,3818000
1932,2,700000,1300000,2000000,1700000,2500000,4251000,4251000
1932,3,700000,1300000,2100000,1700000,2500000,4439000,4439000
1932,4,700000,1300000,2300000,1700000,2500000,4552000,4552000
1932,5,700000,905766.6321,2420000,1700000,2108092.08,4552000,4552000
1932,6,700000,799818.6421,2447000,1700000,2124409.18,3200000,4500000
1932,7,700000,729291.1412,2270000,1700000,1930126.137,3200000,4150000
1932,8,700000,700000,2150000,1700000,1700000,3200000,3700000
1932,9,700000,700000,1975000,1700000,1700000,3200000,3400000
1932,10,700000,1300000,1850000,1700000,2500000,3200000,3250000
1932,11,700000,1300000,1850000,1700000,2500000,3200000,3252000
1932,12,700000,1300000,1850000,1700000,2500000,3370000,3370000
1933,1,500000,1000000,1900000,650000,2500000,3828000,3828000
1933,2,500000,1000000,2000000,650000,2500000,4256000,4256000
1933,3,500000,1000000,2100000,650000,2500000,4310000,4310000
1933,4,500000,1000000,2300000,650000,2500000,4552000,4552000
1933,5,500000,836469.7445,2420000,650000,2160473.579,4552000,4552000
1933,6,500000,855912.1607,2447000,650000,2163239.271,3200000,4500000
1933,7,500000,825300.0556,2270000,650000,1944988.594,3200000,4150000
1933,8,500000,708397.7273,2150000,650000,1672529.998,3200000,3700000
1933,9,500000,666688.8627,1975000,650000,1101117.731,3200000,3400000
1933,10,500000,1000000,1850000,650000,2500000,3200000,3250000
1933,11,500000,1000000,1850000,650000,2500000,3200000,3252000
1933,12,500000,1000000,1850000,650000,2500000,3368000,3368000
1934,1,500000,1000000,1900000,650000,2500000,3814000,3814000
1934,2,500000,1000000,2000000,650000,2500000,4091000,4091000
1934,3,500000,1000000,2100000,650000,2500000,4552000,4552000
1934,4,500000,1000000,2300000,650000,2500000,4552000,4552000
1934,5,500000,1044625.569,2420000,650000,1872762.393,4552000,4552000
1934,6,500000,924218.5064,2447000,650000,1725272.463,3200000,4500000
1934,7,500000,866433.1909,2270000,650000,1381982.565,3200000,4150000
1934,8,500000,745173.7909,2150000,650000,952428.1112,3200000,3700000
1934,9,500000,513800.458,1975000,650000,774729.7632,3200000,3400000
1934,10,500000,1000000,1850000,650000,2500000,3200000,3250000
1934,11,500000,1000000,1850000,650000,2500000,3200000,3252000
