# Created by WEAP: 4/20/2021 7:19:27 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_inmcm4_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2007 - December 2099 (1,116 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Carbon (73,012 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (55,196 ha),  1000 - 2000 m (16,317 ha),  2000 - 3000 m (1,117 ha),  3000 - 4000 m (294 ha),  4000 - 5000 m (88 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2007, 1, 3.939, -1.405, -6.903, -9.453, -13.13, 257.8, 449, 728.7, 737.3, 744.1
2007, 2, 1.543, -3.917, -9.556, -12.14, -15.86, 161.1, 257.2, 409.6, 418.7, 429.1
2007, 3, 6.126, 0.2799, -5.147, -7.729, -11.45, 142.4, 220.3, 315.7, 324.9, 336.5
2007, 4, 9.451, 4.097, -1.253, -3.844, -7.584, 176.2, 298.5, 361.7, 364.5, 367.2
2007, 5, 10.67, 5.095, -0.09428, -2.681, -6.415, 108.2, 182.9, 205.8, 194.8, 178.3
2007, 6, 15.55, 10.33, 5.681, 3.242, -0.2817, 161.8, 278.2, 304.8, 275.9, 231.9
2007, 7, 16.42, 11.22, 7.041, 4.584, 1.023, 91.71, 139.4, 138, 122.3, 98.79
2007, 8, 18.58, 13.92, 10.29, 8.022, 4.743, 34.17, 47.62, 44.43, 43.13, 41.26
2007, 9, 14.95, 10.11, 5.572, 3.164, -0.3159, 150.9, 214, 237, 239.3, 242.9
2007, 10, 10.56, 5.466, 0.6952, -1.733, -5.24, 138.7, 212.2, 267.1, 269.7, 273
2007, 11, 7.145, 1.999, -3.156, -5.654, -9.257, 203.8, 303.9, 444.4, 450.9, 458.1
2007, 12, 3.579, -1.661, -6.581, -9.007, -12.51, 180.7, 275.2, 422.4, 430.9, 440.6
2008, 1, 2.444, -2.839, -8.186, -10.74, -14.43, 311.6, 520, 836.9, 846.2, 853.4
2008, 2, 4.48, -0.7144, -5.979, -8.529, -12.21, 255.5, 405.7, 642.8, 644.8, 642.3
2008, 3, 5.312, -0.4208, -5.935, -8.525, -12.26, 266.1, 396, 591.4, 624.6, 670
2008, 4, 6.713, 1.2, -4.228, -6.839, -10.61, 90.4, 134.9, 167.1, 165.3, 162.1
2008, 5, 12.93, 7.634, 2.906, 0.4075, -3.205, 89, 139.2, 142, 135.9, 127
2008, 6, 11.92, 6.439, 1.524, -1.011, -4.674, 63.14, 115.6, 116.8, 103.4, 83.19
2008, 7, 15.48, 10.2, 5.525, 3.038, -0.5575, 68.35, 101.6, 87.07, 75.19, 57.44
2008, 8, 17.33, 12.4, 8.056, 5.615, 2.082, 29.75, 52.57, 50.03, 49.15, 47.89
2008, 9, 13.47, 8.214, 3.301, 0.7921, -2.832, 55.46, 74.83, 76.76, 78.77, 81.96
2008, 10, 11.34, 6.391, 1.812, -0.6418, -4.189, 148, 235.7, 297.1, 302.7, 310.7
2008, 11, 7.216, 1.976, -2.704, -5.155, -8.7, 216.9, 358.9, 529.4, 540, 553.2
2008, 12, 0.8669, -4.344, -9.48, -11.96, -15.55, 110.5, 184.7, 306.7, 309.7, 311.9
2009, 1, 2.519, -2.721, -8.125, -10.7, -14.41, 143.6, 204.5, 302.6, 306.7, 310.6
2009, 2, 3.343, -2.291, -7.9, -10.5, -14.25, 265.8, 404.7, 591, 587.3, 577.5
2009, 3, 5.537, -0.2948, -6.047, -8.669, -12.45, 59.65, 89.46, 116.9, 123.2, 131.9
2009, 4, 8.69, 3.317, -1.982, -4.541, -8.234, 84.57, 127.5, 157.8, 161.4, 166.1
2009, 5, 10.55, 5.179, 0.06447, -2.529, -6.276, 83.59, 138.9, 156.8, 153.6, 148.7
2009, 6, 14.7, 9.619, 4.871, 2.404, -1.158, 90.41, 142.4, 126.3, 108.9, 83.23
2009, 7, 16.79, 11.84, 7.809, 5.482, 2.114, 29.43, 45.07, 44.67, 39.88, 32.59
2009, 8, 18.32, 13.69, 9.542, 7.207, 3.833, 51.11, 63.84, 55.45, 54.11, 52.35
2009, 9, 16.5, 11.92, 8.237, 5.977, 2.704, 42.57, 65.62, 72.71, 71.53, 69.89
2009, 10, 10.58, 5.267, 0.2134, -2.246, -5.794, 101.7, 145.7, 187.8, 192.2, 198.3
2009, 11, 1.476, -4.379, -9.824, -12.37, -16.05, 145.2, 249.1, 378.6, 387.4, 398.4
2009, 12, 2.767, -2.308, -7.14, -9.58, -13.1, 203.4, 300.2, 472.9, 477.1, 479.9
2010, 1, 2.595, -2.85, -8.382, -10.99, -14.75, 195.8, 311.8, 507.6, 517.7, 528.2
2010, 2, 5.144, -0.4649, -5.913, -8.49, -12.21, 186.2, 305, 509.8, 518.1, 525.7
2010, 3, 7.232, 1.783, -3.487, -6.035, -9.711, 69.28, 109.3, 146.1, 153, 162.5
2010, 4, 9.623, 4.129, -1.024, -3.586, -7.284, 141, 237, 268.1, 269, 269.4
2010, 5, 13.13, 7.694, 2.689, 0.2229, -3.334, 121.6, 217.1, 270.8, 263.8, 252.7
2010, 6, 14.76, 9.77, 5.225, 2.806, -0.6922, 58.67, 92.1, 82.85, 72.6, 57.3
2010, 7, 17.41, 12.54, 8.614, 6.299, 2.946, 46.7, 85.27, 96.59, 82.99, 62.35
2010, 8, 18.52, 13.78, 9.539, 7.169, 3.744, 10.6, 22.11, 20.24, 19.09, 17.49
2010, 9, 17.28, 12.61, 8.66, 6.438, 3.225, 58.25, 82.38, 76.49, 73.54, 69.44
2010, 10, 10.56, 5.388, 1.114, -1.219, -4.591, 47.22, 65.84, 61.09, 57.71, 52.85
2010, 11, 8.365, 3.141, -1.682, -4.164, -7.748, 199.8, 287.9, 379.4, 377.3, 372.6
2010, 12, 7.213, 1.903, -3.179, -5.67, -9.263, 111.8, 170.9, 288.5, 291.4, 293.5
2011, 1, 4.32, -0.9777, -6.32, -8.909, -12.64, 101.3, 164.6, 270.9, 271.7, 270.7
2011, 2, 1.624, -4.032, -9.603, -12.27, -16.12, 120, 199.2, 322.6, 331.7, 342.7
2011, 3, 6.348, 0.602, -4.72, -7.267, -10.94, 155.5, 250.6, 370.9, 385.6, 405.1
2011, 4, 8.572, 2.986, -2.244, -4.848, -8.611, 92.01, 140.4, 175.9, 178.5, 181.8
2011, 5, 12.25, 6.907, 2.058, -0.4406, -4.05, 88.76, 149.1, 152.5, 142.1, 126.7
2011, 6, 14.92, 9.694, 5.256, 2.791, -0.7767, 85.74, 142.3, 118.7, 104.2, 82.95
2011, 7, 17.95, 12.95, 8.92, 6.522, 3.048, 83.73, 126.4, 121.6, 101.6, 71.66
2011, 8, 18.79, 14.09, 10.15, 7.827, 4.469, 19.37, 24.95, 20.99, 20.17, 19.05
2011, 9, 14.24, 9.45, 5.227, 2.86, -0.5616, 76.23, 114.4, 129.4, 127.8, 125.8
2011, 10, 12.11, 7.609, 4.252, 2.037, -1.171, 188.6, 271.6, 335.1, 341.3, 350.3
2011, 11, 4.866, -0.2358, -5.021, -7.478, -11.03, 154.7, 259.9, 417.2, 423.7, 431
2011, 12, 0.5097, -4.501, -9.097, -11.47, -14.89, 224.6, 364.4, 570.4, 573.8, 575.3
2012, 1, 6.174, 1.093, -3.772, -6.183, -9.659, 85.82, 132.3, 194.7, 197.7, 200.5
2012, 2, 3.618, -1.916, -7.438, -10.01, -13.73, 91.9, 140.9, 214, 219.8, 226.7
2012, 3, 6.391, 0.7844, -4.627, -7.24, -11.01, 156.6, 244.6, 356.2, 370.8, 390.1
2012, 4, 9.725, 4.51, -0.6582, -3.182, -6.826, 103.3, 156.4, 188.8, 189.9, 190.9
2012, 5, 12.65, 7.434, 2.858, 0.3897, -3.178, 113.4, 192.5, 207.4, 199.1, 186.6
2012, 6, 15.15, 10.17, 5.782, 3.337, -0.1993, 44.64, 82.82, 74.97, 65.17, 50.7
2012, 7, 16.96, 11.59, 7.052, 4.565, 0.968, 6.756, 9.728, 5.593, 4.837, 3.75
2012, 8, 16.5, 11.29, 6.671, 4.223, 0.6828, 9.724, 16.19, 12.91, 12.27, 11.36
2012, 9, 13.66, 8.547, 3.955, 1.514, -2.014, 42.46, 55.67, 61.67, 61.36, 60.93
2012, 10, 10.04, 4.876, 0.4934, -1.902, -5.369, 64.56, 98.4, 121.1, 122.1, 123.2
2012, 11, 6.024, 0.4509, -4.864, -7.424, -11.12, 196.3, 269.5, 384.2, 386.2, 387.1
2012, 12, 3.367, -1.59, -6.557, -9.058, -12.67, 270.7, 438.1, 646.7, 650.8, 652.5
2013, 1, 5.05, -0.2295, -5.572, -8.051, -11.62, 351.1, 542.5, 872.4, 883, 891.7
