$DateFormat=yyyy-mm-dd,#Daily_mean_discharge_cfs
1910-10-01,5790
1910-10-02,5790
1910-10-03,5790
1910-10-04,5790
1910-10-05,5790
1910-10-06,5790
1910-10-07,5790
1910-10-08,5790
1910-10-09,5790
1910-10-10,5790
1910-10-11,5790
1910-10-12,5790
1910-10-13,5790
1910-10-14,5790
1910-10-15,5790
1910-10-16,5790
1910-10-17,5790
1910-10-18,5790
1910-10-19,5790
1910-10-20,5790
1910-10-21,5790
1910-10-22,5790
1910-10-23,5790
1910-10-24,5790
1910-10-25,5790
1910-10-26,5790
1910-10-27,5790
1910-10-28,5790
1910-10-29,5790
1910-10-30,5790
1910-10-31,5790
1910-11-01,5510
1910-11-02,5510
1910-11-03,5510
1910-11-04,5510
1910-11-05,5510
1910-11-06,5510
1910-11-07,5510
1910-11-08,5510
1910-11-09,5510
1910-11-10,5510
1910-11-11,5510
1910-11-12,5510
1910-11-13,5510
1910-11-14,5510
1910-11-15,5510
1910-11-16,5510
1910-11-17,5510
1910-11-18,5510
1910-11-19,5510
1910-11-20,5510
1910-11-21,5510
1910-11-22,5510
1910-11-23,5510
1910-11-24,5510
1910-11-25,5510
1910-11-26,5510
1910-11-27,5510
1910-11-28,5510
1910-11-29,5510
1910-11-30,5510
1910-12-01,4500
1910-12-02,4500
1910-12-03,4500
1910-12-04,4500
1910-12-05,4500
1910-12-06,4500
1910-12-07,4500
1910-12-08,4500
1910-12-09,4500
1910-12-10,4500
1910-12-11,4500
1910-12-12,4500
1910-12-13,4500
1910-12-14,4500
1910-12-15,4500
1910-12-16,4500
1910-12-17,4500
1910-12-18,4500
1910-12-19,4500
1910-12-20,4500
1910-12-21,4500
1910-12-22,4500
1910-12-23,4500
1910-12-24,4500
1910-12-25,4500
1910-12-26,4500
1910-12-27,4500
1910-12-28,4500
1910-12-29,4500
1910-12-30,4500
1910-12-31,4500
1911-01-01,3500
1911-01-02,3500
1911-01-03,3500
1911-01-04,3500
