$DateFormat=yyyy-mm-dd,#Daily_mean_discharge_cfs
1971-10-01,4900
1971-10-02,4900
1971-10-03,4800
1971-10-04,4700
1971-10-05,4600
1971-10-06,4700
1971-10-07,4900
1971-10-08,5100
1971-10-09,5200
1971-10-10,5200
1971-10-11,5100
1971-10-12,5000
1971-10-13,4900
1971-10-14,4900
1971-10-15,5100
1971-10-16,5200
1971-10-17,5100
1971-10-18,4900
1971-10-19,4700
1971-10-20,4600
1971-10-21,4700
1971-10-22,4700
1971-10-23,4600
1971-10-24,4500
1971-10-25,4500
1971-10-26,4500
1971-10-27,4500
1971-10-28,4600
1971-10-29,4400
1971-10-30,4100
1971-10-31,4000
1971-11-01,3900
1971-11-02,4000
1971-11-03,4000
1971-11-04,4100
1971-11-05,4400
1971-11-06,4300
1971-11-07,4000
1971-11-08,3800
1971-11-09,3700
1971-11-10,3900
1971-11-11,4100
1971-11-12,4400
1971-11-13,4400
1971-11-14,4400
1971-11-15,4400
1971-11-16,4300
1971-11-17,4200
1971-11-18,4100
1971-11-19,4000
1971-11-20,3900
1971-11-21,3900
1971-11-22,3900
1971-11-23,3900
1971-11-24,3800
1971-11-25,3800
1971-11-26,3700
1971-11-27,3600
1971-11-28,3600
1971-11-29,3500
1971-11-30,3500
1971-12-01,3400
1971-12-02,3300
1971-12-03,3200
1971-12-04,3000
1971-12-05,2900
1971-12-06,2800
1971-12-07,2800
1971-12-08,2700
1971-12-09,2300
1971-12-10,2400
1971-12-11,2500
1971-12-12,2300
1971-12-13,2200
1971-12-14,2200
1971-12-15,2800
1971-12-16,2700
1971-12-17,2600
1971-12-18,3000
1971-12-19,2800
1971-12-20,3000
1971-12-21,3000
1971-12-22,3000
1971-12-23,3200
1971-12-24,3200
1971-12-25,3000
1971-12-26,3000
1971-12-27,2700
1971-12-28,2600
1971-12-29,2500
1971-12-30,2400
1971-12-31,2500
1972-01-01,2500
1972-01-02,2600
1972-01-03,2800
1972-01-04,3000
1972-01-05,2900
1972-01-06,2700
1972-01-07,2600
1972-01-08,2600
1972-01-09,2600
1972-01-10,2600
1972-01-11,2500
1972-01-12,2300
1972-01-13,2200
1972-01-14,2100
1972-01-15,2100
1972-01-16,2100
1972-01-17,2200
1972-01-18,2300
1972-01-19,2300
1972-01-20,2400
1972-01-21,2900
1972-01-22,3500
1972-01-23,3400
1972-01-24,3100
1972-01-25,2600
1972-01-26,2500
1972-01-27,2300
1972-01-28,2000
1972-01-29,1900
1972-01-30,2000
1972-01-31,2200
1972-02-01,2400
1972-02-02,2600
1972-02-03,2800
1972-02-04,3000
1972-02-05,3100
1972-02-06,3000
1972-02-07,2900
1972-02-08,2800
1972-02-09,2700
1972-02-10,2600
1972-02-11,2500
1972-02-12,2500
1972-02-13,2700
1972-02-14,2900
1972-02-15,3000
1972-02-16,3200
1972-02-17,3500
1972-02-18,3500
1972-02-19,3300
1972-02-20,3000
1972-02-21,3400
1972-02-22,3500
1972-02-23,3500
1972-02-24,3300
1972-02-25,3100
1972-02-26,3100
1972-02-27,3100
1972-02-28,3700
1972-02-29,3900
1972-03-01,4400
1972-03-02,4500
1972-03-03,4400
1972-03-04,4200
1972-03-05,4000
1972-03-06,4200
1972-03-07,4200
1972-03-08,4200
1972-03-09,4200
1972-03-10,4100
1972-03-11,4200
1972-03-12,4400
1972-03-13,4600
1972-03-14,4700
1972-03-15,5200
1972-03-16,5300
1972-03-17,5800
1972-03-18,6000
1972-03-19,6300
1972-03-20,6600
1972-03-21,4700
1972-03-22,2000
1972-03-23,2100
1972-03-24,2100
1972-03-25,2200
1972-03-26,2200
1972-03-27,2200
1972-03-28,2200
1972-03-29,2200
1972-03-30,2600
1972-03-31,2600
1972-04-01,2200
1972-04-02,2600
1972-04-03,3100
1972-04-04,3900
1972-04-05,4000
1972-04-06,2700
1972-04-07,2400
1972-04-08,6600
1972-04-09,6900
1972-04-10,7100
1972-04-11,7300
1972-04-12,7200
1972-04-13,7100
1972-04-14,6900
1972-04-15,6700
1972-04-16,6700
1972-04-17,6700
1972-04-18,6000
1972-04-19,4200
1972-04-20,5100
1972-04-21,4500
1972-04-22,5900
1972-04-23,6900
1972-04-24,6500
1972-04-25,5900
1972-04-26,5700
1972-04-27,6000
1972-04-28,7400
1972-04-29,7800
1972-04-30,8100
1972-05-01,8600
1972-05-02,8700
1972-05-03,9000
1972-05-04,8900
1972-05-05,9200
1972-05-06,11300
1972-05-07,13000
