$DateFormat=yyyy-mm-dd,#Daily_mean_discharge_cfs
1938-10-01,4360
1938-10-02,4360
1938-10-03,4360
1938-10-04,4360
1938-10-05,4360
1938-10-06,4360
1938-10-07,4360
1938-10-08,4360
1938-10-09,4360
1938-10-10,4360
1938-10-11,4360
1938-10-12,4360
1938-10-13,4360
1938-10-14,4360
1938-10-15,4360
1938-10-16,4360
1938-10-17,4360
1938-10-18,4360
1938-10-19,4360
1938-10-20,4360
1938-10-21,4360
1938-10-22,4360
1938-10-23,4360
1938-10-24,4360
1938-10-25,4360
1938-10-26,4360
1938-10-27,4360
1938-10-28,4360
1938-10-29,4360
1938-10-30,4360
1938-10-31,4500
1938-11-01,7210
1938-11-02,5550
1938-11-03,4780
1938-11-04,4710
1938-11-05,4680
1938-11-06,4080
1938-11-07,4270
1938-11-08,5020
1938-11-09,4810
1938-11-10,4740
1938-11-11,4480
1938-11-12,4320
1938-11-13,4040
1938-11-14,4180
1938-11-15,4270
1938-11-16,4260
1938-11-17,4130
1938-11-18,4150
1938-11-19,4150
1938-11-20,4180
1938-11-21,4120
1938-11-22,4040
1938-11-23,4030
1938-11-24,4090
1938-11-25,4030
1938-11-26,3920
1938-11-27,4080
1938-11-28,4130
1938-11-29,5500
1938-11-30,8600
1938-12-01,8600
1938-12-02,10400
1938-12-03,18500
1938-12-04,11500
1938-12-05,8360
1938-12-06,6870
1938-12-07,6160
1938-12-08,5870
1938-12-09,5660
1938-12-10,5470
1938-12-11,5180
1938-12-12,4960
1938-12-13,4850
1938-12-14,4780
1938-12-15,4620
1938-12-16,4580
1938-12-17,4580
1938-12-18,4540
1938-12-19,4520
1938-12-20,4450
1938-12-21,4420
1938-12-22,4380
1938-12-23,4330
1938-12-24,4200
1938-12-25,4180
1938-12-26,4180
1938-12-27,4180
1938-12-28,4180
1938-12-29,4270
1938-12-30,4210
1938-12-31,4160
1939-01-01,4190
1939-01-02,4140
1939-01-03,4450
1939-01-04,6280
1939-01-05,11200
1939-01-06,9040
1939-01-07,7230
1939-01-08,6440
1939-01-09,5810
1939-01-10,5520
1939-01-11,5320
1939-01-12,5080
1939-01-13,4960
1939-01-14,4860
1939-01-15,4770
1939-01-16,4720
1939-01-17,4660
1939-01-18,4620
1939-01-19,4570
1939-01-20,4540
1939-01-21,4480
1939-01-22,4480
1939-01-23,4400
1939-01-24,4320
1939-01-25,4300
1939-01-26,4440
1939-01-27,4710
1939-01-28,4710
1939-01-29,6180
1939-01-30,8610
1939-01-31,6560
1939-02-01,5780
1939-02-02,5290
1939-02-03,5170
1939-02-04,4990
1939-02-05,4810
1939-02-06,6870
1939-02-07,7320
1939-02-08,6470
1939-02-09,5870
1939-02-10,5470
1939-02-11,5180
1939-02-12,5170
1939-02-13,5350
1939-02-14,5470
1939-02-15,5540
1939-02-16,5570
1939-02-17,5470
1939-02-18,5580
1939-02-19,5680
1939-02-20,5630
1939-02-21,5520
1939-02-22,5420
1939-02-23,5280
1939-02-24,5170
1939-02-25,5120
1939-02-26,5140
1939-02-27,5080
1939-02-28,5050
1939-03-01,4910
1939-03-02,4850
