# Created by WEAP: 4/12/2021 4:43:24 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Pit River (273,146 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (160,042 ha),  1000 - 2000 m (103,687 ha),  2000 - 3000 m (8,514 ha),  3000 - 4000 m (888 ha),  4000 - 5000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, 5.35, 1.334, -4.289, -11.24, -11.24, 619.4, 593.7, 527.4, 641.4, 641.4
2006, 2, 7.421, 3.098, -2.662, -9.531, -9.531, 474.6, 443.2, 361.5, 457.9, 457.9
2006, 3, 9.749, 5.574, 0.07506, -6.752, -6.752, 80.3, 64.65, 46.71, 59.23, 59.23
2006, 4, 13.4, 9.233, 3.826, -2.879, -2.879, 78.76, 54.07, 43.24, 60.86, 60.86
2006, 5, 18.45, 14.59, 9.136, 2.24, 2.24, 52.11, 49.31, 51.9, 75.63, 75.63
2006, 6, 25.22, 20.41, 14.48, 7.471, 7.471, 1.469, 2.914, 2.069, 1.44, 1.44
2006, 7, 25.98, 21.34, 15.57, 8.617, 8.617, 1.086, 2.413, 2.972, 3.606, 3.606
2006, 8, 23.19, 18.61, 12.94, 5.993, 5.993, 0.01988, 0.5507, 0.8802, 0.6827, 0.6827
2006, 9, 23.56, 18.75, 12.82, 5.883, 5.883, 1.757, 1.584, 2.921, 5.755, 5.755
2006, 10, 17.57, 13.06, 7.246, 0.3929, 0.3929, 120.5, 103.8, 102.5, 139.7, 139.7
2006, 11, 9.535, 5.454, -0.3334, -7.284, -7.284, 262.1, 248.2, 213.1, 265, 265
2006, 12, 5.615, 1.38, -4.466, -11.4, -11.4, 208.6, 195.9, 165.6, 202.8, 202.8
2007, 1, 5.178, 1.56, -3.796, -10.71, -10.71, 398.7, 367.3, 304.6, 360.3, 360.3
2007, 2, 5.242, 1.138, -4.359, -11.23, -11.23, 573, 498.2, 424.6, 554.2, 554.2
2007, 3, 9.635, 5.567, 0.03776, -6.816, -6.816, 45.4, 40.7, 29.55, 36.46, 36.46
2007, 4, 14.19, 9.934, 4.184, -2.727, -2.727, 50.7, 49.5, 55.51, 82, 82
2007, 5, 19.39, 14.99, 9.212, 2.236, 2.236, 65.85, 73.39, 73.23, 104.3, 104.3
2007, 6, 21.7, 17.27, 11.48, 4.528, 4.528, 28.92, 30.45, 34.58, 50.67, 50.67
2007, 7, 26.88, 22.31, 16.57, 9.654, 9.654, 3.529, 7.596, 10.62, 15.81, 15.81
2007, 8, 26.3, 21.93, 16.27, 9.305, 9.305, 4.292, 2.747, 2.897, 4.262, 4.262
2007, 9, 21.71, 17.52, 11.96, 5.133, 5.133, 23.81, 32.13, 22.53, 28.7, 28.7
2007, 10, 17.65, 13.28, 7.375, 0.3906, 0.3906, 122.9, 120.9, 122.7, 163.4, 163.4
2007, 11, 10.27, 5.842, -0.2619, -7.27, -7.27, 235.6, 218.7, 196.3, 247, 247
2007, 12, 5.116, 0.634, -5.265, -12.28, -12.28, 636.5, 603, 530.1, 677.2, 677.2
2008, 1, 4.949, 0.6893, -5.015, -12.06, -12.06, 253.6, 231.7, 194.2, 231.7, 231.7
2008, 2, 6.38, 2.308, -3.224, -10.03, -10.03, 215.2, 197.8, 162.3, 201.7, 201.7
2008, 3, 9.4, 5.239, -0.2661, -7.181, -7.181, 188.4, 159.8, 142.5, 198.3, 198.3
2008, 4, 16.88, 12.46, 6.669, -0.3368, -0.3368, 12.54, 10.38, 4.543, 6.238, 6.238
2008, 5, 18.7, 14.14, 8.306, 1.382, 1.382, 5.024, 5.755, 5.996, 10.88, 10.88
2008, 6, 25.41, 20.57, 14.68, 7.814, 7.814, 48.34, 58.28, 61.34, 90.38, 90.38
2008, 7, 26.52, 22.05, 16.28, 9.228, 9.228, 0.218, 0.4369, 0.3396, 0.2342, 0.2342
2008, 8, 25.93, 21.22, 15.48, 8.627, 8.627, 0.6208, 1.155, 1.72, 1.797, 1.797
2008, 9, 20.51, 15.87, 10.03, 3.081, 3.081, 4.819, 3.082, 3.577, 5.886, 5.886
2008, 10, 17.1, 12.64, 6.765, -0.1184, -0.1184, 94.43, 85.34, 70.35, 89.75, 89.75
2008, 11, 10.79, 6.238, 0.2365, -6.703, -6.703, 162.7, 166.8, 141.5, 177, 177
2008, 12, 7.968, 3.707, -2.064, -8.872, -8.872, 51, 42.08, 32.87, 43.6, 43.6
2009, 1, 5.295, 0.7845, -5.14, -12.1, -12.1, 136.8, 123.7, 84.28, 103.8, 103.8
2009, 2, 8.596, 4.438, -1.212, -8.057, -8.057, 197.3, 159.8, 139.7, 176.9, 176.9
2009, 3, 7.509, 3.48, -2.032, -9.029, -9.029, 319.2, 321.4, 287, 388.4, 388.4
2009, 4, 11.42, 7.765, 2.464, -4.316, -4.316, 288.8, 300, 286.7, 415.2, 415.2
2009, 5, 15.43, 11.42, 6.036, -0.8458, -0.8458, 166.6, 170.9, 145.7, 184.9, 184.9
2009, 6, 21.07, 16.48, 10.71, 3.856, 3.856, 20.15, 31.15, 32.06, 50.37, 50.37
2009, 7, 27.28, 22.65, 16.96, 9.998, 9.998, 0.6273, 0.9274, 0.6475, 0.6254, 0.6254
2009, 8, 24.24, 19.69, 14.06, 7.229, 7.229, 0.5448, 0.759, 0.914, 1.764, 1.764
2009, 9, 20, 15.19, 9.232, 2.166, 2.166, 13.78, 15.02, 15.07, 19.37, 19.37
2009, 10, 17.84, 13.37, 7.505, 0.6245, 0.6245, 33.61, 35.6, 35.73, 49.18, 49.18
2009, 11, 9, 4.283, -1.734, -8.647, -8.647, 209, 203.3, 160.6, 195.4, 195.4
2009, 12, 7.717, 3.812, -1.798, -8.669, -8.669, 669.9, 575.8, 461.5, 569.5, 569.5
2010, 1, 3.776, -0.391, -6.036, -13.02, -13.02, 498.5, 439.2, 364.5, 462.8, 462.8
2010, 2, 4.516, 0.6678, -4.73, -11.74, -11.74, 886.3, 762.5, 627.6, 801.2, 801.2
2010, 3, 10.24, 5.972, 0.2199, -6.824, -6.824, 31.93, 22.12, 19.48, 26.73, 26.73
2010, 4, 10.69, 6.484, 0.9004, -6.043, -6.043, 83.55, 80.03, 76.45, 105.7, 105.7
2010, 5, 17.71, 13.35, 7.516, 0.5017, 0.5017, 16.21, 25.15, 33.24, 50.47, 50.47
2010, 6, 24.44, 19.59, 13.58, 6.681, 6.681, 0.3985, 0.1419, 0.07877, 0.04312, 0.04312
2010, 7, 24.85, 19.99, 14.1, 7.127, 7.127, 0.3725, 0.617, 1.005, 0.1923, 0.1923
2010, 8, 23.12, 18.67, 13, 6.066, 6.066, 108.1, 99.97, 111.7, 163.3, 163.3
2010, 9, 21.77, 17.62, 12.04, 5.07, 5.07, 36.47, 23.05, 23.06, 39.28, 39.28
2010, 10, 16.68, 12.42, 6.673, -0.2182, -0.2182, 175.1, 151.6, 143, 191.7, 191.7
2010, 11, 10.22, 5.658, -0.3353, -7.279, -7.279, 105.6, 85.29, 69.7, 87.83, 87.83
2010, 12, 8.039, 3.682, -2.338, -9.235, -9.235, 410.4, 386.3, 349.5, 438.5, 438.5
2011, 1, 8.738, 4.612, -1.106, -8.056, -8.056, 146.9, 122.2, 102.2, 124.9, 124.9
2011, 2, 9.411, 5.241, -0.4383, -7.25, -7.25, 148.9, 138.2, 98.68, 115.4, 115.4
2011, 3, 9.799, 5.689, 0.1709, -6.767, -6.767, 97.15, 92.42, 71.23, 95.27, 95.27
2011, 4, 17.42, 13.24, 7.698, 0.9556, 0.9556, 55.29, 63.64, 70.24, 112.3, 112.3
