# Created by WEAP: 4/12/2021 4:43:36 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_N_CEN_Interior Coulee (1,197,238 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,197,238 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m
2020, 8, 23.99, 4.009
2020, 9, 19.59, 20.22
2020, 10, 11.77, 24.79
2020, 11, 5.35, 25.67
2020, 12, -1.028, 32.34
2021, 1, -1.7, 6.504
2021, 2, 5.385, 13.34
2021, 3, 10.4, 35.23
2021, 4, 12.07, 17.85
2021, 5, 21, 14.07
2021, 6, 21.31, 65.38
2021, 7, 24.89, 2.143
2021, 8, 24.58, 3.378
2021, 9, 17.84, 13.15
2021, 10, 13.16, 9.328
2021, 11, 8.139, 10.3
2021, 12, -5.022, 31.89
2022, 1, -7.746, 19.33
2022, 2, 0.4728, 19.72
2022, 3, 7.041, 31.68
2022, 4, 12.74, 15.06
2022, 5, 17.11, 16.89
2022, 6, 22.42, 6.228
2022, 7, 24.04, 0.04031
2022, 8, 23.73, 6.196
2022, 9, 21.05, 1.648
2022, 10, 13.78, 10.28
2022, 11, 6.903, 61.18
2022, 12, 4.327, 40.47
2023, 1, -2.048, 17.53
2023, 2, 4.838, 35.93
2023, 3, 8.084, 30.94
2023, 4, 12.88, 10.79
2023, 5, 16.49, 13.39
2023, 6, 20.19, 3.342
2023, 7, 25.77, 6.457
2023, 8, 23.09, 24.55
2023, 9, 20.77, 8.938
2023, 10, 12.67, 6.249
2023, 11, 4.996, 25.93
2023, 12, 3.401, 55.44
2024, 1, -0.2703, 33.8
2024, 2, 4.902, 17.95
2024, 3, 10.48, 13.61
2024, 4, 13.93, 34.77
2024, 5, 18.1, 33.04
2024, 6, 20.79, 29.22
2024, 7, 24.76, 24.36
2024, 8, 24.34, 14.75
2024, 9, 18.99, 11.32
2024, 10, 12.99, 32.47
2024, 11, 5.806, 51.68
2024, 12, 0.3243, 42.15
2025, 1, -1.327, 51.57
2025, 2, 6.051, 15.03
2025, 3, 8.978, 39.88
2025, 4, 11.4, 16.23
2025, 5, 15.15, 13.45
2025, 6, 22.36, 3.306
2025, 7, 24.55, 2.72
2025, 8, 23.96, 0.2167
2025, 9, 19.16, 41.53
2025, 10, 11.77, 27.06
2025, 11, 4.679, 11.7
2025, 12, 1.276, 13.39
2026, 1, -4.172, 21.05
2026, 2, 3.264, 15.31
2026, 3, 10.49, 36.57
2026, 4, 13.14, 21.81
2026, 5, 17.06, 2.812
2026, 6, 21.55, 42.61
2026, 7, 24.56, 18.97
2026, 8, 25.88, 14.07
2026, 9, 21.54, 1.293
2026, 10, 12.98, 15.56
2026, 11, 7.344, 51.42
2026, 12, -0.0971, 16.41
2027, 1, 4.624, 38.39
2027, 2, 7.15, 22.88
2027, 3, 8.592, 39.33
2027, 4, 10.29, 28.91
2027, 5, 14.56, 15.52
