# Created by WEAP: 4/12/2021 4:42:30 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_Klamath (1,759,114 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (769,785 ha),  1000 - 2000 m (944,405 ha),  2000 - 3000 m (44,021 ha),  3000 - 4000 m (887 ha),  4000 - 5000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m
2007, 11, 6.674, 4.026, 0.7546, -6.894, -7.27, 222.3, 224.5, 238.5, 241.9, 247
2007, 12, 3.249, 0.1351, -3.769, -11.89, -12.28, 380.4, 437.3, 458.7, 663.4, 677.2
2008, 1, 2.868, -0.06926, -3.599, -11.68, -12.06, 202.1, 201.6, 193.5, 227.1, 231.7
2008, 2, 4.471, 1.636, -1.84, -9.639, -10.03, 189, 181.1, 173.6, 197.5, 201.7
2008, 3, 8.021, 5.313, 1.781, -6.791, -7.181, 159.3, 151.5, 153.5, 194.4, 198.3
2008, 4, 13.53, 11.24, 8.056, 0.04904, -0.3368, 2.923, 4.528, 8.88, 6.343, 6.238
2008, 5, 14.34, 12.29, 9.263, 1.762, 1.382, 4.103, 5.865, 9.976, 10.73, 10.88
2008, 6, 21.34, 19.53, 16.45, 8.205, 7.814, 24.37, 34.32, 62.16, 89.04, 90.38
2008, 7, 21.8, 20.43, 17.75, 9.608, 9.228, 0.1888, 0.2368, 0.3152, 0.23, 0.2342
2008, 8, 21.29, 19.7, 16.89, 9.015, 8.627, 1.112, 1.657, 2.493, 1.754, 1.797
2008, 9, 16.48, 14.42, 11.38, 3.463, 3.081, 3.199, 4.114, 4.253, 5.861, 5.886
2008, 10, 13.8, 11.43, 8.112, 0.2652, -0.1184, 45.26, 53.28, 70.01, 87.75, 89.75
2008, 11, 7.509, 4.738, 1.302, -6.324, -6.703, 193.5, 190.5, 191.9, 173, 177
2008, 12, 4.635, 1.686, -1.789, -8.494, -8.872, 69.98, 63.12, 49.76, 42.94, 43.6
2009, 1, 2.655, -0.3113, -3.998, -11.73, -12.1, 88.13, 87.47, 81.25, 101.9, 103.8
2009, 2, 6.653, 3.838, 0.3586, -7.669, -8.057, 89.19, 93.01, 100.5, 173.9, 176.9
2009, 3, 6.073, 3.351, -0.1492, -8.644, -9.029, 240.1, 249.6, 276.6, 380.7, 388.4
2009, 4, 10.12, 7.566, 4.216, -3.92, -4.316, 210.1, 212.6, 221.2, 406, 415.2
2009, 5, 13.58, 11.23, 8.028, -0.4499, -0.8458, 142.7, 149.7, 169.6, 180.9, 184.9
2009, 6, 17.17, 15.15, 12.26, 4.255, 3.856, 19.86, 22.25, 30.69, 49.73, 50.37
2009, 7, 22.54, 21.07, 18.38, 10.38, 9.998, 0.731, 0.7468, 0.7177, 0.6203, 0.6254
2009, 8, 20.2, 18.48, 15.61, 7.621, 7.229, 7.351, 7.368, 5.171, 1.737, 1.764
2009, 9, 16.24, 13.96, 10.76, 2.55, 2.166, 31.92, 28.67, 24.39, 18.96, 19.37
2009, 10, 13.76, 11.46, 8.405, 1.01, 0.6245, 67.14, 62.35, 57.74, 48.21, 49.18
2009, 11, 5.782, 2.979, -0.5287, -8.265, -8.647, 196.4, 199.9, 191.3, 191, 195.4
2009, 12, 4.871, 1.977, -1.305, -8.286, -8.669, 449, 485.2, 456.6, 558.4, 569.5
2010, 1, 2.296, -0.6269, -4.386, -12.64, -13.02, 317.7, 331, 325.1, 454.7, 462.8
2010, 2, 4.294, 1.375, -2.381, -11.34, -11.74, 498.9, 555.5, 595.1, 786.8, 801.2
2010, 3, 8.059, 5.422, 1.887, -6.444, -6.824, 48.52, 40.06, 30.52, 26.17, 26.73
2010, 4, 8.048, 5.551, 2.26, -5.658, -6.043, 81.2, 80.69, 83.76, 103.6, 105.7
2010, 5, 13.49, 11.43, 8.544, 0.8796, 0.5017, 60.05, 55.36, 54.56, 49.23, 50.47
2010, 6, 18.99, 17.32, 14.63, 7.066, 6.681, 0.748, 0.7653, 0.6287, 0.04387, 0.04312
2010, 7, 20.24, 18.69, 15.83, 7.513, 7.127, 1.968, 2.807, 2.813, 0.2124, 0.1923
2010, 8, 19.26, 17.44, 14.46, 6.453, 6.066, 73.17, 87.16, 103, 159.1, 163.3
2010, 9, 18.83, 16.79, 13.66, 5.456, 5.07, 16.33, 23.15, 34.31, 38.6, 39.28
2010, 10, 14.12, 11.54, 8.092, 0.1713, -0.2182, 127.7, 138.6, 153.6, 187.2, 191.7
2010, 11, 7.084, 4.299, 0.8521, -6.898, -7.279, 164, 150.9, 134.4, 85.91, 87.83
2010, 12, 3.839, 0.962, -2.281, -8.861, -9.235, 433.6, 428.2, 402.7, 430.2, 438.5
2011, 1, 5.633, 2.841, -0.4654, -7.683, -8.056, 156.5, 155.2, 150.9, 122.4, 124.9
2011, 2, 6.56, 3.923, 0.5693, -6.865, -7.25, 76.71, 83.27, 93.62, 113.1, 115.4
2011, 3, 7.87, 5.223, 1.858, -6.378, -6.767, 95.81, 87.31, 82.54, 93.35, 95.27
2011, 4, 14.12, 11.94, 8.918, 1.351, 0.9556, 49.82, 49.28, 52.06, 109.6, 112.3
2011, 5, 12.45, 10.06, 7.023, -0.7064, -1.085, 121.7, 114.6, 128.3, 139.5, 142.3
2011, 6, 18.43, 16.59, 13.71, 5.53, 5.144, 21.51, 28.25, 47.38, 108.8, 110.4
2011, 7, 21, 19.45, 16.81, 9.1, 8.714, 2.864, 3.402, 5.235, 0.7698, 0.7601
2011, 8, 21.67, 19.86, 16.79, 8.696, 8.307, 19.32, 19.06, 21.5, 37.32, 38.03
2011, 9, 19.65, 17.65, 14.51, 6.405, 6.017, 18.75, 15.88, 14.21, 21.33, 21.71
2011, 10, 10.89, 8.458, 5.23, -2.584, -2.968, 238.7, 270.3, 359.3, 462.2, 473.2
2011, 11, 6.516, 3.759, 0.4047, -7.021, -7.402, 106.1, 104.8, 99.21, 145.6, 148.7
2011, 12, 5.757, 2.997, -0.27, -8.337, -8.731, 541.1, 565.4, 526.8, 629.9, 643.4
2012, 1, 2.014, -1.085, -5.086, -14.2, -14.58, 513.9, 563.4, 572.8, 688.4, 699.6
2012, 2, 4.94, 2.058, -1.544, -10.24, -10.62, 513.8, 543.6, 572.7, 667.7, 680.5
2012, 3, 7.778, 5.098, 1.629, -7.099, -7.489, 531.5, 549.8, 579.8, 710.2, 725.1
2012, 4, 9.469, 6.911, 3.589, -4.536, -4.928, 148.4, 141.5, 140.9, 203.2, 207.4
2012, 5, 15.55, 13.48, 10.49, 2.738, 2.359, 11.33, 13.56, 20.93, 14.77, 15.02
2012, 6, 17.12, 15.26, 12.37, 4.536, 4.15, 33.6, 39.97, 55.93, 81.88, 83.06
2012, 7, 21.3, 19.68, 16.81, 8.763, 8.375, 3.564, 5.134, 8.764, 9.988, 10.16
2012, 8, 23.49, 22.05, 19.34, 11.41, 11.02, 7.799, 7.738, 6.207, 2.984, 3.047
2012, 9, 18.64, 16.79, 13.82, 5.688, 5.298, 2.921, 2.413, 1.62, 0.05598, 0.05723
2012, 10, 11.01, 8.618, 5.321, -2.447, -2.828, 41.86, 40.38, 44.04, 58.19, 59.39
2012, 11, 7.7, 5.011, 1.741, -5.917, -6.304, 433.2, 468.9, 514, 506, 516.8
2012, 12, 3.044, 0.09954, -3.397, -10.68, -11.06, 87.4, 84.33, 64.62, 68.2, 69.51
2013, 1, 5.867, 2.981, -0.3649, -8.16, -8.543, 159.3, 165.4, 160.8, 137.1, 139.5
2013, 2, 8.293, 5.659, 2.551, -4.723, -5.101, 77.54, 67.54, 51.33, 56.81, 57.87
2013, 3, 9.09, 6.422, 3.015, -5.089, -5.474, 154.6, 152.8, 157.5, 248.1, 253.5
2013, 4, 9.705, 7.196, 3.952, -3.925, -4.319, 166, 169.1, 166.3, 262.3, 268.3
2013, 5, 13.27, 10.96, 7.827, -0.3608, -0.7495, 78.91, 79.47, 91.21, 114.4, 116.2
2013, 6, 17.99, 16.09, 13.13, 5.207, 4.818, 10.74, 10.7, 11.21, 10.1, 10.28
2013, 7, 24.01, 22.53, 19.51, 11.35, 10.96, 1.538, 2.649, 4.674, 1.031, 1.006
2013, 8, 21, 19.35, 16.56, 8.612, 8.224, 15.99, 16.88, 18.3, 15.81, 16.08
2013, 9, 14.88, 12.62, 9.448, 1.008, 0.6174, 100.5, 96.54, 94.27, 77.67, 79.19
2013, 10, 13.58, 11.4, 8.279, 0.5249, 0.1416, 121.9, 125.9, 129, 129.7, 132.9
2013, 11, 8.416, 5.742, 2.407, -5.351, -5.741, 417.2, 443.3, 457.9, 448.8, 458.4
2013, 12, 5.223, 2.325, -1.058, -7.657, -8.036, 89.85, 85.13, 73.46, 87.92, 89.78
2014, 1, 4.912, 2.049, -1.236, -8.862, -9.25, 275.2, 253.8, 217.7, 222, 226.3
2014, 2, 6.524, 3.803, 0.5949, -6.851, -7.243, 102.1, 99.61, 92.44, 98.27, 100.3
2014, 3, 7.228, 4.457, 0.9306, -7.857, -8.249, 234.1, 246, 288.7, 499.6, 509.3
2014, 4, 9.942, 7.4, 4.083, -4.076, -4.47, 66.44, 72.93, 88.71, 112, 114.5
2014, 5, 12.98, 10.64, 7.495, -0.9088, -1.305, 122.1, 157.7, 243.5, 451.6, 460.3
2014, 6, 18.91, 16.83, 13.54, 5.131, 4.739, 54.22, 77.95, 128.3, 259, 261.9
2014, 7, 22.8, 21.34, 18.44, 10.01, 9.62, 0.2815, 0.2892, 0.1533, 0.2022, 0.2036
2014, 8, 21.88, 20.39, 17.57, 9.957, 9.575, 4.144, 4.403, 6.123, 0.03369, 0.03436
2014, 9, 15.9, 13.52, 10.22, 2.04, 1.652, 18.36, 15.37, 10.64, 8.55, 8.701
2014, 10, 12.22, 9.749, 6.403, -1.227, -1.606, 53.64, 47.79, 55.44, 80.34, 82.33
2014, 11, 8.047, 5.391, 2.221, -4.661, -5.042, 215.5, 201.6, 184.4, 224.2, 229.6
2014, 12, 4.727, 1.917, -1.398, -8.424, -8.801, 181.9, 189.4, 169.7, 176.3, 179.8
2015, 1, 4.511, 1.665, -1.68, -9.274, -9.652, 203, 222.5, 224.3, 318.4, 324.6
2015, 2, 5.063, 2.212, -1.295, -8.985, -9.374, 113, 114, 124.3, 142.8, 145.5
2015, 3, 7.729, 4.983, 1.37, -7.49, -7.875, 189.6, 187.2, 204.5, 307.3, 313.7
2015, 4, 9.602, 7.22, 4.069, -3.617, -4.008, 20.75, 19.43, 13.15, 16.41, 16.75
2015, 5, 14.26, 12.11, 9.128, 1.437, 1.056, 42.18, 46.42, 58.16, 105.3, 107.5
2015, 6, 18.08, 16.36, 13.5, 5.828, 5.441, 1.807, 1.465, 1.791, 1.029, 1.047
2015, 7, 21.21, 19.75, 16.97, 8.995, 8.612, 3.154, 3.063, 3.799, 0.9576, 0.9475
2015, 8, 21.57, 19.75, 16.69, 8.424, 8.045, 2.693, 4.495, 4.487, 2.438, 2.441
2015, 9, 17.76, 15.64, 12.53, 4.378, 3.99, 52.6, 53.1, 67.63, 61.2, 62.42
2015, 10, 14.14, 11.68, 8.409, 0.711, 0.3267, 81.77, 77.09, 84.64, 99.78, 102.2
2015, 11, 10.12, 7.466, 4.306, -2.693, -3.073, 248.4, 252.1, 246.3, 299.5, 306
2015, 12, 5.232, 2.256, -1.417, -9.105, -9.48, 341.1, 357.9, 331.9, 283.6, 289.3
2016, 1, 5.669, 2.783, -0.617, -8.753, -9.146, 428.6, 436.2, 405.9, 379.5, 386.4
2016, 2, 4.919, 1.995, -1.434, -9.153, -9.541, 111.6, 113.3, 120.3, 173.6, 177.2
2016, 3, 9.143, 6.367, 2.771, -5.749, -6.14, 150.4, 158.9, 167.6, 255, 260.4
2016, 4, 9.067, 6.712, 3.555, -4.528, -4.914, 200, 214.6, 236.9, 373.5, 382.2
