# Created by WEAP: 4/12/2021 4:40:52 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Upr Nisqually (76,281 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (47,338 ha),  1000 - 2000 m (25,455 ha),  2000 - 3000 m (2,311 ha),  3000 - 4000 m (912 ha),  4000 - 5000 m (265 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, 1.51, -0.9454, -10.95, -12.61, -13.17, 418.2, 504.1, 692.5, 686, 686.3
2006, 2, 3.888, 1.514, -8.898, -10.58, -11.12, 246.9, 287.2, 407.9, 406.6, 402.1
2006, 3, 6.773, 4.533, -5.616, -7.274, -7.82, 131.3, 155.5, 219.6, 219.3, 216.9
2006, 4, 9.527, 7.22, -3.032, -4.692, -5.238, 156.7, 177.7, 240.4, 239.9, 235.1
2006, 5, 12.37, 10.35, -0.09718, -1.77, -2.306, 33.88, 44.71, 60.31, 59.38, 58.25
2006, 6, 15.61, 13.48, 3.16, 1.505, 0.9572, 73.56, 82.6, 107.3, 105.8, 103.9
2006, 7, 16.71, 15.02, 4.987, 3.337, 2.786, 17.81, 19.75, 23.23, 22.67, 22.36
2006, 8, 15.72, 13.77, 3.711, 2.064, 1.518, 26.65, 28.5, 34.71, 33.62, 33.28
2006, 9, 15.29, 13.57, 3.588, 1.947, 1.373, 11.37, 8.382, 6.309, 6.014, 6.017
2006, 10, 10.43, 8.881, -0.8415, -2.477, -3.04, 147.6, 182.9, 255.9, 251.7, 248.3
2006, 11, 3.963, 1.644, -8.331, -9.982, -10.55, 299.1, 358.7, 494.2, 490.8, 490.1
2006, 12, 4.332, 1.798, -7.994, -9.64, -10.2, 347, 393, 531.4, 527.6, 525
2007, 1, 2.845, 0.5732, -9.311, -10.96, -11.52, 382.5, 466.5, 654.3, 651.2, 648.6
2007, 2, 1.932, -0.5721, -11.04, -12.71, -13.25, 159.9, 185.8, 260.4, 258.8, 255.8
2007, 3, 5.768, 3.602, -6.505, -8.162, -8.709, 88.79, 128.3, 202.1, 202.6, 199.9
2007, 4, 8.114, 5.784, -4.395, -6.041, -6.593, 85.37, 102.8, 141.9, 141.2, 139
2007, 5, 14.26, 12, 1.587, -0.08342, -0.6301, 61.24, 80.09, 112.4, 111, 109.4
2007, 6, 15.25, 13.35, 3.193, 1.53, 0.9754, 97.35, 96.23, 90.74, 87.84, 86.71
2007, 7, 19.06, 17.48, 7.486, 5.833, 5.292, 3.33, 4.942, 9.771, 9.691, 9.414
2007, 8, 17.82, 16.19, 6.41, 4.775, 4.216, 9.871, 12.61, 16, 15.42, 15.41
2007, 9, 15.92, 14.25, 4.446, 2.804, 2.252, 21.89, 24.14, 26.23, 25.67, 25.24
2007, 10, 10.85, 9.412, -0.02247, -1.644, -2.224, 67.49, 84.07, 112.8, 110.3, 109.6
2007, 11, 3.716, 1.274, -8.966, -10.64, -11.18, 248.5, 316, 452.3, 448.7, 448.3
2007, 12, 0.6766, -1.463, -11.23, -12.87, -13.45, 209.8, 274.1, 409.4, 405.6, 406.2
2008, 1, 0.006754, -2.332, -12.14, -13.79, -14.35, 152.2, 196.2, 290, 288.1, 286.6
2008, 2, 3.29, 0.7167, -9.591, -11.25, -11.81, 246.7, 279.9, 389.8, 387.9, 385
2008, 3, 5.313, 2.869, -7.759, -9.433, -9.968, 183.3, 226.2, 344.7, 345.1, 341.7
2008, 4, 10.88, 8.587, -1.672, -3.342, -3.889, 15.98, 23.48, 35.78, 35.61, 34.78
2008, 5, 9.752, 7.481, -2.851, -4.52, -5.066, 63.2, 74.99, 99.19, 97.88, 96.55
2008, 6, 18.7, 17.13, 7.225, 5.578, 5.015, 24.84, 26.91, 22.77, 21.95, 21.65
2008, 7, 18.1, 16.36, 6.27, 4.609, 4.064, 3.323, 5.23, 7.172, 6.991, 6.67
2008, 8, 17.68, 15.69, 5.654, 4.009, 3.455, 33.29, 48.95, 67.34, 65.65, 64.38
2008, 9, 14.21, 12.15, 1.867, 0.1957, -0.3481, 25.72, 27.86, 33.11, 32.22, 31.68
2008, 10, 11.3, 10.12, 1.216, -0.3598, -0.9702, 8.083, 9.79, 11.24, 10.95, 10.67
2008, 11, 6.217, 4.109, -5.474, -7.117, -7.684, 207.4, 262.9, 355.5, 351, 349.1
2008, 12, 4.467, 2.169, -7.555, -9.217, -9.762, 193.9, 243.6, 362.5, 358.8, 355.3
2009, 1, 5.18, 2.858, -6.616, -8.247, -8.825, 162, 221.2, 327.9, 324.6, 323.5
2009, 2, 6.011, 3.665, -6.396, -8.045, -8.588, 184.9, 207.3, 277.6, 275.6, 273.4
2009, 3, 4.823, 2.398, -7.876, -9.54, -10.08, 158.6, 187.1, 266.9, 265.1, 261.6
2009, 4, 10.31, 8.056, -1.985, -3.634, -4.184, 164.6, 177.1, 221.8, 221.2, 218.2
