# Created by WEAP: 5/6/2021 11:59:27 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_IID_Salton Sea (1,439,473 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,292,871 ha),  1000 - 2000 m (146,117 ha),  2000 - 3000 m (484 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m

1950, 1, 6.328, 48.42, 44.68, 9.647, 3.475, 1.635
1950, 2, 5.074, 22.9, 15.38, 15, 7.689, 7.028
1950, 3, 3.381, 24.74, 27.48, 16.94, 8.673, 8.136
1950, 4, 0.8933, 9.832, 24.98, 21.37, 11.98, 12.12
1950, 5, 0.8096, 6.239, 3.36, 22.18, 12.31, 13.2
1950, 6, 0, 0, 0, 26.56, 16.04, 16.89
1950, 7, 8.606, 16.07, 19.56, 30.48, 20.78, 21.69
1950, 8, 0.02069, 0.3728, 0.68, 30.28, 20.38, 21.45
1950, 9, 2.644, 4.836, 6.1, 26.31, 17.1, 17.1
1950, 10, 3.33E-5, 0.01826, 0, 23.89, 15.72, 15.63
1950, 11, 1.905, 13.94, 7.4, 18.3, 11.66, 10.75
1950, 12, 0.9744, 3.351, 0.8, 15.51, 9.2, 7.612
1951, 1, 11.91, 52.89, 35.83, 11.62, 5.007, 3.224
1951, 2, 3.491, 21.05, 21.06, 13.03, 6.303, 5.016
1951, 3, 3.058, 16.67, 7.76, 15.75, 8.231, 7.443
1951, 4, 7.317, 38.93, 75.94, 19.11, 10.58, 10.45
1951, 5, 1.474, 4.054, 1, 22.81, 13.15, 14.12
1951, 6, 0, 0, 0, 26.11, 16.03, 16.85
1951, 7, 5.787, 19.03, 48.52, 31.27, 21.2, 22.21
1951, 8, 28.7, 30.59, 14.06, 29.89, 20.36, 20.93
1951, 9, 0.5707, 0.7957, 1.77, 28.5, 19.36, 19.73
1951, 10, 4.643, 13.71, 9.52, 21.99, 14.17, 13.18
1951, 11, 8.213, 14.88, 7.67, 15.32, 9.165, 6.853
1951, 12, 18.97, 96.07, 175, 11.44, 5.666, 2.883
1952, 1, 23.56, 85.88, 153.6, 10.14, 4.217, 1.479
1952, 2, 2.309, 11.08, 3.58, 12.91, 6.078, 4.594
1952, 3, 14.67, 99.17, 97.64, 13.15, 5.724, 3.849
1952, 4, 7.867, 33.26, 70.77, 18.95, 10.36, 10.16
1952, 5, 0.001634, 0.03801, 0, 25.1, 15.1, 16.06
1952, 6, 4.216, 0.0207, 0, 25.27, 15.21, 15.48
1952, 7, 2.44, 9.076, 3.16, 30.67, 20.9, 21.28
1952, 8, 2.283, 5.758, 0, 31.54, 21.57, 22.31
1952, 9, 0.8067, 4.414, 15.25, 28.94, 19.99, 19.84
1952, 10, 0.08804, 1.416, 0, 24.51, 15.95, 15.84
1952, 11, 17.33, 53.73, 93.78, 14.11, 7.356, 5.254
1952, 12, 20.32, 56.57, 111.8, 11.36, 5.207, 3.167
1953, 1, 3.411, 26.47, 18.95, 14.53, 7.752, 6.417
