# Created by WEAP: 5/6/2021 11:59:25 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: OR_W_S Frk McKenzie (55,445 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (14,163 ha),  1000 - 2000 m (41,282 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m

1950, 1, 406.9, 423.3, -3.9, -5.4
1950, 2, 195, 192.1, -0.3631, -1.537
1950, 3, 270.4, 280.2, 1.111, -0.4549
1950, 4, 119.1, 114.9, 5.267, 3.694
1950, 5, 58.51, 60.5, 8.849, 7.324
1950, 6, 136.9, 145.4, 12.23, 10.75
1950, 7, 6.817, 7.285, 15.46, 14.29
1950, 8, 25.7, 21.49, 15.95, 14.73
1950, 9, 49.1, 46.93, 12.04, 10.75
1950, 10, 363.4, 370.9, 5.66, 4.699
1950, 11, 262, 249.6, 3.76, 2.577
1950, 12, 282.3, 280.7, 3.428, 2.034
1951, 1, 384.1, 368.4, -1.078, -2.672
1951, 2, 218.4, 223.6, 1.361, -0.1504
1951, 3, 235.3, 242.8, 0.8021, -0.6547
1951, 4, 50.29, 47.51, 7.635, 6.226
1951, 5, 106.2, 90.83, 9.046, 7.8
1951, 6, 0.6653, 1.735, 13.61, 12.24
1951, 7, 0.8789, 1.107, 15.55, 14.51
1951, 8, 24.95, 23.97, 14.17, 13.12
1951, 9, 54.94, 53.96, 12.86, 11.67
1951, 10, 361.6, 334.5, 6.807, 5.633
1951, 11, 279.6, 281, 3.15, 1.789
1951, 12, 358, 371.7, -1.262, -2.834
1952, 1, 207.2, 213.7, -1.957, -3.679
1952, 2, 185.3, 194.6, 0.6974, -1.031
1952, 3, 216.3, 227.7, 1.501, -0.1575
1952, 4, 71.86, 74.12, 7.069, 5.579
1952, 5, 42.49, 48.89, 9.562, 8.234
1952, 6, 100.5, 96.18, 11.13, 10.02
1952, 7, 0, 0, 17.04, 15.88
1952, 8, 1.612, 2.625, 15.64, 14.38
1952, 9, 28.37, 30.77, 13.89, 12.61
1952, 10, 8.309, 6.675, 10.53, 9.254
1952, 11, 55.94, 56.96, 0.6815, -0.6008
1952, 12, 306.1, 299.9, -0.9126, -2.459
1953, 1, 515.6, 500, 2.067, 0.8137
1953, 2, 316.5, 326.4, 1.007, -0.3626
1953, 3, 202.3, 200.8, 2.091, 0.7127
1953, 4, 126.6, 125.4, 4.5, 3.097
1953, 5, 189, 185.4, 6.996, 5.542
1953, 6, 89.73, 90.48, 9.809, 8.398
1953, 7, 1.295, 2.851, 14.9, 13.9
1953, 8, 64.43, 69.26, 14.6, 13.31
1953, 9, 16.66, 16.03, 13.86, 12.69
1953, 10, 71.25, 70.24, 7.886, 6.736
1953, 11, 336.7, 350.9, 4.809, 3.731
1953, 12, 395.2, 383.6, 0.6131, -0.5664
1954, 1, 409.3, 413.8, -0.9474, -2.103
1954, 2, 139.6, 144.4, 1.971, 0.7683
1954, 3, 127.6, 133, 1.413, -0.143
1954, 4, 131.5, 133.1, 6.092, 4.697
1954, 5, 81.71, 81.24, 9.733, 8.459
1954, 6, 127.7, 128.8, 9.771, 8.558
1954, 7, 10.21, 10.31, 13.67, 12.79
1954, 8, 32.78, 36.62, 12.58, 11.31
1954, 9, 82.21, 78.24, 11.11, 9.849
1954, 10, 108.7, 95.44, 7.172, 6.077
1954, 11, 108.2, 105.4, 5.626, 4.266
1954, 12, 288.6, 280.7, -0.68, -1.97
1955, 1, 135.8, 137.8, -1.83, -3.391
1955, 2, 143.9, 145.4, -0.2924, -1.888
1955, 3, 293.6, 297.5, 0.133, -1.322
1955, 4, 257.9, 263.5, 2.15, 0.6503
1955, 5, 60.44, 60.83, 7.369, 5.948
1955, 6, 62.46, 61.36, 12.18, 10.88
1955, 7, 37.19, 37.51, 13.1, 11.92
1955, 8, 0, 0, 14.06, 13.04
1955, 9, 65.23, 70.74, 11.59, 10.27
1955, 10, 306.2, 292.5, 7.52, 6.28
1955, 11, 330.6, 348.8, 0.9445, -0.2684
1955, 12, 553, 553.2, -0.1664, -1.529
1956, 1, 383.7, 383.2, -0.8344, -2.124
1956, 2, 265.1, 280.5, -2.067, -3.392
