# Created by WEAP: 5/6/2021 11:59:20 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: WY_NW_Middle Wind (2,564,132 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (1,911,725 ha),  2000 - 3000 m (551,847 ha),  3000 - 4000 m (100,560 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m

1950, 1, 7.796, 31.63, 79.77, -12.72, -15.93, -17.8
1950, 2, 1.219, 8.826, 15.44, -2.676, -6.241, -9.235
1950, 3, 9.997, 26.85, 38.31, -1.359, -6.124, -9.636
1950, 4, 28.51, 66.67, 103.2, 5.207, -0.1984, -4.415
1950, 5, 34.1, 72.46, 101.9, 8.288, 2.918, -1.316
1950, 6, 39.49, 46.92, 51.34, 15.12, 9.494, 4.974
1950, 7, 30.68, 67.07, 120.3, 18.07, 12.29, 7.592
1950, 8, 11.64, 15.02, 17.56, 17.59, 12.36, 7.977
1950, 9, 52.05, 87.73, 137, 12.46, 7.302, 3.146
1950, 10, 3.61, 10.43, 12.53, 9.359, 4.885, 1.25
1950, 11, 12.62, 38.23, 78.52, -1.735, -5.448, -8.342
1950, 12, 6.156, 15.34, 21.09, -5.306, -7.161, -8.99
1951, 1, 4.83, 20.13, 46.21, -9.86, -12.95, -15.55
1951, 2, 2.212, 18.44, 53.11, -3.423, -7.184, -10.33
1951, 3, 6.039, 21.91, 34.51, -3.168, -7.932, -11.57
1951, 4, 16.21, 32.77, 40.48, 4.222, -0.9815, -5.013
1951, 5, 26.28, 45.47, 56.52, 12.14, 6.413, 1.805
1951, 6, 23.19, 48.06, 60.82, 12.37, 6.642, 1.993
1951, 7, 44.31, 75.36, 120.9, 19.37, 13.84, 9.163
1951, 8, 15.04, 29.3, 47.03, 18.03, 12.71, 8.227
1951, 9, 18.21, 52.28, 79.8, 11.31, 6.255, 2.219
1951, 10, 22.87, 44.89, 64.51, 5.853, 1.052, -2.762
1951, 11, 3.281, 8.094, 15.31, -1.465, -5.204, -8.216
1951, 12, 5.685, 15.85, 25.35, -8.303, -11.99, -14.75
1952, 1, 4.384, 6.247, 13.87, -9.827, -11.8, -13.57
1952, 2, 8.823, 37.73, 85.08, -4.33, -8.185, -11.28
1952, 3, 7.938, 22.03, 35.29, -2.163, -7.512, -11.57
1952, 4, 25.3, 65.91, 119, 8.177, 3.019, -1.107
1952, 5, 56.65, 116.7, 159.2, 12.23, 6.585, 2.089
1952, 6, 26.41, 35.45, 38.54, 17.72, 11.99, 7.287
1952, 7, 20.65, 43.38, 62.39, 19.29, 13.69, 9.054
1952, 8, 13.96, 39.89, 69.97, 19.17, 13.49, 8.838
1952, 9, 1.952, 4.201, 7.665, 15.38, 10.62, 6.704
1952, 10, 1.058, 4.379, 8.093, 8.17, 3.968, 0.7378
1952, 11, 4.618, 15.79, 32.64, -3.166, -7.215, -10.27
1952, 12, 3.08, 10.89, 19.58, -5.181, -8.09, -10.49
1953, 1, 6.229, 23.63, 47.27, -1.487, -4.912, -7.709
1953, 2, 10.38, 34.43, 76.24, -3.447, -7.888, -11.35
1953, 3, 7.635, 18.44, 26.68, 1.864, -2.934, -6.744
1953, 4, 32.88, 63.29, 95.61, 3.558, -2.033, -6.505
1953, 5, 40.49, 72.15, 103.4, 9.025, 3.535, -0.932
1953, 6, 26.94, 45.38, 50.56, 16.65, 10.87, 6.09
1953, 7, 5.423, 14.31, 23.25, 22.01, 16.12, 11.16
1953, 8, 15.42, 27.43, 41.65, 19.87, 14.32, 9.64
1953, 9, 13.33, 26.02, 44.08, 14.95, 9.899, 5.64
1953, 10, 22.69, 40.74, 64.74, 9.029, 4.6, 0.9872
1953, 11, 6.726, 23.74, 41.79, 2.574, -1.496, -4.71
1953, 12, 6.058, 19.14, 34.56, -4.17, -7.832, -10.7
1954, 1, 5.851, 15.3, 30.13, -6.455, -9.958, -12.63
1954, 2, 3.455, 17.45, 43.27, 1.285, -2.514, -5.607
1954, 3, 23.67, 69.33, 126.7, -2.864, -7.958, -11.99
1954, 4, 15.4, 31.65, 47.8, 6.393, 1.256, -3.007
1954, 5, 25.59, 48.21, 56.63, 11.51, 5.872, 1.354
1954, 6, 20.63, 29.84, 35.63, 15.64, 9.852, 5.103
1954, 7, 11.86, 29.88, 56.9, 22.3, 16.67, 11.91
1954, 8, 8.149, 16.45, 27.04, 18.71, 13.57, 9.276
1954, 9, 5.814, 16.12, 32.88, 14.61, 9.438, 5.082
1954, 10, 8.304, 16.43, 20.96, 6.208, 1.785, -1.888
1954, 11, 1.285, 5.583, 11.72, 2.84, -0.869, -3.874
1954, 12, 1.527, 9.839, 20.24, -4.403, -7.577, -10.04
1955, 1, 2.839, 8.365, 10.5, -6.567, -10.33, -13.18
1955, 2, 16.21, 61.87, 135.6, -7.282, -11.54, -14.83
1955, 3, 9.973, 36.65, 55.24, -4.111, -8.937, -12.82
1955, 4, 25.07, 48.44, 46.99, 5.49, 0.4291, -3.711
1955, 5, 46.46, 76.56, 91.78, 12.04, 6.501, 1.89
1955, 6, 44.3, 63.43, 76.3, 15.47, 9.712, 5.104
1955, 7, 18.13, 27.11, 37.4, 21.08, 15.43, 10.68
1955, 8, 7.918, 13.89, 16.29, 21.11, 15.69, 11.23
1955, 9, 20.73, 30.47, 38.52, 13.55, 8.513, 4.385
1955, 10, 8.111, 17.24, 21.03, 8.642, 4.242, 0.6006
1955, 11, 11.57, 34.7, 62.1, -5.913, -9.707, -12.8
1955, 12, 13.01, 45.21, 93.09, -7.609, -10.7, -13.38
1956, 1, 5.561, 17.45, 39.9, -7.47, -10.47, -12.83
1956, 2, 3.733, 18.82, 42.87, -8.617, -11.98, -14.63
1956, 3, 10.11, 35.1, 61.46, -0.1279, -5.225, -9.252
1956, 4, 24.09, 60.05, 94.73, 4.887, -0.2436, -4.38
1956, 5, 33.01, 77.89, 103.7, 12.9, 7.25, 2.715
1956, 6, 12.78, 13.63, 14.51, 19, 13.18, 8.404
1956, 7, 11.03, 27.33, 47.63, 20.27, 14.6, 9.951
1956, 8, 17.33, 25.02, 29.54, 17.92, 12.63, 8.147
1956, 9, 4.745, 11.46, 19.63, 14.19, 9.49, 5.512
1956, 10, 10.48, 18.32, 20.79, 8.383, 3.856, 0.08913
1956, 11, 9.789, 40.17, 80.14, -1.626, -5.584, -8.834
1956, 12, 3.963, 12.77, 25.03, -5.833, -7.656, -9.455
1957, 1, 4.628, 11.06, 17.31, -14.28, -16.6, -18.68
1957, 2, 4.428, 13.45, 26.36, -4.21, -7.586, -10.43
1957, 3, 10.25, 26.54, 34.94, 0.786, -3.896, -7.663
1957, 4, 45.89, 111.6, 171.3, 4.274, -1.321, -5.712
