# Created by WEAP: 5/6/2021 11:59:25 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: OR_WA_BPA_Deschutes (770,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (547,244 ha),  1000 - 2000 m (222,407 ha),  2000 - 3000 m (575 ha),  3000 - 4000 m (30 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m

1950, 1, 95.64, 154.8, 281.4, 405.5, -7.681, -8.961, -12.88, -13.45
1950, 2, 27.47, 62.39, 212.5, 301, -0.4387, -2.394, -7.105, -6.914
1950, 3, 31.2, 70.05, 204.1, 331.8, 3.375, 0.3216, -3.575, -2.974
1950, 4, 16.42, 30.47, 76.88, 115.2, 6.214, 3.268, -0.3529, 0.3197
1950, 5, 3.699, 8.988, 29.59, 40.26, 10.16, 7.129, 3.24, 3.97
1950, 6, 46.32, 55.97, 55.29, 58.16, 14.75, 11.58, 7.721, 8.445
1950, 7, 0.817, 3.888, 14.73, 21.14, 18.73, 15.47, 11.31, 11.85
1950, 8, 3.561, 6.874, 8.375, 8.97, 19.06, 15.86, 12.06, 12.55
1950, 9, 3.22, 10.52, 37.03, 58.05, 15.39, 12.03, 8.425, 8.826
1950, 10, 119.4, 144, 199, 255.9, 8.744, 6.221, 1.946, 2.285
1950, 11, 42.71, 83.3, 205.1, 299.8, 4.372, 1.847, -2.354, -1.987
1950, 12, 53.63, 89.6, 167.9, 225.9, 3.373, 1.308, -2.719, -2.627
