# Created by WEAP: 5/6/2021 11:59:34 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_SCE_CEN_Owens7 (574,340 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (290,348 ha),  2000 - 3000 m (210,533 ha),  3000 - 4000 m (72,292 ha),  4000 - 5000 m (1,167 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, pr[mm/m]:Elevation 4000 to 5000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m, tas[C]:Elevation 4000 to 5000 m

1950, 1, 18.8, 35.2, 67.75, 61.47, -1.853, -5.953, -10.51, -11.45
1950, 2, 22.42, 34.08, 66.44, 62.87, 4.366, 0.2007, -4.271, -5.532
1950, 3, 10.03, 20.83, 49.92, 45.18, 6.268, 1.976, -2.66, -3.95
1950, 4, 5.715, 17.1, 30.94, 33.52, 11.85, 7.323, 2.644, 1.241
1950, 5, 1.516, 3.027, 6.629, 9.317, 14.44, 10, 5.336, 3.957
1950, 6, 0.1462, 0.49, 0.1911, 0.3878, 18.31, 14.01, 9.122, 7.795
1950, 7, 14.81, 25.23, 17.93, 24.67, 22.96, 18.88, 13.86, 12.71
1950, 8, 1.999, 1.74, 2.582, 2.402, 21.56, 17.41, 12.53, 11.33
1950, 9, 13.76, 27.35, 24.37, 21.3, 16.87, 12.68, 7.873, 6.622
1950, 10, 10.81, 25.47, 35.17, 36.34, 13.49, 9.359, 4.601, 3.29
1950, 11, 69.82, 102.9, 191.4, 173.8, 7.731, 3.703, -0.8864, -2.141
1950, 12, 24.46, 48.26, 88.05, 85.35, 4.358, 0.1736, -4.1, -5.691
1951, 1, 15.2, 16.98, 45.94, 48.32, 0.771, -3.632, -7.72, -9.297
1951, 2, 8.886, 14.06, 37.89, 36.98, 2.85, -1.086, -5.875, -7.15
1951, 3, 3.582, 6.641, 18.34, 18.56, 6.042, 1.778, -2.876, -4.185
1951, 4, 23.85, 51.3, 62.92, 76.44, 10.61, 6.425, 1.643, 0.2638
1951, 5, 3.797, 4.972, 10.56, 9.839, 14.35, 9.859, 5.347, 3.812
1951, 6, 4.438, 9.459, 8.816, 7.702, 19.22, 14.79, 10.18, 8.919
1951, 7, 4.537, 7.568, 5.988, 7.656, 23.2, 19, 14.13, 12.95
1951, 8, 1.717, 5.422, 2.509, 3.875, 21.46, 17.32, 12.42, 11.55
1951, 9, 0.3224, 2.553, 0.1226, 0, 19.36, 15.18, 10.52, 9.487
1951, 10, 6.099, 13.91, 21.64, 23.61, 11.47, 7.165, 2.676, 1.619
1951, 11, 16.41, 36.03, 52.15, 43.74, 4.88, 0.9626, -3.677, -4.859
1951, 12, 98.36, 132.6, 239.6, 256.4, -0.7807, -5.116, -9.407, -10.65
1952, 1, 71.78, 91.4, 180.6, 155.5, -3.059, -7.431, -11.48, -12.39
1952, 2, 4.758, 7.235, 29.24, 29.26, 2.113, -2.39, -6.59, -7.757
1952, 3, 34.78, 57.65, 146.3, 132.3, 2.105, -2.221, -6.74, -7.99
1952, 4, 33.78, 57.72, 84.65, 89.94, 9.89, 5.77, 0.8848, -0.4782
