# Created by WEAP: 5/6/2021 11:59:32 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_N_Middle Yuba (67,911 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (24,949 ha),  1000 - 2000 m (33,132 ha),  2000 - 3000 m (9,830 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m

1950, 1, 494.9, 573, 563.1, 2.574, -3.012, -6.39
1950, 2, 188.8, 199.6, 163.7, 8.168, 2.899, -0.6113
1950, 3, 224, 251.3, 244.2, 8.554, 3.183, -0.7105
1950, 4, 104.2, 128.8, 145.2, 13.42, 8.117, 4.048
1950, 5, 72.83, 95.76, 94.13, 16.75, 11.44, 7.907
1950, 6, 7.557, 21.51, 27.18, 19.72, 14.29, 10.94
1950, 7, 1.272, 2.611, 0.5563, 25.68, 19.82, 16.31
1950, 8, 0.4644, 1.751, 3.179, 24.79, 19.25, 15.76
1950, 9, 4.31, 10.71, 19.92, 20.63, 14.9, 11.71
1950, 10, 176.8, 228.6, 246.6, 15.49, 10.79, 7.621
1950, 11, 390.7, 530.4, 521.8, 12.2, 7.478, 4.766
1950, 12, 458.6, 491.7, 485.3, 8.389, 4.588, 1.573
1951, 1, 388.5, 369.4, 322, 5.228, 0.6482, -2.772
1951, 2, 169.3, 180.5, 161.9, 6.798, 1.721, -1.59
1951, 3, 108.9, 141.5, 111.7, 9.377, 4.213, 0.4487
1951, 4, 53.49, 78.84, 104.4, 13.86, 8.876, 5.378
