# Created by WEAP: 5/6/2021 11:59:27 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_CEN_KIngs (301,056 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (46,690 ha),  1000 - 2000 m (61,276 ha),  2000 - 3000 m (96,982 ha),  3000 - 4000 m (95,816 ha),  4000 - 5000 m (292 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, pr[mm/m]:Elevation 4000 to 5000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m, tas[C]:Elevation 4000 to 5000 m

1950, 1, 161.5, 193.2, 194.2, 160.4, 137.8, 3.591, -1.261, -7.079, -11.1, -12.52
1950, 2, 116.2, 154.8, 172.8, 170.9, 135.7, 9.078, 4.421, -1.339, -5.192, -6.469
1950, 3, 100.3, 119.2, 131.5, 128.5, 108.7, 9.041, 4.361, -0.9396, -4.147, -5.161
1950, 4, 78.56, 95.81, 93.61, 86.94, 75.17, 13.61, 8.56, 3.366, 0.7092, -0.04283
1950, 5, 11.96, 20.68, 22.6, 22.55, 15.74, 16.5, 11.35, 6.21, 3.439, 2.631
1950, 6, 0.005409, 0.04222, 0.02586, 0.02887, 0.01761, 19.67, 14.66, 9.627, 6.99, 6.233
1950, 7, 6.297, 5.308, 9.051, 15.32, 16.27, 25.32, 20.2, 14.97, 12.04, 11.1
1950, 8, 0.08395, 0.4936, 1.531, 3.198, 3.597, 24.27, 19.38, 14.11, 10.98, 9.934
1950, 9, 5.123, 9.403, 16.57, 22.45, 25.09, 19.79, 14.71, 9.357, 6.243, 5.232
1950, 10, 68.63, 79.7, 86.11, 85.07, 65.84, 17.1, 12.34, 6.845, 3.416, 2.254
1950, 11, 274.3, 339.2, 379.4, 409.7, 359.1, 12.97, 8.615, 2.854, -1.202, -2.686
1950, 12, 178.3, 216.7, 206.6, 198.2, 176.5, 10.39, 6.058, -0.02612, -4.282, -5.707
1951, 1, 115.7, 131, 142.8, 127.6, 99.02, 6.575, 2.057, -3.905, -7.902, -9.319
1951, 2, 73.66, 91.42, 101.3, 95.07, 73.79, 7.543, 2.586, -3.203, -6.938, -8.185
1951, 3, 36.02, 45.81, 50.9, 48.48, 38.64, 9.257, 4.449, -0.8526, -4.101, -5.149
1951, 4, 87.75, 112.2, 110.8, 110.7, 104.9, 12.83, 7.675, 2.433, -0.4266, -1.223
1951, 5, 12.27, 20.44, 21.05, 23.17, 18.79, 16.43, 11.12, 5.923, 3.2, 2.476
1951, 6, 2.342, 4.744, 4.744, 7.124, 8.451, 20.57, 15.63, 10.66, 8.041, 7.252
1951, 7, 0, 0.1752, 1.304, 3.786, 4.885, 24.34, 19.53, 14.5, 11.79, 11.01
1951, 8, 0, 0.0001122, 0.0155, 0.206, 0.6463, 23.41, 18.55, 13.5, 10.53, 9.535
1951, 9, 0, 0, 0, 0, 0, 22.5, 17.81, 12.47, 9.073, 7.929
1951, 10, 43.48, 53.09, 58.69, 56.11, 44.97, 15.28, 10.48, 5.005, 1.541, 0.3499
1951, 11, 90.17, 111.2, 114.6, 111.7, 97.83, 11.13, 6.157, -0.03809, -4.207, -5.714
1951, 12, 296.5, 405.4, 444.9, 470, 428.4, 5.332, 0.3565, -5.689, -9.635, -11.1
1952, 1, 281.8, 371.4, 408, 379, 323.1, 4.265, -0.9225, -7.002, -11.46, -13.15
1952, 2, 74.58, 105.8, 112.4, 102.3, 73.7, 6.792, 1.562, -4.017, -7.611, -8.805
1952, 3, 255.9, 317.4, 352.3, 352, 306.8, 5.838, 0.4834, -4.895, -8.161, -9.298
1952, 4, 93.34, 101.9, 96.05, 109.2, 120.3, 12.56, 7.229, 1.732, -1.164, -1.963
1952, 5, 0.6286, 1.309, 0.5006, 0.5383, 0.4214, 17.44, 11.82, 6.323, 3.691, 3
1952, 6, 2.68, 7.74, 8.996, 9.054, 5.91, 17.75, 12.66, 7.413, 4.896, 4.339
1952, 7, 1.421, 3.794, 4.842, 8.114, 10.09, 24.55, 19.6, 14.37, 11.36, 10.44
1952, 8, 0.03045, 0.1161, 0.05538, 0.08143, 0.07042, 23.94, 19.02, 13.79, 10.73, 9.725
1952, 9, 6.575, 17.05, 20.35, 25.18, 20.81, 21.82, 16.86, 11.4, 7.885, 6.643
1952, 10, 0.1433, 0.0417, 0, 0, 0, 19, 14.35, 8.736, 4.891, 3.496
1952, 11, 75.07, 86.8, 98.87, 97.98, 80.63, 9.221, 4.233, -1.807, -5.813, -7.255
1952, 12, 207, 234.7, 224.1, 212.6, 192, 6.683, 1.687, -4.633, -8.884, -10.33
1953, 1, 114.9, 139.7, 146.9, 123.6, 90.23, 9.461, 4.843, -1.422, -5.54, -6.929
1953, 2, 2.928, 4.089, 5.009, 5.013, 3.675, 8.152, 3.581, -2.454, -6.484, -7.827
1953, 3, 61.86, 84.87, 98.8, 98.82, 82.35, 9.282, 4.362, -0.9711, -4.211, -5.265
1953, 4, 84.9, 109.3, 113.9, 112.1, 97.99, 11.47, 6.155, 0.8994, -1.758, -2.496
1953, 5, 57.11, 63.63, 59.88, 67.24, 63.07, 12.1, 6.52, 1.217, -1.452, -2.1
1953, 6, 27.57, 30.98, 28.74, 28.01, 20.3, 17.62, 12.73, 7.761, 5.359, 4.737
1953, 7, 0.2184, 0.5691, 1.171, 2.121, 3.699, 25.66, 20.59, 15.36, 12.58, 11.79
1953, 8, 0.3083, 0.9473, 1.238, 1.253, 1.017, 22.09, 17.27, 12.02, 9.142, 8.29
1953, 9, 0.1203, 0.4507, 0.2688, 0.3048, 0.2271, 22.84, 17.99, 12.37, 8.763, 7.538
1953, 10, 24.31, 23.61, 21.92, 21.43, 20.7, 15.54, 10.63, 4.908, 1.196, -0.1286
1953, 11, 70.18, 67.89, 62.31, 60.61, 55.13, 11.62, 6.912, 0.7486, -3.323, -4.738
1953, 12, 45.01, 51.81, 53.45, 55.08, 48.62, 8.042, 3.742, -2.616, -6.988, -8.573
1954, 1, 140.7, 177.2, 198.4, 191.8, 163.2, 7.224, 2.758, -3.432, -7.787, -9.331
1954, 2, 142.1, 202.2, 223.4, 228.8, 199.4, 10.4, 6.276, 0.1554, -3.833, -5.179
1954, 3, 196.2, 257.6, 287.7, 279.6, 234.6, 7.416, 2.391, -2.915, -6.184, -7.223
1954, 4, 58.3, 65.31, 60.28, 56.79, 53.94, 14.49, 9.548, 4.25, 1.339, 0.4915
1954, 5, 5.129, 7.493, 5.939, 6.916, 6.743, 18.32, 13.49, 8.211, 5.389, 4.619
1954, 6, 28.83, 34.48, 30.61, 30.45, 23.41, 19.13, 14.12, 9.109, 6.68, 6.125
1954, 7, 1.806, 1.773, 3.35, 7.622, 9.645, 25.47, 20.46, 15.12, 12.17, 11.3
1954, 8, 0, 0, 0, 0, 0, 21.88, 16.9, 11.61, 8.723, 7.842
1954, 9, 0, 0.1419, 1.268, 3.92, 5.682, 20.15, 15.44, 9.974, 6.624, 5.486
1954, 10, 0, 0, 0, 0, 0, 16.33, 11.78, 6.019, 2.154, 0.7357
1954, 11, 109.3, 122.7, 122.4, 125.3, 112.4, 12.39, 8.052, 1.877, -2.271, -3.709
1954, 12, 114.4, 134.5, 130.7, 123.2, 108, 7.267, 2.724, -3.85, -8.36, -9.94
1955, 1, 184.6, 211.2, 223.9, 197.3, 162.4, 4.46, -0.3777, -6.919, -11.71, -13.64
1955, 2, 107.6, 147, 162.2, 150.5, 117.7, 6.241, 1.271, -4.633, -8.558, -9.923
1955, 3, 10.04, 12.67, 13.46, 12.84, 9.786, 9.143, 4.253, -1.27, -4.777, -5.933
1955, 4, 89.92, 115.1, 109.5, 106.3, 95.31, 9.427, 4.417, -0.793, -3.626, -4.441
1955, 5, 54.47, 59.57, 52.26, 57.97, 57.92, 15.25, 9.876, 4.316, 1.342, 0.4864
1955, 6, 0.6463, 1.274, 3.26, 3.309, 1.649, 19.24, 14.2, 9.043, 6.481, 5.724
1955, 7, 0.045, 0.06522, 0.3322, 0.9619, 1.252, 22.25, 17.37, 12.2, 9.484, 8.801
1955, 8, 0.5407, 1.469, 3.163, 6.257, 7.641, 25.39, 20.39, 14.91, 11.69, 10.57
1955, 9, 5.496, 9.158, 10.85, 10.98, 9.665, 21.54, 16.52, 11.11, 7.74, 6.489
1955, 10, 0.06189, 0.1767, 0.07536, 0.09632, 0.0939, 17.14, 12.49, 6.934, 3.361, 2.04
1955, 11, 93.14, 107.7, 112.4, 101.7, 71.99, 10.18, 5.65, -0.3991, -4.288, -5.536
1955, 12, 556.8, 663.9, 603.1, 595.1, 580.1, 7.834, 2.905, -3.135, -7.164, -8.404
1956, 1, 190.1, 242.1, 264.7, 254.1, 209.1, 7.594, 2.84, -3.085, -7.173, -8.595
1956, 2, 66.14, 85.46, 87.41, 78.2, 55.11, 5.647, 0.8428, -4.922, -8.714, -10.01
1956, 3, 3.364, 5.504, 5.241, 5.153, 3.748, 10.13, 5.322, -0.2577, -3.724, -4.834
1956, 4, 124.6, 147.3, 145, 162.8, 177.5, 11.49, 6.196, 0.7949, -2.164, -3.026
1956, 5, 74.25, 95.4, 96.69, 96.35, 75.43, 16.1, 10.79, 5.462, 2.612, 1.804
1956, 6, 0.05392, 0.2661, 0.1505, 0.2251, 0.1291, 21.07, 15.91, 10.65, 8.065, 7.37
1956, 7, 0.3789, 2.145, 1.318, 4.465, 9.424, 24.05, 18.76, 13.36, 10.36, 9.478
1956, 8, 0, 0, 0, 0.02783, 0.04701, 22.27, 17.18, 11.92, 9.043, 8.144
1956, 9, 1.173, 1.698, 1.151, 1.321, 0.9498, 22.12, 17.33, 11.84, 8.332, 7.116
1956, 10, 73.17, 71.17, 70.62, 75.06, 67.12, 14.37, 9.319, 3.835, 0.4932, -0.6443
1956, 11, 0.01342, 0.1267, 0.2514, 0.2301, 0.1653, 12.21, 7.722, 1.47, -2.798, -4.369
1956, 12, 44.21, 53.07, 52.05, 45.17, 32.41, 8.708, 4.594, -1.727, -5.838, -7.264
1957, 1, 119.6, 148.1, 158.4, 155.5, 133.4, 4.152, -0.82, -6.827, -11.11, -12.62
1957, 2, 114.8, 148.4, 158, 154.6, 120.9, 9.705, 4.733, -1.117, -4.856, -6.078
1957, 3, 78.27, 98.94, 107.5, 106, 82.57, 9.421, 4.388, -0.8871, -3.928, -4.852
1957, 4, 80.38, 96.77, 99.32, 102.3, 95.44, 11.98, 6.714, 1.357, -1.635, -2.511
1957, 5, 153, 205, 214.1, 227.7, 171, 14.16, 8.745, 3.674, 1.14, 0.7015
1957, 6, 7.171, 10.46, 12.03, 10.83, 4.942, 21.93, 16.62, 11.73, 9.323, 8.935
1957, 7, 0.261, 0.5889, 0.8239, 1.637, 3.26, 24.34, 19.09, 14.01, 11.25, 10.55
1957, 8, 0, 0, 0, 0.04935, 0.2068, 22.89, 17.88, 12.81, 10.13, 9.604
