# Created by WEAP: 5/6/2021 11:59:21 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_SCE_VLY_Upr Kern (80,088 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (8,400 ha),  1000 - 2000 m (48,752 ha),  2000 - 3000 m (22,918 ha),  3000 - 4000 m (17 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m

1950, 1, 94.23, 102.2, 91.75, 64.85, 1.753, -1.615, -4.024, -7.182
1950, 2, 75.05, 83.81, 83.39, 70.84, 7.755, 4.357, 1.879, -1.44
1950, 3, 33.2, 37.67, 36.19, 28.46, 9.09, 5.585, 3.185, 0.1345
1950, 4, 23.03, 28.87, 25.69, 16.68, 13.89, 10.51, 8.269, 5.447
1950, 5, 3.696, 4.747, 4.939, 4.57, 17.38, 13.9, 11.54, 8.532
1950, 6, 0, 0, 0, 0, 20.85, 17.35, 15.04, 12.12
1950, 7, 0.1012, 0.3855, 0.5234, 0.8, 26.36, 22.83, 20.45, 17.43
1950, 8, 0.000415, 0.02273, 0.1143, 0.3, 25.2, 21.59, 19.15, 16.04
1950, 9, 4.414, 5.938, 7.513, 10.16, 19.66, 16.2, 13.86, 10.86
1950, 10, 5.909, 8.558, 8.24, 6.1, 16.04, 12.56, 10.27, 7.399
1950, 11, 182.2, 181.1, 170.2, 145.7, 10.78, 7.391, 5.015, 1.918
1950, 12, 38.56, 45.38, 43.07, 31.57, 9.219, 5.505, 2.98, -0.2703
1951, 1, 40.34, 47.94, 42.78, 27.33, 5.558, 1.97, -0.5523, -3.875
1951, 2, 18.63, 23.52, 22.47, 15.4, 7.293, 3.79, 1.22, -2.198
1951, 3, 5.38, 8.725, 8.012, 4.05, 9.741, 6.27, 3.782, 0.5282
1951, 4, 39.25, 48.91, 44.94, 31.33, 13.44, 10.01, 7.6, 4.473
1951, 5, 1.869, 2.395, 4.532, 8.58, 17.73, 14.24, 11.83, 8.756
1951, 6, 0, 0, 0, 0, 21.56, 17.91, 15.62, 12.78
1951, 7, 0, 0.005587, 0.03643, 0.1, 25.55, 21.41, 19.25, 16.77
1951, 8, 0, 0, 0, 0, 24.49, 20.26, 18, 15.34
1951, 9, 0, 0, 0, 0, 22.62, 18.55, 16.27, 13.57
1951, 10, 14.81, 20.59, 19.92, 17.2, 14.6, 10.77, 8.457, 5.607
1951, 11, 35.65, 38.96, 36.98, 30.86, 9.43, 5.767, 3.257, 0.01667
1951, 12, 250.7, 284, 274.5, 231.2, 4.444, 0.8369, -1.639, -4.881
1952, 1, 187.9, 204.9, 199.8, 175.3, 3.481, -0.1823, -2.74, -6.125
1952, 2, 31.03, 40.08, 39.13, 32.65, 6.803, 3.2, 0.7032, -2.609
1952, 3, 145, 186.9, 192.8, 180, 5.562, 1.884, -0.5104, -3.607
1952, 4, 19.12, 30.59, 29.78, 24.14, 12.39, 8.7, 6.413, 3.544
1952, 5, 0, 0.008917, 0.0946, 0.3, 17.54, 13.64, 11.4, 8.654
1952, 6, 0.0008301, 0.04206, 0.166, 0.4, 18.14, 14.2, 11.99, 9.342
1952, 7, 3.661, 5.117, 6.443, 9.3, 25.24, 21.28, 18.97, 16.2
1952, 8, 0.397, 0.4495, 0.4964, 0.5, 24.8, 20.72, 18.45, 15.79
1952, 9, 1.173, 2.009, 2.161, 2.4, 22.05, 18.03, 15.67, 12.82
1952, 10, 0, 0, 0, 0, 17.95, 14.09, 11.75, 8.861
1952, 11, 84.01, 93.29, 94.64, 91.26, 7.972, 4.33, 1.877, -1.244
1952, 12, 146.9, 186.1, 189.6, 170.1, 5.316, 1.766, -0.7672, -4.072
1953, 1, 108.1, 137.9, 144.7, 128.4, 7.794, 4.238, 1.787, -1.369
1953, 2, 1.694, 2.033, 2.035, 1.88, 6.45, 2.775, 0.3848, -2.647
1953, 3, 38.54, 52.36, 58.39, 58.05, 8.9, 5.16, 2.832, -0.0821
