# Created by WEAP: 5/6/2021 11:59:29 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: MT_SW_Middle Missouri (274,874 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (251,664 ha),  2000 - 3000 m (23,210 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m

1950, 1, 40.07, 68.86, -18.38, -20.34
1950, 2, 5.855, 18.97, -2.023, -4.803
1950, 3, 42.34, 78.41, -2.911, -5.541
1950, 4, 42.76, 66.96, 3.078, 0.5668
1950, 5, 38.44, 56.13, 7.27, 4.408
1950, 6, 66.68, 79.14, 11.88, 9.187
1950, 7, 34.77, 39.97, 15.8, 12.99
1950, 8, 37.08, 40.14, 15.66, 12.81
1950, 9, 33.37, 46.63, 10.22, 7.388
1950, 10, 21.35, 37.43, 6.931, 4.116
1950, 11, 57.13, 95.31, -3.826, -6.277
1950, 12, 24.55, 45.44, -3.456, -6.074
1951, 1, 18.52, 39.38, -9.553, -12.16
1951, 2, 16.47, 33.51, -5.51, -8.098
1951, 3, 34.7, 60.17, -7.633, -10.1
1951, 4, 68.1, 102, 2.668, 0.05142
1951, 5, 45.51, 68.39, 9.134, 6.335
1951, 6, 64.59, 75.45, 9.946, 7.093
1951, 7, 46.8, 50.2, 17.45, 14.46
1951, 8, 45.24, 57.31, 14.79, 11.95
1951, 9, 30.59, 44.47, 8.96, 6.152
1951, 10, 37.27, 61.78, 3.363, 0.6222
1951, 11, 14.61, 30.8, -1.77, -4.712
1951, 12, 52.79, 89.96, -10.25, -12.82
1952, 1, 8.383, 15.05, -10.22, -12.61
1952, 2, 23.82, 51.48, -5.678, -8.266
1952, 3, 42.09, 76.93, -4.302, -7.102
1952, 4, 8.439, 18.29, 6.709, 3.896
1952, 5, 80.48, 116.3, 9.631, 6.817
1952, 6, 47.59, 60.33, 13.24, 10.4
1952, 7, 20.57, 26.63, 16.54, 13.43
1952, 8, 25.85, 31.57, 16.54, 13.58
1952, 9, 11.49, 16.59, 13, 10.06
1952, 10, 13.25, 15.45, 7.086, 4.297
1952, 11, 46.91, 71.15, -3.679, -6.403
1952, 12, 9.194, 18.53, -5.056, -7.697
1953, 1, 29.08, 57.43, -0.4567, -3.139
1953, 2, 41.43, 79.28, -2.533, -5.281
1953, 3, 14.05, 24, 0.3737, -2.399
1953, 4, 37.49, 61.26, 2.138, -0.6007
1953, 5, 105.8, 130.2, 6.892, 4.09
1953, 6, 78.45, 100, 11.93, 9.109
1953, 7, 2.235, 3.924, 18.44, 15.41
1953, 8, 20.8, 25.95, 17.14, 14.12
1953, 9, 11.34, 16.61, 13.1, 10.18
1953, 10, 6.163, 10.8, 8.08, 5.184
1953, 11, 13.08, 24.63, 2.767, -0.03701
1953, 12, 20.65, 38.66, -1.908, -4.84
1954, 1, 53.01, 85.02, -10.02, -12.53
1954, 2, 11.05, 20.05, 0.5042, -2.243
1954, 3, 17.02, 33.91, -4.374, -7.235
1954, 4, 28, 53.14, 2.549, -0.01803
1954, 5, 41.2, 50.2, 9.197, 6.397
1954, 6, 78.01, 95.19, 10.99, 8.096
1954, 7, 26.07, 26.69, 18.73, 15.72
1954, 8, 33.22, 45.55, 15.5, 12.57
1954, 9, 20.79, 29.26, 11.12, 8.275
1954, 10, 30.18, 43.42, 4.281, 1.456
1954, 11, 15.23, 20.84, 2.865, 0.1594
1954, 12, 8.524, 16.17, -4.759, -7.461
1955, 1, 7.547, 16.3, -7.046, -9.821
1955, 2, 13.39, 24.07, -7.71, -10.6
1955, 3, 41.14, 73.1, -7.342, -10.05
1955, 4, 43.74, 79.1, 2.018, -0.7219
1955, 5, 41.53, 59.21, 7.482, 4.679
1955, 6, 53.5, 67.55, 12.57, 9.612
1955, 7, 90.98, 98.98, 16.15, 13.26
1955, 8, 3.066, 5.897, 17.61, 14.51
1955, 9, 7.656, 16.51, 10.62, 7.697
1955, 10, 9.824, 21.24, 7.206, 4.272
1955, 11, 55.37, 97.23, -7.809, -10.48
1955, 12, 54.92, 104.1, -7.948, -10.69
1956, 1, 22.75, 42.69, -8.547, -11.1
1956, 2, 6.229, 14.95, -8.184, -11.07
1956, 3, 16.54, 28.7, -1.295, -4.295
1956, 4, 26.41, 52.45, 3.581, 0.8525
1956, 5, 43.82, 65.38, 9.794, 7.007
1956, 6, 50.87, 57.09, 14.32, 11.42
1956, 7, 39.03, 43.01, 17.39, 14.52
1956, 8, 29.75, 35.82, 15.45, 12.53
1956, 9, 6.571, 11.25, 12.3, 9.349
1956, 10, 29.3, 51.27, 5.653, 2.754
1956, 11, 5.159, 11.93, -0.8154, -3.797
1956, 12, 19.8, 33.36, -3.22, -6.025
1957, 1, 33.06, 57.41, -16.2, -18.59
1957, 2, 12.08, 24.56, -6.332, -8.865
1957, 3, 32.79, 64.24, -1.645, -4.317
1957, 4, 26.1, 52.88, 3.428, 0.6538
1957, 5, 93.58, 126.1, 10.48, 7.713
1957, 6, 54.53, 69.52, 13.6, 10.71
1957, 7, 22.37, 23.01, 18.13, 15.14
1957, 8, 26.33, 31.6, 16.44, 13.62
1957, 9, 35.71, 44.98, 11.67, 8.853
1957, 10, 39.25, 59.43, 3.294, 0.6628
1957, 11, 20.14, 30.69, -1.577, -4.474
1957, 12, 14.12, 24.55, -1.157, -3.987
1958, 1, 9.419, 19.02, -2.91, -5.788
1958, 2, 38.66, 91.19, -4.469, -6.939
1958, 3, 40.59, 75.57, -3.316, -6.047
1958, 4, 36.45, 61.36, 3.677, 0.902
1958, 5, 35.57, 49.46, 13.5, 10.61
1958, 6, 116.9, 136.8, 12.64, 9.876
1958, 7, 40.57, 40.49, 15.12, 12.27
1958, 8, 21.4, 21.52, 18.57, 15.56
1958, 9, 16.33, 24.74, 11.7, 8.775
1958, 10, 14.81, 31.41, 7.104, 4.306
1958, 11, 38.47, 67.9, -1.628, -4.316
1958, 12, 37.51, 70.25, -4.428, -6.996
1959, 1, 25.08, 43.92, -6.962, -9.423
1959, 2, 44.61, 91.86, -9.828, -12.31
1959, 3, 4.075, 9.398, 0.4232, -2.397
1959, 4, 15.11, 26.99, 4.318, 1.566
1959, 5, 61.56, 89.2, 6.635, 3.906
1959, 6, 61.64, 80.86, 14.37, 11.46
1959, 7, 3.183, 7.085, 17.89, 14.86
1959, 8, 20.73, 30.24, 15.75, 12.74
1959, 9, 25.84, 46.18, 10.23, 7.389
1959, 10, 35.64, 61.23, 4.77, 1.969
1959, 11, 52.66, 81.68, -4.677, -7.402
1959, 12, 9.641, 15.65, -2.45, -5.351
1960, 1, 12.4, 21.21, -9.005, -11.73
1960, 2, 13.02, 27.8, -6.207, -8.927
1960, 3, 15, 38.22, -1.504, -4.245
1960, 4, 38.07, 63.85, 3.538, 0.8449
1960, 5, 38.32, 55.21, 8.239, 5.46
1960, 6, 8.068, 12.45, 13.83, 10.96
1960, 7, 23.04, 22.74, 19.94, 16.94
1960, 8, 65.01, 79.32, 15.25, 12.33
1960, 9, 8.675, 12.76, 11.94, 9.054
1960, 10, 13.13, 22.6, 6.499, 3.567
1960, 11, 11.83, 25.21, -0.5174, -3.276
1960, 12, 14.38, 26.09, -5.033, -7.78
1961, 1, 5.727, 8.306, -3.279, -6.037
1961, 2, 9.878, 22.78, 0.7629, -1.971
1961, 3, 35.13, 65.46, 0.9543, -1.861
1961, 4, 30.68, 62.75, 2.688, -0.08971
1961, 5, 45.2, 71.54, 9.75, 6.893
1961, 6, 19.91, 28.98, 17.64, 14.54
1961, 7, 26.27, 29.08, 18.92, 15.9
1961, 8, 18.68, 24.81, 19.75, 16.77
1961, 9, 45.24, 65.35, 7.545, 4.782
1961, 10, 14.04, 27.3, 4.872, 1.917
1961, 11, 20.35, 33.84, -3.176, -5.877
1961, 12, 25.65, 44.26, -6.72, -9.491
1962, 1, 28.77, 58.83, -9.765, -12.78
1962, 2, 26.8, 54.74, -5.931, -8.704
1962, 3, 22.89, 45.28, -3.451, -6.202
1962, 4, 30.47, 37.43, 6.464, 3.624
1962, 5, 104, 133.1, 8.755, 5.909
1962, 6, 61.53, 72.95, 13.7, 10.78
1962, 7, 39.23, 46.39, 16.17, 13.19
1962, 8, 46.1, 50.59, 16.26, 13.29
1962, 9, 14.58, 16.36, 11.13, 8.337
1962, 10, 43.39, 67.05, 7.558, 4.642
1962, 11, 26.47, 57.47, 1.343, -1.625
1962, 12, 8.148, 20.99, -2.345, -5.045
1963, 1, 34.07, 73.63, -12.95, -15.76
1963, 2, 15.23, 33.08, 0.01463, -2.72
1963, 3, 14.29, 29.67, 1.172, -1.687
1963, 4, 28.72, 48.81, 3.891, 1.08
1963, 5, 35.23, 51.43, 9.686, 6.861
1963, 6, 82.82, 103.6, 13.21, 10.28
1963, 7, 21.29, 26.32, 17.42, 14.33
1963, 8, 22.55, 29.26, 17.55, 14.54
1963, 9, 37.81, 58.12, 14.5, 11.64
1963, 10, 38.34, 60.66, 8.992, 6.036
1963, 11, 16.11, 36.56, 0.5425, -2.271
1963, 12, 50.67, 99.17, -7.866, -10.51
1964, 1, 23.9, 48.07, -5.886, -8.546
1964, 2, 17.67, 44.71, -3.893, -6.8
1964, 3, 19.13, 34.7, -3.554, -6.408
1964, 4, 37.38, 51.83, 3.188, 0.3891
1964, 5, 102.7, 120.1, 8.771, 5.919
1964, 6, 83.42, 99.91, 12.79, 9.841
1964, 7, 28.15, 32.97, 18.76, 15.73
1964, 8, 47.15, 56.29, 15.23, 12.22
1964, 9, 10.3, 14.53, 9.728, 6.834
1964, 10, 3.833, 7.116, 7.154, 4.203
1964, 11, 21.35, 35.98, -1.761, -4.54
1964, 12, 63.3, 105.5, -8.215, -10.71
1965, 1, 25.22, 54, -3.046, -6.083
1965, 2, 17.7, 30.56, -4.406, -7.042
1965, 3, 32.72, 49.37, -6.523, -9.379
1965, 4, 46.64, 83.48, 4.625, 1.862
1965, 5, 58.01, 75.46, 7.815, 4.81
1965, 6, 104.5, 123.6, 12.55, 9.555
1965, 7, 31.32, 38.08, 17.23, 14.16
1965, 8, 52.86, 59.7, 16.12, 13.08
1965, 9, 92.15, 116.1, 5.274, 2.362
1965, 10, 3.163, 4.327, 8.345, 5.327
1965, 11, 23.92, 38.59, 0.05718, -2.682
1965, 12, 7.163, 13.66, -3.744, -6.742
1966, 1, 28.36, 52.32, -7.749, -10.26
1966, 2, 15.37, 35.35, -4.525, -7.657
1966, 3, 12.24, 27.74, 0.2355, -2.819
