# Created by WEAP: 5/6/2021 11:59:30 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: OR_W_Klamath (1,759,114 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (769,785 ha),  1000 - 2000 m (944,405 ha),  2000 - 3000 m (44,021 ha),  3000 - 4000 m (887 ha),  4000 - 5000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, pr[mm/m]:Elevation 4000 to 5000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m, tas[C]:Elevation 4000 to 5000 m

1950, 1, 359, 327.5, 315.7, 474.3, 474.3, -2.281, -4.762, -8.022, -12.61, -12.61
1950, 2, 119.2, 108, 101.1, 249.8, 249.8, 2.475, 0.3024, -2.576, -6.921, -6.921
1950, 3, 235.9, 215.1, 180.7, 198.9, 198.9, 4.291, 2.346, -0.4687, -5.609, -5.609
1950, 4, 50.5, 47.15, 59.2, 164.8, 164.8, 7.452, 5.885, 3.38, -1.366, -1.366
1950, 5, 41.3, 37.39, 25.43, 34.63, 34.63, 10.76, 9.595, 7.573, 3.146, 3.146
1950, 6, 42.6, 42.96, 42.68, 84.48, 84.48, 13.84, 12.7, 10.65, 5.788, 5.788
1950, 7, 0.2213, 0.5177, 1.771, 0, 0, 18.18, 17.5, 15.98, 11.59, 11.59
1950, 8, 4.25, 5.993, 7.084, 2.7, 2.7, 17.91, 17.03, 15.2, 10.63, 10.63
1950, 9, 17.35, 22.99, 34.25, 76.55, 76.55, 14.37, 13.12, 11.01, 6.277, 6.277
1950, 10, 385.2, 372.5, 411.9, 789.3, 789.3, 10.16, 8.181, 5.455, 0.4277, 0.4277
1950, 11, 126.4, 120.3, 133.2, 257.4, 257.4, 6.419, 4.288, 1.49, -2.989, -2.989
1950, 12, 243.3, 226.5, 207.1, 320, 320, 4.443, 2.139, -0.7939, -5.187, -5.187
1951, 1, 282.8, 264, 256.8, 374.6, 374.6, 1.051, -1.247, -4.457, -9.642, -9.642
1951, 2, 175.6, 173.8, 175.5, 264.9, 264.9, 3.178, 0.9869, -2.098, -7.356, -7.356
1951, 3, 69.94, 57.87, 46.82, 89.69, 89.69, 3.954, 2.079, -0.6507, -5.727, -5.727
1951, 4, 58.83, 59.81, 63.64, 97.86, 97.86, 9.586, 8.143, 5.808, 0.9487, 0.9487
1951, 5, 47.47, 49.05, 55.65, 138.4, 138.4, 11.26, 9.79, 7.202, 2.088, 2.088
1951, 6, 0.4479, 0.2424, 0.5206, 1.4, 1.4, 15.57, 14.7, 12.78, 8.025, 8.025
1951, 7, 0.709, 0.7131, 1.305, 0.88, 0.88, 17.25, 16.59, 14.81, 10.01, 10.01
1951, 8, 7.231, 9.268, 11.32, 17.45, 17.45, 17.2, 16.42, 14.55, 9.726, 9.726
1951, 9, 12.54, 7.941, 3.948, 6.5, 6.5, 15.48, 14.44, 12.43, 7.832, 7.832
1951, 10, 121.6, 115.7, 108, 142, 142, 9.19, 7.217, 4.458, -0.4897, -0.4897
1951, 11, 211.9, 201.7, 231.3, 532.6, 532.6, 4.924, 2.737, -0.2207, -4.981, -4.981
1951, 12, 346.5, 347.3, 364.4, 607.1, 607.1, 0.6142, -1.788, -4.979, -9.987, -9.987
1952, 1, 286.2, 271.6, 285.1, 537.9, 537.9, -0.8014, -3.249, -6.475, -11.11, -11.11
1952, 2, 182.7, 159.6, 143.2, 214.7, 214.7, 2.363, 0.08376, -2.897, -7.719, -7.719
1952, 3, 119.1, 120.6, 124.2, 243.5, 243.5, 3.23, 1.201, -1.779, -6.896, -6.896
1952, 4, 34.06, 31.11, 32.43, 75.16, 75.16, 8.674, 7.126, 4.488, -0.2363, -0.2363
1952, 5, 34.96, 38.32, 47.72, 106.2, 106.2, 11.52, 10.09, 7.513, 2.795, 2.795
1952, 6, 61.78, 68.82, 72.98, 129.9, 129.9, 13.02, 11.66, 8.996, 4.005, 4.005
1952, 7, 13.34, 19.91, 35.9, 29.13, 29.13, 19.45, 18.66, 16.36, 11.48, 11.48
1952, 8, 3.329, 4.778, 3.201, 0.5, 0.5, 17.61, 16.5, 14.12, 9.193, 9.193
1952, 9, 4.96, 5.997, 9.975, 22.53, 22.53, 16.34, 15.09, 12.66, 8.177, 8.177
1952, 10, 11.48, 13.23, 15.4, 28.9, 28.9, 12.16, 10.6, 8.174, 4.271, 4.271
1952, 11, 71.75, 71.16, 75.57, 143.1, 143.1, 2.966, 0.6625, -2.042, -5.901, -5.901
1952, 12, 414.2, 411.5, 427, 829.6, 829.6, 0.7801, -1.564, -4.824, -9.603, -9.603
1953, 1, 426.9, 391.9, 371.6, 576.6, 576.6, 3.578, 1.28, -1.746, -6.394, -6.394
1953, 2, 87.32, 69.35, 55.62, 38.53, 38.53, 3.972, 1.882, -0.9856, -5.875, -5.875
1953, 3, 155.4, 152, 150.7, 322.8, 322.8, 4.462, 2.471, -0.3903, -5.387, -5.387
1953, 4, 107, 93.39, 74.5, 127.2, 127.2, 7.197, 5.538, 2.993, -2.394, -2.394
1953, 5, 144.2, 141.9, 141.6, 152.9, 152.9, 8.655, 6.918, 4.193, -1.189, -1.189
1953, 6, 48.89, 47.85, 42.75, 49.23, 49.23, 11.8, 10.4, 8.062, 3.012, 3.012
1953, 7, 0.0004468, 0.0004193, 0, 0, 0, 17.8, 17.08, 15.25, 10.25, 10.25
1953, 8, 22.37, 20.4, 16.18, 25.5, 25.5, 16.59, 15.47, 13.26, 7.968, 7.968
1953, 9, 7.434, 4.692, 3.322, 0.7, 0.7, 16.74, 15.48, 13.18, 8.364, 8.364
1953, 10, 82.63, 72.02, 62.62, 97.03, 97.03, 9.312, 7.433, 4.967, 0.5185, 0.5185
1953, 11, 240.6, 212.4, 238.8, 451.2, 451.2, 6.478, 4.478, 1.859, -3.524, -3.524
1953, 12, 114.7, 98.06, 84, 99, 99, 2.41, 0.1986, -2.309, -6.523, -6.523
1954, 1, 421.8, 430.8, 433.2, 788.2, 788.2, 1.554, -0.4985, -3.176, -8.843, -8.843
1954, 2, 131.2, 135.8, 153.5, 350.1, 350.1, 4.652, 2.604, -0.07168, -4.751, -4.751
1954, 3, 119.8, 130.8, 123.8, 234.4, 234.4, 4.524, 2.59, -0.3513, -5.788, -5.788
1954, 4, 99.3, 98.86, 90.37, 187.8, 187.8, 9.263, 7.694, 5.062, 0.01867, 0.01867
1954, 5, 1.961, 1.272, 0.8767, 1.38, 1.38, 12.45, 11.34, 9.11, 3.881, 3.881
1954, 6, 57.71, 53.37, 50.6, 68.67, 68.67, 12.75, 11.54, 9.429, 4.191, 4.191
1954, 7, 0.5135, 0.2967, 0.359, 2, 2, 17.53, 16.54, 14.67, 9.535, 9.535
1954, 8, 28.9, 31.62, 43.5, 131.6, 131.6, 15.84, 14.44, 12.01, 6.615, 6.615
1954, 9, 23.23, 18.25, 13.9, 8.38, 8.38, 13.43, 11.7, 8.995, 3.909, 3.909
1954, 10, 39.56, 34.37, 27.65, 51.86, 51.86, 9.195, 7.305, 4.602, 0.05645, 0.05645
1954, 11, 123.6, 119, 138.6, 299.4, 299.4, 5.736, 3.627, 0.9223, -3.253, -3.253
1954, 12, 226.9, 192.6, 178.1, 327, 327, 1.021, -1.225, -4.193, -9.003, -9.003
1955, 1, 121, 100.3, 91.29, 163.2, 163.2, -0.1288, -2.449, -5.736, -10.38, -10.38
1955, 2, 57.39, 45.87, 32.92, 63.31, 63.31, 1.801, -0.31, -3.275, -8.245, -8.245
1955, 3, 58.98, 52.33, 44.98, 67.26, 67.26, 4.432, 2.455, -0.4467, -5.735, -5.735
1955, 4, 111.8, 90.55, 83.54, 260.7, 260.7, 4.839, 2.921, 0.1241, -5.127, -5.127
1955, 5, 3.005, 2.955, 2.657, 6, 6, 10.91, 9.297, 6.698, 2.04, 2.04
1955, 6, 9.976, 8.993, 6.713, 9.24, 9.24, 15.12, 13.87, 11.66, 6.339, 6.339
1955, 7, 5.498, 4.993, 5.625, 14.6, 14.6, 16.08, 14.84, 12.54, 7.443, 7.443
1955, 8, 1.8, 2.599, 3.522, 0, 0, 18.32, 17.37, 15.26, 10.16, 10.16
1955, 9, 31, 25.5, 24.77, 53.25, 53.25, 14.36, 12.81, 10.34, 5.979, 5.979
1955, 10, 51.85, 44.45, 36.52, 23.5, 23.5, 10.44, 8.757, 6.361, 1.895, 1.895
1955, 11, 225.1, 204.2, 205.3, 336.2, 336.2, 3.537, 1.527, -1.174, -6.325, -6.325
1955, 12, 507, 508.4, 544.7, 912.8, 912.8, 2.688, 0.4645, -2.496, -7.499, -7.499
1956, 1, 420, 391.9, 394.6, 683.4, 683.4, 2.19, 0.08008, -2.617, -8.06, -8.06
1956, 2, 262.8, 245.4, 228.3, 537.4, 537.4, 0.5964, -1.49, -4.278, -9.517, -9.517
1956, 3, 66.4, 54.11, 35.22, 16.51, 16.51, 4.745, 2.829, 0.09493, -4.902, -4.902
1956, 4, 16.73, 23.54, 24.15, 31.42, 31.42, 8.718, 7.037, 4.35, -0.8607, -0.8607
1956, 5, 64.29, 68.84, 72.42, 125.3, 125.3, 11.71, 10.16, 7.601, 2.684, 2.684
1956, 6, 23.85, 21.76, 23.08, 48.08, 48.08, 13.83, 12.63, 10.62, 5.63, 5.63
1956, 7, 9.183, 11.43, 14.85, 29.6, 29.6, 19.21, 18.15, 15.91, 10.78, 10.78
1956, 8, 3.185, 4.525, 5.886, 2.45, 2.45, 17.05, 15.71, 13.23, 8.267, 8.267
1956, 9, 9.835, 11.34, 12.45, 12.9, 12.9, 14.75, 13.23, 10.72, 5.95, 5.95
1956, 10, 199.7, 186.5, 172.6, 167.1, 167.1, 8.971, 7.109, 4.352, -0.7406, -0.7406
1956, 11, 16.26, 11.34, 7.668, 9.5, 9.5, 4.44, 2.408, -0.05145, -3.507, -3.507
1956, 12, 103.7, 71.61, 53.47, 30.08, 30.08, 0.8871, -1.399, -3.904, -6.97, -6.97
1957, 1, 144.2, 144.6, 167.8, 369.6, 369.6, -1.48, -3.954, -7.174, -12.25, -12.25
1957, 2, 183.7, 196.8, 227.2, 492.2, 492.2, 3.888, 1.829, -1.014, -5.991, -5.991
1957, 3, 284.9, 277.5, 257.7, 271, 271, 5.324, 3.363, 0.6054, -4.212, -4.212
1957, 4, 52.78, 58.42, 75.44, 201.5, 201.5, 8.149, 6.323, 3.496, -1.596, -1.596
1957, 5, 105.1, 114, 126, 254.7, 254.7, 11.94, 10.2, 7.387, 1.961, 1.961
1957, 6, 2.331, 2.073, 2.263, 6.48, 6.48, 16.15, 14.79, 12.35, 7.145, 7.145
1957, 7, 9.074, 8.579, 9.566, 1.08, 1.08, 16.87, 15.99, 13.65, 8.183, 8.183
1957, 8, 1.655, 2.411, 3.789, 1.38, 1.38, 16, 14.83, 12.31, 6.936, 6.936
1957, 9, 62.42, 71.71, 99.8, 316.8, 316.8, 16.17, 14.64, 11.96, 6.672, 6.672
1957, 10, 160.9, 168.9, 184, 304.3, 304.3, 8.594, 6.391, 3.179, -1.743, -1.743
1957, 11, 156.4, 127.7, 113.1, 124.1, 124.1, 3.723, 1.471, -1.597, -6.279, -6.279
1957, 12, 281.4, 261.1, 242.4, 322.3, 322.3, 2.193, -0.03616, -2.782, -6.805, -6.805
1958, 1, 307, 289.5, 269.7, 391.8, 391.8, 2.26, -0.09771, -3.149, -7.682, -7.682
1958, 2, 421, 434.8, 453.8, 954.3, 954.3, 5.49, 3.33, 0.3524, -4.771, -4.771
1958, 3, 159.4, 169.6, 199.2, 530.2, 530.2, 3.769, 1.51, -1.767, -7.244, -7.244
1958, 4, 90.94, 87.46, 101.3, 274.5, 274.5, 7.74, 5.682, 2.603, -2.712, -2.712
1958, 5, 36.52, 40.7, 48.61, 70.41, 70.41, 13.71, 12.18, 9.474, 4.353, 4.353
1958, 6, 70.17, 83.47, 87.17, 151.8, 151.8, 15.45, 13.9, 11.21, 5.891, 5.891
1958, 7, 19.2, 34.84, 63.96, 114.4, 114.4, 19.88, 18.79, 16.2, 10.48, 10.48
1958, 8, 12.58, 16.73, 23.2, 26.24, 26.24, 20.22, 19.02, 16.43, 11.28, 11.28
1958, 9, 17.86, 14.87, 17.27, 51.76, 51.76, 15.24, 13.54, 10.8, 5.722, 5.722
1958, 10, 24.68, 20.34, 18.38, 26.5, 26.5, 11.75, 10.11, 7.547, 2.814, 2.814
1958, 11, 92.69, 75.78, 61.9, 51.61, 51.61, 5.745, 3.512, 0.2835, -4.472, -4.472
1958, 12, 118.8, 111, 99.68, 125.3, 125.3, 4.425, 2.24, -0.4294, -4.045, -4.045
1959, 1, 306.9, 301.5, 339.9, 761.8, 761.8, 2.45, 0.3065, -2.383, -7.024, -7.024
1959, 2, 217.4, 204.6, 196.4, 494.4, 494.4, 2.469, 0.3284, -2.548, -7.768, -7.768
1959, 3, 113.8, 99.63, 77.76, 101, 101, 5.935, 3.982, 1.155, -3.738, -3.738
1959, 4, 11.73, 11.48, 11.1, 33.38, 33.38, 9.829, 8.066, 5.272, 0.3962, 0.3962
1959, 5, 25.61, 24.83, 26.02, 50.3, 50.3, 10.03, 8.296, 5.685, 0.4961, 0.4961
