# Created by WEAP: 5/6/2021 11:59:40 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: OR_PDX_Sandy (130,171 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (84,822 ha),  1000 - 2000 m (44,472 ha),  2000 - 3000 m (877 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m

1950, 1, 426.8, 383.4, 363.3, -6.282, -9.746, -13.4
1950, 2, 338.7, 301, 272.5, -0.7539, -4.167, -7.013
1950, 3, 334.7, 293.7, 290.9, 2.422, -0.7122, -3.144
1950, 4, 149.7, 119.1, 102, 5.333, 2.411, 0.1289
1950, 5, 76.72, 54.53, 36.81, 8.825, 5.851, 3.757
1950, 6, 104.7, 74.24, 54.93, 12.29, 9.743, 8.225
1950, 7, 34.07, 28.51, 19.09, 15.5, 13.07, 11.69
1950, 8, 29.41, 18.71, 8.318, 16.67, 14.04, 12.41
1950, 9, 90.26, 70.5, 51.22, 13, 10.5, 8.697
1950, 10, 378.9, 318.7, 230.9, 7.487, 4.534, 2.163
1950, 11, 465.6, 371.3, 266.8, 3.423, 0.2732, -2.108
1950, 12, 359.1, 281.5, 203.3, 3.7, 0.2152, -2.674
1951, 1, 516.4, 420, 318, -0.1806, -3.557, -6.541
1951, 2, 232.6, 231.1, 192.4, 1.629, -1.757, -4.354
1951, 3, 288.7, 234.6, 193.2, 1.522, -1.482, -3.644
1951, 4, 68.83, 50.84, 33.62, 8.454, 5.378, 3.022
1951, 5, 108.1, 77.8, 53.79, 10.14, 7.158, 5.225
1951, 6, 13.98, 14.45, 17.23, 13.98, 11.27, 9.602
1951, 7, 25.14, 17.66, 8.059, 16.06, 13.65, 11.8
1951, 8, 20.71, 15.64, 10.69, 15.15, 12.95, 11.14
1951, 9, 123.1, 89.56, 72.53, 14.57, 12.68, 10.6
1951, 10, 327.5, 312.1, 282.7, 7.542, 5.101, 2.87
1951, 11, 283.8, 256.2, 248.2, 3.674, 0.7227, -1.958
1951, 12, 282.4, 280.3, 265.1, -0.4013, -2.861, -5.265
1952, 1, 240.2, 208.8, 168.6, -1.464, -4.021, -6.611
1952, 2, 193, 183.2, 154.8, 1.421, -1.324, -3.678
1952, 3, 252, 174.9, 89.88, 2.854, -0.4944, -2.958
1952, 4, 78.01, 73.49, 65.32, 8.093, 5.282, 2.976
1952, 5, 89.35, 103.4, 105.4, 10.61, 7.543, 5.251
1952, 6, 148.3, 145.7, 154.3, 11.99, 9.179, 7.009
1952, 7, 1.142, 0.4055, 0.01724, 16.74, 14.44, 12.13
1952, 8, 2.67, 0.9595, 0.1034, 16.5, 14.19, 11.87
1952, 9, 26.39, 24.14, 20.19, 15.41, 13.55, 11.38
1952, 10, 34.04, 23.69, 15.7, 12.77, 11.41, 9.365
1952, 11, 50.73, 44.9, 41.23, 2.742, 0.6233, -1.823
1952, 12, 328.3, 270.6, 190.8, 1.178, -1.251, -3.587
1953, 1, 689.2, 604.1, 518.7, 4.479, 1.724, -0.3743
1953, 2, 289.2, 345.4, 349.4, 3.012, 0.412, -1.739
1953, 3, 248.8, 202.7, 179.7, 3.895, 1.024, -1.202
1953, 4, 138, 149.3, 146.6, 6.324, 3.128, 0.6744
1953, 5, 217.3, 170.8, 156.4, 8.729, 5.399, 2.947
1953, 6, 117.3, 100.1, 100.4, 10.69, 7.521, 5.071
1953, 7, 5.833, 7.16, 7.313, 15.73, 13.61, 11.56
1953, 8, 81.95, 48.96, 26.99, 15.52, 13.31, 11.26
1953, 9, 60.83, 41.95, 31.16, 14.23, 12.48, 10.43
1953, 10, 93.03, 77.54, 62.16, 9.834, 7.537, 5.433
1953, 11, 390.4, 332.9, 306.3, 5.966, 3.652, 1.36
1953, 12, 452.2, 408.1, 351.7, 2.903, 0.5255, -1.654
1954, 1, 483.5, 480.7, 467.1, -0.1108, -2.415, -4.732
1954, 2, 191.7, 201.4, 204.2, 2.924, 1.235, -0.8682
1954, 3, 140, 115.2, 102.4, 3.131, 0.007325, -2.507
1954, 4, 172.2, 158.1, 154.8, 6.198, 3.171, 0.7669
1954, 5, 130.3, 105.5, 96.97, 10.55, 7.588, 5.265
1954, 6, 217.8, 212.4, 236.5, 10.87, 7.91, 5.593
1954, 7, 70.09, 61.34, 57.61, 13.85, 11.66, 9.653
1954, 8, 67.6, 45.25, 26.62, 13.7, 11.03, 8.809
1954, 9, 58.39, 61.09, 57.39, 12.68, 10.23, 8.024
1954, 10, 176.2, 163.9, 141, 8.466, 5.868, 3.492
1954, 11, 250.6, 197.2, 167.7, 6.574, 4.376, 2.293
1954, 12, 252.6, 189.3, 151.4, 1.571, -0.9521, -3.401
1955, 1, 162, 150.9, 135.8, 0.5726, -1.791, -4.2
1955, 2, 218.7, 313.7, 349.6, 1.251, -1.661, -4.124
1955, 3, 307.2, 395.5, 437.5, 1.298, -2.204, -4.862
1955, 4, 285.6, 238.8, 215.5, 4.127, 0.9572, -1.554
1955, 5, 104, 115.6, 114.1, 8.448, 5.825, 3.57
1955, 6, 76.08, 52.01, 45.74, 12.55, 10.04, 8.045
1955, 7, 59.18, 62.72, 64.88, 13.63, 11.14, 9.038
1955, 8, 0, 0, 0, 15.35, 13.35, 11.35
1955, 9, 130.2, 115.1, 101.3, 12.89, 10.72, 8.575
1955, 10, 353.5, 318.8, 284.3, 8.822, 6.764, 4.549
1955, 11, 490.6, 462, 451.7, 1.33, -1.606, -4.182
1955, 12, 426.3, 337.7, 289, 0.389, -2.388, -4.945
1956, 1, 475.3, 394.4, 349.9, 0.5053, -2.209, -4.831
1956, 2, 283.3, 339.2, 331.4, -1.549, -3.902, -6.359
1956, 3, 322.9, 300.7, 300.3, 2.528, -0.5411, -2.896
1956, 4, 41.88, 41.16, 37.25, 7.805, 4.495, 2.015
1956, 5, 123.3, 97.39, 90.87, 11.6, 8.859, 6.661
1956, 6, 125.1, 105.9, 105.8, 11.73, 8.975, 6.699
1956, 7, 3.045, 1.25, 0.5421, 16.9, 14.98, 13.05
1956, 8, 113.9, 78.66, 52.49, 15.36, 13.34, 11.47
1956, 9, 62.87, 46.89, 36.55, 13.24, 11.28, 9.297
1956, 10, 300.3, 223.4, 163.5, 7.44, 5.392, 3.313
1956, 11, 107.1, 81.43, 70.86, 3.659, 1.869, -0.3473
1956, 12, 288.7, 296, 277.7, 2.215, 1.158, -0.6304
1957, 1, 170.4, 137.3, 116.6, -3.683, -5.941, -8.83
1957, 2, 209.7, 220.2, 236.4, 1.58, -0.7218, -3.055
1957, 3, 420.1, 339.6, 335.5, 4.116, 1.601, -0.7152
1957, 4, 150.3, 150.4, 147.8, 7.445, 4.186, 1.758
1957, 5, 112.6, 99.42, 85.81, 11.39, 8.889, 6.792
1957, 6, 90.13, 91.81, 98.94, 13.25, 11.21, 9.272
1957, 7, 15.77, 19.06, 19.89, 14.91, 12.45, 10.28
1957, 8, 23.64, 16.1, 10.22, 14.25, 11.63, 9.436
1957, 9, 29.84, 29.71, 28.07, 15.7, 13.46, 11.25
1957, 10, 168.3, 149.5, 127.2, 8.373, 5.963, 3.628
1957, 11, 219.3, 212, 203.9, 4.076, 1.846, -0.37
1957, 12, 482.2, 473.4, 446.5, 3.03, 0.8548, -1.229
1958, 1, 373.1, 303.8, 264.1, 3.251, 0.973, -1.355
1958, 2, 297.9, 292.2, 291.9, 5.791, 2.927, 0.4807
1958, 3, 117.6, 81.66, 77.51, 4.052, 1.207, -1.242
1958, 4, 294.3, 307.8, 308, 7.095, 3.867, 1.317
1958, 5, 47.21, 44.38, 40.56, 13.66, 11.29, 9.176
1958, 6, 168, 156.4, 174.9, 15.34, 12.6, 10.43
1958, 7, 0.3117, 0.6012, 0.1255, 18.69, 16.43, 14.39
1958, 8, 12.29, 9.986, 6.803, 17.96, 15.7, 13.65
1958, 9, 110, 102.2, 86.86, 13.66, 10.78, 8.28
1958, 10, 120, 123.4, 113.8, 10.78, 8.389, 5.962
1958, 11, 528.9, 495.3, 490.9, 4.751, 1.802, -0.8022
1958, 12, 355.1, 310, 274, 4.453, 2.45, 0.07307
1959, 1, 427.8, 366.8, 306.8, 1.768, -0.9766, -3.562
1959, 2, 234.1, 197.2, 181.5, 1.751, -1.326, -3.913
1959, 3, 313.5, 281.6, 285.9, 4.301, 1.152, -1.336
1959, 4, 155.9, 157.9, 152.5, 7.269, 4.289, 1.873
1959, 5, 185.2, 150.1, 133, 9.255, 5.902, 3.323
1959, 6, 119.8, 92.78, 86.01, 13.36, 10.73, 8.495
1959, 7, 32.23, 27.66, 24.51, 16.97, 14.82, 12.82
1959, 8, 19.6, 15.98, 9.916, 15.13, 12.94, 10.81
1959, 9, 273.8, 280.6, 252.6, 11.99, 9.556, 7.288
1959, 10, 283.4, 261.4, 229, 9.385, 7.377, 5.214
1959, 11, 176.3, 185.5, 191.1, 4.536, 2.494, 0.1339
1959, 12, 176.8, 151, 124.1, 2.467, 0.04994, -2.415
1960, 1, 195.9, 157.8, 132.2, -1.001, -3.564, -6.245
1960, 2, 283.3, 289.2, 287.5, 2.489, -0.8907, -3.625
1960, 3, 368.3, 331.7, 330, 4.148, 1.57, -0.7532
1960, 4, 215.6, 200.5, 200.2, 7.17, 4.097, 1.619
1960, 5, 268.4, 216.3, 196.2, 8.817, 5.69, 3.183
1960, 6, 73.26, 68.17, 73.41, 13.64, 11.12, 9.024
1960, 7, 0.672, 0.5217, 0.6057, 17.17, 15.21, 13.38
1960, 8, 91.66, 82.2, 58.85, 14.65, 12.23, 10.11
1960, 9, 54.52, 33.95, 23.45, 13.69, 11.77, 9.711
1960, 10, 198.9, 175.6, 148.5, 9.669, 7.678, 5.57
1960, 11, 577.5, 530, 503.9, 4.419, 1.411, -1.17
1960, 12, 187.6, 166.2, 143.5, 2.084, -0.09812, -2.757
1961, 1, 223.4, 211, 189.4, 3.721, 1.037, -1.604
1961, 2, 645.1, 649.3, 640.7, 4.138, 1.208, -1.157
1961, 3, 338.8, 308.6, 311, 4.541, 1.402, -1.036
1961, 4, 182, 149.6, 133.9, 6.447, 3.754, 1.511
1961, 5, 179, 132.2, 113.4, 9.92, 6.693, 4.256
1961, 6, 27.87, 31.5, 37.56, 15.77, 13.46, 11.37
1961, 7, 15.17, 10.23, 8.31, 17.36, 14.9, 12.86
1961, 8, 40.94, 45.46, 35.15, 18.25, 16.21, 14.37
1961, 9, 105.2, 108.4, 101.8, 11.9, 9.042, 6.653
1961, 10, 235.4, 199.7, 165.4, 8.353, 5.822, 3.511
1961, 11, 273.8, 266.3, 269.1, 3.006, 0.6745, -1.844
1961, 12, 361.8, 371.8, 358.5, 1.478, -1.438, -3.948
1962, 1, 181, 198.4, 189.2, 0.7644, -1.636, -3.887
1962, 2, 182, 165.6, 162.2, 2.741, 0.2078, -2.276
1962, 3, 337.3, 306.2, 303.8, 2.945, -0.03939, -2.475
1962, 4, 246, 254.2, 261.1, 8.332, 5.78, 3.561
1962, 5, 229, 185.7, 161.9, 7.805, 4.433, 1.974
1962, 6, 54.46, 58.78, 63.74, 12.82, 10.06, 7.812
1962, 7, 10.85, 8.8, 7.045, 15.43, 13.02, 11.03
1962, 8, 63.87, 49.48, 34.64, 15.31, 12.77, 10.54
1962, 9, 114.2, 111.2, 104, 14.13, 12.14, 9.967
1962, 10, 195, 182, 164.7, 9.494, 7.303, 5.042
1962, 11, 496.1, 443.7, 417.1, 5.576, 3.058, 0.7114
1962, 12, 164.2, 159.5, 150.9, 3.33, 1.192, -1.03
1963, 1, 137.3, 128.9, 111, -1.188, -3.262, -5.514
1963, 2, 277.9, 286.7, 285.5, 5.883, 3.858, 1.752
1963, 3, 272.9, 226.8, 190, 4.421, 1.459, -0.9005
1963, 4, 226.6, 199, 212.4, 5.506, 2.158, -0.3662
1963, 5, 163, 120.6, 111.4, 10.47, 7.413, 5.026
1963, 6, 124.2, 121.4, 121.6, 12.13, 9.233, 7.124
1963, 7, 80.38, 66.91, 52.77, 14.12, 11.42, 9.371
1963, 8, 38.14, 24.07, 13.51, 15.82, 13.68, 11.83
1963, 9, 94.25, 82.94, 69.5, 16.03, 13.93, 11.79
1963, 10, 149.8, 120.3, 99.49, 10.14, 7.514, 5.3
1963, 11, 397.2, 383.1, 365.9, 5.067, 2.145, -0.28
1963, 12, 220.9, 189, 171.8, 2.431, 0.5903, -1.988
1964, 1, 545.1, 503.5, 453.3, 2.04, -1.121, -3.655
1964, 2, 141.7, 142.6, 130.8, 2.691, 0.05685, -2.159
1964, 3, 251.6, 265.6, 274, 3.477, 0.02474, -2.503
1964, 4, 192.5, 198.4, 186, 5.33, 1.944, -0.4911
1964, 5, 102, 82.66, 69.07, 8.576, 5.159, 2.709
1964, 6, 155.4, 118.5, 116.4, 11.77, 8.648, 6.38
1964, 7, 59.52, 52.82, 33.07, 15.15, 12.48, 10.95
1964, 8, 82.13, 64.51, 40.77, 14.57, 11.83, 9.529
1964, 9, 91.99, 84.19, 70.4, 12.37, 9.715, 7.363
1964, 10, 92.08, 76.4, 61.94, 10.5, 7.824, 5.25
1964, 11, 394.6, 391.9, 384.9, 3.128, 0.5945, -1.865
1964, 12, 603, 642, 622.8, 0.2658, -2.435, -5.051
1965, 1, 484.6, 458.6, 407.8, 1.977, -0.3891, -2.753
1965, 2, 169.4, 173.9, 185.3, 2.921, 0.5044, -1.694
1965, 3, 81.22, 81.75, 88.06, 5.284, 2.11, -0.5555
1965, 4, 155.1, 134.6, 124.2, 7.706, 4.699, 2.288
1965, 5, 87.95, 82.42, 77.51, 8.691, 5.947, 3.691
1965, 6, 26.55, 18.86, 20.26, 12.68, 9.853, 7.599
1965, 7, 20.91, 25.29, 28.8, 16.92, 14.45, 12.26
1965, 8, 68.1, 36.2, 19.98, 16.47, 13.96, 11.79
1965, 9, 27.24, 37.36, 37.47, 12.31, 9.481, 7.026
1965, 10, 111.9, 90.97, 70.89, 11.31, 9.467, 7.387
1965, 11, 269.5, 260.5, 245.1, 6.388, 3.74, 1.321
1965, 12, 290, 215.5, 173.6, 1.063, -1.064, -3.395
1966, 1, 404.8, 388.9, 362.9, 1.392, -1.193, -3.544
1966, 2, 191.6, 247.7, 267.2, 2.317, -0.697, -3.239
1966, 3, 277.1, 239.2, 211.1, 4.119, 1.22, -1.222
1966, 4, 104.1, 90.95, 85.56, 7.758, 5.003, 2.647
1966, 5, 67.41, 61.23, 53.1, 10.41, 7.84, 5.801
1966, 6, 77.99, 77.42, 82.8, 12.54, 9.58, 7.306
1966, 7, 80.37, 86.39, 94.89, 14.94, 12.48, 10.49
1966, 8, 20.32, 11.9, 5.903, 15.92, 13.31, 11.21
1966, 9, 76.13, 62.22, 49.44, 14.11, 11.82, 9.756
1966, 10, 190.3, 164.2, 146.7, 8.984, 6.877, 4.795
1966, 11, 345.5, 302.9, 269.7, 5.431, 2.954, 0.5557
1966, 12, 330.9, 289.6, 254.6, 2.993, 0.163, -2.361
