# Created by WEAP: 5/6/2021 11:59:43 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: UT_N_Upr Soldier (33,521 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (32,767 ha),  3000 - 4000 m (754 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m

1950, 1, 92.19, 150.4, -12.08, -12.57
1950, 2, 27.65, 43.45, -8.523, -9.158
1950, 3, 50.88, 83.74, -3.894, -4.881
1950, 4, 23.95, 37.32, 1.586, 0.5231
1950, 5, 41.35, 63.44, 3.894, 2.831
1950, 6, 17.96, 19.94, 9.188, 8.029
1950, 7, 17.44, 14.01, 13.49, 12.37
1950, 8, 2.694, 1.904, 12.45, 11.28
1950, 9, 30.67, 43.25, 8.666, 7.641
1950, 10, 25.36, 30.78, 5.606, 4.805
1950, 11, 102.2, 115.3, -1.709, -2.374
1950, 12, 86.3, 106.1, -5.455, -5.896
1951, 1, 67.12, 103.5, -11.19, -12.1
1951, 2, 32.88, 46.77, -7.141, -7.954
1951, 3, 28.88, 41.58, -5.042, -5.933
1951, 4, 51.33, 73.8, 1.757, 0.7663
1951, 5, 30.26, 49.31, 5.802, 4.881
1951, 6, 34.54, 39.5, 8.203, 7.079
1951, 7, 33.23, 42.99, 14.6, 13.42
1951, 8, 53.29, 70.02, 13.16, 11.97
1951, 9, 1.781, 2.073, 8.607, 7.56
1951, 10, 63.13, 84.7, 2.127, 1.385
1951, 11, 82.22, 107, -6.379, -7.248
1951, 12, 184.1, 208, -11.89, -12.58
1952, 1, 80.06, 109.9, -12.66, -13.14
1952, 2, 59.42, 80.03, -12.95, -13.83
1952, 3, 102.7, 154.8, -8.715, -9.493
1952, 4, 31.44, 42.67, 0.4594, -0.4886
1952, 5, 28.68, 40.22, 6.712, 5.813
1952, 6, 46.91, 52.82, 10.2, 9.249
1952, 7, 28.3, 33.02, 13.93, 12.88
1952, 8, 51.45, 60.38, 14.34, 13.37
1952, 9, 7.382, 10.75, 10.31, 9.492
1952, 10, 0, 0, 4.798, 4.077
1952, 11, 23.53, 30.12, -6.771, -7.659
1952, 12, 47.18, 57.16, -9.219, -9.941
1953, 1, 70.6, 105.4, -5.338, -6.199
1953, 2, 16.11, 23.36, -7.279, -8.245
