# Created by WEAP: 5/6/2021 11:59:35 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_CEN_Merced (270,238 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (84,527 ha),  1000 - 2000 m (74,983 ha),  2000 - 3000 m (94,512 ha),  3000 - 4000 m (16,216 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m

1950, 1, 222.9, 273.8, 336, 303.1, 1.892, -1.429, -7.763, -11.3
1950, 2, 120.4, 131.1, 146.8, 131.7, 8.079, 4.998, -1.148, -4.636
1950, 3, 127.3, 130.4, 152.9, 139.3, 8.409, 5.526, -0.199, -3.72
1950, 4, 73.33, 91.02, 114.3, 113.1, 12.54, 9.827, 4.311, 0.7953
1950, 5, 31.28, 38.94, 49.42, 44.92, 15.39, 12.39, 6.652, 3.142
1950, 6, 1.021, 1.347, 3.608, 3.77, 18.05, 15.68, 10.23, 6.72
1950, 7, 0.3152, 3.222, 12.28, 34.04, 23.46, 21.02, 15.54, 12.06
1950, 8, 0.06613, 0.7698, 2.599, 4.159, 22.65, 20.28, 14.76, 11.31
1950, 9, 8.328, 7.644, 12.96, 27.19, 18.47, 15.79, 10.14, 6.725
1950, 10, 107.4, 122, 132.3, 117.4, 15.34, 12.61, 6.813, 3.731
1950, 11, 362.6, 404.4, 503.6, 555.6, 12.18, 8.796, 2.281, -0.924
1950, 12, 261.2, 319.3, 376.8, 397.6, 8.904, 5.749, -0.7704, -4.023
1951, 1, 107.8, 153.7, 180.2, 177.7, 5.75, 2.448, -3.982, -7.232
1951, 2, 73.53, 84.03, 107.9, 106.1, 6.759, 3.459, -2.546, -5.732
1951, 3, 62.71, 68.24, 77.86, 75.48, 8.191, 5.364, -0.1987, -3.299
1951, 4, 51.9, 75.41, 104.4, 109.3, 12.13, 9.172, 3.661, 0.5456
1951, 5, 28.21, 27.44, 33.26, 36.63, 15.39, 12.38, 6.883, 3.807
1951, 6, 2.451, 9.879, 23.98, 33.45, 19.17, 16.67, 11.31, 8.203
1951, 7, 0, 0.01158, 1.354, 7.145, 22.61, 20.08, 14.81, 11.89
1951, 8, 0, 0.006734, 0.7959, 4.22, 22.42, 19.37, 13.84, 10.83
1951, 9, 0, 0.007378, 0.933, 4.912, 20.88, 18.34, 12.86, 9.678
1951, 10, 48.72, 56.52, 65.73, 77.79, 13.19, 10.6, 4.986, 1.773
1951, 11, 91.69, 131.2, 174.6, 189.9, 9.596, 5.815, -0.3508, -3.476
1951, 12, 310.1, 383.6, 434.1, 450.6, 4.079, 0.2437, -6.454, -9.585
1952, 1, 276.4, 331.8, 368.2, 399.2, 3.26, -0.4121, -7.068, -10.67
1952, 2, 89.19, 95.17, 110.7, 108.4, 6.423, 2.709, -3.651, -7.194
1952, 3, 216.2, 253.2, 294.2, 296.2, 5.063, 1.309, -4.65, -7.789
1952, 4, 61.1, 78.44, 97.9, 98.49, 11.78, 8.694, 3.064, -0.0513
1952, 5, 12.63, 11.39, 12.47, 12.47, 15.96, 13.11, 7.525, 4.522
1952, 6, 2.137, 4.313, 9.509, 11.71, 16.29, 13.57, 8.078, 5.203
1952, 7, 3.37, 13.61, 43.69, 68.08, 23.54, 20.47, 14.65, 11.5
1952, 8, 0.06021, 0.7738, 3.527, 6.778, 22.29, 19.71, 14.19, 11.29
1952, 9, 4.164, 17.19, 32.83, 38.97, 20.75, 17.62, 11.7, 8.515
1952, 10, 3.048, 3.877, 5.416, 5.586, 16.98, 14.52, 8.776, 5.694
1952, 11, 65.12, 76.57, 82.55, 86.54, 7.762, 4.661, -1.549, -4.913
1952, 12, 298.9, 293.2, 267, 265.3, 5.233, 1.443, -5.267, -8.534
1953, 1, 102.8, 159.2, 197.8, 198, 7.733, 4.538, -2.038, -5.32
1953, 2, 4.048, 5.915, 9.357, 9.088, 7.057, 4.611, -1.159, -4.542
1953, 3, 89.03, 95.03, 98.78, 95.9, 8.007, 5.154, -0.4972, -3.565
1953, 4, 70.08, 91.89, 110.3, 110.9, 10.62, 7.567, 1.97, -1.1
1953, 5, 37.44, 50.42, 66.89, 74.57, 11.34, 7.943, 2.303, -0.7299
1953, 6, 22.83, 26.01, 41.81, 48.69, 15.64, 12.94, 7.568, 4.752
1953, 7, 0.2707, 5.115, 19.53, 26.99, 23.19, 20.78, 15.26, 12.24
1953, 8, 0.04799, 0.1863, 0.883, 2.537, 20.11, 17.61, 12.18, 9.404
1953, 9, 0.06407, 0.9197, 3.865, 6.891, 21.19, 18.53, 12.75, 9.547
1953, 10, 20.8, 23.67, 30.05, 34.84, 14, 11.11, 5.266, 2.161
1953, 11, 82.68, 87.48, 96.84, 98.71, 10.16, 7.037, 0.8085, -2.359
1953, 12, 51.66, 54.88, 60.65, 60.19, 6.836, 3.846, -2.844, -6.228
1954, 1, 128.7, 183.2, 228.1, 240.7, 5.95, 2.844, -3.407, -6.569
1954, 2, 130.1, 177.8, 223.2, 228.9, 9.568, 6.902, 0.7154, -3.373
1954, 3, 223.7, 262.4, 291.3, 290.5, 6.819, 3.586, -2.136, -5.374
1954, 4, 80.09, 77.77, 81.78, 78.61, 13.54, 10.67, 5.243, 2.173
1954, 5, 7.273, 8.702, 8.515, 8.118, 16.3, 13.79, 8.227, 5.338
1954, 6, 23.36, 30.76, 51.42, 57.46, 17.42, 14.59, 8.954, 6.101
1954, 7, 0, 0.002314, 0.3464, 1.761, 23.18, 20.66, 15.15, 12.13
1954, 8, 0, 0, 0, 0, 19.91, 17.4, 11.88, 8.972
1954, 9, 0, 0, 0, 0, 17.87, 15.53, 10.06, 7.055
1954, 10, 0, 0, 0, 0, 14.23, 11.89, 6.272, 3.083
1954, 11, 64.79, 98.06, 127.7, 142, 10.31, 7.872, 1.943, -1.417
1954, 12, 149.2, 178, 198.7, 202.2, 5.702, 2.574, -3.887, -7.372
1955, 1, 150.2, 175.3, 210.1, 211.3, 2.909, -0.4891, -6.861, -10.41
1955, 2, 65.3, 84.27, 112.6, 112.3, 5.12, 1.885, -4.134, -7.589
1955, 3, 12.7, 28.2, 35.43, 36.4, 7.914, 5.15, -0.2712, -3.591
1955, 4, 94.01, 125.4, 154.5, 149.8, 8.162, 5.105, -0.3143, -3.308
1955, 5, 46.82, 54.86, 64.13, 69.48, 13.96, 11.06, 5.675, 2.506
1955, 6, 0.6864, 1.786, 3.134, 3.395, 17.63, 15, 9.943, 7.031
1955, 7, 0, 0.1827, 10.53, 44.4, 20.45, 17.92, 12.95, 10.14
1955, 8, 0, 0.004165, 0.6192, 2.5, 23.46, 21.12, 15.71, 12.61
1955, 9, 0.09572, 0.3529, 2.218, 7.208, 19.72, 17.21, 11.85, 8.662
1955, 10, 2.068, 2.778, 3.392, 4.315, 15.32, 12.71, 7.276, 4.108
1955, 11, 75.07, 95.9, 124.1, 117.8, 8.217, 5.597, -0.6074, -3.823
1955, 12, 662.8, 853.4, 928.3, 800.1, 6.945, 3.115, -3.501, -6.582
1956, 1, 218.8, 281.8, 315.9, 250.4, 6.521, 2.932, -3.418, -6.436
1956, 2, 65.19, 70.7, 77.95, 59.88, 4.946, 1.883, -4.004, -7.469
1956, 3, 3.771, 5.266, 7.076, 6.668, 8.997, 6.476, 1.002, -2.299
1956, 4, 105.2, 119.6, 124.3, 109.4, 10.57, 7.526, 2.005, -1.061
1956, 5, 73.6, 99.63, 113, 90.33, 14.83, 11.67, 5.997, 2.952
1956, 6, 0.5335, 3.949, 6.188, 7.009, 18.79, 16.24, 10.82, 7.667
1956, 7, 0.8621, 8.642, 40.88, 74.54, 22.13, 19.49, 13.97, 10.79
1956, 8, 0, 0.02068, 1.118, 4.301, 20.51, 17.64, 12.16, 9.194
1956, 9, 9.862, 10.28, 22.67, 36.02, 19.93, 17.14, 11.72, 8.616
1956, 10, 51.02, 79.09, 101, 93.81, 13.14, 10.03, 4.249, 1.202
1956, 11, 0.01461, 0.175, 0.6888, 1.258, 10.2, 7.27, 0.6521, -2.885
1956, 12, 37.58, 48.05, 52.63, 44.14, 6.899, 4.069, -2.76, -6.253
1957, 1, 118.1, 152.5, 170.1, 157.8, 3.111, -0.3938, -6.828, -10.4
1957, 2, 132.6, 168.7, 193.8, 168.2, 8.965, 5.3, -1.081, -4.619
1957, 3, 112.2, 131.4, 142.6, 108.4, 9.219, 5.832, 0.01811, -2.981
1957, 4, 52.79, 66.05, 74.77, 67.59, 11.19, 8.042, 2.511, -0.5876
1957, 5, 144.4, 173.6, 172.8, 143.7, 13.57, 10.15, 4.502, 1.55
1957, 6, 2.063, 5.01, 10.56, 9.264, 20.45, 17.82, 12.45, 9.371
1957, 7, 1.021, 0.5539, 0.6062, 1.48, 22.35, 19.51, 13.99, 11
1957, 8, 0, 4.535E-5, 0.01444, 0.05724, 20.75, 18.41, 13.06, 10.2
1957, 9, 13, 12.38, 12.19, 11.87, 19.51, 16.68, 11.22, 8.102
1957, 10, 34.87, 45.45, 54.13, 58.59, 12.86, 9.514, 3.525, 0.4247
1957, 11, 38.93, 51.64, 64.09, 56.71, 7.993, 4.825, -1.348, -4.538
1957, 12, 150.9, 182.6, 194.1, 167.2, 6.916, 3.899, -2.759, -6.119
1958, 1, 156.1, 173.7, 179.6, 147.5, 6.353, 3.339, -3.036, -6.443
1958, 2, 193.8, 251.9, 295.6, 250.7, 8.532, 4.751, -1.498, -4.732
1958, 3, 302.3, 351.2, 339.3, 254.9, 6.415, 2.465, -3.56, -6.614
1958, 4, 163.8, 220.7, 232.3, 171.6, 10.3, 7.115, 1.52, -1.535
1958, 5, 34.87, 34.85, 33.96, 32.87, 16.51, 13.49, 7.863, 4.967
1958, 6, 9.133, 16.34, 32.09, 33.25, 17.97, 14.74, 9.088, 6.24
1958, 7, 0.6589, 7.619, 21.23, 29.51, 22.18, 19.2, 13.57, 10.62
1958, 8, 0.2105, 0.6742, 10.65, 38.17, 24.59, 21.19, 15.61, 12.68
1958, 9, 13.62, 31.76, 53.08, 49.8, 20.03, 16.82, 11.25, 8.269
1958, 10, 0.2277, 0.2664, 2.014, 6.7, 16.95, 13.7, 7.866, 4.602
1958, 11, 15.21, 28.4, 38.91, 34.29, 9.649, 6.306, -0.01846, -3.29
1958, 12, 23.11, 26.85, 32.34, 33.99, 9.713, 6.605, -0.3295, -3.868
1959, 1, 161.9, 189.6, 192.8, 158, 7.357, 3.779, -2.674, -5.927
1959, 2, 165.8, 260.3, 310.4, 276, 5.905, 2.196, -4.048, -7.389
1959, 3, 27.65, 27.37, 28.48, 25.96, 10.17, 7.231, 1.677, -1.52
1959, 4, 41.32, 61.88, 73.35, 59.05, 13.94, 11.23, 5.931, 2.78
1959, 5, 11.96, 20.71, 28.95, 28.4, 13.61, 10.52, 4.986, 2.01
1959, 6, 0, 0.002133, 0.2732, 1.15, 20.36, 17.61, 12.19, 9.234
1959, 7, 0.005943, 0.1109, 1.166, 3.742, 24.81, 22.19, 17.01, 13.92
1959, 8, 0.454, 1.581, 3.732, 3.099, 22.21, 19.73, 14.35, 11.36
1959, 9, 109.1, 110.7, 163.6, 169, 18.12, 15.1, 9.379, 6.341
1959, 10, 0.0002216, 0.03997, 0.3802, 1.042, 15.64, 13, 7.375, 4.076
1959, 11, 0, 0, 0, 0, 10.85, 8.231, 1.92, -1.595
1959, 12, 36.97, 43.23, 43.63, 40.21, 7.197, 4.479, -1.978, -5.569
1960, 1, 137.2, 154, 151.9, 144.8, 4.265, 0.5533, -5.968, -9.343
1960, 2, 186.7, 217.7, 242.4, 208.9, 5.937, 2.384, -3.719, -6.922
