# Created by WEAP: 5/6/2021 11:59:37 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_SCE_VLY_S Frk Kern (250,682 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (19,941 ha),  1000 - 2000 m (102,950 ha),  2000 - 3000 m (123,182 ha),  3000 - 4000 m (4,609 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m

1950, 1, 61.08, 38.81, 48.66, 67.7, 1.827, -0.8989, -5.343, -8.519
1950, 2, 51, 37.84, 54.08, 63.99, 7.434, 4.425, 0.2681, -2.825
1950, 3, 18.58, 14.03, 23.37, 41.1, 9.152, 6.464, 1.979, -1.408
1950, 4, 10.78, 6.391, 17.59, 38.29, 14.24, 11.78, 7.741, 4.347
1950, 5, 1.764, 1.334, 4.414, 11.65, 17.51, 14.78, 10.31, 6.703
1950, 6, 0, 0, 0, 0, 20.99, 18.33, 14.15, 10.65
1950, 7, 0.5872, 1.303, 1.566, 4.281, 26.41, 23.58, 19.26, 15.64
1950, 8, 0.08, 0.3319, 0.7406, 1.292, 25.16, 22.23, 17.83, 14.31
1950, 9, 7.781, 14.14, 14.38, 12.91, 19.81, 17.1, 12.9, 9.591
1950, 10, 2.751, 2.137, 11.42, 33.72, 16.3, 13.79, 9.668, 6.471
1950, 11, 105.2, 67.29, 103.2, 151.1, 10.88, 8.225, 3.911, 0.9532
1950, 12, 22.56, 14.9, 36.83, 81.87, 8.8, 5.649, 1.003, -2.526
1951, 1, 28.14, 20.43, 30.21, 54.78, 5.111, 1.921, -2.558, -5.948
1951, 2, 12.68, 9.125, 16.98, 34.85, 6.943, 3.703, -0.9871, -4.537
1951, 3, 3.94, 3.514, 7.444, 16.17, 9.583, 6.481, 2.007, -1.429
1951, 4, 18.96, 14.5, 35.17, 60.11, 13.46, 10.56, 6.129, 2.603
1951, 5, 2.28, 5.001, 10.63, 13.99, 17.76, 14.89, 10.41, 6.637
1951, 6, 0, 0, 0.1627, 0.8641, 21.62, 19, 14.81, 11.58
1951, 7, 0.1853, 0.4237, 0.2834, 0.9834, 25.39, 22.86, 18.88, 15.7
1951, 8, 0, 0, 0, 0, 24.09, 21.25, 17.23, 14.2
1951, 9, 0, 0, 0, 0, 22.32, 19.53, 15.43, 12.38
1951, 10, 7.853, 6.327, 12.06, 20.22, 14.3, 11.47, 7.484, 4.603
1951, 11, 22.97, 15.88, 23.24, 34.62, 8.945, 5.684, 1.232, -2.069
1951, 12, 159.8, 116.1, 176.5, 231.4, 4.104, 1.033, -3.62, -7.173
1952, 1, 136.9, 109.4, 158.2, 190.6, 3.063, -0.2337, -5.271, -8.902
1952, 2, 26.16, 20.91, 23.49, 32.71, 6.508, 3.425, -1.251, -4.777
1952, 3, 100.5, 99.08, 150.1, 159.2, 5.358, 2.436, -2.232, -5.699
1952, 4, 11.49, 10.32, 34.36, 60.29, 12.31, 9.623, 5.269, 1.832
1952, 5, 0.129, 0.3093, 0.159, 0.005651, 17.51, 15.02, 10.54, 7.024
1952, 6, 0.007793, 0.1747, 1.584, 3.777, 18.18, 15.68, 11.14, 7.699
1952, 7, 5.248, 8.182, 9.767, 7.491, 25.1, 22.34, 17.83, 14.45
1952, 8, 0.3926, 0.517, 0.5155, 0.2824, 24.6, 21.88, 17.6, 14.23
1952, 9, 1.947, 2.834, 2.771, 5.307, 21.74, 18.83, 14.34, 11
1952, 10, 0, 0, 0, 0, 17.73, 14.93, 10.6, 7.537
1952, 11, 58.37, 49.5, 60.16, 50.75, 7.724, 4.663, -0.02014, -3.486
1952, 12, 101.9, 78.68, 100, 95.26, 4.896, 1.641, -3.225, -6.982
1953, 1, 78.09, 52.44, 68.15, 59.11, 7.465, 4.444, -0.1213, -3.677
1953, 2, 1.245, 1.201, 1.309, 2.04, 6.254, 3.352, -1.202, -4.546
1953, 3, 25.25, 23.19, 38.97, 43.37, 8.774, 5.989, 1.542, -1.659
1953, 4, 32.45, 22.49, 47.03, 62.33, 11.56, 8.971, 4.868, 1.571
1953, 5, 9.276, 7.924, 13.98, 23.39, 12.55, 9.899, 5.376, 1.769
1953, 6, 0, 0, 1.322, 7.347, 18.21, 16.03, 11.93, 8.784
1953, 7, 1.207, 1.679, 1.429, 0.5636, 26.13, 23.49, 19.15, 15.83
1953, 8, 3.768, 5.826, 5.579, 1.788, 22.31, 19.92, 15.96, 12.79
1953, 9, 0, 0, 0, 0, 22.1, 19.2, 14.82, 11.55
1953, 10, 3.132, 2.869, 8.21, 8.464, 14.36, 11.53, 7.177, 3.982
1953, 11, 24.85, 18.47, 25.36, 25.11, 10.12, 6.992, 2.299, -1.341
1953, 12, 18.63, 14.09, 25.75, 32.57, 5.34, 2.206, -2.064, -5.3
1954, 1, 65.64, 58.14, 83.33, 98.94, 5.19, 2.243, -2.414, -5.883
1954, 2, 74.27, 62.16, 85.21, 78.72, 9.944, 6.765, 1.959, -1.984
1954, 3, 78.6, 66.53, 103.5, 109.6, 7.581, 4.554, -0.04559, -3.563
1954, 4, 7.435, 4.824, 13.46, 24.84, 14.54, 11.83, 7.629, 4.303
1954, 5, 1.895, 1.451, 2.128, 2.359, 18.45, 15.97, 11.63, 8.297
1954, 6, 0.743, 0.7913, 3.214, 8.445, 19.85, 17.44, 13.28, 10.02
1954, 7, 0.4347, 1.55, 3.365, 4.159, 25.4, 22.8, 18.6, 15.4
1954, 8, 0.04179, 0.1539, 0.03696, 0, 21.67, 19.19, 15.14, 12.04
1954, 9, 0.5258, 1.356, 2.904, 3.155, 19.64, 17.12, 13.09, 9.941
1954, 10, 0, 0, 0, 0, 14.53, 11.96, 7.978, 4.947
1954, 11, 32.74, 28.46, 35.7, 43.2, 10.72, 7.66, 3.241, -0.3936
1954, 12, 50.58, 36.77, 53.41, 58.02, 5.271, 1.798, -2.928, -6.857
1955, 1, 115.3, 79.09, 100.3, 96.12, 2.94, -0.4583, -5.611, -9.703
1955, 2, 45.84, 34.09, 50.93, 56.23, 4.6, 1.406, -3.135, -6.539
1955, 3, 1.92, 1.018, 1.702, 3.08, 8.279, 5.553, 0.9732, -2.381
1955, 4, 30.85, 18.52, 40.96, 47.91, 9.389, 7.002, 2.767, -0.5041
1955, 5, 18.82, 13.22, 29.49, 30.46, 15.35, 12.69, 8.019, 4.333
1955, 6, 0.008317, 0.1742, 0.7777, 2.259, 19.71, 17.4, 13.1, 9.836
1955, 7, 0, 0, 0.03326, 0.2458, 22.47, 20.35, 16.18, 13.01
1955, 8, 0, 0.0001527, 0.1417, 1.11, 25.26, 22.64, 18.27, 14.84
1955, 9, 0.1867, 0.1332, 0.3085, 1.151, 21.27, 18.57, 14.61, 11.37
1955, 10, 0, 0, 0, 0, 16, 13.19, 9.18, 6.055
1955, 11, 45.45, 28.25, 44.08, 40.9, 8.414, 5.444, 1.435, -1.96
1955, 12, 174.4, 110.9, 224.7, 243.5, 6.621, 3.388, -0.9931, -4.644
1956, 1, 146.5, 97.89, 158.9, 148.9, 6.521, 3.528, -0.9832, -4.642
1956, 2, 18.62, 10.52, 16.12, 20.19, 4.279, 1.434, -2.931, -6.267
1956, 3, 0.1711, 0.1947, 2.648, 7.141, 9.172, 6.443, 2.136, -1.181
1956, 4, 47.01, 33.02, 72.37, 89.58, 11.13, 8.438, 4.115, 0.6904
