# Created by WEAP: 5/6/2021 11:59:21 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: WA_W_South Fork Tolt (20,130 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (15,774 ha),  1000 - 2000 m (4,356 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m

1950, 1, 251.5, 279.7, -8.089, -9.601
1950, 2, 273.2, 323.2, 0.506, -1.014
1950, 3, 317.6, 358.6, 2.362, 0.8843
1950, 4, 175.2, 190.5, 5.165, 3.792
1950, 5, 67.98, 73, 7.577, 6.254
1950, 6, 57.7, 64.46, 12.27, 10.86
1950, 7, 46.35, 47.79, 13.8, 12.58
1950, 8, 62.22, 66.69, 14.25, 12.98
1950, 9, 68.74, 76.77, 11.36, 10.18
1950, 10, 266, 285.5, 6.203, 4.827
1950, 11, 269.8, 294, 2.562, 1.233
1950, 12, 236.6, 260.7, 3.276, 1.65
1951, 1, 264.3, 314.4, -0.6367, -2.16
1951, 2, 317.7, 373.5, 1.363, -0.04063
1951, 3, 148.3, 164.6, 1.501, 0.1749
1951, 4, 36.97, 33.48, 7.172, 5.979
1951, 5, 96.57, 106.8, 9.445, 8.132
1951, 6, 49.21, 54.37, 12.96, 11.67
1951, 7, 5.499, 6.202, 15, 13.79
1951, 8, 33.36, 35.13, 13.12, 11.91
1951, 9, 111.6, 122, 12.33, 11.23
1951, 10, 256.5, 279.9, 7.511, 6.219
1951, 11, 202.6, 221.3, 3.555, 2.212
1951, 12, 207.2, 231.5, -0.5069, -1.839
1952, 1, 133.1, 147.5, -0.9704, -2.439
1952, 2, 96.89, 102.2, 2.044, 0.65
1952, 3, 145.3, 158.9, 2.707, 1.346
1952, 4, 57.4, 65.61, 7.034, 5.716
1952, 5, 84.76, 94.64, 9.623, 8.386
1952, 6, 97.34, 108.5, 10.57, 9.326
1952, 7, 31.48, 33.66, 14.42, 13.32
1952, 8, 33.98, 34.83, 14.75, 13.52
1952, 9, 16.95, 19.23, 12.49, 11.39
1952, 10, 52.29, 57.69, 9.283, 8.327
1952, 11, 36.71, 39.92, 2.22, 0.9694
1952, 12, 165, 195.9, 1.793, 0.3299
1953, 1, 487.6, 584.3, 4.068, 2.694
1953, 2, 162.4, 202.3, 2.261, 0.9015
1953, 3, 156.4, 171.3, 3.597, 2.197
1953, 4, 141.5, 163.2, 6.062, 4.717
1953, 5, 124, 133.3, 9.57, 8.163
1953, 6, 111.5, 119.2, 10.61, 9.219
1953, 7, 20.24, 20.83, 13.9, 12.71
1953, 8, 53.69, 51.34, 14.68, 13.49
1953, 9, 96.5, 101.7, 12.46, 11.31
1953, 10, 180.7, 191.7, 8.494, 7.293
1953, 11, 231.4, 249.1, 5.865, 4.422
1953, 12, 301.5, 344.9, 3.006, 1.595
1954, 1, 270.3, 315.4, -1.187, -2.653
1954, 2, 239.3, 270.3, 2.93, 1.475
1954, 3, 89.29, 98.67, 2.073, 0.7133
1954, 4, 128.2, 148.8, 4.884, 3.438
1954, 5, 68.99, 70.83, 9.382, 8.106
1954, 6, 169, 181.7, 10.17, 8.771
1954, 7, 66.75, 68.38, 12.55, 11.35
1954, 8, 71.79, 77.03, 12.97, 11.76
1954, 9, 76.5, 79.52, 11.75, 10.62
1954, 10, 55.5, 72.48, 7.726, 6.49
1954, 11, 258.2, 285.5, 6.798, 5.444
1954, 12, 223, 244.2, 2.397, 0.975
1955, 1, 104.8, 118.2, 0.8874, -0.5125
1955, 2, 211.9, 258.5, 0.5446, -0.8122
1955, 3, 181, 229.5, 0.5399, -0.8133
1955, 4, 178.5, 192.6, 4.227, 2.874
1955, 5, 125.7, 137.6, 7.492, 6.13
1955, 6, 105.6, 112.1, 11.6, 10.29
1955, 7, 107.8, 115.2, 12.4, 11.18
1955, 8, 8.034, 6.923, 13.21, 12.16
1955, 9, 57.19, 60.34, 11.11, 10.06
1955, 10, 314, 393.1, 7.387, 6.067
1955, 11, 373.7, 465.3, -0.01911, -1.617
1955, 12, 357.9, 422.4, -0.2425, -1.873
1956, 1, 275, 297.6, 0.266, -1.394
1956, 2, 210.3, 271.5, -1.673, -3.181
1956, 3, 223.6, 274.7, 1.957, 0.3726
1956, 4, 66.03, 79.11, 7.311, 5.98
1956, 5, 46.35, 51.8, 11.4, 10.21
1956, 6, 118.7, 129.7, 11.21, 9.828
1956, 7, 13.64, 15.8, 15.32, 14.05
1956, 8, 17.31, 18.73, 14.2, 12.98
1956, 9, 126.3, 151.4, 11.23, 9.874
1956, 10, 264, 314.4, 5.986, 4.515
1956, 11, 163.7, 191.1, 2.679, 1.493
1956, 12, 309.7, 409, 1.384, -0.09292
1957, 1, 137.1, 155.9, -3.517, -4.94
1957, 2, 286.4, 350.2, 0.5753, -0.7984
1957, 3, 186.5, 202.9, 3.768, 2.37
1957, 4, 104.8, 121.3, 7.125, 5.887
1957, 5, 55.92, 59.1, 11.52, 10.3
1957, 6, 89.02, 100.5, 12.92, 11.71
1957, 7, 38.34, 42.39, 13.51, 12.33
1957, 8, 38.5, 38.88, 13.37, 12.16
1957, 9, 31.26, 34.4, 13.74, 12.66
1957, 10, 152.7, 163.6, 7.171, 5.973
1957, 11, 165.3, 190.9, 3.212, 1.949
1957, 12, 293.6, 378.4, 2.876, 1.336
1958, 1, 259.6, 289.8, 3.219, 1.57
1958, 2, 195.8, 223, 5.96, 4.464
1958, 3, 104.9, 116.9, 4.208, 2.908
1958, 4, 176.4, 203.5, 6.957, 5.602
1958, 5, 21.51, 20.12, 12.99, 11.83
1958, 6, 56.53, 70.28, 15.43, 14.18
1958, 7, 0.5977, 1.142, 18.25, 16.97
1958, 8, 26.9, 29.38, 16.11, 14.95
1958, 9, 95.28, 115.9, 12.05, 10.77
1958, 10, 167.8, 198.6, 9.666, 8.437
1958, 11, 418, 525.5, 2.647, 1.14
1958, 12, 299.3, 356.8, 4.149, 2.552
1959, 1, 367.1, 431, 0.9667, -0.7127
1959, 2, 166.4, 193, 1.656, 0.2718
1959, 3, 250.2, 309.7, 3.596, 2.121
1959, 4, 189.4, 248.3, 6.761, 5.416
1959, 5, 137.7, 156.2, 8.999, 7.762
1959, 6, 92.26, 98.14, 12.91, 11.66
1959, 7, 50.93, 53.23, 15.29, 14.12
1959, 8, 31.2, 33.14, 13.88, 12.55
1959, 9, 236.5, 294.1, 11.1, 9.837
1959, 10, 207.2, 255, 7.963, 6.77
1959, 11, 337.9, 415.6, 3.194, 1.761
1959, 12, 283, 339, 1.668, 0.2547
1960, 1, 149.9, 164.2, 0.1563, -1.368
1960, 2, 179.8, 221.7, 2.062, 0.5498
1960, 3, 147.6, 184.5, 3.767, 2.434
1960, 4, 124.4, 146.6, 7.189, 5.825
1960, 5, 187.9, 212.4, 8.766, 7.489
1960, 6, 53.35, 66.04, 12.09, 10.82
1960, 7, 0.3921, 0.3692, 15.53, 14.38
1960, 8, 95.79, 103.1, 14.14, 12.88
1960, 9, 60.84, 62.84, 11.66, 10.6
1960, 10, 216.7, 250.7, 8.702, 7.469
1960, 11, 316.3, 361.3, 3.362, 1.957
1960, 12, 143.9, 164.8, 1.355, 0.03734
1961, 1, 282.5, 347.3, 3.57, 2.031
1961, 2, 373.8, 457.8, 3.596, 1.999
1961, 3, 174.1, 201.1, 4.765, 3.277
1961, 4, 163.1, 182.6, 6.016, 4.68
1961, 5, 118.4, 126.4, 9.731, 8.49
1961, 6, 34.92, 40.58, 14, 12.87
1961, 7, 42.55, 46.88, 15.84, 14.6
1961, 8, 42.61, 51.71, 16.54, 15.44
1961, 9, 82.93, 103.3, 11.02, 9.68
1961, 10, 215.2, 255.5, 6.997, 5.713
1961, 11, 161.1, 194.2, 1.982, 0.559
1961, 12, 313.3, 385.1, 0.5345, -0.9856
1962, 1, 222.1, 274.1, 0.08853, -1.404
1962, 2, 73.83, 76.82, 3.303, 1.801
1962, 3, 168.8, 192.3, 2.796, 1.469
1962, 4, 134, 158.1, 7.676, 6.371
1962, 5, 92.74, 102.6, 7.923, 6.626
1962, 6, 70.98, 80.3, 11.7, 10.43
1962, 7, 38.78, 41.84, 14.02, 12.76
1962, 8, 89.13, 98.77, 14.21, 12.96
1962, 9, 108.7, 118.6, 12.68, 11.66
1962, 10, 94.63, 107.4, 8.433, 7.286
1962, 11, 338.3, 418.6, 4.713, 3.288
1962, 12, 238.8, 272.2, 2.262, 0.7878
1963, 1, 97.23, 105.8, -2.26, -3.476
1963, 2, 225.6, 258.5, 5.692, 4.281
1963, 3, 155.3, 177.5, 3.652, 2.38
1963, 4, 195, 203.5, 5.95, 4.636
1963, 5, 59.73, 63.71, 10.4, 9.131
1963, 6, 159.5, 156.4, 11.49, 10.24
1963, 7, 84.75, 87, 13.44, 12.27
1963, 8, 50.17, 53.03, 14.8, 13.64
1963, 9, 85.31, 93.76, 14.43, 13.44
