# Created by WEAP: 5/6/2021 11:59:32 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_N_Upr Bear (3,880 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (3,880 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 1000 to 2000 m, tas[C]:Elevation 1000 to 2000 m
1956, 10, 221.7, 9.359
1956, 11, 3.864, 8.825
1956, 12, 92.16, 5.59
1957, 1, 193, -0.3663
1957, 2, 355.5, 4.503
1957, 3, 265, 4.691
1957, 4, 104.2, 7.966
1957, 5, 278.7, 10.35
1957, 6, 4.443, 17.63
1957, 7, 0.06182, 19
1957, 8, 0, 17.55
1957, 9, 33.23, 17.29
1957, 10, 134, 9.159
1957, 11, 119.3, 5.633
1957, 12, 290.4, 5.385
1958, 1, 300.2, 3.506
1958, 2, 512.4, 3.972
1958, 3, 426.9, 1.561
1958, 4, 239.3, 6.126
1958, 5, 51.8, 12.84
1958, 6, 51.21, 14.64
1958, 7, 0.4133, 19.49
1958, 8, 1.728, 21.52
1958, 9, 20.2, 17.76
1958, 10, 17.77, 14.99
1958, 11, 76.48, 7.658
1958, 12, 77.57, 8.143
1959, 1, 368.9, 4.115
1959, 2, 334.6, 2.417
1959, 3, 84.49, 7.211
1959, 4, 70.72, 11.26
1959, 5, 66.65, 10.04
1959, 6, 0, 17.47
1959, 7, 0, 22.1
1959, 8, 4.618, 19.47
1959, 9, 81.52, 15.25
1959, 10, 1.089, 14.42
1959, 11, 0, 10.99
1959, 12, 97.4, 5.791
1960, 1, 369.8, 1.008
1960, 2, 408.1, 2.906
1960, 3, 290.5, 6.539
1960, 4, 90.23, 7.542
1960, 5, 79.75, 10.38
1960, 6, 0, 19.37
1960, 7, 2.119, 21.7
1960, 8, 0.01975, 19.73
1960, 9, 1.144, 18.69
1960, 10, 19.52, 12.22
1960, 11, 244.3, 5.196
1960, 12, 119.5, 4.444
1961, 1, 96.27, 6.215
1961, 2, 141.4, 4.877
1961, 3, 244.9, 3.52
1961, 4, 100.4, 8.645
1961, 5, 104.3, 9.172
1961, 6, 13.52, 18.99
1961, 7, 0.233, 21.41
1961, 8, 7.453, 20.58
1961, 9, 11.88, 15.65
1961, 10, 71.48, 11.94
1961, 11, 164.9, 6.27
1961, 12, 137.8, 3.635
1962, 1, 137.6, 4.579
1962, 2, 582, 1.659
1962, 3, 237.2, 2.455
1962, 4, 61.43, 10.3
1962, 5, 32.96, 9.816
1962, 6, 0.835, 16.49
1962, 7, 1.645, 19.81
1962, 8, 6.813, 19.09
1962, 9, 3.816, 17.77
1962, 10, 534.5, 12.53
1962, 11, 90.53, 8.138
1962, 12, 210.2, 6.938
1963, 1, 353.5, 3.975
1963, 2, 169.3, 8.051
1963, 3, 269.6, 3.477
1963, 4, 362.6, 3.18
1963, 5, 111.8, 11.6
1963, 6, 35.06, 14.34
1963, 7, 0, 17.74
1963, 8, 0.4935, 18.24
1963, 9, 20.06, 17.66
1963, 10, 87.31, 11.98
1963, 11, 392.9, 6.106
1963, 12, 42.44, 6.264
1964, 1, 336.9, 2.483
1964, 2, 20.8, 4.585
1964, 3, 167.2, 3.427
1964, 4, 55.38, 7.035
1964, 5, 139.3, 9.181
1964, 6, 62.66, 13.6
1964, 7, 0, 19.65
1964, 8, 11.15, 19.67
1964, 9, 0.7431, 16.15
1964, 10, 47.07, 15.13
1964, 11, 316.2, 3.742
1964, 12, 1100, 3.217
1965, 1, 369.7, 3.454
1965, 2, 60.32, 5.075
1965, 3, 109.4, 5.477
1965, 4, 219.7, 6.794
1965, 5, 12.69, 11.39
1965, 6, 33.9, 14.95
1965, 7, 1.005, 19.67
1965, 8, 48.38, 18.85
1965, 9, 7.613, 14.72
1965, 10, 21.29, 15.12
1965, 11, 298.8, 6.032
1965, 12, 247, 1.84
1966, 1, 167.4, 1.537
1966, 2, 126.3, 1.28
1966, 3, 94.89, 5.235
1966, 4, 87.69, 10.89
1966, 5, 26.36, 15.08
1966, 6, 0.8854, 16.39
1966, 7, 0.3309, 18.62
1966, 8, 0, 20.53
1966, 9, 1.465, 17.03
1966, 10, 0, 13.71
1966, 11, 385.8, 7.105
1966, 12, 324.6, 4.026
1967, 1, 533.6, 3.706
1967, 2, 26.65, 6.312
1967, 3, 376.4, 3.261
1967, 4, 273.2, 0.1122
1967, 5, 71.21, 11.44
1967, 6, 65.19, 15.07
1967, 7, 0.07767, 20.99
1967, 8, 4.263, 22.03
1967, 9, 17.16, 18.44
1967, 10, 65.63, 12.84
1967, 11, 145.9, 8.918
1967, 12, 227.9, 1.556
1968, 1, 310.3, 2.757
1968, 2, 257, 5.586
1968, 3, 164.3, 5.746
1968, 4, 15.45, 8.919
1968, 5, 36.22, 11.38
1968, 6, 20.04, 17.51
1968, 7, 1.17, 20.86
1968, 8, 63.14, 17.03
1968, 9, 1.109, 17.52
1968, 10, 136.2, 12.01
1968, 11, 231.2, 6.317
1968, 12, 350.1, 0.644
1969, 1, 857.8, 1.822
1969, 2, 446.4, -0.005147
1969, 3, 57.07, 3.803
1969, 4, 127, 6.705
1969, 5, 9.27, 14.08
1969, 6, 18.36, 15.17
1969, 7, 1.224, 20.64
1969, 8, 0, 20.93
1969, 9, 2.009, 18.15
1969, 10, 148.7, 9.827
1969, 11, 86.66, 10.74
1969, 12, 504.4, 5.197
1970, 1, 856.3, 3.454
1970, 2, 113.9, 6.102
1970, 3, 121, 5.698
1970, 4, 83.22, 5.317
1970, 5, 17.63, 13.89
1970, 6, 37.39, 17.37
1970, 7, 0, 21.95
1970, 8, 0, 21.42
1970, 9, 2.834, 17.4
1970, 10, 77.37, 12.38
1970, 11, 429.3, 7.264
1970, 12, 472.2, 1.157
1971, 1, 213.6, 4.054
1971, 2, 50.13, 4.4
1971, 3, 265.9, 3.971
1971, 4, 92.08, 6.27
1971, 5, 84.11, 9.364
1971, 6, 52.44, 15.3
1971, 7, 0.3935, 21.39
1971, 8, 7.932, 22.02
1971, 9, 26.27, 16.92
1971, 10, 26.71, 10.19
1971, 11, 171.1, 6.059
1971, 12, 360.2, -0.1224
1972, 1, 160.3, 2.978
1972, 2, 235.9, 4.937
1972, 3, 95.35, 8.457
1972, 4, 161.7, 7.054
1972, 5, 29.13, 13.65
1972, 6, 17.76, 18.01
1972, 7, 0, 22.07
1972, 8, 2.633, 20.93
1972, 9, 60.12, 15.85
1972, 10, 111.6, 10.57
1972, 11, 271.4, 5.14
1972, 12, 249.4, 1.208
1973, 1, 501.9, 1.16
1973, 2, 297.1, 3.796
1973, 3, 170, 2.496
1973, 4, 34.7, 8.512
1973, 5, 29.72, 14.96
1973, 6, 3.015, 17.88
1973, 7, 1.363, 21.58
1973, 8, 8.392, 20.17
1973, 9, 54.74, 16.85
1973, 10, 115, 11.98
1973, 11, 648.1, 3.044
1973, 12, 355, 4.361
1974, 1, 351.6, 2.642
1974, 2, 164.5, 3.793
1974, 3, 470.7, 5.208
1974, 4, 164.5, 6.872
1974, 5, 4.602, 13.19
1974, 6, 9.163, 18.75
1974, 7, 92.66, 19.83
1974, 8, 3.353, 20.72
1974, 9, 0, 21.38
1974, 10, 90.34, 14.13
1974, 11, 74.87, 8.008
1974, 12, 125.1, 4.071
1975, 1, 164.9, 5.51
1975, 2, 460.3, 3.091
1975, 3, 386, 2.696
1975, 4, 197.3, 3.284
1975, 5, 38.18, 12.85
1975, 6, 19.52, 17.25
1975, 7, 3.099, 20.17
1975, 8, 61.97, 18.85
1975, 9, 0.5275, 20.24
1975, 10, 200.9, 10.15
1975, 11, 99.77, 6.077
1975, 12, 61.15, 7.155
1976, 1, 31.7, 6.75
1976, 2, 180.1, 4.11
1976, 3, 72.64, 4.879
1976, 4, 58.17, 6.268
1976, 5, 6.799, 14.61
1976, 6, 20.86, 16.12
1976, 7, 0.08798, 20.95
1976, 8, 80.4, 16.74
1976, 9, 30.18, 17.38
1976, 10, 20.64, 14.18
1976, 11, 54.82, 12.15
1976, 12, 6.82, 8.068
1977, 1, 117.9, 5.157
1977, 2, 101.8, 7.822
1977, 3, 82.15, 3.378
1977, 4, 18.91, 11.02
1977, 5, 139, 7.021
1977, 6, 1.904, 19.57
1977, 7, 0.9171, 20.76
1977, 8, 16.17, 21.34
1977, 9, 29.27, 15.68
1977, 10, 10.77, 13.65
1977, 11, 157.4, 7.774
1977, 12, 485.3, 5.656
1978, 1, 552.2, 4.071
1978, 2, 251, 4.281
1978, 3, 344.1, 7.827
1978, 4, 285.8, 5.569
1978, 5, 38.4, 12.51
1978, 6, 9.502, 16.02
1978, 7, 0.233, 20.79
1978, 8, 8.05, 20.35
1978, 9, 108.1, 15.37
1978, 10, 2.962, 16.23
1978, 11, 130.7, 5.953
1978, 12, 87.68, 2.993
1979, 1, 326.6, 1.787
1979, 2, 401.2, 2.513
1979, 3, 180.8, 6.118
1979, 4, 129.7, 7.086
1979, 5, 100.3, 14.02
1979, 6, 3.221, 17.35
1979, 7, 7.354, 19.64
1979, 8, 9.403, 18.25
1979, 9, 1.441, 18.92
1979, 10, 171.6, 12.2
1979, 11, 167, 6.698
1979, 12, 326.2, 6.596
1980, 1, 637.5, 4.958
1980, 2, 482.4, 5.812
1980, 3, 163.3, 4.215
1980, 4, 105.9, 8.887
1980, 5, 104.6, 10.86
1980, 6, 20.72, 14.08
1980, 7, 16.57, 20.41
1980, 8, 1.393, 19.85
1980, 9, 0.01546, 18.07
1980, 10, 37.22, 14.64
1980, 11, 72.19, 9.236
1980, 12, 127.1, 8.64
1981, 1, 339.1, 6.159
1981, 2, 121.1, 5.565
1981, 3, 230.2, 5.017
1981, 4, 46.84, 10.4
1981, 5, 85, 12.88
1981, 6, 1.66, 19.55
1981, 7, 0, 21.6
1981, 8, 0, 22.66
1981, 9, 26.92, 18.95
1981, 10, 198.7, 10.29
1981, 11, 539.4, 7.535
1981, 12, 612.1, 5.841
1982, 1, 357.5, 2.423
1982, 2, 308.3, 5.346
1982, 3, 453.7, 3.109
1982, 4, 381.5, 6.433
1982, 5, 13.64, 13.88
1982, 6, 33.3, 15.7
1982, 7, 2.506, 19.72
1982, 8, 1.833, 20.51
1982, 9, 99.64, 15.48
1982, 10, 238.8, 11.06
1982, 11, 354.8, 5.005
1982, 12, 333.2, 3.277
1983, 1, 324.4, 5.342
1983, 2, 505.4, 3.871
1983, 3, 558.4, 3.441
1983, 4, 238.5, 4.388
1983, 5, 43.49, 12.64
1983, 6, 20.02, 16.18
1983, 7, 12.19, 17.92
1983, 8, 13.45, 20.05
1983, 9, 56.93, 18.37
1983, 10, 145.9, 13.47
1983, 11, 562.5, 5.202
1983, 12, 647.6, 3.187
1984, 1, 17.37, 7.962
1984, 2, 229.1, 5.46
1984, 3, 154.1, 8.112
1984, 4, 119.8, 7.598
1984, 5, 50.37, 15.07
1984, 6, 63.75, 16.66
1984, 7, 1.026, 23.18
1984, 8, 8.393, 21.44
1984, 9, 11.66, 19.39
1984, 10, 122.3, 9.286
1984, 11, 398.7, 4.539
1984, 12, 94.32, 2.89
1985, 1, 48.82, 5.445
1985, 2, 161, 5.302
1985, 3, 258.2, 3.758
1985, 4, 29.99, 12.18
1985, 5, 2.511, 13.24
1985, 6, 12.5, 19.72
1985, 7, 0.6574, 21.97
1985, 8, 7.256, 19.84
1985, 9, 58.21, 13.78
1985, 10, 54.52, 12.4
1985, 11, 283.3, 4.116
1985, 12, 190.4, 6.466
1986, 1, 300, 7.466
1986, 2, 946, 5.236
1986, 3, 354.8, 8.556
1986, 4, 58.21, 8.275
1986, 5, 62.93, 12.57
1986, 6, 0, 18.52
1986, 7, 0.7071, 19.64
1986, 8, 0, 22.27
1986, 9, 162.6, 12.91
1986, 10, 19.74, 12.43
1986, 11, 25.32, 9.446
1986, 12, 52.96, 6.257
1987, 1, 189.8, 2.643
1987, 2, 213.7, 4.529
1987, 3, 209.9, 5.044
1987, 4, 32.15, 12.59
1987, 5, 49.99, 14.02
1987, 6, 7.474, 19.04
1987, 7, 2.784, 18.3
1987, 8, 0, 21.78
1987, 9, 0.07767, 19.9
1987, 10, 59.77, 16.46
1987, 11, 109.9, 7.116
1987, 12, 411.7, 1.502
1988, 1, 261.7, 3.97
1988, 2, 20.53, 8.287
1988, 3, 41.47, 8.194
1988, 4, 138.2, 8.963
1988, 5, 72.37, 11.26
1988, 6, 35.46, 16.84
1988, 7, 0.5738, 23.25
