# Created by WEAP: 5/6/2021 11:59:37 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_N_Clear (52,092 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (32,289 ha),  1000 - 2000 m (19,803 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m

1950, 1, 414.9, 473.4, -1.527, -3.058
1950, 2, 144.6, 185, 4.841, 3.239
1950, 3, 138.7, 153, 6.441, 4.898
1950, 4, 62.2, 94.96, 11.99, 10.25
1950, 5, 39.79, 42.4, 16.35, 14.65
1950, 6, 23.64, 25.45, 19.06, 17.3
1950, 7, 0, 0.002624, 24.74, 23.11
1950, 8, 0.7128, 1.054, 23.51, 21.86
1950, 9, 15.08, 19.4, 19.36, 17.75
1950, 10, 413.9, 448.2, 12.73, 11.25
1950, 11, 153.2, 163.5, 9.09, 7.642
1950, 12, 267.1, 297, 5.196, 3.873
1951, 1, 299.5, 320.3, 2.238, 0.8661
1951, 2, 243.5, 275, 4.497, 3.067
1951, 3, 80.71, 76.3, 7.223, 5.76
1951, 4, 73.8, 89.43, 12.81, 11.32
1951, 5, 102, 135.5, 14.96, 13.38
1951, 6, 2.901, 3.332, 20.92, 19.24
1951, 7, 0.4082, 0.3855, 22.94, 21.19
1951, 8, 4.528, 9.638, 22.71, 21.04
1951, 9, 5.46, 5.797, 20.69, 19.02
1951, 10, 105.7, 111.4, 12.44, 10.82
1951, 11, 346.9, 358.1, 7.392, 5.94
1951, 12, 495.4, 528.9, 3.24, 1.733
1952, 1, 351.4, 431.2, 0.8696, -0.5349
1952, 2, 145.1, 189.3, 4.351, 2.825
1952, 3, 161.9, 183.3, 5.395, 3.891
1952, 4, 41.64, 58.55, 11.96, 10.3
1952, 5, 85.52, 99.6, 15.56, 13.86
1952, 6, 95.14, 110.4, 16.36, 14.82
1952, 7, 6.171, 5.7, 24.47, 22.76
1952, 8, 0, 0.0006559, 21.85, 20.23
1952, 9, 6.752, 12.6, 20.65, 18.98
1952, 10, 19.87, 16.74, 16.87, 15.23
1952, 11, 94.91, 95.49, 7.792, 6.138
1952, 12, 517.3, 634.9, 2.719, 1.241
1953, 1, 349.8, 458.3, 5.271, 3.765
1953, 2, 27.69, 30.7, 6.664, 5.075
1953, 3, 149.3, 195.7, 7.206, 5.589
1953, 4, 95.84, 132.3, 9.709, 8.07
1953, 5, 88.44, 115.5, 10.95, 9.343
1953, 6, 44.77, 54.99, 16.11, 14.42
1953, 7, 0, 0, 23.4, 21.58
1953, 8, 17.09, 22.64, 20.48, 18.8
1953, 9, 1.794, 1.425, 21.09, 19.46
1953, 10, 41.51, 47.04, 13.61, 11.98
1953, 11, 261.2, 264.3, 7.862, 6.557
1953, 12, 76.85, 85.76, 5.888, 4.361
1954, 1, 403.2, 556.9, 3.26, 1.747
1954, 2, 180.9, 268.5, 7.809, 6.369
1954, 3, 176.9, 209.6, 6.358, 4.792
1954, 4, 127.5, 185.5, 12.88, 11.24
1954, 5, 0.1265, 0.1737, 16.59, 14.9
1954, 6, 52.97, 57.86, 17.01, 15.3
1954, 7, 1.279, 0.7751, 22.66, 20.84
1954, 8, 66.16, 89.15, 19.58, 17.88
1954, 9, 8.673, 8.753, 17.29, 15.58
1954, 10, 21.93, 24.42, 13.1, 11.43
1954, 11, 196.4, 204.7, 7.837, 6.381
1954, 12, 239.3, 294.8, 2.91, 1.493
1955, 1, 114.4, 139.3, 2.577, 1.038
1955, 2, 44.85, 59.51, 4.496, 2.828
1955, 3, 26.42, 34.51, 7.383, 5.685
1955, 4, 226.9, 288.8, 7.227, 5.467
1955, 5, 0.8289, 1.343, 15.24, 13.4
1955, 6, 8.275, 6.368, 18.87, 17.1
1955, 7, 2.406, 2.617, 20.97, 19.13
1955, 8, 0, 0.003607, 23.53, 21.67
1955, 9, 10.54, 15.34, 20.08, 18.23
1955, 10, 14.36, 15.25, 14.96, 13.22
1955, 11, 216.3, 230.4, 6.297, 4.581
1955, 12, 549.4, 713.7, 4.07, 2.512
1956, 1, 455.7, 550.1, 3.438, 1.899
1956, 2, 289.9, 433.2, 3.357, 1.691
1956, 3, 4.886, 8.609, 7.766, 6.111
1956, 4, 53.66, 54.77, 11.31, 9.618
1956, 5, 83.02, 97.94, 14.9, 13.2
1956, 6, 15.1, 19.6, 19.32, 17.45
1956, 7, 5.599, 5.759, 23.59, 21.72
1956, 8, 0, 0.006559, 21.6, 19.79
1956, 9, 2.973, 6.726, 18.83, 17
1956, 10, 93.84, 111.1, 12.5, 10.83
1956, 11, 11.86, 10.44, 9.654, 8.003
1956, 12, 7.505, 8.653, 5.851, 4.25
1957, 1, 233.3, 295.4, 1.624, -0.06513
1957, 2, 348.3, 488.4, 6.354, 4.76
1957, 3, 171.8, 198.1, 7.488, 5.945
1957, 4, 118.5, 156.6, 11.23, 9.489
1957, 5, 173, 247.7, 14.23, 12.62
1957, 6, 2.252, 3.464, 21.02, 19.2
1957, 7, 0.1321, 0.1776, 22.79, 21.02
1957, 8, 0, 0.0006559, 20.86, 19.11
1957, 9, 124.1, 174.6, 19.84, 18.27
1957, 10, 177.1, 194, 11.44, 9.919
1957, 11, 133.3, 114.9, 7.249, 5.636
1957, 12, 209.5, 256.6, 4.422, 3.017
1958, 1, 297.8, 364.1, 4.5, 2.97
1958, 2, 721.7, 978.3, 6.265, 4.79
1958, 3, 275.9, 358.8, 5.327, 3.776
1958, 4, 214.5, 295, 10.54, 8.939
1958, 5, 47.66, 56.75, 16.53, 14.87
1958, 6, 89.51, 97.36, 18.56, 16.94
1958, 7, 18.28, 21.09, 23.29, 21.57
1958, 8, 2.038, 2.158, 24.99, 23.2
1958, 9, 10.34, 15.27, 20.25, 18.45
1958, 10, 9.507, 10.67, 16.46, 14.72
1958, 11, 33.39, 29.74, 8.92, 7.275
1958, 12, 66.08, 81.12, 8.037, 6.417
1959, 1, 514, 678.1, 4.886, 3.29
1959, 2, 310.4, 419.3, 4.904, 3.272
1959, 3, 73.29, 89.3, 9.743, 7.97
1959, 4, 37.84, 44.02, 14.07, 12.32
1959, 5, 5.352, 7.654, 13.87, 12.03
1959, 6, 0.7326, 0.7647, 20.98, 19.01
1959, 7, 0, 0, 24.99, 23.12
1959, 8, 0.9787, 1.966, 22.4, 20.6
1959, 9, 71.16, 73.22, 17.57, 15.82
1959, 10, 2.769, 2.371, 14.65, 12.97
1959, 11, 2.154, 1.294, 9.475, 7.777
1959, 12, 61.75, 72.1, 4.556, 2.821
1960, 1, 241, 308.3, 2.01, 0.4352
1960, 2, 294.1, 370.2, 4.634, 2.964
1960, 3, 171, 221.4, 8.285, 6.577
1960, 4, 85.11, 111.4, 9.513, 7.807
1960, 5, 101.3, 134.6, 12.52, 10.79
1960, 6, 0.09073, 0.04403, 22.09, 20.29
1960, 7, 5.014, 2.963, 24.69, 22.81
1960, 8, 0.02941, 0.02968, 22.42, 20.58
1960, 9, 0.02391, 0.0171, 20.39, 18.62
1960, 10, 24.03, 31.5, 13.64, 12.02
1960, 11, 203.1, 211.1, 6.384, 4.772
1960, 12, 256, 304.7, 4.582, 3.084
1961, 1, 161.2, 189.7, 4.497, 3.068
1961, 2, 151.9, 213.7, 6.133, 4.55
1961, 3, 179.9, 218.3, 5.845, 4.264
1961, 4, 40.64, 59.97, 11.73, 9.999
1961, 5, 70, 79.83, 12.22, 10.63
1961, 6, 20.62, 24.62, 21.52, 19.76
1961, 7, 5.998, 4.311, 23.92, 22.08
1961, 8, 3.346, 3.271, 23.33, 21.67
1961, 9, 16.63, 17.84, 18.26, 16.54
1961, 10, 25.23, 26.82, 13.78, 12.09
1961, 11, 207.9, 230.6, 6.772, 5.183
1961, 12, 166.5, 200.2, 3.462, 2.053
