# Created by WEAP: 12/14/2020 6:11:22 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CA_PGE_CEN_KIngs (301,056 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (46,690 ha),  1000 - 2000 m (61,276 ha),  2000 - 3000 m (96,982 ha),  3000 - 4000 m (95,816 ha),  4000 - 5000 m (292 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 4000 to 5000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 4000 to 5000 m

1970, 1, 209.5, 294.3, 350.2, 323.9, 237.7, 8.256, 3.337, -2.89, -7.487, -9.49, 2.144, 2.102, 2.05, 2.06, 2.083
1970, 2, 63.26, 69.81, 66.14, 62.65, 51.47, 11.06, 5.728, -0.645, -4.778, -6.413, 1.766, 1.803, 1.852, 1.901, 1.93
1970, 3, 72.91, 103, 119.1, 101.5, 56.27, 11.17, 5.488, -0.6568, -4.251, -5.503, 1.739, 1.805, 1.891, 1.954, 1.988
1970, 4, 25.45, 45.35, 52.8, 45.1, 29.74, 11.58, 5.481, -0.5609, -3.751, -4.623, 2.426, 2.461, 2.515, 2.552, 2.572
1970, 5, 0, 0.01102, 0.1261, 0.5674, 0.643, 19.73, 13.75, 7.643, 4.327, 3.408, 2.209, 2.258, 2.323, 2.374, 2.405
1970, 6, 13.93, 19.74, 16.74, 10.92, 6.453, 23.68, 17.83, 11.92, 8.71, 7.714, 2.282, 2.267, 2.261, 2.264, 2.268
1970, 7, 1.87, 7.287, 10.94, 12.52, 15.03, 28.51, 22.75, 16.66, 13.21, 12.04, 1.994, 2.017, 2.051, 2.09, 2.116
1970, 8, 0, 0.04448, 0.3233, 1.284, 3.649, 27.61, 22.1, 16.07, 12.72, 11.72, 1.73, 1.764, 1.812, 1.859, 1.892
1970, 9, 0, 0, 0, 0, 0, 23.37, 17.53, 11.08, 7.183, 5.719, 1.84, 1.9, 1.976, 2.037, 2.074
1970, 10, 2.457, 3.639, 3.799, 3.797, 3.204, 17.85, 12.4, 6.145, 2.079, 0.3498, 1.678, 1.766, 1.873, 1.952, 1.996
1970, 11, 153.1, 205.1, 229.8, 230.2, 186.5, 12.28, 7.588, 1.496, -2.856, -4.747, 2.068, 2.091, 2.118, 2.162, 2.197
1970, 12, 143.5, 197.3, 218.6, 197.7, 134.2, 6.349, 1.123, -5.37, -9.734, -11.61, 2.2, 2.206, 2.205, 2.242, 2.278
1971, 1, 58.09, 77.07, 85.31, 71.36, 45.65, 7.181, 3.149, -3.009, -7.05, -8.641, 2.276, 2.292, 2.311, 2.349, 2.377
1971, 2, 30.75, 43.7, 48.69, 40.14, 26.63, 8.014, 3.422, -2.202, -5.734, -7.177, 1.884, 1.95, 2.036, 2.097, 2.13
1971, 3, 43.87, 57.51, 61.39, 52.75, 33.53, 10.82, 5.586, -0.3112, -3.773, -4.986, 1.763, 1.856, 1.975, 2.052, 2.093
1971, 4, 31.8, 42.92, 48.41, 41.66, 27.38, 12.45, 6.679, 0.9002, -1.919, -2.564, 2.365, 2.452, 2.562, 2.626, 2.657
1971, 5, 76.45, 81.18, 78.07, 90.32, 88.99, 15.26, 9.19, 3.521, 0.6288, -0.1166, 2.367, 2.405, 2.462, 2.503, 2.525
1971, 6, 0.000796, 0.006687, 0.0004746, 0, 0, 21.94, 16.17, 10.74, 8.049, 7.263, 2.555, 2.542, 2.537, 2.546, 2.555
1971, 7, 0.2553, 2.281, 6.484, 10.76, 14.79, 27.55, 21.86, 16.12, 13.1, 12.17, 2.414, 2.414, 2.421, 2.443, 2.459
1971, 8, 0, 0.02438, 0.1858, 0.5799, 1.262, 27.94, 22.37, 16.49, 13.21, 12.01, 2.034, 1.996, 1.96, 1.951, 1.953
1971, 9, 7.805, 11.63, 12.63, 9.441, 5.607, 23.62, 17.93, 11.69, 8.023, 6.576, 1.598, 1.641, 1.699, 1.756, 1.796
1971, 10, 6.737, 15.48, 21.71, 24.92, 25.18, 16.24, 10.36, 3.856, 0.05566, -1.383, 1.646, 1.703, 1.78, 1.844, 1.882
1971, 11, 64.93, 95.42, 101.3, 82.49, 54.47, 10.46, 5.63, -0.6895, -4.789, -6.517, 1.765, 1.83, 1.907, 1.978, 2.024
1971, 12, 171.8, 246.8, 290.7, 294.8, 244.6, 4.959, -0.4647, -7, -10.99, -12.47, 2.472, 2.501, 2.535, 2.586, 2.623
1972, 1, 26.13, 40.46, 45.29, 35.04, 17.18, 5.519, 1.865, -4.157, -8.392, -10.27, 2.343, 2.355, 2.367, 2.398, 2.421
