# Created by WEAP: 12/14/2020 6:10:42 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: OR_W_S Umpqua (1,079,484 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (949,693 ha),  1000 - 2000 m (129,776 ha),  2000 - 3000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m

1970, 1, 393.7, 399.4, 421.2, 5.493, 1.739, -2.127, 3.65, 3.48, 3.448
1970, 2, 111.8, 101, 100.4, 7.627, 4.332, 0.8864, 2.467, 2.238, 2.173
1970, 3, 89.76, 110.4, 107.3, 8.019, 4.595, 1.044, 2.886, 2.569, 2.455
1970, 4, 123.6, 144.9, 135.6, 7.477, 4.14, 0.706, 2.817, 2.558, 2.49
1970, 5, 54.47, 63.06, 59.85, 13.16, 11.12, 8.715, 2.849, 2.518, 2.37
1970, 6, 30.73, 47.53, 44.22, 17.71, 16.2, 13.73, 2.881, 2.475, 2.285
1970, 7, 0.4836, 0.1933, 0, 19.83, 18.75, 16.72, 3.249, 2.756, 2.503
1970, 8, 1.026, 0.7295, 0.5483, 19.09, 17.96, 16.2, 2.952, 2.502, 2.278
1970, 9, 40.18, 39.62, 30.34, 15.04, 12.66, 9.87, 2.448, 2.205, 2.105
1970, 10, 120.9, 138.2, 138.1, 11.25, 8.476, 5.615, 2.628, 2.395, 2.337
1970, 11, 264.9, 329.9, 342.6, 7.668, 4.389, 0.9583, 3.188, 2.978, 2.936
1970, 12, 251.9, 241.6, 242, 3.429, -0.6524, -4.437, 3.457, 3.267, 3.244
1971, 1, 281.4, 321.7, 343.5, 3.008, -0.8955, -4.175, 3.017, 2.788, 2.724
1971, 2, 199.1, 222.6, 215.1, 5.191, 1.432, -2.081, 2.729, 2.547, 2.526
1971, 3, 237.8, 243.2, 241.9, 5.676, 1.859, -1.868, 3.284, 3.022, 2.964
1971, 4, 132, 125.6, 95.01, 8.654, 5.593, 2.302, 2.71, 2.521, 2.487
1971, 5, 66.21, 82.49, 80.16, 12.39, 9.966, 6.951, 3.143, 2.937, 2.874
1971, 6, 64.21, 68.61, 57.84, 14.7, 12.57, 9.831, 2.324, 2.11, 2.004
1971, 7, 1.393, 2.338, 1.863, 19.26, 18.12, 16.15, 3.098, 2.609, 2.354
1971, 8, 25.53, 23.64, 24.62, 20.13, 19, 17.29, 2.742, 2.368, 2.169
1971, 9, 100.3, 110.3, 95.06, 15.35, 12.83, 9.961, 2.788, 2.554, 2.463
1971, 10, 78.39, 84.87, 78.16, 10.28, 7.148, 4.007, 2.203, 2.066, 2.039
1971, 11, 278.5, 301.9, 274.7, 6.134, 2.538, -0.7147, 2.795, 2.641, 2.619
