# Created by WEAP: 12/14/2020 6:12:25 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CO_E_Lwr South Platte (2,104,250 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (2,036,731 ha),  2000 - 3000 m (67,519 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m

1970, 1, 2.18, 1.249, -0.2482, -1.626, 4.656, 4.067
1970, 2, 1.065, 5.916, 4.503, 3.42, 3.81, 3.167
1970, 3, 23.82, 27.7, 1.775, 0.3993, 3.796, 3.273
1970, 4, 33.26, 20.67, 7.808, 5.405, 4.021, 3.537
1970, 5, 35.43, 23.37, 17.04, 14.19, 2.567, 2.215
1970, 6, 74.12, 69.11, 20.26, 17.4, 2.671, 2.553
1970, 7, 42, 30.94, 24.58, 21.38, 1.803, 1.439
1970, 8, 26.69, 43.94, 25.16, 21.8, 2.167, 1.63
1970, 9, 33.35, 45.25, 17.33, 15.22, 3.036, 2.771
1970, 10, 20.88, 27.22, 9.259, 7.179, 3.016, 2.791
1970, 11, 14.7, 25.16, 4.826, 3.38, 4.349, 4.003
1970, 12, 4.042, 1.221, 0.9291, 1.128, 4.56, 4.144
1971, 1, 11.72, 10, -1.205, -0.7036, 5.384, 4.771
1971, 2, 15.45, 19.38, -0.08295, -1.398, 4.875, 4.383
1971, 3, 19.96, 12.84, 3.79, 3.108, 4.378, 4.013
1971, 4, 61.22, 49.77, 9.93, 7.51, 3.352, 2.797
1971, 5, 52.51, 59.85, 13.6, 11.22, 3.18, 2.799
1971, 6, 34.73, 11.57, 22.29, 19.78, 2.123, 2.007
1971, 7, 28.99, 40.18, 23.37, 20.3, 2.252, 2.029
1971, 8, 26.33, 43.62, 24.28, 20.71, 2.545, 2.003
1971, 9, 60.35, 48.47, 16.15, 13.75, 3.095, 2.942
1971, 10, 9.232, 5.954, 11.07, 9.658, 3.41, 3.014
1971, 11, 3.416, 4.774, 4.701, 3.573, 3.747, 3.312
1971, 12, 4.019, 5.034, -0.04172, -0.4739, 4.226, 3.679
1972, 1, 7.366, 6.3, -2.094, -0.7588, 5.533, 5.012
1972, 2, 3.629, 8.553, 3.253, 1.826, 4.575, 4.171
1972, 3, 8.221, 11.89, 8.247, 6.206, 4.191, 3.832
1972, 4, 38.16, 47.64, 10.53, 8.626, 3.408, 3.24
1972, 5, 38.95, 16.65, 15.11, 12.35, 3.238, 2.574
1972, 6, 73.44, 79.01, 21.92, 18.95, 1.834, 1.638
1972, 7, 45.83, 50.79, 22.83, 20.22, 2.395, 1.924
1972, 8, 69.07, 59.39, 22.85, 19.41, 2.434, 1.931
1972, 9, 34.73, 48.29, 17.84, 15.48, 2.857, 2.705
1972, 10, 16.4, 18.36, 11.46, 10.04, 2.832, 2.647
1972, 11, 40.01, 63.18, -0.8378, -1.698, 3.756, 3.376
