# Created by WEAP: 12/14/2020 6:11:57 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CA_PGE_CEN_Bear River (10,662 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (3,617 ha),  2000 - 3000 m (7,045 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m

1970, 1, 487, 548.4, 1.745, -0.5633, 3.013, 3.009
1970, 2, 139.5, 157.7, 4.83, 2.191, 1.892, 1.896
1970, 3, 87.65, 89.87, 5.029, 2.182, 2.053, 2.068
1970, 4, 104.5, 115.7, 4.428, 1.591, 2.348, 2.351
1970, 5, 1.566, 2.138, 12.49, 9.739, 2.365, 2.385
1970, 6, 92.06, 108.2, 15.08, 12.6, 2.24, 2.219
1970, 7, 0.1087, 0.6191, 20.63, 17.92, 2.201, 2.199
1970, 8, 0, 0, 20.17, 17.73, 1.951, 1.957
1970, 9, 0.3221, 1.116, 16.38, 13.55, 1.922, 1.935
1970, 10, 42.23, 47.09, 11.15, 8.397, 1.813, 1.843
1970, 11, 350.6, 417.9, 6.023, 3.672, 2.501, 2.523
1970, 12, 336.6, 434.3, -0.9598, -3.276, 2.859, 2.889
1971, 1, 98.04, 120.9, 1.942, -0.2247, 2.566, 2.573
1971, 2, 50.08, 54.88, 3.995, 1.037, 2.063, 2.076
1971, 3, 174.8, 192.8, 3.989, 1.217, 2.054, 2.085
1971, 4, 57.55, 67.86, 5.821, 3.248, 2.346, 2.37
1971, 5, 75.68, 87.71, 7.944, 5.556, 2.383, 2.377
1971, 6, 52.83, 54.81, 13.55, 11.14, 2.51, 2.496
1971, 7, 2.566, 9.911, 19.38, 16.74, 2.517, 2.492
1971, 8, 2.547, 9.935, 20.02, 17.52, 2.166, 2.152
1971, 9, 28.08, 33.07, 16.43, 13.38, 1.928, 1.951
1971, 10, 23.31, 28.02, 9.439, 6.842, 1.814, 1.824
1971, 11, 207.9, 252, 4.834, 2.424, 2.135, 2.162
1971, 12, 319.6, 372.9, -2.213, -4.362, 2.862, 2.883
1972, 1, 67.7, 82.83, 1.143, -1.312, 2.674, 2.69
1972, 2, 106.7, 113.2, 3.945, 1.363, 1.964, 1.979
1972, 3, 46.94, 54.16, 8.088, 5.276, 1.574, 1.59
1972, 4, 133, 148.9, 6.528, 3.861, 2.462, 2.487
1972, 5, 15.24, 15.43, 12.27, 9.495, 1.955, 1.954
1972, 6, 16.89, 23.42, 16.1, 13.58, 2.166, 2.159
