# Created by WEAP: 5/10/2021 8:08:51 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_N_CEN_Interior Coulee (1,197,238 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,197,238 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m

2006, 1, -2.046, 23.52
2006, 2, 1.18, 16.03
2006, 3, 8.776, 8.474
2006, 4, 11.1, 21.77
2006, 5, 16.62, 10.84
2006, 6, 18.71, 3.822
2006, 7, 23.41, 0.297
2006, 8, 24.82, 4.496
2006, 9, 16.96, 1.579
2006, 10, 11.63, 6.891
2006, 11, 6.511, 31.25
2006, 12, -5.063, 28.27
2007, 1, 0.8229, 66.73
2007, 2, -0.1643, 30.01
2007, 3, 5.108, 25.61
2007, 4, 14.02, 4.672
2007, 5, 18.16, 24.02
2007, 6, 18.08, 6.193
2007, 7, 24.37, 0.6835
2007, 8, 22.48, 29.29
2007, 9, 17.14, 16.86
2007, 10, 11.22, 13.24
2007, 11, 1.689, 28.75
2007, 12, -4.576, 16.73
2008, 1, -2.932, 38.96
2008, 2, 0.07225, 55.43
2008, 3, 3.365, 23.48
2008, 4, 6.717, 24.94
2008, 5, 17.15, 6.53
2008, 6, 19.98, 1.904
2008, 7, 23.83, 10.03
2008, 8, 20.97, 6.461
2008, 9, 20.52, 0.4805
2008, 10, 12.53, 34.11
2008, 11, 4.916, 16.39
2008, 12, -1.393, 40.33
2009, 1, -1.472, 13.37
2009, 2, 4.992, 25.82
2009, 3, 10.97, 26.3
2009, 4, 11.46, 13.79
2009, 5, 15.72, 13.39
2009, 6, 21.74, 11.17
2009, 7, 24.65, 34.5
2009, 8, 25.05, 5.47
2009, 9, 17.01, 26.12
2009, 10, 10.31, 9.483
2009, 11, 1.302, 26.61
2009, 12, -1.061, 39.6
2010, 1, -1.3, 60.09
2010, 2, 5.713, 53.22
2010, 3, 7.179, 33.7
2010, 4, 9.564, 8.038
2010, 5, 14.35, 15.13
2010, 6, 18.48, 20.93
2010, 7, 24.37, 0.6588
2010, 8, 20.86, 29.62
2010, 9, 17.3, 4.747
2010, 10, 10.51, 5.516
2010, 11, 3.904, 28.4
2010, 12, -0.9085, 53.92
2011, 1, -1.082, 19.97
2011, 2, 0.9616, 19.72
2011, 3, 7.481, 9.465
2011, 4, 13.44, 8.614
2011, 5, 17.19, 2.45
2011, 6, 19.95, 19.51
2011, 7, 24.78, 7.516
2011, 8, 25.32, 7.082
2011, 9, 17.21, 22.68
2011, 10, 10.82, 3.089
2011, 11, 3.682, 23.3
2011, 12, 0.121, 16.42
2012, 1, 2.122, 23.69
2012, 2, 4.048, 19.32
2012, 3, 11.78, 12.4
2012, 4, 14.84, 8.173
2012, 5, 15.88, 16.14
2012, 6, 22.06, 5.461
2012, 7, 24.76, 13.17
2012, 8, 24.66, 1.892
2012, 9, 20.4, 4.951
2012, 10, 13.06, 10.25
2012, 11, 3.318, 41.72
2012, 12, -0.6458, 43.51
2013, 1, -8.406, 15.47
2013, 2, 5.11, 54.73
2013, 3, 13.42, 15.59
2013, 4, 14.45, 14.53
2013, 5, 17.94, 40.31
2013, 6, 19.53, 16.28
2013, 7, 24.55, 0.2895
2013, 8, 21.58, 20.47
2013, 9, 19.78, 13.75
2013, 10, 12.77, 25.83
2013, 11, 4.357, 11.34
2013, 12, 2.163, 43.06
2014, 1, 1.542, 47.78
2014, 2, 4.431, 19.73
2014, 3, 7.031, 27.14
2014, 4, 12.35, 31.13
2014, 5, 12.85, 23.18
2014, 6, 18.31, 59.55
2014, 7, 24.96, 9.184
2014, 8, 25.32, 0.98
2014, 9, 23.07, 9.363
2014, 10, 15.55, 6.863
2014, 11, 6.448, 17.34
2014, 12, -3.008, 34.35
2015, 1, 1.894, 35.93
2015, 2, 4.864, 10.14
2015, 3, 11.04, 27.96
2015, 4, 11.85, 17.1
2015, 5, 14.93, 27.73
2015, 6, 19.3, 21.05
2015, 7, 25.37, 0.6632
2015, 8, 26.28, 5.655
2015, 9, 20.01, 3.973
2015, 10, 14.96, 36.92
2015, 11, 6.598, 28.27
2015, 12, 3.313, 46.44
2016, 1, 4.326, 43.38
2016, 2, 0.2383, 17.48
2016, 3, 9.656, 16.18
2016, 4, 13.01, 21.66
2016, 5, 16.68, 13.13
2016, 6, 21.51, 23.58
2016, 7, 27.7, 15.66
2016, 8, 23.42, 0.4287
2016, 9, 19.97, 1.132
2016, 10, 11.37, 5.015
2016, 11, 5.647, 23.66
2016, 12, 4.514, 26.12
2017, 1, -3.915, 16.36
2017, 2, -0.5792, 29.47
2017, 3, 5.119, 19.42
2017, 4, 11.62, 32.26
2017, 5, 17.17, 11.32
2017, 6, 20.51, 20.76
2017, 7, 24.36, 4.827
2017, 8, 21.9, 15.65
2017, 9, 20.55, 4.586
2017, 10, 12.35, 9.201
2017, 11, 2.781, 30.75
2017, 12, -1.101, 53.84
2018, 1, 1.245, 70.83
2018, 2, -2.247, 32.06
2018, 3, 6.617, 47.02
2018, 4, 10.89, 18.98
2018, 5, 14.26, 40.45
2018, 6, 18.33, 19.07
2018, 7, 23.54, 1.481
2018, 8, 24.75, 0.5469
2018, 9, 20.23, 4.215
2018, 10, 11.79, 13.14
