# Created by WEAP: 5/10/2021 8:07:17 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Upr Nisqually (76,281 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (47,338 ha),  1000 - 2000 m (25,455 ha),  2000 - 3000 m (2,311 ha),  3000 - 4000 m (912 ha),  4000 - 5000 m (265 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m
2009, 11, 2.806, 0.6372, -9.27, -10.91, -11.48, 307.4, 368.5, 487.2, 480.7, 477.5
2009, 12, 2.145, 0.03367, -9.447, -11.07, -11.66, 344.1, 414, 580.2, 576.1, 575.3
2010, 1, 1.469, -0.8391, -10.84, -12.5, -13.04, 409.8, 448.9, 614.9, 610.1, 607.4
2010, 2, 4.895, 2.295, -7.784, -9.439, -10.01, 377.7, 437, 615.2, 613, 605.3
2010, 3, 5.097, 2.437, -8.159, -9.838, -10.37, 194.2, 229.3, 325, 323.6, 319.5
2010, 4, 6.098, 3.548, -6.898, -8.572, -9.108, 179.5, 222.9, 327.9, 326.9, 322.2
2010, 5, 10.03, 7.504, -2.957, -4.623, -5.164, 141.4, 168.9, 222.1, 219.1, 215
2010, 6, 13.78, 11.53, 1.017, -0.6568, -1.194, 92.84, 99.92, 101.1, 98.27, 96.59
2010, 7, 20.15, 18.31, 8.423, 6.775, 6.213, 17.29, 21.92, 21.4, 20.87, 20.51
2010, 8, 15.67, 13.52, 3.129, 1.46, 0.9261, 161, 200.3, 256.1, 249.6, 245.7
2010, 9, 13.23, 11.34, 1.154, -0.5019, -1.051, 111.2, 131.9, 164.5, 162, 157.8
2010, 10, 9.056, 7.217, -2.73, -4.378, -4.933, 78.46, 101.9, 136.3, 132.8, 131.6
2010, 11, 4.362, 2.296, -7.547, -9.187, -9.761, 246.2, 307.3, 434.6, 430.7, 429
2010, 12, 0.9941, -1.254, -10.98, -12.63, -13.19, 402.1, 487.8, 696, 691.9, 691.6
2011, 1, 1.084, -1.248, -11.15, -12.81, -13.36, 215.7, 267.8, 393.7, 390.4, 389.6
2011, 2, 1.333, -1.325, -11.61, -13.28, -13.83, 211.9, 247.6, 369, 368.1, 362.3
2011, 3, 5.171, 2.715, -7.67, -9.337, -9.896, 125.2, 153, 231, 230, 227.3
2011, 4, 9.135, 6.97, -3.248, -4.912, -5.455, 96.96, 110.9, 158.9, 158.1, 155.5
2011, 5, 12.8, 10.72, 0.4958, -1.16, -1.711, 35.67, 37.39, 41.23, 40.57, 39.85
2011, 6, 13.79, 11.68, 1.309, -0.3715, -0.9019, 74.19, 80.81, 99.94, 98.37, 96.66
2011, 7, 17.14, 15.41, 5.507, 3.869, 3.306, 46.65, 52.89, 59.29, 57.82, 56.76
2011, 8, 20.26, 18.66, 8.663, 7.006, 6.462, 20.81, 26.01, 32.32, 31.51, 31.14
2011, 9, 12.89, 10.64, 0.2168, -1.451, -1.996, 158.2, 199.4, 237.7, 232.6, 230.3
2011, 10, 7.879, 5.996, -3.976, -5.624, -6.185, 74.64, 93.74, 120.8, 118.6, 117.1
2011, 11, 4.723, 2.532, -7.446, -9.107, -9.665, 188, 250.9, 358, 353.2, 353.5
2011, 12, 3.57, 1.653, -7.402, -9.004, -9.605, 160, 197.3, 268.7, 267, 265.2
2012, 1, 4.805, 2.15, -7.909, -9.57, -10.14, 246.8, 334, 512.2, 510.2, 506.3
2012, 2, 5.532, 3.211, -6.586, -8.235, -8.791, 210.3, 264.3, 375.7, 373.5, 369.9
2012, 3, 11.03, 8.853, -1.143, -2.814, -3.369, 74.82, 99.1, 142.8, 142.5, 141.1
2012, 4, 10.56, 8.496, -1.54, -3.203, -3.752, 79.96, 86.1, 105.7, 105, 103.5
2012, 5, 10.71, 8.46, -1.847, -3.511, -4.058, 88.5, 91.25, 102.4, 100.3, 98.68
2012, 6, 16.66, 14.55, 4.125, 2.467, 1.927, 20.08, 22.55, 29.71, 29.32, 28.73
2012, 7, 17.6, 15.76, 5.763, 4.108, 3.561, 38.52, 39.11, 37.93, 36.91, 36.72
2012, 8, 17.41, 15.9, 6.344, 4.728, 4.165, 31.16, 32.89, 34.33, 33.32, 32.8
2012, 9, 16.13, 14.38, 4.544, 2.893, 2.35, 51.76, 61.18, 74.5, 73.21, 72.36
2012, 10, 11.25, 9.68, -0.04408, -1.688, -2.247, 98.92, 117.7, 147, 144, 142.2
2012, 11, 3.093, 0.7722, -9.334, -11, -11.55, 236.2, 285, 414.9, 412.2, 410.6
2012, 12, 1.34, -0.9732, -10.78, -12.43, -13, 269, 322.8, 459.7, 457.2, 454.4
2013, 1, -4.936, -7.724, -18.25, -19.93, -20.46, 168.6, 181.3, 240, 238.2, 237.4
2013, 2, 5.997, 3.776, -6.263, -7.913, -8.472, 392, 432.4, 563.9, 559.2, 554.5
2013, 3, 12.4, 10.05, 0.04752, -1.603, -2.153, 84.96, 106.7, 152.4, 152, 150.4
2013, 4, 11.02, 8.715, -1.635, -3.306, -3.848, 110.4, 110.8, 136.3, 135.1, 133.6
2013, 5, 13.59, 11.24, 0.8122, -0.8623, -1.395, 94.2, 101.9, 129.9, 128.1, 124.5
2013, 6, 14.46, 12.05, 1.321, -0.3704, -0.8851, 97.4, 106, 114.1, 110.9, 109.6
2013, 7, 19.15, 17.26, 7.062, 5.402, 4.848, 4.691, 7.078, 9.156, 8.911, 8.775
