"Year","Month","date","Pumped_storage_generation_GWh","EIA_Plant_ID","latlon"
2003,1,2003-01-01,-13.593,6208,"39.094197,-106.352331"
2003,2,2003-02-01,-10.735,6208,"39.094197,-106.352331"
2003,3,2003-03-01,-11.574,6208,"39.094197,-106.352331"
2003,4,2003-04-01,-8.975,6208,"39.094197,-106.352331"
2003,5,2003-05-01,-2.573,6208,"39.094197,-106.352331"
2003,6,2003-06-01,0.73,6208,"39.094197,-106.352331"
2003,7,2003-07-01,-9.26,6208,"39.094197,-106.352331"
2003,8,2003-08-01,-14.091,6208,"39.094197,-106.352331"
2003,9,2003-09-01,-12.399,6208,"39.094197,-106.352331"
2003,10,2003-10-01,-10.693,6208,"39.094197,-106.352331"
2003,11,2003-11-01,-6.759,6208,"39.094197,-106.352331"
2003,12,2003-12-01,-11.009,6208,"39.094197,-106.352331"
2004,1,2004-01-01,-13.567,6208,"39.094197,-106.352331"
2004,2,2004-02-01,-8.887,6208,"39.094197,-106.352331"
2004,3,2004-03-01,-12.896,6208,"39.094197,-106.352331"
2004,4,2004-04-01,-12.543,6208,"39.094197,-106.352331"
2004,5,2004-05-01,-9.78,6208,"39.094197,-106.352331"
2004,6,2004-06-01,-7.493,6208,"39.094197,-106.352331"
2004,7,2004-07-01,-5.941,6208,"39.094197,-106.352331"
2004,8,2004-08-01,-3.654,6208,"39.094197,-106.352331"
2004,9,2004-09-01,-5.941,6208,"39.094197,-106.352331"
2004,10,2004-10-01,-8.352,6208,"39.094197,-106.352331"
2004,11,2004-11-01,-9.132,6208,"39.094197,-106.352331"
2004,12,2004-12-01,-11.071,6208,"39.094197,-106.352331"
2005,1,2005-01-01,-12.213,6208,"39.094197,-106.352331"
2005,2,2005-02-01,-9.2,6208,"39.094197,-106.352331"
2005,3,2005-03-01,-9.521,6208,"39.094197,-106.352331"
2005,4,2005-04-01,-3.328,6208,"39.094197,-106.352331"
2005,5,2005-05-01,-1.833,6208,"39.094197,-106.352331"
2005,6,2005-06-01,-8.836,6208,"39.094197,-106.352331"
2005,7,2005-07-01,-13.64,6208,"39.094197,-106.352331"
2005,8,2005-08-01,-14.622,6208,"39.094197,-106.352331"
2005,9,2005-09-01,-5.684,6208,"39.094197,-106.352331"
2005,10,2005-10-01,-9.818,6208,"39.094197,-106.352331"
2005,11,2005-11-01,-2.318,6208,"39.094197,-106.352331"
2005,12,2005-12-01,-3.103,6208,"39.094197,-106.352331"
2006,1,2006-01-01,-3.228,6208,"39.094197,-106.352331"
2006,2,2006-02-01,-2.147,6208,"39.094197,-106.352331"
2006,3,2006-03-01,-4.487,6208,"39.094197,-106.352331"
2006,4,2006-04-01,-6.656,6208,"39.094197,-106.352331"
2006,5,2006-05-01,-5.441,6208,"39.094197,-106.352331"
2006,6,2006-06-01,-7.653,6208,"39.094197,-106.352331"
2006,7,2006-07-01,-12.492,6208,"39.094197,-106.352331"
2006,8,2006-08-01,-13.025,6208,"39.094197,-106.352331"
2006,9,2006-09-01,-14.305,6208,"39.094197,-106.352331"
2006,10,2006-10-01,-7.442,6208,"39.094197,-106.352331"
2006,11,2006-11-01,-7.473,6208,"39.094197,-106.352331"
2006,12,2006-12-01,-7.444,6208,"39.094197,-106.352331"
2007,1,2007-01-01,-6.582,6208,"39.094197,-106.352331"
2007,2,2007-02-01,-2.076,6208,"39.094197,-106.352331"
2007,3,2007-03-01,-2.799,6208,"39.094197,-106.352331"
2007,4,2007-04-01,-8.567,6208,"39.094197,-106.352331"
2007,5,2007-05-01,-5.231,6208,"39.094197,-106.352331"
2007,6,2007-06-01,-10.472,6208,"39.094197,-106.352331"
2007,7,2007-07-01,-12.236,6208,"39.094197,-106.352331"
2007,8,2007-08-01,-12.182,6208,"39.094197,-106.352331"
2007,9,2007-09-01,-15.87,6208,"39.094197,-106.352331"
2007,10,2007-10-01,-5.489,6208,"39.094197,-106.352331"
2007,11,2007-11-01,-1.819,6208,"39.094197,-106.352331"
2007,12,2007-12-01,-7.267,6208,"39.094197,-106.352331"
2008,1,2008-01-01,-10.815,6208,"39.094197,-106.352331"
2008,2,2008-02-01,7.631,6208,"39.094197,-106.352331"
2008,3,2008-03-01,-1.655,6208,"39.094197,-106.352331"
2008,4,2008-04-01,-1.924,6208,"39.094197,-106.352331"
2008,5,2008-05-01,-35.463,6208,"39.094197,-106.352331"
2008,6,2008-06-01,-8.947,6208,"39.094197,-106.352331"
2008,7,2008-07-01,-7.034,6208,"39.094197,-106.352331"
2008,8,2008-08-01,-15.009,6208,"39.094197,-106.352331"
2008,9,2008-09-01,-15.662,6208,"39.094197,-106.352331"
2008,10,2008-10-01,-9.875,6208,"39.094197,-106.352331"
