"Year","Month","date","Generation_GWh","EIA_Plant_ID","latlon"
2011,5,2011-05-01,11.210374,222,"40.085476,-121.148241"
2011,6,2011-06-01,10.905085,222,"40.085476,-121.148241"
2011,7,2011-07-01,10.947949,222,"40.085476,-121.148241"
2011,8,2011-08-01,8.862771,222,"40.085476,-121.148241"
2011,9,2011-09-01,7.112169,222,"40.085476,-121.148241"
2011,10,2011-10-01,5.003474,222,"40.085476,-121.148241"
2011,11,2011-11-01,4.359427,222,"40.085476,-121.148241"
2011,12,2011-12-01,3.903359,222,"40.085476,-121.148241"
2012,1,2012-01-01,4.271148,222,"40.085476,-121.148241"
2012,2,2012-02-01,3.545635,222,"40.085476,-121.148241"
2012,3,2012-03-01,4.776769,222,"40.085476,-121.148241"
2012,4,2012-04-01,7.366855,222,"40.085476,-121.148241"
2012,5,2012-05-01,11.085288,222,"40.085476,-121.148241"
2012,6,2012-06-01,9.746875,222,"40.085476,-121.148241"
2012,7,2012-07-01,10.485239,222,"40.085476,-121.148241"
2012,8,2012-08-01,9.506204,222,"40.085476,-121.148241"
2012,9,2012-09-01,7.789243,222,"40.085476,-121.148241"
2012,10,2012-10-01,6.040893,222,"40.085476,-121.148241"
2012,11,2012-11-01,4.861664,222,"40.085476,-121.148241"
2012,12,2012-12-01,6.281187,222,"40.085476,-121.148241"
2013,1,2013-01-01,10.200239,222,"40.085476,-121.148241"
2013,2,2013-02-01,9.049678,222,"40.085476,-121.148241"
2013,3,2013-03-01,10.754141,222,"40.085476,-121.148241"
2013,4,2013-04-01,13.557428,222,"40.085476,-121.148241"
2013,5,2013-05-01,16.291148,222,"40.085476,-121.148241"
2013,6,2013-06-01,17.202491,222,"40.085476,-121.148241"
2013,7,2013-07-01,19.215367,222,"40.085476,-121.148241"
2013,8,2013-08-01,15.808467,222,"40.085476,-121.148241"
2013,9,2013-09-01,10.635155,222,"40.085476,-121.148241"
2013,10,2013-10-01,8.497396,222,"40.085476,-121.148241"
2013,11,2013-11-01,6.236752,222,"40.085476,-121.148241"
2013,12,2013-12-01,5.572738,222,"40.085476,-121.148241"
2014,1,2014-01-01,3.548857,222,"40.085476,-121.148241"
2014,2,2014-02-01,3.173839,222,"40.085476,-121.148241"
2014,3,2014-03-01,4.155247,222,"40.085476,-121.148241"
2014,4,2014-04-01,6.185819,222,"40.085476,-121.148241"
2014,5,2014-05-01,9.016801,222,"40.085476,-121.148241"
2014,6,2014-06-01,9.651482,222,"40.085476,-121.148241"
2014,7,2014-07-01,10.083175,222,"40.085476,-121.148241"
2014,8,2014-08-01,8.25131,222,"40.085476,-121.148241"
2014,9,2014-09-01,5.440272,222,"40.085476,-121.148241"
2014,10,2014-10-01,4.376129,222,"40.085476,-121.148241"
2014,11,2014-11-01,3.61817,222,"40.085476,-121.148241"
2014,12,2014-12-01,4.280899,222,"40.085476,-121.148241"
2015,1,2015-01-01,5.089977,222,"40.085476,-121.148241"
2015,2,2015-02-01,5.33431,222,"40.085476,-121.148241"
2015,3,2015-03-01,5.360379,222,"40.085476,-121.148241"
2015,4,2015-04-01,5.853606,222,"40.085476,-121.148241"
2015,5,2015-05-01,7.472689,222,"40.085476,-121.148241"
2015,6,2015-06-01,9.183247,222,"40.085476,-121.148241"
2015,7,2015-07-01,11.334298,222,"40.085476,-121.148241"
2015,8,2015-08-01,10.034075,222,"40.085476,-121.148241"
2015,9,2015-09-01,8.167361,222,"40.085476,-121.148241"
2015,10,2015-10-01,5.388071,222,"40.085476,-121.148241"
2015,11,2015-11-01,3.823511,222,"40.085476,-121.148241"
2015,12,2015-12-01,5.140476,222,"40.085476,-121.148241"
2016,1,2016-01-01,3.192234,222,"40.085476,-121.148241"
2016,2,2016-02-01,4.535816,222,"40.085476,-121.148241"
2016,3,2016-03-01,8.178805,222,"40.085476,-121.148241"
2016,4,2016-04-01,8.146908,222,"40.085476,-121.148241"
2016,5,2016-05-01,9.446142,222,"40.085476,-121.148241"
2016,6,2016-06-01,9.791644,222,"40.085476,-121.148241"
2016,7,2016-07-01,10.175587,222,"40.085476,-121.148241"
2016,8,2016-08-01,8.465146,222,"40.085476,-121.148241"
2016,9,2016-09-01,6.783262,222,"40.085476,-121.148241"
2016,10,2016-10-01,5.073306,222,"40.085476,-121.148241"
2016,11,2016-11-01,4.915352,222,"40.085476,-121.148241"
2016,12,2016-12-01,6.782798,222,"40.085476,-121.148241"
2017,1,2017-01-01,28.352608,222,"40.085476,-121.148241"
2017,2,2017-02-01,26.523594,222,"40.085476,-121.148241"
2017,3,2017-03-01,33.994521,222,"40.085476,-121.148241"
2017,4,2017-04-01,33.712236,222,"40.085476,-121.148241"
2017,5,2017-05-01,38.575969,222,"40.085476,-121.148241"
2017,6,2017-06-01,33.527535,222,"40.085476,-121.148241"
2017,7,2017-07-01,32.611106,222,"40.085476,-121.148241"
2017,8,2017-08-01,29.189247,222,"40.085476,-121.148241"
2017,9,2017-09-01,22.769182,222,"40.085476,-121.148241"
2017,10,2017-10-01,16.048506,222,"40.085476,-121.148241"
2017,11,2017-11-01,14.761292,222,"40.085476,-121.148241"
2017,12,2017-12-01,15.156204,222,"40.085476,-121.148241"
2018,1,2018-01-01,7.124016,222,"40.085476,-121.148241"
2018,2,2018-02-01,5.359871,222,"40.085476,-121.148241"
2018,3,2018-03-01,8.248249,222,"40.085476,-121.148241"
2018,4,2018-04-01,14.210182,222,"40.085476,-121.148241"
2018,5,2018-05-01,13.199742,222,"40.085476,-121.148241"
2018,6,2018-06-01,12.297333,222,"40.085476,-121.148241"
2018,7,2018-07-01,13.521615,222,"40.085476,-121.148241"
2018,8,2018-08-01,12.271264,222,"40.085476,-121.148241"
2018,9,2018-09-01,9.958944,222,"40.085476,-121.148241"
2018,10,2018-10-01,6.621924,222,"40.085476,-121.148241"
2018,11,2018-11-01,5.27697,222,"40.085476,-121.148241"
2018,12,2018-12-01,6.27889,222,"40.085476,-121.148241"
