"Year","Month","date","Pumped_storage_generation_GWh","EIA_Plant_ID","latlon"
2012,9,2012-09-01,-3.758,57729,"33.058611,-117.119444"
2012,10,2012-10-01,-2.12,57729,"33.058611,-117.119444"
2012,11,2012-11-01,-0.421,57729,"33.058611,-117.119444"
2012,12,2012-12-01,-0.237,57729,"33.058611,-117.119444"
2013,1,2013-01-01,-1.021,57729,"33.058611,-117.119444"
2013,2,2013-02-01,-0.885,57729,"33.058611,-117.119444"
2013,3,2013-03-01,-0.268,57729,"33.058611,-117.119444"
2013,4,2013-04-01,-0.068,57729,"33.058611,-117.119444"
2013,5,2013-05-01,-0.074,57729,"33.058611,-117.119444"
2013,6,2013-06-01,-0.49,57729,"33.058611,-117.119444"
2013,7,2013-07-01,-1.155,57729,"33.058611,-117.119444"
2013,8,2013-08-01,-0.053,57729,"33.058611,-117.119444"
2013,9,2013-09-01,-1.31,57729,"33.058611,-117.119444"
2013,10,2013-10-01,-0.806,57729,"33.058611,-117.119444"
2013,11,2013-11-01,-0.222,57729,"33.058611,-117.119444"
2013,12,2013-12-01,-1.039,57729,"33.058611,-117.119444"
2014,1,2014-01-01,-0.407,57729,"33.058611,-117.119444"
2014,2,2014-02-01,0.131,57729,"33.058611,-117.119444"
2014,3,2014-03-01,-0.313,57729,"33.058611,-117.119444"
2014,4,2014-04-01,-1.033,57729,"33.058611,-117.119444"
2014,5,2014-05-01,0.346,57729,"33.058611,-117.119444"
2014,6,2014-06-01,-1.257,57729,"33.058611,-117.119444"
2014,7,2014-07-01,-0.944,57729,"33.058611,-117.119444"
2014,8,2014-08-01,-1.41,57729,"33.058611,-117.119444"
2014,9,2014-09-01,-1.33,57729,"33.058611,-117.119444"
2014,10,2014-10-01,-1.189,57729,"33.058611,-117.119444"
2014,11,2014-11-01,-0.801,57729,"33.058611,-117.119444"
2014,12,2014-12-01,-0.867,57729,"33.058611,-117.119444"
2015,1,2015-01-01,-1.189,57729,"33.058611,-117.119444"
2015,2,2015-02-01,-0.847,57729,"33.058611,-117.119444"
2015,3,2015-03-01,-0.483,57729,"33.058611,-117.119444"
2015,4,2015-04-01,-0.772,57729,"33.058611,-117.119444"
2015,5,2015-05-01,-1.623,57729,"33.058611,-117.119444"
2015,6,2015-06-01,-1.209,57729,"33.058611,-117.119444"
2015,7,2015-07-01,-1.324,57729,"33.058611,-117.119444"
2015,8,2015-08-01,-1.493,57729,"33.058611,-117.119444"
