#Year,Month,date,Generation_GWh,EIA_Plant_ID
2007,1,1/1/2007,37.086552,56695
2007,2,2/1/2007,26.204132,56695
2007,3,3/1/2007,38.87592,56695
2007,4,4/1/2007,40.106122,56695
2007,5,5/1/2007,43.4048,56695
2007,6,6/1/2007,36.987535,56695
2007,7,7/1/2007,35.060205,56695
2007,8,8/1/2007,28.852231,56695
2007,9,9/1/2007,18.56992,56695
2007,10,10/1/2007,21.701785,56695
2007,11,11/1/2007,24.303922,56695
2007,12,12/1/2007,29.329876,56695
2008,1,1/1/2008,32.684293,56695
2008,2,2/1/2008,26.718223,56695
2008,3,3/1/2008,28.476498,56695
2008,4,4/1/2008,27.330738,56695
2008,5,5/1/2008,45.033881,56695
2008,6,6/1/2008,55.177269,56695
2008,7,7/1/2008,41.552748,56695
2008,8,8/1/2008,26.668399,56695
2008,9,9/1/2008,20.814453,56695
2008,10,10/1/2008,22.586039,56695
2008,11,11/1/2008,25.097543,56695
2008,12,12/1/2008,31.239916,56695
2009,1,1/1/2009,38.610189,56695
2009,2,2/1/2009,26.232954,56695
2009,3,3/1/2009,27.724597,56695
2009,4,4/1/2009,37.950314,56695
2009,5,5/1/2009,44.779027,56695
2009,6,6/1/2009,49.667396,56695
2009,7,7/1/2009,33.784002,56695
2009,8,8/1/2009,23.852401,56695
2009,9,9/1/2009,19.142038,56695
2009,10,10/1/2009,22.684867,56695
2009,11,11/1/2009,27.474774,56695
2009,12,12/1/2009,32.428441,56695
2010,1,1/1/2010,28.199281,56695
2010,2,2/1/2010,24.693557,56695
2010,3,3/1/2010,24.965817,56695
2010,4,4/1/2010,24.160876,56695
2010,5,5/1/2010,37.421814,56695
2010,6,6/1/2010,49.799271,56695
2010,7,7/1/2010,37.812896,56695
2010,8,8/1/2010,26.176914,56695
2010,9,9/1/2010,20.111031,56695
2010,10,10/1/2010,25.345841,56695
2010,11,11/1/2010,29.342078,56695
2010,12,12/1/2010,31.554624,56695
2011,1,1/1/2011,31.395014,56695
2011,2,2/1/2011,31.425592,56695
2011,3,3/1/2011,33.393147,56695
2011,4,4/1/2011,34.519818,56695
2011,5,5/1/2011,36.652591,56695
2011,6,6/1/2011,37.402471,56695
2011,7,7/1/2011,38.694294,56695
2011,8,8/1/2011,30.654646,56695
2011,9,9/1/2011,19.609768,56695
2011,10,10/1/2011,20.771987,56695
2011,11,11/1/2011,22.584293,56695
2011,12,12/1/2011,24.500379,56695
2012,1,1/1/2012,26.74776,56695
2012,2,2/1/2012,23.354971,56695
2012,3,3/1/2012,33.279881,56695
2012,4,4/1/2012,37.346466,56695
2012,5,5/1/2012,41.624019,56695
2012,6,6/1/2012,40.25367,56695
2012,7,7/1/2012,40.771181,56695
2012,8,8/1/2012,34.483118,56695
2012,9,9/1/2012,20.635049,56695
2012,10,10/1/2012,18.46469,56695
2012,11,11/1/2012,24.337729,56695
2012,12,12/1/2012,33.993466,56695
2013,1,1/1/2013,37.914909,56695
2013,2,2/1/2013,26.078149,56695
2013,3,3/1/2013,24.55279,56695
2013,4,4/1/2013,37.466439,56695
2013,5,5/1/2013,42.92799,56695
2013,6,6/1/2013,41.183926,56695
2013,7,7/1/2013,37.743166,56695
2013,8,8/1/2013,29.101638,56695
2013,9,9/1/2013,20.204551,56695
2013,10,10/1/2013,23.705601,56695
2013,11,11/1/2013,25.384025,56695
2013,12,12/1/2013,28.493816,56695
2014,1,1/1/2014,30.328494,56695
2014,2,2/1/2014,22.857036,56695
2014,3,3/1/2014,39.420642,56695
2014,4,4/1/2014,39.575092,56695
2014,5,5/1/2014,46.407239,56695
2014,6,6/1/2014,46.500575,56695
2014,7,7/1/2014,42.363407,56695
2014,8,8/1/2014,30.899511,56695
2014,9,9/1/2014,19.998847,56695
2014,10,10/1/2014,22.83316,56695
2014,11,11/1/2014,28.628204,56695
2014,12,12/1/2014,36.520793,56695
2015,1,1/1/2015,44.103479,56695
2015,2,2/1/2015,44.073179,56695
2015,3,3/1/2015,43.222989,56695
2015,4,4/1/2015,33.689805,56695
2015,5,5/1/2015,33.663573,56695
2015,6,6/1/2015,30.799632,56695
2015,7,7/1/2015,29.179883,56695
2015,8,8/1/2015,30.819352,56695
2015,9,9/1/2015,22.962433,56695
2015,10,10/1/2015,23.953355,56695
2015,11,11/1/2015,29.103551,56695
2015,12,12/1/2015,31.905769,56695
2016,1,1/1/2016,30.758889,56695
2016,2,2/1/2016,30.875159,56695
2016,3,3/1/2016,37.891307,56695
2016,4,4/1/2016,39.342146,56695
2016,5,5/1/2016,38.405827,56695
2016,6,6/1/2016,35.19437,56695
2016,7,7/1/2016,29.632698,56695
2016,8,8/1/2016,25.851094,56695
2016,9,9/1/2016,20.03847,56695
2016,10,10/1/2016,25.167941,56695
2016,11,11/1/2016,30.636281,56695
2016,12,12/1/2016,36.255818,56695
2017,1,1/1/2017,31.500498,56695
2017,2,2/1/2017,27.22196,56695
2017,3,3/1/2017,35.679155,56695
2017,4,4/1/2017,35.40388,56695
2017,5,5/1/2017,37.966338,56695
2017,6,6/1/2017,38.002341,56695
2017,7,7/1/2017,29.059448,56695
2017,8,8/1/2017,21.516725,56695
2017,9,9/1/2017,19.189941,56695
2017,10,10/1/2017,17.262976,56695
2017,11,11/1/2017,20.379684,56695
2017,12,12/1/2017,27.013054,56695
2018,1,1/1/2018,35.577862,56695
2018,2,2/1/2018,36.704212,56695
2018,3,3/1/2018,33.522669,56695
2018,4,4/1/2018,34.41987,56695
2018,5,5/1/2018,42.18127,56695
2018,6,6/1/2018,38.410191,56695
2018,7,7/1/2018,30.413385,56695
2018,8,8/1/2018,24.11182,56695
2018,9,9/1/2018,18.035185,56695
2018,10,10/1/2018,19.218979,56695
2018,11,11/1/2018,24.228652,56695
2018,12,12/1/2018,24.021905,56695
