# Created by WEAP: 3/19/2020 3:28:52 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Upper North Platte (2,741,356 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (348,952 ha),  2000 - 3000 m (2,278,289 ha),  3000 - 4000 m (114,116 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, T_mean[C]:Elevation 3000 to 4000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 3000 to 4000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 3000 to 4000 m

1948, 1, -5.739, -7.048, -9.815, 32.17, 30.92, 37.81, 4.394, 4.23, 4.021
1948, 2, -6.613, -7.553, -10.19, 13.52, 24, 36.12, 4.024, 3.92, 3.775
1948, 3, -4.471, -6.142, -9.251, 14.29, 25.23, 40.9, 4.057, 3.982, 3.868
1948, 4, 5.752, 3.632, -0.1647, 10.7, 15.59, 23.29, 4.187, 4.075, 3.911
1948, 5, 10.72, 8.941, 5.392, 19.41, 15.97, 12.26, 3.182, 3.074, 2.923
1948, 6, 16.17, 13.85, 10.02, 61.16, 57.45, 54.68, 2.363, 2.345, 2.29
1948, 7, 19.28, 16.75, 12.29, 14.18, 20.45, 32.54, 2.708, 2.572, 2.339
1948, 8, 18.93, 16.16, 11.87, 15.4, 17.81, 18.16, 2.739, 2.642, 2.44
1948, 9, 15.44, 13.4, 9.688, 25.66, 30, 36.03, 2.929, 2.797, 2.574
1948, 10, 8.087, 6.116, 2.844, 18.11, 18.7, 19.77, 2.997, 2.906, 2.755
1948, 11, -0.7661, -3.061, -6.487, 16.88, 29.85, 45.49, 4.646, 4.549, 4.412
1948, 12, -5.125, -6.636, -9.508, 15.57, 34.43, 60.85, 4.751, 4.682, 4.581
