# Created by WEAP: 2/19/2020 9:46:06 AM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: North Platte (3,986,934 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (1,324,887 ha),  2000 - 3000 m (2,547,932 ha),  3000 - 4000 m (114,116 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, T_mean[C]:Elevation 3000 to 4000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 3000 to 4000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 3000 to 4000 m

1948, 1, -4.569, -6.998, -9.815, 18.34, 28.86, 37.81, 4.756, 4.299, 4.021
1948, 2, -5.397, -7.51, -10.19, 17.91, 23.55, 36.12, 4.21, 3.96, 3.775
1948, 3, -3.052, -6.053, -9.251, 12.7, 23.9, 40.9, 4.285, 4.028, 3.868
1948, 4, 7.12, 3.78, -0.1647, 26.09, 16.11, 23.29, 4.267, 4.104, 3.911
1948, 5, 11.59, 9.01, 5.392, 23.68, 16.62, 12.26, 3.328, 3.103, 2.923
1948, 6, 16.54, 13.91, 10.02, 61.82, 58.3, 54.68, 2.589, 2.375, 2.29
1948, 7, 20.3, 16.93, 12.29, 23.29, 20.15, 32.54, 2.921, 2.612, 2.339
1948, 8, 19.97, 16.32, 11.87, 17.72, 18.17, 18.16, 2.915, 2.672, 2.44
1948, 9, 16.55, 13.52, 9.688, 29.82, 30.02, 36.03, 3.163, 2.84, 2.574
1948, 10, 8.889, 6.186, 2.844, 18.87, 18.72, 19.77, 3.304, 2.956, 2.755
1948, 11, -0.125, -2.96, -6.487, 16.64, 28.42, 45.49, 4.951, 4.605, 4.412
1948, 12, -4.033, -6.502, -9.508, 10.76, 31.67, 60.85, 4.929, 4.722, 4.581
1949, 1, -11.97, -14.35, -16.22, 43.79, 73.95, 82.55, 4.415, 3.93, 3.741
1949, 2, -5.523, -8.175, -11.39, 6.117, 14.16, 22.28, 5.241, 4.88, 4.568
1949, 3, 0.8951, -1.645, -4.702, 18.35, 31.19, 45.5, 3.239, 3.032, 2.957
1949, 4, 8.888, 5.626, 1.584, 18.72, 22.73, 29.04, 3.542, 3.293, 3.161
1949, 5, 11.99, 8.724, 4.909, 58.07, 59.35, 60.97, 3.049, 2.826, 2.659
1949, 6, 15.28, 12.05, 8.257, 49.6, 39.64, 55.75, 3.19, 3.064, 2.856
1949, 7, 20.53, 16.87, 12.49, 56.31, 35.06, 26.47, 2.734, 2.511, 2.253
