# Created by WEAP: 9/4/2020 10:27:45 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: WA_W_Sultan (28,521 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (20,572 ha),  1000 - 2000 m (7,950 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m

1970, 1, 379.1, 460, 0.937, -2.015, 2.814, 2.802
1970, 2, 150.1, 177.2, 4.869, 2.145, 2.769, 2.749
1970, 3, 227.6, 293.6, 4.571, 1.802, 2.482, 2.466
1970, 4, 262.2, 352.8, 5.215, 2.385, 2.757, 2.747
1970, 5, 80.72, 89.32, 10.05, 7.625, 1.927, 1.902
1970, 6, 50.18, 60.55, 14.49, 12.08, 2.305, 2.28
1970, 7, 97.7, 118.9, 15.54, 13.13, 2.032, 2
1970, 8, 22.96, 29.18, 15.14, 12.76, 1.899, 1.871
1970, 9, 230.1, 285, 10.85, 8.291, 2.103, 2.098
1970, 10, 213.9, 245.3, 7.702, 5.043, 2.611, 2.59
1970, 11, 352, 435.6, 4.206, 1.351, 3.345, 3.338
1970, 12, 416.9, 550.8, -0.2551, -3.318, 3.401, 3.389
1971, 1, 708.6, 897.1, 0.1455, -2.973, 3.19, 3.199
1971, 2, 383.6, 472.9, 1.8, -1.085, 2.73, 2.711
1971, 3, 413.4, 542.2, 1.778, -1.191, 2.807, 2.795
1971, 4, 114.1, 138.4, 6.995, 4.196, 2.263, 2.246
1971, 5, 172.8, 208.7, 10.91, 8.363, 2.435, 2.41
1971, 6, 160.9, 192.9, 11.27, 8.54, 1.864, 1.843
1971, 7, 84.17, 113.9, 16.16, 13.62, 1.762, 1.734
1971, 8, 41.19, 59.64, 17.09, 14.56, 1.79, 1.763
1971, 9, 181.8, 210.2, 11.33, 8.646, 1.991, 1.989
1971, 10, 189.7, 241.3, 6.59, 3.905, 2.075, 2.07
1971, 11, 387.4, 475.2, 3.116, 0.1728, 2.589, 2.578
1971, 12, 415.3, 557.5, -1.122, -4.103, 2.931, 2.934
1972, 1, 376, 549.7, -1.833, -4.822, 3.393, 3.41
1972, 2, 559.3, 782.5, 1.482, -1.504, 3.068, 3.055
1972, 3, 446.6, 568.7, 4.24, 1.35, 2.438, 2.426
