# Created by WEAP: 9/4/2020 10:29:18 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: AZ_NW_Lwr Colo Blw Hoover (685,755 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (467,624 ha),  1000 - 2000 m (185,231 ha),  2000 - 3000 m (31,669 ha),  3000 - 4000 m (1,231 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m

1970, 1, 0.7626, 0.6343, 1.282, 2.813, 9.261, 4.305, -1.422, -5.067, 2.515, 2.49, 2.467, 2.451
1970, 2, 17.68, 27.52, 48.57, 54.4, 13.64, 8.694, 2.924, -0.966, 3.021, 3.009, 2.995, 2.97
1970, 3, 16.3, 16.94, 30.4, 36.61, 14.73, 9.763, 3.985, 0.1033, 2.889, 2.894, 2.896, 2.872
1970, 4, 0.5453, 1.104, 1.713, 1.554, 17.01, 11.91, 6.073, 2.182, 3.173, 3.186, 3.188, 3.185
1970, 5, 0, 0, 0, 0, 25.63, 20.51, 14.56, 10.54, 3.262, 3.226, 3.206, 3.166
1970, 6, 1.901, 2.078, 2.574, 3.558, 30.28, 25.11, 19.16, 15.27, 2.97, 2.957, 2.946, 2.918
1970, 7, 7.13, 11.51, 17.21, 17.85, 34.04, 28.9, 23, 19.32, 2.801, 2.86, 2.894, 2.869
1970, 8, 40.33, 40.53, 65.18, 83.98, 32.92, 27.94, 22.21, 18.59, 2.498, 2.577, 2.633, 2.591
1970, 9, 0.8078, 0.5073, 0, 0, 26.95, 21.67, 15.68, 11.83, 2.906, 2.888, 2.882, 2.83
1970, 10, 0.3442, 0.3819, 0.4707, 0.5334, 19.95, 14.8, 8.966, 5.269, 2.894, 2.909, 2.917, 2.888
