# Created by WEAP: 3/20/2020 7:36:21 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\WEAP Areas\SWHydroSwitch\ClimateData\BCSD_HistClimo_PandT.nc
# Raster grid: 185 rows x 201 columns, (53 N, 124 W) - (30 N, 99 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      Prcp: monthly_avg_Prcp[mm/d]
#      Tavg: monthly_avg_Tavg[C]

# WEAP Catchment: Colo Headwaters (174,643 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (66,819 ha),  3000 - 4000 m (106,563 ha),  4000 - 5000 m (1,262 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm/d]:Elevation 2000 to 3000 m, Prcp[mm/d]:Elevation 3000 to 4000 m, Prcp[mm/d]:Elevation 4000 to 5000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 4000 to 5000 m

1950, 1, 3.468, 3.854, 3.255, -9.568, -11.28, -12.15
1950, 2, 1.639, 2.843, 3.08, -8.768, -9.894, -10.18
1950, 3, 1.867, 3.003, 3.289, -5.388, -7.865, -9.1
1950, 4, 3.099, 4.715, 4.787, 0.7648, -1.984, -3.494
1950, 5, 1.497, 2.115, 2.22, 3.551, 0.812, -0.3644
1950, 6, 0.5089, 0.6016, 0.6364, 9.22, 6.937, 6.193
1950, 7, 0.6703, 0.8131, 0.937, 10.99, 8.474, 7.627
1950, 8, 0.4775, 0.58, 0.6837, 9.625, 7.34, 6.742
1950, 9, 1.123, 1.458, 1.666, 7.419, 5.059, 4.091
1950, 10, 0.312, 0.3889, 0.3557, 5.1, 3.287, 2.753
1950, 11, 2.763, 4.319, 4.037, -2.78, -4.895, -5.883
1950, 12, 2.457, 4.307, 4.402, -7.609, -8.932, -9.278
1951, 1, 3.029, 4.179, 3.998, -10.63, -12.38, -13.15
1951, 2, 2.398, 4.405, 4.477, -8.834, -10.59, -11.32
1951, 3, 1.536, 1.871, 1.804, -6.224, -8.982, -10.06
1951, 4, 2.972, 5.335, 5.908, -0.2728, -3.273, -4.857
1951, 5, 1.738, 2.406, 2.62, 5.299, 2.398, 0.9058
1951, 6, 1.874, 1.842, 1.826, 7.399, 4.733, 3.62
1951, 7, 1.373, 1.659, 1.818, 13.19, 10.59, 9.665
1951, 8, 1.36, 1.22, 1.278, 11.28, 8.772, 7.968
1951, 9, 1.073, 1.132, 1.136, 7.896, 5.524, 4.569
1951, 10, 1.574, 1.679, 1.616, 2.449, 0.1354, -0.9739
1951, 11, 1.469, 2.84, 3.164, -6.749, -8.564, -9.156
1951, 12, 6.073, 7.652, 6.698, -9.865, -11.72, -12.88
1952, 1, 2.204, 3.117, 3.127, -12.06, -12.89, -12.85
1952, 2, 1.425, 2.235, 2.054, -11.17, -12.52, -12.82
1952, 3, 2.421, 3.336, 3.658, -9.42, -11.02, -11.76
1952, 4, 1.538, 2.658, 3.124, 0.3264, -1.968, -3.178
1952, 5, 1.675, 2.06, 2.246, 5.431, 2.727, 1.377
1952, 6, 0.4418, 0.3799, 0.3886, 11, 8.685, 7.8
1952, 7, 1.771, 1.823, 1.784, 12.18, 9.806, 9.095
1952, 8, 2.325, 2.428, 2.445, 11.51, 9.008, 8.085
1952, 9, 0.5433, 0.7546, 0.8697, 9.067, 6.695, 5.866
1952, 10, 0.0459, 0.07211, 0.08347, 4.075, 2.161, 1.437
1952, 11, 2.382, 2.772, 2.638, -7.901, -9.099, -9.514
1952, 12, 1.149, 1.828, 1.673, -12.41, -12.12, -11.66
1953, 1, 1.519, 2.465, 2.215, -6.133, -7.597, -8.534
1953, 2, 1.143, 2.15, 2.25, -10, -11.26, -11.74
1953, 3, 1.554, 2.358, 2.405, -3.565, -5.822, -6.814
1953, 4, 3.286, 4.329, 4.054, -1.343, -4.254, -5.619
1953, 5, 2.304, 3.102, 3.218, 3.501, 0.6224, -0.6658
1953, 6, 0.794, 1.118, 1.224, 10.94, 8.25, 7.208
1953, 7, 1.928, 2.457, 2.757, 13.89, 11.17, 10.08
1953, 8, 1.059, 1.008, 0.9479, 11.91, 9.321, 8.379
1953, 9, 0.1654, 0.3237, 0.4424, 9.049, 6.989, 6.312
1953, 10, 1.103, 1.278, 1.12, 3.31, 1.333, 0.4602
1953, 11, 1.571, 2.3, 2.274, -2.04, -4.064, -4.847
1953, 12, 1.307, 1.929, 1.955, -9.263, -11.22, -12
