# Created by WEAP: 4/13/2020 6:09:57 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\WEAP Areas\SWHydroSwitch\ClimateData\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: Upper Colombia (2,248,027 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (2,165,167 ha),  1000 - 2000 m (82,860 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m

1970, 1, 91.74, 627.9, -1.217, -3.695, 3.56, 3.782
1970, 2, 42.21, 213.5, 4.309, 0.2781, 3.044, 3.059
1970, 3, 22.17, 193.8, 6.423, 1.891, 2.731, 2.669
1970, 4, 24.8, 216.7, 8.671, 3.33, 3.233, 3.133
1970, 5, 8.071, 56.43, 15.7, 10.66, 2.095, 2.048
1970, 6, 14.33, 129.8, 22.2, 16.65, 2.342, 2.176
1970, 7, 5.772, 23.63, 24.68, 19.46, 1.932, 1.729
1970, 8, 0.8348, 6.889, 23.61, 18.67, 1.911, 1.832
1970, 9, 10.42, 119.9, 15.48, 10.31, 2.32, 2.274
1970, 10, 26.86, 174.2, 10.22, 5.748, 2.645, 2.601
1970, 11, 44.66, 363, 4.135, 0.882, 3.782, 3.743
1970, 12, 30.53, 176.9, -0.7461, -2.627, 3.736, 3.696
1971, 1, 32.45, 312.8, 1.214, -0.99, 4.239, 4.231
1971, 2, 14.05, 146.4, 3.431, -0.07864, 3.294, 3.263
1971, 3, 42.64, 206.9, 4.348, 0.4866, 3.149, 3.068
1971, 4, 17.62, 117.5, 10.21, 5.501, 2.666, 2.737
1971, 5, 30.05, 150.8, 16.54, 10.82, 2.908, 2.921
1971, 6, 38.67, 178.4, 17.16, 11.63, 1.722, 1.526
1971, 7, 7.651, 32.27, 24.05, 18.66, 1.933, 1.972
1971, 8, 6.137, 29.66, 25.58, 20.04, 1.806, 1.647
1971, 9, 26.7, 136.3, 15.33, 10.3, 2.208, 2.094
1971, 10, 17.09, 170.2, 10.07, 5.174, 2.416, 2.351
1971, 11, 33.66, 292.1, 4.49, 1.038, 2.765, 2.676
1971, 12, 53.55, 417.2, -1.62, -2.875, 3.768, 3.906
1972, 1, 17.13, 194.3, -1.903, -4.012, 4.51, 4.507
1972, 2, 23.02, 267.6, 1.295, -2.006, 3.637, 3.645
1972, 3, 34.12, 257.5, 8.021, 4.321, 2.758, 2.751
1972, 4, 17, 208.7, 9.037, 4.556, 2.954, 2.836
1972, 5, 44.07, 114.1, 16.57, 11.6, 2.188, 2
1972, 6, 29.28, 67.92, 19.9, 14.82, 1.963, 1.731
1972, 7, 7.46, 13.93, 22.93, 17.76, 2.077, 2.027
1972, 8, 20.91, 26.24, 24.26, 18.91, 1.968, 1.87
1972, 9, 9.855, 86.8, 15.72, 11.18, 2.09, 1.952
1972, 10, 6.54, 58.01, 11.08, 6.296, 2.042, 2.011
1972, 11, 22.63, 116.6, 4.805, 1.251, 2.64, 2.514
1972, 12, 49.03, 370.5, -2.591, -5.908, 3.975, 3.909
1973, 1, 28.56, 166.7, -1.402, -4.434, 3.917, 3.778
1973, 2, 14.53, 119.5, 2.941, -0.6637, 2.915, 2.949
1973, 3, 13.03, 125.4, 7.885, 3.32, 2.675, 2.651
1973, 4, 7.043, 83.07, 11.54, 6.269, 2.393, 2.475
1973, 5, 14.55, 71.93, 16.68, 12.28, 2.438, 2.294
1973, 6, 5.262, 37.33, 19.71, 14.65, 2.719, 2.591
1973, 7, 1.047, 3.95, 24.19, 19.39, 2.119, 2.092
1973, 8, 1.84, 17.35, 22.65, 17.45, 2.379, 2.363
1973, 9, 22.09, 135.3, 18.11, 12.96, 2.177, 2.151
1973, 10, 33.53, 111.2, 11.06, 6.733, 2.104, 2.052
1973, 11, 108.4, 529.4, 2.819, -0.2825, 3.265, 3.319
1973, 12, 88.7, 471.4, 2.794, -0.3816, 3.213, 3.245
1974, 1, 41.8, 367.3, -2.566, -5.982, 4.046, 4.1
1974, 2, 34.47, 203.1, 4.547, 0.6744, 3.481, 3.388
1974, 3, 34.89, 208.7, 6.681, 2.809, 3.143, 3.11
1974, 4, 29.81, 276.2, 10.86, 5.943, 3.066, 3.021
1974, 5, 10.66, 70.14, 13.57, 8.65, 2.321, 2.166
1974, 6, 8.062, 112.7, 21.36, 16.23, 2.421, 2.34
1974, 7, 17.7, 36.73, 22.52, 17.61, 2.076, 2.098
1974, 8, 0.6695, 0.5318, 23.22, 18.09, 2.262, 2.307
1974, 9, 1.22, 1.068, 19.56, 14.8, 2.006, 1.846
1974, 10, 3.232, 8.225, 11.91, 7.821, 1.902, 1.92
1974, 11, 39.84, 200.7, 5.331, 1.922, 2.929, 2.929
1974, 12, 43.05, 289, 2.245, -0.7345, 3.364, 3.429
1975, 1, 54.8, 438.1, -1.197, -3.087, 3.253, 3.355
1975, 2, 44.99, 186, -0.1205, -2.514, 3.285, 3.106
1975, 3, 26.88, 157.2, 4.94, 0.7492, 3.164, 3.084
1975, 4, 26.13, 150.2, 8.593, 3.439, 3.018, 3.074
1975, 5, 17.6, 62.79, 14.93, 9.972, 2.877, 2.837
1975, 6, 13.95, 74.68, 18.42, 13, 3.058, 2.875
1975, 7, 12.45, 22.15, 25.37, 20.8, 2.296, 2.22
1975, 8, 28.5, 68.98, 20.8, 16.01, 2.187, 2.064
1975, 9, 0.1051, 0.2182, 19.14, 14.17, 2.05, 2.017
1975, 10, 37.71, 167.9, 11.17, 7.216, 2.858, 2.809
