# Created by WEAP: 9/4/2020 10:29:20 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: OR_W_Willamette (828,181 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (810,772 ha),  1000 - 2000 m (17,409 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m

1970, 1, 403.8, 772, 4.943, 0.8254, 3.277, 3.316
1970, 2, 178.1, 290, 8.059, 4.109, 2.617, 2.429
1970, 3, 96.9, 219.6, 8.26, 3.507, 2.556, 2.392
1970, 4, 109.6, 275.3, 8.346, 3.203, 3.049, 2.98
1970, 5, 36.93, 83.88, 13.46, 8.974, 2.608, 2.473
1970, 6, 18.28, 52.68, 18.25, 13.88, 2.791, 2.544
1970, 7, 1.897, 4.958, 19.98, 15.72, 3.019, 2.751
1970, 8, 0.7972, 4.62, 19.58, 15.31, 2.815, 2.603
1970, 9, 53.21, 147.3, 15.24, 10.63, 2.3, 2.215
1970, 10, 112.6, 195.3, 11.45, 7.371, 2.565, 2.441
1970, 11, 229.2, 483.6, 7.764, 3.375, 3.23, 3.167
1970, 12, 344.3, 517.6, 3.98, -0.6817, 3.523, 3.531
1971, 1, 281.3, 596, 3.977, -0.6012, 3.233, 3.251
1971, 2, 171.6, 347.2, 5.434, 0.9766, 2.958, 2.906
1971, 3, 236.3, 399.7, 6.041, 0.8636, 3.312, 3.173
1971, 4, 123.6, 241.1, 9.543, 4.732, 2.563, 2.457
1971, 5, 57.52, 130.9, 13.64, 8.819, 2.984, 2.918
1971, 6, 72.64, 138.6, 14.35, 9.86, 2.089, 1.996
1971, 7, 6.787, 15.2, 19.9, 15.46, 2.799, 2.512
1971, 8, 29.46, 80.52, 21.05, 16.35, 2.771, 2.574
1971, 9, 102.1, 201.3, 15.67, 10.91, 2.474, 2.425
1971, 10, 104.4, 185.7, 10.78, 6.254, 2.081, 2.068
1971, 11, 234.7, 496.8, 6.955, 2.439, 2.777, 2.795
1971, 12, 309.3, 525.9, 3.726, -0.8409, 3.387, 3.553
1972, 1, 280.6, 660.5, 3.296, -1.57, 3.408, 3.543
1972, 2, 201.4, 471.6, 6.055, 1.664, 3.491, 3.364
1972, 3, 204.9, 417.9, 9.112, 4.365, 2.674, 2.543
1972, 4, 151.4, 332.5, 8.163, 3.431, 2.745, 2.668
1972, 5, 64.75, 139.6, 14.91, 10, 2.259, 2.164
1972, 6, 22.84, 43.38, 16.55, 11.88, 2.806, 2.584
1972, 7, 6.965, 6.505, 20.98, 16.53, 2.867, 2.592
1972, 8, 10.05, 20.74, 21.16, 16.7, 2.694, 2.511
1972, 9, 90.99, 190.3, 15.56, 11.01, 2.376, 2.222
1972, 10, 26.03, 68.96, 11.75, 7.533, 1.856, 1.766
1972, 11, 153.7, 275.5, 8.008, 3.618, 2.684, 2.556
1972, 12, 305.1, 542.7, 1.998, -1.734, 3.576, 3.475
1973, 1, 170, 338.1, 3.303, -1.041, 3.673, 3.46
1973, 2, 72.44, 116.1, 7.221, 3.353, 2.481, 2.347
1973, 3, 112.7, 220.8, 7.592, 2.547, 2.482, 2.418
1973, 4, 52.26, 122.9, 10.56, 5.867, 2.109, 2.026
1973, 5, 42.91, 98.66, 14.45, 10.2, 2.406, 2.293
1973, 6, 51.75, 122, 16.46, 11.79, 2.527, 2.333
1973, 7, 1.52, 5.443, 20.26, 15.42, 2.68, 2.508
1973, 8, 23.97, 49.48, 17.98, 13.31, 2.699, 2.564
1973, 9, 100.1, 185.5, 17.43, 12.67, 2.337, 2.196
1973, 10, 101.8, 186.9, 11.48, 7.105, 1.868, 1.776
1973, 11, 478.2, 821.1, 6.017, 1.058, 3.404, 3.467
1973, 12, 365.4, 677.1, 6.387, 2.076, 3.469, 3.409
1974, 1, 331.1, 654.3, 2.854, -1.676, 3.672, 3.528
1974, 2, 246, 467.5, 5.153, 0.713, 3.266, 3.091
1974, 3, 236.9, 412.5, 8.018, 2.983, 3.182, 2.924
1974, 4, 89.42, 220.9, 9.946, 4.883, 2.746, 2.62
1974, 5, 60.54, 157.8, 12.04, 7.056, 2.293, 2.167
1974, 6, 30.31, 71.96, 17.28, 12.36, 3.135, 2.93
1974, 7, 50.43, 65.32, 18.86, 14.02, 2.573, 2.435
1974, 8, 2.63, 12.58, 20.09, 15.22, 2.725, 2.575
1974, 9, 5.935, 14.08, 20.17, 15.95, 2.094, 1.901
1974, 10, 50.86, 99.67, 13.19, 9.283, 1.784, 1.647
1974, 11, 218.5, 384.4, 8.158, 3.931, 2.902, 2.918
1974, 12, 262.3, 555.5, 6.046, 1.495, 3.135, 3.034
1975, 1, 243.6, 482.6, 5.366, 0.8964, 2.939, 3.023
1975, 2, 224.6, 367, 5.158, 0.6777, 3.294, 3.141
1975, 3, 163.4, 328.6, 6.677, 1.408, 2.833, 2.687
1975, 4, 75.28, 160.3, 7.92, 2.802, 2.683, 2.638
1975, 5, 60.56, 122.6, 13.36, 8.552, 2.337, 2.197
1975, 6, 37.31, 96.48, 15.68, 10.77, 2.916, 2.776
1975, 7, 15.89, 16.75, 19.5, 15.01, 3.121, 2.93
1975, 8, 60.32, 131.3, 17.47, 12.78, 2.713, 2.547
1975, 9, 0.2294, 1.013, 18.76, 14.79, 2.343, 2.177
1975, 10, 184, 342.5, 11.17, 6.728, 3.025, 2.891
1975, 11, 201.9, 422.9, 6.747, 2.072, 3.469, 3.257
1975, 12, 239.8, 504.9, 5.819, 1.681, 3.289, 3.248
1976, 1, 199.2, 425.5, 5.377, 1.456, 3.079, 3.01
1976, 2, 242.2, 432, 5.272, 0.6985, 3.493, 3.391
1976, 3, 145.6, 265.1, 6.541, 1.501, 2.726, 2.614
1976, 4, 82.36, 207.2, 9.477, 4.908, 2.22, 2.174
1976, 5, 52.67, 139.9, 13.46, 8.739, 2.384, 2.292
1976, 6, 23.32, 62.7, 14.82, 10.01, 2.702, 2.627
1976, 7, 24.38, 38.24, 18.8, 14.2, 2.581, 2.48
1976, 8, 55.91, 110.6, 18.03, 13.32, 2.192, 2.004
1976, 9, 29.07, 60.18, 17.66, 13.22, 2.122, 1.978
1976, 10, 44.94, 93.46, 12.58, 8.548, 1.847, 1.706
1976, 11, 40.48, 75.79, 8.866, 5.627, 1.956, 1.9
1976, 12, 52.03, 117.7, 4.126, 1.484, 2.568, 2.573
1977, 1, 35.48, 72.23, 3.723, 0.7393, 2.221, 2.201
1977, 2, 122.3, 237.8, 7.543, 3.937, 2.906, 2.74
1977, 3, 167.3, 351, 6.738, 1.796, 3.197, 3.145
1977, 4, 26.79, 101.9, 11.49, 7.196, 1.917, 1.748
1977, 5, 119.4, 278.7, 11.34, 6.262, 2.346, 2.246
1977, 6, 30.71, 56.15, 17.22, 12.8, 2.943, 2.737
1977, 7, 20.89, 37.63, 18.56, 13.7, 2.648, 2.531
1977, 8, 66.85, 114.2, 21.81, 17.3, 2.576, 2.419
1977, 9, 105.5, 240.7, 15.47, 10.52, 2.436, 2.272
1977, 10, 88.48, 175.3, 11.95, 7.965, 2.355, 2.148
1977, 11, 230.8, 489.6, 6.501, 2.069, 3.158, 2.992
1977, 12, 337.5, 683.9, 5.933, 1.897, 3.741, 3.771
1978, 1, 200.3, 341.7, 5.215, 1.844, 2.979, 2.838
1978, 2, 161.6, 242, 7.428, 3.081, 2.915, 2.858
1978, 3, 63.48, 95.15, 9.921, 5.623, 1.959, 1.787
1978, 4, 147.6, 282.7, 9.98, 5.162, 2.637, 2.619
1978, 5, 105.8, 193.2, 12.56, 7.649, 2.805, 2.647
1978, 6, 42.07, 103.3, 18.13, 13.33, 2.534, 2.372
1978, 7, 27.56, 58.13, 20.07, 14.95, 2.87, 2.631
1978, 8, 70.59, 177.6, 19.58, 14.29, 2.646, 2.462
1978, 9, 101.3, 168.5, 15.63, 10.72, 2.044, 1.935
1978, 10, 21.38, 47.22, 13.53, 9.473, 1.607, 1.5
1978, 11, 131, 257.1, 4.721, 0.9399, 2.354, 2.344
1978, 12, 107.2, 317.7, 2.15, -1.878, 2.482, 2.456
1979, 1, 81.93, 143.7, 0.03995, -3.222, 2.275, 2.2
1979, 2, 309.2, 700.8, 5.03, -0.04766, 3.621, 3.551
1979, 3, 89.85, 185.4, 9.652, 4.895, 2.187, 2.007
1979, 4, 99.3, 266.9, 10.4, 5.345, 1.981, 1.951
1979, 5, 73.87, 135.9, 14.34, 9.527, 2.368, 2.167
1979, 6, 22.4, 43.83, 17.25, 12.29, 2.725, 2.531
1979, 7, 11.64, 27.26, 20.34, 15.54, 2.723, 2.512
1979, 8, 29.41, 65, 19.11, 14.11, 2.496, 2.476
1979, 9, 66.39, 102.1, 18.34, 14.28, 2.159, 1.904
1979, 10, 176.4, 326.4, 13.83, 9.615, 2.302, 2.168
