# Created by WEAP: 2/27/2020 12:37:15 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: UprWest Snake (2,497,142 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (908,367 ha),  2000 - 3000 m (1,514,103 ha),  3000 - 4000 m (74,672 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, T_mean[C]:Elevation 3000 to 4000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 3000 to 4000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 3000 to 4000 m

1948, 1, -5.895, -8.795, -10.75, 16.74, 27.31, 29.6, 2.933, 3.071, 3.19
1948, 2, -4.768, -7.346, -8.999, 57.5, 40.68, 35.14, 3.086, 3.174, 3.247
1948, 3, -3.097, -6.804, -8.891, 24.43, 29.62, 30.25, 2.912, 2.994, 3.068
1948, 4, 4.237, 1.244, -0.7495, 41.68, 46.61, 45.49, 3.31, 3.377, 3.437
1948, 5, 10.04, 7.228, 5.375, 46.72, 31.31, 28.38, 2.766, 2.793, 2.823
1948, 6, 14.71, 12.25, 10.48, 72.07, 66.88, 57.9, 2.074, 2.042, 2.022
1948, 7, 16.96, 14.51, 12.89, 17.35, 20.03, 20.71, 2.389, 2.436, 2.45
1948, 8, 16.68, 14.22, 12.62, 21.08, 21.64, 19.1, 2.523, 2.6, 2.624
1948, 9, 12.88, 10.15, 8.169, 43.11, 41.71, 39.94, 2.416, 2.475, 2.508
1948, 10, 7.914, 5.313, 3.381, 22.36, 20.87, 19.99, 2.316, 2.341, 2.375
1948, 11, -2.216, -5.178, -7.222, 40.9, 46.86, 43.83, 3.382, 3.463, 3.549
1948, 12, -8.175, -9.939, -11.56, 57.09, 58.91, 52.33, 3.385, 3.483, 3.572
1949, 1, -15.32, -16.27, -17.24, 31.24, 35.28, 34.26, 2.652, 2.743, 2.823
1949, 2, -6.604, -9.008, -10.66, 52.15, 57.76, 47.11, 3.712, 3.773, 3.861
1949, 3, -0.4145, -3.304, -5.139, 14.92, 21.29, 23.65, 2.258, 2.269, 2.292
1949, 4, 7.198, 4.059, 1.982, 22.96, 24.75, 25.19, 2.558, 2.603, 2.651
1949, 5, 11.13, 8.452, 6.53, 66.59, 54.76, 48.83, 2.335, 2.345, 2.358
1949, 6, 13.12, 10.51, 8.875, 32.99, 44.57, 45.29, 2.73, 2.774, 2.81
1949, 7, 17.38, 14.58, 12.57, 17.01, 16.73, 13.79, 2.487, 2.492, 2.495
1949, 8, 17.82, 14.78, 12.62, 14.98, 22.39, 26.42, 2.219, 2.214, 2.206
1949, 9, 12.85, 9.948, 7.961, 28.74, 35.35, 36.24, 2.315, 2.34, 2.353
1949, 10, 3.777, 1.772, 0.2751, 58.71, 60.95, 61.3, 2.75, 2.82, 2.874
1949, 11, 4.153, 1.588, -0.185, 20.52, 24.61, 22.49, 2.771, 2.908, 3.015
1949, 12, -4.754, -6.67, -8.196, 29.56, 33.44, 33.85, 3.48, 3.542, 3.62
1950, 1, -7.774, -9.241, -10.63, 31.44, 51.15, 58.49, 3.98, 4.043, 4.117
1950, 2, -2.42, -5.54, -7.457, 24.88, 35.41, 33.54, 2.849, 2.985, 3.111
1950, 3, -1.943, -5.143, -7.083, 47.41, 56.11, 53.53, 3.238, 3.301, 3.371
1950, 4, 3.848, 0.8102, -1.239, 23.53, 31.25, 39.42, 3.012, 3.019, 3.048
1950, 5, 7.514, 4.588, 2.627, 25.69, 35.08, 36.37, 2.754, 2.757, 2.768
1950, 6, 12.33, 9.632, 7.79, 46.32, 44.88, 45.65, 2.593, 2.678, 2.719
1950, 7, 16.22, 13.13, 11.16, 25.3, 28.67, 31.9, 2.133, 2.147, 2.161
1950, 8, 15.9, 12.85, 10.82, 9.021, 16.19, 14.94, 2.107, 2.155, 2.166
1950, 9, 11.57, 8.754, 6.728, 57.41, 66.9, 67.05, 2.029, 2.032, 2.04
1950, 10, 9.144, 6.327, 4.257, 19.2, 27.5, 28.19, 3.323, 3.384, 3.448
1950, 11, 0.9768, -1.598, -3.515, 22.2, 31.45, 33.22, 3.432, 3.549, 3.635
1950, 12, -0.6395, -3.166, -4.97, 25.54, 29.37, 27.53, 2.763, 2.891, 3.006
1951, 1, -6.961, -9.012, -10.64, 25.65, 32.13, 36.52, 3.3, 3.389, 3.476
1951, 2, -3.498, -6.085, -7.796, 37.96, 38.18, 34.19, 3.082, 3.178, 3.269
1951, 3, -3.385, -6.573, -8.383, 39.94, 44.74, 42.98, 3.098, 3.151, 3.218
1951, 4, 4.914, 2.02, -0.002837, 22.97, 34.94, 38.56, 2.55, 2.583, 2.612
