# Created by WEAP: 4/13/2020 6:10:24 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\WEAP Areas\SWHydroSwitch\ClimateData\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: Colorado (52,962,916 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (11,555,543 ha),  1000 - 2000 m (27,456,227 ha),  2000 - 3000 m (13,133,282 ha),  3000 - 4000 m (816,102 ha),  4000 - 5000 m (1,763 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 4000 to 5000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 4000 to 5000 m

1970, 1, 1.673, 6.654, 17.79, 55.15, 62.83, 11.05, 2.338, -2.918, -9.798, -11.42, 2.212, 2.067, 2.193, 2.435, 2.194
1970, 2, 15.37, 12.15, 15.85, 35.72, 26.79, 15.26, 6.89, 1.525, -5.515, -7.679, 2.659, 2.234, 2.118, 2.179, 2.027
1970, 3, 45.93, 47.94, 61.69, 121.2, 125.6, 15.45, 6.785, 1.125, -6.047, -8.661, 2.838, 2.619, 2.607, 2.636, 2.647
1970, 4, 2.843, 14.33, 31.74, 76.14, 100.8, 17.94, 9.667, 4.193, -2.988, -5.684, 2.933, 2.876, 2.884, 3.015, 3.036
1970, 5, 0.08811, 1.572, 6.743, 17.17, 10.7, 26.03, 18.24, 12.71, 5.852, 3.68, 2.675, 2.549, 2.37, 2.341, 2.343
1970, 6, 1.393, 13.62, 33.98, 66.7, 73.13, 30.54, 22.69, 16.84, 9.55, 6.645, 2.512, 2.426, 2.328, 2.439, 2.525
1970, 7, 16.7, 39.27, 44.55, 67.14, 93.77, 34.16, 26.16, 20.75, 13.43, 10.24, 2.16, 1.704, 1.555, 1.571, 1.545
1970, 8, 40.7, 48.9, 52.26, 87.99, 132.4, 33.1, 25.65, 20.47, 13.65, 10.26, 1.803, 1.591, 1.542, 1.603, 1.557
1970, 9, 33.53, 38.84, 54.65, 123.3, 189, 27.69, 19.38, 13.96, 6.912, 4.554, 2.508, 2.448, 2.377, 2.56, 2.538
1970, 10, 4.591, 14.94, 37.74, 72.91, 108.6, 20.96, 12.18, 6.536, -0.2209, -2.389, 2.438, 2.303, 2.328, 2.48, 2.577
1970, 11, 5.405, 16.22, 31.88, 92.24, 127.4, 16.61, 8.195, 3.009, -3.97, -5.988, 2.503, 2.577, 2.624, 2.878, 2.917
1970, 12, 11.7, 16.36, 30.02, 77.03, 83.73, 11.07, 2.793, -2.403, -9.566, -10.98, 2.167, 2.192, 2.367, 2.653, 2.473
1971, 1, 2.05, 5.62, 19.04, 53.11, 38.95, 11.37, 2.404, -2.842, -9.364, -10.6, 2.852, 2.386, 2.42, 2.629, 2.296
1971, 2, 10.64, 18.51, 31.39, 97.52, 124.8, 13.64, 4.513, -1.256, -8.488, -10.6, 2.515, 2.356, 2.464, 2.67, 2.634
1971, 3, 0.2614, 2.533, 9.834, 27.85, 35.01, 17.39, 8.572, 2.713, -4.784, -6.948, 2.766, 2.677, 2.758, 2.932, 2.971
1971, 4, 4.174, 11.14, 27.57, 84.78, 93.83, 19.57, 12.25, 6.941, 0.1525, -2.092, 2.914, 2.816, 2.672, 2.69, 2.682
1971, 5, 8.111, 18.03, 33.88, 88.51, 100.1, 22.71, 15.72, 10.62, 3.887, 1.388, 2.729, 2.712, 2.569, 2.599, 2.538
1971, 6, 0.02093, 1.163, 2.812, 9.647, 10.64, 29.58, 22.83, 17.45, 10.28, 7.736, 2.46, 2.473, 2.276, 2.284, 2.302
1971, 7, 11.11, 25.46, 27.16, 47.75, 67.82, 34.1, 26.9, 21.21, 13.72, 10.59, 2.632, 2.19, 1.983, 1.998, 1.906
1971, 8, 70.22, 72.5, 75.94, 87.85, 124.1, 31.51, 24.73, 19.71, 13.24, 10.19, 2.032, 1.688, 1.555, 1.574, 1.511
1971, 9, 26.05, 30.59, 44.38, 58.08, 73.69, 28.76, 19.78, 13.94, 6.763, 4.503, 2.106, 2.476, 2.554, 2.81, 2.749
1971, 10, 19.85, 50.9, 77.94, 129.4, 149.7, 19.83, 12.11, 7.238, 1.126, -0.5104, 2.817, 2.607, 2.515, 2.588, 2.524
1971, 11, 2.791, 12.96, 26.69, 71.71, 101.5, 14.93, 6.253, 1.128, -5.897, -7.167, 2.207, 2.041, 2.055, 2.172, 2.049
1971, 12, 19.42, 37.33, 64.11, 165.2, 179.2, 9.578, 0.4219, -4.79, -11.64, -12.39, 2.46, 2.409, 2.451, 2.619, 2.382
1972, 1, 0.01543, 0.6919, 8.219, 28.95, 21.99, 10.62, 2.797, -2.551, -9.858, -11.63, 2.647, 2.418, 2.65, 3.026, 2.678
1972, 2, 0.001521, 0.6228, 6.783, 20.44, 13.83, 15.05, 6.309, 0.6995, -6.65, -8.803, 2.221, 2.12, 2.268, 2.523, 2.426
1972, 3, 0.01133, 0.6692, 7.436, 34.18, 47.58, 21.08, 12.36, 6.545, -0.5153, -3.143, 1.93, 2.155, 2.388, 2.596, 2.532
1972, 4, 1.559, 5.482, 14.98, 53.83, 69.33, 21.32, 13.37, 7.949, 1.255, -1.146, 2.532, 2.815, 2.871, 3.137, 3.232
1972, 5, 2.466, 5.313, 11.63, 29.03, 29.51, 25.44, 17.81, 12.35, 5.68, 2.919, 2.286, 2.223, 2.07, 2.08, 1.992
1972, 6, 17.53, 33.95, 44.87, 67.16, 68.72, 30.4, 22.7, 17.33, 10.61, 7.912, 1.988, 2.199, 2.138, 2.245, 2.245
1972, 7, 10.87, 22.42, 26.77, 35.69, 56.07, 34.3, 26.59, 20.96, 13.62, 10.63, 2.48, 2.321, 2.15, 2.207, 2.195
1972, 8, 27.7, 37.79, 46.21, 56.01, 62.52, 31.62, 24.36, 19.08, 12.23, 9.438, 1.991, 1.71, 1.603, 1.666, 1.54
1972, 9, 13.94, 29.41, 39.78, 68.87, 93.94, 28.48, 20.3, 14.8, 7.939, 5.705, 1.841, 2.067, 2.196, 2.496, 2.317
1972, 10, 88.01, 125.3, 152.2, 233.2, 252.7, 20.89, 13.47, 8.812, 2.5, 0.843, 1.818, 2.13, 2.162, 2.367, 2.285
1972, 11, 28.01, 31.42, 42.21, 106.4, 155.8, 13.41, 5.032, -0.3137, -7.308, -9.234, 2.601, 2.447, 2.401, 2.521, 2.482
1972, 12, 20.59, 32.25, 56.63, 144.5, 182.1, 10.04, 0.3953, -4.985, -12.2, -13.02, 3.014, 2.607, 2.539, 2.653, 2.522
1973, 1, 6.842, 20.93, 34.86, 67.94, 63.64, 9.526, -1.664, -7.086, -13.5, -13.35, 2.915, 2.493, 2.337, 2.355, 2.21
1973, 2, 42.77, 40.76, 43.91, 66.16, 65.87, 12.96, 3.021, -2.982, -10.08, -10.52, 2.611, 2.295, 2.062, 2.013, 1.76
1973, 3, 56.75, 67.51, 77.02, 131.7, 149.5, 12.86, 5.338, 0.2119, -6.569, -8.362, 2.471, 2.392, 2.339, 2.408, 2.411
1973, 4, 2.22, 15.51, 38.17, 102.7, 111.9, 18.96, 10.33, 4.501, -2.699, -5.472, 3.233, 2.807, 2.622, 2.642, 2.63
1973, 5, 5.053, 21.43, 38.13, 77.22, 117.5, 26.22, 17.75, 11.96, 5.042, 2.122, 2.486, 2.32, 2.274, 2.217, 2.187
1973, 6, 5.13, 19.05, 26.52, 51.77, 68.25, 30.74, 22.38, 16.67, 9.562, 6.857, 2.97, 2.913, 2.781, 2.834, 2.853
1973, 7, 14.28, 30.63, 44.9, 70.39, 71.14, 33.35, 25.53, 19.86, 12.76, 9.983, 2.451, 2.246, 2.058, 2.057, 2.172
1973, 8, 19.69, 24.72, 36.06, 70.8, 100.5, 32.51, 24.86, 19.46, 12.57, 9.677, 2.171, 2.074, 2.127, 2.385, 2.262
1973, 9, 0.1194, 7.55, 21.11, 45.57, 52.34, 28.43, 20.2, 14.47, 7.37, 5.15, 2.088, 2.376, 2.515, 2.793, 3.014
1973, 10, 0.4079, 4.631, 10.16, 21.55, 21.26, 23.22, 15.05, 9.874, 3.498, 1.682, 1.988, 2.362, 2.521, 2.781, 2.684
1973, 11, 16.22, 20.22, 38.68, 80.5, 57.87, 15.49, 7.639, 2.349, -3.923, -4.186, 2.324, 3.001, 3.381, 3.711, 3.867
1973, 12, 0.4491, 4.652, 21.89, 90.55, 144.2, 12.41, 3.235, -2.248, -9.232, -10.46, 2.455, 2.746, 3.015, 3.336, 3.38
1974, 1, 29.21, 40.81, 66.45, 147.5, 174.4, 10.51, -0.1227, -5.48, -12.66, -12.8, 2.578, 2.487, 2.833, 3.261, 3.309
1974, 2, 0.7416, 4.476, 14.05, 30.71, 35.52, 12.94, 2.365, -3.559, -10.67, -11.21, 2.653, 2.513, 2.639, 2.892, 2.873
1974, 3, 19.68, 15.7, 25.65, 67.78, 77.89, 17.45, 10.18, 4.783, -2.35, -4.453, 2.731, 3.063, 3.398, 3.81, 3.884
1974, 4, 0.8733, 9.091, 26.03, 86.04, 129.8, 20.43, 11.99, 6.385, -0.8248, -3.167, 3.151, 3.214, 3.189, 3.346, 3.347
1974, 5, 0.1905, 0.6262, 1.707, 3.769, 2.643, 25.91, 19.19, 13.76, 6.977, 4.592, 3.11, 2.993, 2.979, 3.058, 3.17
1974, 6, 0.07738, 1.981, 8.817, 16.43, 21.03, 32.6, 25.3, 19.41, 11.82, 8.922, 2.881, 2.44, 2.358, 2.392, 2.559
1974, 7, 32.3, 48.14, 53.3, 70.49, 98.84, 32.4, 25.28, 20.04, 13.24, 10.18, 2.525, 2.129, 2.006, 2.133, 2.002
1974, 8, 21.24, 23.71, 30.21, 31.9, 32.43, 31.88, 24.26, 18.63, 11.76, 8.979, 2.252, 2.096, 2.133, 2.353, 2.416
1974, 9, 17.48, 22.33, 24.85, 33.06, 52.75, 29.65, 20.84, 15.08, 8.538, 6.116, 2.163, 2.025, 2.065, 2.169, 2.331
1974, 10, 37.26, 61.23, 80.33, 121.4, 130.9, 23.22, 14.87, 9.817, 3.384, 1.433, 2.065, 2.099, 2.009, 2.119, 2.046
1974, 11, 7.625, 16.03, 22.69, 53.94, 76.97, 15.82, 7.353, 2.389, -4.364, -6.702, 1.87, 1.836, 2.03, 2.201, 2.184
