# Created by WEAP: 2/19/2020 9:56:16 AM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Payette (545,965 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (36,036 ha),  1000 - 2000 m (375,499 ha),  2000 - 3000 m (134,307 ha),  3000 - 4000 m (124 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 0 to 1000 m, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, T_mean[C]:Elevation 3000 to 4000 m, Precip[mm/month]:Elevation 0 to 1000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 3000 to 4000 m, Wind[m/sec]:Elevation 0 to 1000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 3000 to 4000 m

1948, 1, -0.8828, -3.519, -5.247, -6.383, 52.88, 65.69, 67.92, 65.85, 2.794, 2.746, 2.719, 2.707
1948, 2, 1.888, -0.2741, -2.17, -3.749, 59.53, 66.13, 68.33, 69.09, 2.944, 2.855, 2.819, 2.827
1948, 3, 3.158, 0.189, -2.46, -4.397, 62.44, 64.79, 55.75, 43.04, 3.167, 3.022, 2.948, 2.945
1948, 4, 6.583, 3.783, 1.557, -0.09605, 67.11, 76.41, 75.21, 70.73, 2.975, 2.908, 2.912, 2.973
1948, 5, 11.64, 9.164, 7.015, 5.286, 49.66, 61.86, 67.15, 64.5, 2.294, 2.253, 2.254, 2.311
1948, 6, 17.74, 14.92, 12.48, 10.61, 50.31, 59.46, 58.01, 54.75, 2.195, 2.092, 2.065, 2.109
1948, 7, 19.34, 16.81, 14.54, 12.67, 19.21, 28.15, 27.63, 19.02, 2.287, 2.207, 2.175, 2.196
1948, 8, 18.27, 15.83, 13.89, 12.38, 2.803, 6.243, 7.452, 8.675, 2.049, 2.02, 2.025, 2.067
1948, 9, 15.31, 13.14, 11.24, 9.844, 12.6, 15.53, 16.29, 17.55, 2.281, 2.25, 2.246, 2.273
1948, 10, 9.946, 7.994, 6.429, 5.129, 13.26, 27.17, 25.4, 19.48, 2.26, 2.242, 2.251, 2.285
1948, 11, 2.688, 0.09218, -2.125, -3.592, 61.88, 78.22, 81.49, 77.24, 3.088, 3.055, 3.04, 3.048
1948, 12, -4.46, -7.365, -9.553, -11, 74.89, 85.46, 94.1, 98.68, 3.369, 3.296, 3.277, 3.311
1949, 1, -11.8, -14.05, -15.7, -16.81, 8.72, 12.28, 16.01, 20.87, 2.542, 2.456, 2.449, 2.502
1949, 2, -0.2542, -2.531, -4.68, -6.578, 88.68, 102.3, 102.5, 99.48, 3.903, 3.814, 3.77, 3.767
1949, 3, 4.963, 2.373, 0.06815, -1.844, 23.7, 24.21, 21.14, 16.06, 2.566, 2.466, 2.419, 2.433
1949, 4, 9.67, 6.896, 4.65, 3.066, 14.77, 14.24, 12.2, 9.979, 2.331, 2.273, 2.272, 2.318
1949, 5, 14.73, 11.99, 9.641, 7.762, 42.94, 56.28, 64.09, 67.58, 2.167, 2.116, 2.116, 2.164
1949, 6, 16.61, 14.04, 11.72, 9.982, 8.115, 12.52, 14.86, 15.3, 2.461, 2.405, 2.401, 2.448
1949, 7, 20.59, 17.95, 15.76, 14.24, 0.9335, 1.504, 2.192, 3.017, 2.185, 2.148, 2.143, 2.175
1949, 8, 20.19, 17.61, 15.62, 14.13, 3.599, 7.083, 12.43, 18.81, 1.873, 1.872, 1.875, 1.904
1949, 9, 16.02, 13.64, 11.83, 10.49, 16.73, 20.79, 20.01, 16.36, 2.142, 2.116, 2.115, 2.143
1949, 10, 7.627, 5.537, 3.762, 2.419, 9.315, 14.5, 26.14, 32.56, 2.578, 2.514, 2.49, 2.501
1949, 11, 5.515, 3.594, 2.098, 0.8851, 68.18, 67.42, 56.45, 47.59, 2.577, 2.551, 2.523, 2.5
1949, 12, -0.1715, -2.205, -3.844, -4.987, 39.04, 47.12, 47.48, 45.79, 3.498, 3.428, 3.395, 3.406
1950, 1, -3.823, -5.76, -7.07, -7.935, 75.35, 86.68, 90.14, 93.67, 3.91, 3.781, 3.744, 3.79
1950, 2, -0.2058, -2.186, -3.559, -4.792, 51.93, 67.05, 66.51, 63.72, 3.003, 2.92, 2.86, 2.826
1950, 3, 2.588, 0.04687, -1.992, -3.554, 78.4, 100.8, 111.4, 113.9, 3.257, 3.143, 3.087, 3.089
1950, 4, 7.456, 5.011, 2.678, 0.8279, 17.9, 19.06, 19.67, 20.11, 3.085, 2.992, 2.957, 2.983
1950, 5, 11.45, 8.29, 5.757, 3.99, 21.69, 27.26, 28.68, 27.54, 2.617, 2.561, 2.558, 2.601
1950, 6, 15.27, 12.36, 10.14, 8.448, 50.11, 62.42, 63.05, 56.15, 2.38, 2.271, 2.224, 2.25
1950, 7, 20.76, 17.82, 15.44, 13.77, 3.611, 4.523, 4.691, 3.978, 2.098, 2.026, 1.995, 2.01
1950, 8, 20.67, 17.95, 15.69, 13.75, 5.112, 6.332, 11.98, 19.24, 1.833, 1.803, 1.785, 1.793
1950, 9, 16.13, 13.72, 11.56, 9.667, 10.23, 17.44, 25.37, 34.14, 2.019, 1.994, 1.984, 1.999
1950, 10, 11.76, 9.146, 7.438, 6.229, 31.14, 65.37, 59.21, 43.42, 2.954, 2.927, 2.939, 2.984
1950, 11, 4.971, 2.352, 0.5207, -0.8628, 49.25, 59.7, 62.34, 59.95, 3.012, 2.99, 2.996, 3.028
1950, 12, 2.601, 0.3116, -1.525, -3.101, 58.56, 66.59, 66.87, 64.59, 2.855, 2.793, 2.747, 2.717
1951, 1, -1.254, -3.31, -5.296, -7.069, 73.6, 79.82, 75.38, 73.34, 3.465, 3.38, 3.34, 3.341
1951, 2, 1.184, -1.235, -3.036, -4.516, 61.62, 70.22, 75.67, 83.47, 2.928, 2.892, 2.88, 2.895
1951, 3, 2.273, -0.8153, -3.458, -5.34, 54.4, 59.34, 56.31, 53.13, 3.271, 3.152, 3.098, 3.112
1951, 4, 8.76, 5.885, 3.529, 1.79, 30.75, 34.67, 32.89, 31.29, 2.63, 2.542, 2.513, 2.545
1951, 5, 12.36, 9.762, 7.483, 5.738, 27.33, 34.8, 39.62, 43.49, 2.833, 2.764, 2.755, 2.797
1951, 6, 13.26, 10.49, 8.33, 6.543, 25.53, 37.79, 42.53, 41.75, 2.374, 2.324, 2.323, 2.363
1951, 7, 21.11, 18.46, 16.09, 14.23, 8.603, 13.51, 16.62, 18.02, 2.165, 2.137, 2.133, 2.177
1951, 8, 19.14, 16.48, 14.19, 12.34, 17.85, 28.87, 42.06, 55.92, 1.913, 1.883, 1.895, 1.95
1951, 9, 15.6, 13.37, 11.33, 9.667, 8.401, 11.87, 11.29, 8.604, 2.36, 2.358, 2.379, 2.428
1951, 10, 9.316, 7.297, 5.524, 4.009, 89.24, 114.1, 109.6, 91.77, 2.735, 2.673, 2.656, 2.676
1951, 11, 2.894, 0.7371, -1.084, -2.473, 71.52, 78.61, 75.47, 70.92, 3.172, 3.097, 3.049, 3.035
1951, 12, -1.24, -3.478, -5.345, -6.578, 104.6, 119.2, 117.3, 116.1, 3.488, 3.399, 3.368, 3.395
1952, 1, -1.826, -3.443, -5.329, -7.245, 65.41, 73, 70.65, 69.22, 3.258, 3.154, 3.111, 3.123
