# Created by WEAP: 2/19/2020 9:43:41 AM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Wind (5,113,433 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (6,335 ha),  1000 - 2000 m (3,263,492 ha),  2000 - 3000 m (1,446,327 ha),  3000 - 4000 m (397,201 ha),  4000 - 5000 m (78 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 0 to 1000 m, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, T_mean[C]:Elevation 3000 to 4000 m, T_mean[C]:Elevation 4000 to 5000 m, Precip[mm/month]:Elevation 0 to 1000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 3000 to 4000 m, Precip[mm/month]:Elevation 4000 to 5000 m, Wind[m/sec]:Elevation 0 to 1000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 3000 to 4000 m, Wind[m/sec]:Elevation 4000 to 5000 m

1948, 1, -1.144, -4.179, -7.54, -10.55, -13.33, 10.55, 24.26, 34.94, 37.04, 30.54, 4.714, 4.295, 3.998, 3.736, 3.434
1948, 2, -3.49, -5.586, -8.421, -10.63, -12.19, 7.069, 5.891, 20.8, 30.2, 26.9, 4.018, 3.87, 3.699, 3.57, 3.437
1948, 3, -0.2419, -2.301, -6.495, -9.528, -11.86, 18.12, 11.1, 22.34, 29.91, 37.69, 3.543, 3.626, 3.463, 3.346, 3.308
1948, 4, 9.141, 6.692, 1.999, -1.411, -3.485, 30.62, 22.34, 34.29, 37.74, 33.94, 3.543, 3.81, 3.703, 3.644, 3.651
1948, 5, 14.55, 12.14, 7.613, 4.402, 2.565, 36.71, 28.12, 30.6, 31.95, 32.41, 3.288, 3.061, 2.96, 2.903, 2.925
1948, 6, 17.62, 16.51, 11.94, 8.873, 7.305, 60.67, 60.38, 65.44, 62.28, 55.56, 2.355, 2.183, 2.099, 2.042, 2.049
1948, 7, 21.59, 19.61, 15.17, 11.93, 9.86, 39.84, 26.11, 27.38, 22.89, 20.41, 2.711, 2.585, 2.497, 2.459, 2.525
1948, 8, 22.13, 19.65, 15.33, 12.01, 9.423, 11.66, 12.72, 19.23, 20.29, 15.96, 2.677, 2.627, 2.584, 2.588, 2.721
1948, 9, 17.8, 15.6, 11.08, 7.54, 4.952, 12.82, 22.25, 25.54, 26.04, 30.06, 2.949, 2.775, 2.678, 2.617, 2.609
1948, 10, 10.76, 8.905, 4.884, 1.897, 0.07795, 0.9176, 11.07, 16.21, 20.53, 24.85, 3.153, 2.879, 2.724, 2.591, 2.471
1948, 11, 2.826, -0.2658, -4.771, -8.194, -10.17, 15.94, 9.224, 20.72, 26.19, 27.55, 4.595, 4.418, 4.191, 3.996, 3.774
1948, 12, -6.557, -6.515, -9.835, -12.76, -15.15, 9.78, 8.512, 27.97, 40.42, 43.92, 4.391, 4.373, 4.142, 3.979, 3.852
1949, 1, -11.79, -12.3, -15.3, -17.54, -19.65, 24.78, 30.69, 46.75, 53.17, 49.06, 4.137, 3.745, 3.477, 3.251, 3.031
1949, 2, -7.279, -7.097, -9.883, -12.27, -14.31, 16.1, 7.599, 21.92, 32.29, 39.66, 4.459, 4.669, 4.452, 4.283, 4.105
1949, 3, 0.4798, 0.01942, -4.064, -6.893, -8.494, 22.34, 21.2, 30.21, 33.47, 31.94, 3, 2.773, 2.625, 2.514, 2.447
1949, 4, 11.85, 9.619, 4.863, 1.389, -1.233, 17.19, 15.39, 21.6, 22.29, 22.31, 3.254, 3.103, 2.967, 2.871, 2.826
1949, 5, 15.1, 12.48, 8.39, 5.329, 3.271, 28.96, 45.05, 53.89, 57.07, 55.94, 2.61, 2.57, 2.48, 2.433, 2.486
1949, 6, 17.26, 15.35, 11.3, 8.385, 6.599, 34.02, 36.25, 48.09, 51.77, 41.94, 2.915, 2.954, 2.899, 2.892, 2.971
1949, 7, 21.59, 20.27, 15.43, 11.88, 9.456, 23.14, 17.97, 15.15, 10.44, 7.916, 2.474, 2.461, 2.444, 2.455, 2.546
1949, 8, 22.49, 20.4, 15.5, 11.82, 9.154, 2.431, 4.827, 12.82, 19.37, 31.7, 2.542, 2.318, 2.244, 2.19, 2.191
1949, 9, 15.46, 14.11, 9.711, 6.62, 4.918, 26.69, 23.66, 32.65, 35.68, 37.1, 3, 2.677, 2.561, 2.475, 2.417
1949, 10, 6.434, 5.224, 1.664, -0.9041, -2.309, 54.03, 41.55, 50.06, 57.65, 66.66, 3.967, 3.498, 3.333, 3.187, 3.028
1949, 11, 8.78, 7.052, 3.156, 0.02947, -2.544, 1.113, 3.102, 7.547, 10.09, 13.07, 4.408, 4.015, 3.753, 3.509, 3.208
1949, 12, -6.196, -3.907, -6.951, -9.145, -10.68, 19.79, 12.75, 26.31, 35.45, 37.44, 4.578, 4.496, 4.258, 4.049, 3.804
1950, 1, -15.94, -9.812, -12.24, -13.7, -13.57, 9.832, 19.04, 51.25, 74.7, 82.11, 3.916, 4.487, 4.388, 4.354, 4.391
1950, 2, -0.2419, 0.02157, -3.974, -7.293, -10.68, 5.313, 5.102, 12.06, 16.12, 21.43, 4.12, 4.093, 3.832, 3.619, 3.386
