# Created by WEAP: 4/6/2020 12:24:08 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\WEAP Areas\SWHydroSwitch\ClimateData\BCSD_HistClimo_PandT.nc
# Raster grid: 185 rows x 201 columns, (53 N, 124 W) - (30 N, 99 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      Prcp: monthly_avg_Prcp[mm/d]
#      Tavg: monthly_avg_Tavg[C]

# WEAP Catchment: Upper Boise (252,715 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (129,297 ha),  2000 - 3000 m (123,357 ha),  3000 - 4000 m (62 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm/d]:Elevation 1000 to 2000 m, Prcp[mm/d]:Elevation 2000 to 3000 m, Prcp[mm/d]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m

1950, 1, 4.844, 6.021, 6.654, -10.64, -13.36, -15.75
1950, 2, 2.551, 3.086, 3.425, -6.684, -9.018, -10.71
1950, 3, 4.97, 5.021, 4.276, -3.92, -6.529, -8.419
1950, 4, 0.8471, 0.9765, 0.8464, 1.868, -0.5974, -2.433
1950, 5, 0.6634, 0.6242, 0.3968, 6.545, 3.965, 1.901
1950, 6, 0.4318, 0.385, 0.2998, 11.53, 8.831, 6.764
1950, 7, 0.3405, 0.5461, 0.7908, 16.61, 13.51, 11.18
1950, 8, 0.5089, 0.8104, 1.165, 16.28, 13.03, 10.54
1950, 9, 2.3, 2.191, 2.094, 11.7, 8.762, 6.471
1950, 10, 1.382, 2.038, 3.02, 7.138, 4.431, 2.38
1950, 11, 3.554, 3.913, 3.731, 0.06795, -2.471, -4.609
1950, 12, 3.451, 3.265, 2.468, -4.76, -7.623, -9.333
1951, 1, 3.588, 3.886, 3.91, -9.784, -12.74, -14.7
1951, 2, 4.26, 4.519, 4.063, -5.909, -8.396, -10.21
1951, 3, 1.768, 2.371, 2.344, -5.088, -7.91, -9.937
1951, 4, 2.242, 2.85, 3.279, 4.499, 1.655, -0.4898
1951, 5, 0.9184, 1.203, 1.273, 8.812, 6.037, 3.904
1951, 6, 0.7946, 0.9638, 0.8319, 10.85, 7.742, 5.336
1951, 7, 0.3964, 0.7302, 0.9625, 17.83, 14.31, 11.71
1951, 8, 1.029, 1.267, 1.138, 15.79, 12.45, 9.862
1951, 9, 0.1241, 0.0933, 0.05683, 11.88, 8.708, 6.357
1951, 10, 2.597, 3.02, 3.349, 3.913, 1.294, -0.7176
1951, 11, 3.846, 4.152, 4.105, -3.39, -6.344, -8.289
1951, 12, 5.846, 6.32, 6.139, -9.674, -13.07, -15.62
1952, 1, 4.97, 5.617, 6.104, -11.49, -14.38, -16.1
1952, 2, 6.306, 5.315, 3.699, -10.88, -12.8, -14.07
1952, 3, 2.303, 2.713, 2.722, -5.841, -8.439, -10.32
1952, 4, 0.8534, 1.01, 0.9854, 2.89, 0.3875, -1.406
1952, 5, 1.149, 1.323, 1.373, 9.325, 6.759, 4.604
1952, 6, 2.187, 2.869, 2.782, 12.4, 9.704, 7.581
1952, 7, 0.5803, 0.8458, 0.7464, 16.75, 13.37, 10.85
1952, 8, 0.03773, 0.1373, 0.2229, 16.83, 13.35, 10.76
1952, 9, 0.04638, 0.09808, 0.1089, 13.18, 10.26, 8.096
1952, 10, 0, 4.267E-6, 0, 8.698, 5.64, 3.427
1952, 11, 1.383, 1.469, 1.509, -4.175, -7.222, -9.25
1952, 12, 3.872, 4.993, 5.892, -6.623, -10.01, -12.46
1953, 1, 4.723, 5.415, 5.399, -2.669, -5.378, -7.539
1953, 2, 1.71, 1.802, 1.554, -5.075, -8.08, -10.19
1953, 3, 1.189, 1.491, 1.62, -1.666, -4.56, -6.554
1953, 4, 1.412, 1.825, 1.818, 2.758, -0.1671, -2.486
1953, 5, 3.215, 2.87, 1.981, 5.963, 3.113, 0.8124
1953, 6, 1.535, 1.687, 1.635, 10.69, 7.961, 5.79
1953, 7, 0.000882, 0.004629, 0.005319, 17.96, 14.51, 12.01
1953, 8, 0.1898, 0.3391, 0.3874, 16.85, 13.43, 10.83
1953, 9, 0.1865, 0.2119, 0.1464, 13.57, 10.42, 7.97
1953, 10, 0.204, 0.171, 0.09648, 7.323, 4.525, 2.542
1953, 11, 2.834, 3.17, 2.82, 1.834, -1.112, -3.405
1953, 12, 1.745, 1.72, 1.458, -6.382, -9.323, -11.46
1954, 1, 4.021, 4.753, 5.199, -6.536, -9.234, -11.09
1954, 2, 1.857, 2.792, 3.728, -4.463, -7.405, -9.287
1954, 3, 2.133, 2.535, 2.513, -3.289, -6.215, -8.349
1954, 4, 1.21, 1.271, 0.9751, 4.621, 1.675, -0.6725
1954, 5, 0.5189, 0.5756, 0.5982, 10.45, 7.316, 4.954
1954, 6, 2.204, 2.629, 2.671, 10.95, 7.996, 5.55
1954, 7, 0.3236, 0.4286, 0.5117, 18.49, 14.79, 11.93
1954, 8, 0.2218, 0.3817, 0.4373, 15.56, 12.16, 9.44
1954, 9, 0.2681, 0.2276, 0.1933, 11.81, 8.494, 5.828
1954, 10, 0.3342, 0.2181, 0.07115, 5.398, 2.313, -0.2008
1954, 11, 1.937, 2.531, 3.049, 1.903, -0.8784, -3.089
1954, 12, 2.176, 2.258, 2.09, -6.991, -10.11, -12.37
1955, 1, 1.303, 1.225, 1.131, -11.01, -13.85, -15.77
1955, 2, 1.161, 1.378, 1.333, -9.399, -12.1, -13.86
1955, 3, 1.414, 1.563, 1.532, -6.172, -8.992, -11.01
1955, 4, 2.28, 2.11, 1.621, 0.7895, -2.024, -4.303
1955, 5, 1.764, 2.554, 2.844, 7.438, 4.521, 2.203
1955, 6, 1.58, 1.889, 1.321, 12.85, 9.696, 7.244
1955, 7, 0.2775, 0.5426, 0.5471, 16.73, 13.41, 10.82
1955, 8, 0.002027, 0.003667, 0.0009677, 17.86, 14.28, 11.78
1955, 9, 0.6059, 0.7289, 0.6255, 11.27, 8.078, 5.713
1955, 10, 1.045, 1.015, 1.092, 6.203, 3.107, 0.6894
1955, 11, 5.074, 6.804, 6.016, -3.946, -6.419, -8.357
1955, 12, 8.144, 10.61, 11.87, -5.83, -8.554, -10.7
